#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 41.495782; 42.240915309782
1.02; 42.778661; 85.787746058928
2.04; 46.543238; 133.16675435986
3.05; 52.551824; 186.66224319135
4.07; 60.452729; 248.2005124726
5.09; 69.834699; 319.28922262073
6.11; 80.282343; 401.01318328479
7.13; 91.419519; 494.07430841249
8.14; 102.93248; 598.85512629525
9.16; 114.57202; 715.48449745055
10.18; 126.14164; 843.8912474286
11.20; 137.48355; 983.84357301376
12.22; 148.4747; 1134.9844083762
13.23; 159.03964; 1296.8798940769
14.25; 169.17785; 1469.0956434313
15.27; 178.99327; 1651.3030670159
16.29; 188.70769; 1843.3993516279
17.31; 198.6408; 2045.6071170166
18.32; 209.14897; 2258.5117472271
19.34; 220.53033; 2483.0021023091
20.36; 232.91998; 2720.1045881261
21.38; 246.20972; 2970.7354581228
22.40; 260.02553; 3235.4302311605
23.41; 273.78239; 3514.1288949557
24.43; 286.81195; 3806.0910804318
25.45; 298.53266; 4109.9844436907
26.47; 308.61355; 4424.1397244072
27.48; 317.07961; 4746.9130875852
28.50; 324.32207; 5077.058956329
29.52; 331.00625; 5414.0090325194
30.54; 337.9032; 5757.9799048067
31.56; 345.69684; 6109.8843684997
32.57; 354.82614; 6471.0820687735
33.59; 365.40801; 6843.0516584569
34.61; 377.25666; 7227.0826601116
35.63; 389.98023; 7624.0657088884
36.65; 403.10955; 8034.4138347824
37.66; 416.20678; 8458.0943732393
38.68; 428.91658; 8894.7129392176
39.70; 440.95194; 9343.5829811909
40.72; 452.03872; 9803.7388954017
41.74; 461.86299; 10273.895490789
42.75; 470.06425; 10752.40061225
43.77; 476.29643; 11237.249828952
44.79; 480.34513; 11726.220444192
45.81; 482.25925; 12217.139552484
46.83; 482.44145; 12708.244129761
47.84; 481.6507; 13198.543761887
48.86; 480.89987; 13688.079076551
49.88; 481.26875; 14177.989896572
50.90; 483.68436; 14670.359700879
51.92; 488.73191; 15167.867690516
52.93; 496.54865; 15673.332789809
53.95; 506.82326; 16189.256997423
54.97; 518.88853; 16717.463133823
55.99; 531.8691; 17258.882926462
57.01; 544.83724; 17813.503724806
58.02; 556.94041; 18380.44502941
59.04; 567.48575; 18958.121030291
60.06; 575.98819; 19544.452155182
61.08; 582.19984; 20137.106464354
62.10; 586.13419; 20733.765772834
63.11; 588.08488; 21332.410805402
64.13; 588.6228; 21931.603415698
65.15; 588.54934; 22530.721244244
66.17; 588.792; 23130.08609781
67.19; 590.24942; 23730.934540063
68.20; 593.61711; 24335.211145877
69.22; 599.24135; 24945.212986137
70.24; 607.04689; 25563.160527526
71.26; 616.56403; 26190.796105387
72.27; 627.04854; 26829.104458699
73.29; 637.65663; 27478.211389945
74.31; 647.61972; 28137.460316889
75.33; 656.36697; 28805.613569777
76.35; 663.56634; 29481.095472132
77.36; 669.08733; 30162.19750383
78.38; 672.91754; 30847.198520661
79.40; 675.07899; 31534.399805485
80.42; 675.58442; 32222.115592596
81.44; 674.45172; 32908.678344351
82.45; 671.76722; 33592.508382205
83.47; 667.76597; 34272.265321654
84.49; 662.88977; 34947.058497826
85.51; 657.79113; 35616.661482578
86.53; 653.27126; 36281.66343726
87.54; 650.16209; 36943.500393938
88.56; 649.17965; 37604.337260529
89.58; 650.78304; 38266.806309554
90.60; 655.07071; 38933.640026408
91.62; 661.73607; 39607.258792631
92.63; 670.09301; 40289.38456466
93.65; 679.1705; 40980.750827563
94.67; 687.86475; 41680.967459764
95.69; 695.12705; 42388.57680139
96.71; 700.15499; 43101.304369179
97.72; 702.54713; 43816.467027102
98.74; 702.3808; 44531.460374893
99.76; 700.18404; 45244.217510381
100.78; 696.79631; 45953.526085913
101.80; 693.14518; 46659.117972068
102.81; 689.9958; 47361.503921004
103.83; 687.74634; 48061.600019877
104.85; 686.33529; 48760.259724669
105.87; 685.29439; 49457.859845365
106.89; 683.93371; 50154.07484946
107.90; 681.5977; 50847.911894693
108.92; 677.90345; 51537.988352016
109.94; 672.8752; 52222.946270448
110.96; 666.92514; 52901.847286874
111.98; 660.68658; 53574.397718052
112.99; 654.76138; 54240.916551024
114.01; 649.47712; 54902.056230799
115.03; 644.74718; 55558.381036496
116.05; 640.08908; 56209.964099838
117.07; 634.7969; 56856.159954095
118.08; 628.20583; 57495.646378632
119.10; 619.95261; 58126.731383324
120.12; 610.13809; 58747.825634384
121.14; 599.3351; 59357.922905563
122.15; 588.44176; 59956.93122888
123.17; 578.43458; 60545.752670039
124.19; 570.10689; 61126.096883622
125.21; 563.87688; 61700.099217251
126.23; 559.71779; 62269.867772567
127.24; 557.21618; 62837.089803201
128.26; 555.72104; 63402.789839913
129.28; 554.52236; 63967.269675032
130.30; 553.00021; 64530.200025593
131.32; 550.70795; 65090.796958316
132.33; 547.38578; 65648.012058799
133.35; 542.92715; 66200.688469145
134.37; 537.33253; 66747.669799977
135.39; 530.67882; 67287.877938265
136.41; 523.11558; 67820.38702207
137.42; 514.87978; 68344.512417951
138.44; 506.30868; 68859.912810142
139.46; 497.83027; 69366.68253855
140.48; 489.92078; 69865.400753299
141.50; 483.03397; 70357.108489602
142.51; 477.51872; 70843.201944165
143.53; 473.54722; 71325.252577127
144.55; 471.07215; 71804.783696304
145.57; 469.82291; 72283.043142927
146.59; 469.34027; 72760.811283938
147.60; 469.04141; 73238.275200889
148.62; 468.30331; 73714.987759307
149.64; 466.55182; 74189.917376018
150.66; 463.34455; 74661.582133364
151.68; 458.43621; 75128.250413579
152.69; 451.81595; 75588.179557573
153.71; 443.70852; 76039.855679595
154.73; 434.53602; 76482.194592766
155.75; 424.84528; 76914.668751931
156.77; 415.21443; 77337.339119744
157.78; 406.15892; 77750.791378162
158.80; 398.05793; 78155.997169673
159.82; 391.11572; 78554.136098908
160.84; 385.36195; 78946.417933968
161.86; 380.68226; 79333.936043503
162.87; 376.86345; 79717.566777067
163.89; 373.63652; 80097.912629028
164.91; 370.70743; 80475.276794665
165.93; 367.77578; 80849.656665406
166.94; 364.54928; 81220.752103131
167.96; 360.76447; 81587.994768956
168.98; 356.21866; 81950.609988502
170.00; 350.80863; 82307.718033378
171.02; 344.56286; 82658.468151721
172.03; 337.65111; 83002.182410275
173.05; 330.3614; 83338.476063636
174.07; 323.04644; 83667.323395888
175.09; 316.05498; 83989.053728227
176.11; 309.67129; 84304.285734216
177.12; 304.083; 84613.829105285
178.14; 299.38593; 84918.591058132
179.16; 295.61717; 85219.516577489
180.18; 292.7948; 85517.569050939
181.20; 290.93902; 85813.732415418
182.21; 290.05884; 86108.999801925
183.23; 290.10676; 86404.315961677
184.25; 290.92215; 86700.462154343
185.27; 292.19498; 86997.904032553
186.29; 293.47689; 87296.650846647
187.30; 294.24944; 87596.184082103
188.32; 294.03464; 87895.498659388
189.34; 292.51283; 88193.264096987
190.36; 289.60571; 88488.07021734
191.38; 285.49294; 88778.689715199
192.39; 280.55458; 89064.28217394
193.41; 275.25991; 89344.484883232
194.43; 270.04304; 89619.377047596
195.45; 265.20954; 89889.348915286
196.47; 260.90378; 90154.937700574
197.48; 257.14088; 90416.696017723
198.50; 253.8806; 90675.135509866
199.52; 251.10503; 90930.749590675
200.54; 248.8639; 91184.082305747
201.56; 247.26892; 91435.791393065
202.57; 246.44349; 91686.660231746
203.59; 246.45555; 91937.541343227
204.61; 247.26823; 92189.249727642
205.63; 248.73453; 92442.450750439
206.65; 250.64084; 92697.592312028
207.66; 252.78101; 92954.912473296
208.68; 255.02828; 93214.520254606
209.70; 257.3725; 93476.514350106
210.72; 259.90555; 93741.086981712
