#Wavenumber (cm^-1);   Spectrum (K*cm*km*mol^-1);  Spectrum (normalised);   Integral (K*km*mol^-1)
0; 41.495782; 0.000748539109011; 42.240915309782
1.02; 42.778661; 0.000771680861192; 85.787746058928
2.04; 46.543238; 0.000839589766088; 133.16675435986
3.05; 52.551824; 0.000947978170742; 186.66224319135
4.07; 60.452729; 0.001090501967234; 248.2005124726
5.09; 69.834699; 0.00125974257739; 319.28922262073
6.11; 80.282343; 0.001448206796019; 401.01318328479
7.13; 91.419519; 0.001649109427519; 494.07430841249
8.14; 102.93248; 0.001856790814726; 598.85512629525
9.16; 114.57202; 0.002066755550441; 715.48449745055
10.18; 126.14164; 0.00227545900484; 843.8912474286
11.2; 137.48355; 0.002480054816671; 983.84357301376
12.22; 148.4747; 0.002678323296779; 1134.9844083762
13.23; 159.03964; 0.002868903408616; 1296.8798940769
14.25; 169.17785; 0.003051785771946; 1469.0956434313
15.27; 178.99327; 0.003228845352155; 1651.3030670159
16.29; 188.70769; 0.003404083001402; 1843.3993516279
17.31; 198.6408; 0.003583265582155; 2045.6071170166
18.32; 209.14897; 0.003772821624481; 2258.5117472271
19.34; 220.53033; 0.003978129071723; 2483.0021023091
20.36; 232.91998; 0.004201624982029; 2720.1045881261
21.38; 246.20972; 0.00444135754421; 2970.7354581228
22.4; 260.02553; 0.004690579841254; 3235.4302311605
23.41; 273.78239; 0.004938738743939; 3514.1288949557
24.43; 286.81195; 0.005173777939807; 3806.0910804318
25.45; 298.53266; 0.005385206894692; 4109.9844436907
26.47; 308.61355; 0.005567055267103; 4424.1397244072
27.48; 317.07961; 0.005719773849663; 4746.9130875852
28.5; 324.32207; 0.005850420009203; 5077.058956329
29.52; 331.00625; 0.005970995400256; 5414.0090325194
30.54; 337.9032; 0.006095408932404; 5757.9799048067
31.56; 345.69684; 0.006235997784099; 6109.8843684997
32.57; 354.82614; 0.006400680500234; 6471.0820687735
33.59; 365.40801; 0.006591566010994; 6843.0516584569
34.61; 377.25666; 0.006805302865356; 7227.0826601116
35.63; 389.98023; 0.007034822331967; 7624.0657088884
36.65; 403.10955; 0.007271661090536; 8034.4138347824
37.66; 416.20678; 0.007507920980148; 8458.0943732393
38.68; 428.91658; 0.007737192050825; 8894.7129392176
39.7; 440.95194; 0.007954296952018; 9343.5829811909
40.72; 452.03872; 0.008154290494084; 9803.7388954017
41.74; 461.86299; 0.008331509718739; 10273.895490789
42.75; 470.06425; 0.008479451595173; 10752.40061225
43.77; 476.29643; 0.008591873394198; 11237.249828952
44.79; 480.34513; 0.008664907571278; 11726.220444192
45.81; 482.25925; 0.00869943622962; 12217.139552484
46.83; 482.44145; 0.00870272292092; 12708.244129761
