#Wavenumber (cm^-1);  Spectrum at 400.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
0.00; 0.0057870854; 0.0058910031804579
1.02; 0.0059603958; 0.011958428943263
2.04; 0.0064703609; 0.018544977121799
3.05; 0.0072886486; 0.025964506860747
4.07; 0.0083728232; 0.034487679577282
5.09; 0.0096721332; 0.044333493779726
6.11; 0.01113333; 0.055666742826554
7.13; 0.012705209; 0.068600097233979
8.14; 0.014341215; 0.083198834828683
9.16; 0.016000283; 0.099486432865083
10.18; 0.01764686; 0.1174501753371
11.20; 0.019251308; 0.13704717627471
12.22; 0.020791636; 0.15821216410815
13.23; 0.022256643; 0.18086846613818
14.25; 0.023649503; 0.20494263919048
15.27; 0.024989962; 0.23038134248466
16.29; 0.026313178; 0.25716702250267
17.31; 0.027663918; 0.28532769746722
18.32; 0.029086399; 0.31493639636655
19.34; 0.030611855; 0.34609794346841
20.36; 0.03224738; 0.37892438454922
21.38; 0.033969961; 0.41350433877314
22.40; 0.035728571; 0.44987448255471
23.41; 0.037454897; 0.48800195149688
24.43; 0.039080406; 0.52778411876241
25.45; 0.040555085; 0.56906744542793
26.47; 0.041862192; 0.6116813507118
27.48; 0.043024346; 0.65547827807876
28.50; 0.044098926; 0.70036908197587
29.52; 0.045164262; 0.74634435188285
30.54; 0.046301066; 0.79347683886883
31.56; 0.04757495; 0.84190608451499
32.57; 0.049025025; 0.8918114444556
33.59; 0.050660904; 0.94338205827536
34.61; 0.05246699; 0.99679118966998
35.63; 0.054410249; 1.0521784752888
36.65; 0.056446826; 1.1096389082075
37.66; 0.058524326; 1.1692141469446
38.68; 0.060579659; 1.2308816252673
39.70; 0.062535561; 1.2945401275016
40.72; 0.064300773; 1.3599955400766
41.74; 0.06577816; 1.4269548680902
42.75; 0.066881951; 1.4950378079356
43.77; 0.067560885; 1.5638118734069
44.79; 0.06782017; 1.6328498797637
45.81; 0.067733777; 1.7017999418145
46.83; 0.067440478; 1.7704514386335
47.84; 0.067121886; 1.8387786225036
48.86; 0.066966845; 1.9069479811957
49.88; 0.067131576; 1.9752850289112
50.90; 0.067706951; 2.0442077828613
51.92; 0.06870231; 2.1141437698053
52.93; 0.070050003; 2.185451650548
53.95; 0.071628201; 2.2583660685442
54.97; 0.073294029; 2.3329762275338
55.99; 0.074916603; 2.4092380962897
57.01; 0.076400859; 2.4870108741894
58.02; 0.07769741; 2.5661034851579
59.04; 0.078799053; 2.6463175207135
60.06; 0.079728914; 2.7274781144745
61.08; 0.080526871; 2.8094509942696
62.10; 0.08123958; 2.8921493813732
63.11; 0.081916089; 2.9755364254546
64.13; 0.082607403; 3.0596271965754
65.15; 0.083366182; 3.1444903720396
66.17; 0.084242962; 3.2302460717618
67.19; 0.085277596; 3.3170549849545
68.20; 0.08648787; 3.4050959041919
69.22; 0.087859697; 3.4945332842571
70.24; 0.089343805; 3.5854814225201
71.26; 0.090861912; 3.6779749275702
72.27; 0.092321936; 3.7719546747056
73.29; 0.093638192; 3.867274313828
74.31; 0.094750314; 3.9637260443417
75.33; 0.095634866; 4.0610782110747
76.35; 0.096306097; 4.1591136625166
77.36; 0.096806094; 4.2576580891618
78.38; 0.097188254; 4.3565915375899
79.40; 0.097500058; 4.4558423898209
80.42; 0.097770963; 4.5553690113472
81.44; 0.098008979; 4.6551379225557
82.45; 0.098206241; 4.7551076382342
83.47; 0.098350745; 4.8552244527815
84.49; 0.0984396; 4.9554317176299
85.51; 0.09848907; 5.0556893410696
86.53; 0.098538125; 5.155996900694
87.54; 0.098644484; 5.2564127290065
88.56; 0.098874372; 5.3570625733193
89.58; 0.09928875; 5.4581342368288
90.60; 0.099929359; 5.5598580125287
91.62; 0.10080768; 5.6624758811936
92.63; 0.10189917; 5.7662048354027
93.65; 0.10314411; 5.871201086506
94.67; 0.10445544; 5.9775322219173
95.69; 0.10573267; 6.0851635141797
96.71; 0.10687971; 6.1939624420586
97.72; 0.1078235; 6.3037221156281
98.74; 0.10852915; 6.4142001106634
99.76; 0.10900755; 6.5251650928862
100.78; 0.10931277; 6.6364407746075
101.80; 0.10952881; 6.7479363785832
102.81; 0.1097484; 6.8596555089963
103.83; 0.11004914; 6.9716807873857
104.85; 0.11047382; 7.0841383702059
105.87; 0.11102044; 7.1971523823402
106.89; 0.11164509; 7.3108022614386
107.90; 0.11227638; 7.4250947693003
108.92; 0.11283627; 7.5399572225039
109.94; 0.11326008; 7.6552510954356
110.96; 0.11350893; 7.7707982871046
111.98; 0.11357101; 7.8864086792615
112.99; 0.11345271; 8.0018986394665
114.01; 0.11316475; 8.1170954672838
115.03; 0.11271085; 8.231830248542
116.05; 0.11208503; 8.345927968022
117.07; 0.11127992; 8.4592061277437
118.08; 0.11030335; 8.5714901800528
119.10; 0.10919571; 8.6826467049224
120.12; 0.10803958; 8.7926263309447
121.14; 0.10695479; 8.9015016959493
122.15; 0.10607785; 9.0094843677818
123.17; 0.10553031; 9.1169096661757
124.19; 0.10538614; 9.224188213604
125.21; 0.10564885; 9.3317341849691
126.23; 0.10624631; 9.4398883485122
127.24; 0.10704536; 9.5488559072365
128.26; 0.107881; 9.6586741067985
129.28; 0.10859054; 9.769214595527
130.30; 0.10904194; 9.8802145817111
131.32; 0.10914865; 9.9913231986832
132.33; 0.10886976; 10.10214791728
133.35; 0.10819959; 10.212290435302
134.37; 0.10715506; 10.32136966496
135.39; 0.10576825; 10.429037183582
136.41; 0.10408783; 10.534994099593
137.42; 0.10218697; 10.639016023473
138.44; 0.10017105; 10.740985833238
139.46; 0.098176847; 10.840925627189
140.48; 0.096357987; 10.939013899596
141.50; 0.094857424; 11.035574663767
142.51; 0.093773946; 11.131032493933
143.53; 0.09313395; 11.225838836249
144.55; 0.092879371; 11.320386028038
145.57; 0.092877857; 11.414931678941
146.59; 0.092953764; 11.509554599494
147.60; 0.092931139; 11.604154488638
148.62; 0.09267559; 11.69849424026
149.64; 0.092122361; 11.792270828947
150.66; 0.091282904; 11.885192885998
151.68; 0.090229729; 11.977042856429
152.69; 0.089066462; 12.067708671811
153.71; 0.087894189; 12.157181163494
154.73; 0.086785075; 12.245524625341
155.75; 0.0857703; 12.332835089637
156.77; 0.084843354; 12.419201963117
157.78; 0.083974243; 12.504684119087
158.80; 0.083127023; 12.589303841192
159.82; 0.082273301; 12.67305451117
160.84; 0.081397297; 12.755913447101
161.86; 0.080492273; 12.837851107241
162.87; 0.079551818; 12.918831425021
163.89; 0.078561273; 12.998803410925
164.91; 0.077494018; 13.077688976795
165.93; 0.076314991; 13.155374344678
166.94; 0.074990715; 13.231711656667
167.96; 0.073502464; 13.306533993754
168.98; 0.071857972; 13.379682308795
170.00; 0.070097406; 13.45103844335
171.02; 0.068291082; 13.520555818441
172.03; 0.066528841; 13.588279307803
173.05; 0.06490343; 13.654348198408
174.07; 0.06349201; 13.718980324768
175.09; 0.062340524; 13.782440288064
176.11; 0.061455001; 13.844998827517
177.12; 0.060802086; 13.906892727698
178.14; 0.060318535; 13.968294393929
179.16; 0.059926881; 14.029297372408
180.18; 0.05955264; 14.089919390146
181.20; 0.059138039; 14.150119362298
182.21; 0.058648443; 14.209820946847
183.23; 0.058070289; 14.268933994762
184.25; 0.057402395; 14.32736715577
185.27; 0.056644978; 14.385029298827
186.29; 0.055791477; 14.441822615169
187.30; 0.054827049; 14.497634185309
188.32; 0.05373463; 14.552333719558
189.34; 0.052506037; 14.605782599134
190.36; 0.051153056; 14.657854202604
191.38; 0.049713027; 14.70845991872
192.39; 0.048245409; 14.757571663653
193.41; 0.046819464; 14.805231858087
194.43; 0.045497041; 14.851545882609
195.45; 0.044316861; 14.896658534637
196.47; 0.043286518; 14.940722341932
197.48; 0.042385621; 14.98386907495
198.50; 0.041579151; 15.026194856597
199.52; 0.040835961; 15.067764102265
200.54; 0.04014512; 15.108630101998
201.56; 0.0395235; 15.148863319011
202.57; 0.039011295; 15.188575134278
203.59; 0.038656896; 15.22792618633
204.61; 0.038496655; 15.267114119694
205.63; 0.038537159; 15.306343284794
206.65; 0.038746726; 15.345785780258
207.66; 0.039059488; 15.385546653221
208.68; 0.039390907; 15.425644896291
209.70; 0.039659607; 15.466016664677
210.72; 0.039808377; 15.506539874338
211.74; 0.039817747; 15.547072622889
212.75; 0.039708261; 15.587493918913
213.77; 0.039531348; 15.627735125055
214.79; 0.039352297; 15.667794065104
215.81; 0.039231011; 15.707729541919
216.82; 0.039206568; 15.747640136056
217.84; 0.039290105; 15.787635767923
218.86; 0.039467872; 15.827812358352
219.88; 0.039713112; 15.868238592294
220.90; 0.040002777; 15.908959693383
221.91; 0.0403334; 15.950017354379
222.93; 0.040730344; 15.991479086926
223.95; 0.041246208; 16.033465946501
224.97; 0.041947142; 16.07616632683
225.99; 0.042889647; 16.119826136926
227.00; 0.044094062; 16.164711988946
228.02; 0.045523201; 16.211052642882
229.04; 0.047074487; 16.258972438796
230.06; 0.048590938; 16.308435916568
231.08; 0.049891073; 16.35922287636
232.09; 0.050811529; 16.41094682005
233.11; 0.051251033; 16.46311816024
234.13; 0.051202342; 16.515239935342
235.15; 0.050760915; 16.566912356108
236.17; 0.050105334; 16.617917424226
237.18; 0.049453004; 16.668258448581
238.20; 0.049002715; 16.718141097979
239.22; 0.04888052; 16.767899357621
240.24; 0.049105058; 16.817886187772
241.26; 0.049582904; 16.868359443973
242.27; 0.050135349; 16.919395066324
243.29; 0.050548348; 16.970851103785
244.31; 0.050630291; 17.022390555329
245.33; 0.050260345; 17.073553418153
246.35; 0.049413727; 17.123854459871
247.36; 0.048158171; 17.172877400206
248.38; 0.046625222; 17.220339864262
249.40; 0.044967526; 17.266114865287
250.42; 0.043316722; 17.310209418695
251.44; 0.041754837; 17.352714040768
252.45; 0.040306349; 17.39374416488
253.47; 0.038950475; 17.433394068023
254.49; 0.037646595; 17.471716677467
255.51; 0.036362151; 17.508731777645
256.53; 0.035092806; 17.544454739409
257.54; 0.033868536; 17.578931447073
258.56; 0.032744928; 17.612264370674
259.58; 0.031784215; 17.644619329995
260.60; 0.031033649; 17.676210245739
261.61; 0.030508973; 17.707267063355
262.63; 0.030188212; 17.737997360682
263.65; 0.03001703; 17.768553402198
264.67; 0.029922914; 17.799013637431
265.69; 0.029832926; 17.829382268285
266.70; 0.029689246; 17.859604639728
267.72; 0.029458229; 17.889591846028
268.74; 0.029131373; 17.919246326503
269.76; 0.028719463; 17.948481500901
270.78; 0.028243162; 17.97723182106
271.79; 0.027723914; 18.005453568726
272.81; 0.027178258; 18.033119862447
273.83; 0.026616856; 18.060214673543
274.85; 0.026047559; 18.086729964383
275.87; 0.025480352; 18.112667863139
276.88; 0.024931517; 18.138047071581
277.90; 0.02442488; 18.162910545102
278.92; 0.023989345; 18.187330663208
279.94; 0.023653442; 18.21140884613
280.96; 0.023438768; 18.235268500446
281.97; 0.023354632; 18.259042508522
282.99; 0.023395703; 18.28285832469
284.01; 0.023543358; 18.306824446711
285.03; 0.023770114; 18.331021396597
286.05; 0.024045506; 18.355498683851
287.06; 0.024341436; 18.38027721561
288.08; 0.024635438; 18.405355028851
289.10; 0.024911247; 18.430713603307
290.12; 0.02515716; 18.456322506308
291.14; 0.025363457; 18.482141410726
292.15; 0.025520332; 18.508120006964
293.17; 0.025617348; 18.534197362135
294.19; 0.025644606; 18.560302464874
295.21; 0.025594958; 18.58635702797
296.23; 0.025466154; 18.612280473855
297.24; 0.025261867; 18.637995964547
298.26; 0.024991128; 18.663435854056
299.28; 0.024666455; 18.688545241134
300.30; 0.024301587; 18.713283207718
301.32; 0.023909824; 18.737622377163
302.33; 0.023503654; 18.761548082855
303.35; 0.023095551; 18.785058356896
304.37; 0.022699181; 18.808165143296
305.39; 0.02232987; 18.830895986979
306.41; 0.022003424; 18.853294523613
307.42; 0.021733125; 18.875417906534
308.44; 0.021525622; 18.897330060466
309.46; 0.021377206; 18.919091134201
310.48; 0.021272064; 18.9407451775
311.49; 0.021183645; 18.96230921404
312.51; 0.021079279; 18.983767010071
313.53; 0.020927025; 19.005069818708
314.55; 0.020702946; 19.026144524272
315.57; 0.020396763; 19.046907548674
316.58; 0.020014364; 19.067281307151
317.60; 0.019576566; 19.087209406741
318.62; 0.019114641; 19.106667286731
319.64; 0.018663908; 19.125666339746
320.66; 0.018257038; 19.144251216145
321.67; 0.017918498; 19.162491473803
322.69; 0.01766103; 19.180469640354
323.71; 0.017484423; 19.198268028689
324.73; 0.017376391; 19.215956444741
325.75; 0.017315131; 19.233582500998
326.76; 0.017273122; 19.251165794301
327.78; 0.017221728; 19.26869677007
328.80; 0.017136112; 19.286140593104
329.82; 0.016999809; 19.303445665143
330.84; 0.016808072; 19.32055555759
331.85; 0.016569137; 19.337422223639
332.87; 0.016302754; 19.354017723338
333.89; 0.016035987; 19.370341665748
334.91; 0.015796999; 19.386422329484
335.93; 0.01560828; 19.402310884715
336.94; 0.015481064; 19.418069940158
337.96; 0.015412535; 19.433759235445
338.98; 0.015386637; 19.449422167452
340.00; 0.015378355; 19.465076669476
341.02; 0.015360291; 19.480712782888
342.03; 0.015309733; 19.496297430675
343.05; 0.015214349; 19.511784981757
344.07; 0.015075068; 19.527130750042
345.09; 0.014905581; 19.542303988526
346.11; 0.014728843; 19.557297315181
347.12; 0.014571678; 19.572130654732
348.14; 0.014459021; 19.586849313715
349.16; 0.014409222; 19.601517280039
350.18; 0.014431452; 19.616207875613
351.20; 0.014525559; 19.630994267706
352.21; 0.014684075; 19.645942022512
353.23; 0.014895499; 19.661104997436
354.25; 0.015147684; 19.676524685629
355.27; 0.01543023; 19.692231993822
356.28; 0.015735154; 19.708249701707
357.30; 0.016055766; 19.724593778379
358.32; 0.016384405; 19.741272396139
359.34; 0.016710254; 19.75828271371
360.36; 0.017018573; 19.7756068871
361.37; 0.017292352; 19.793209754787
362.39; 0.017516438; 19.811040733091
363.41; 0.017683148; 19.829041414984
364.43; 0.017797385; 19.847158384757
365.45; 0.017879034; 19.865358469496
366.46; 0.017960938; 19.88364192894
367.48; 0.018082124; 19.902048751258
368.50; 0.018277702; 19.920654663124
369.52; 0.01856832; 19.939556411978
370.54; 0.018952684; 19.958849426317
371.55; 0.019405941; 19.978603836776
372.57; 0.019884982; 19.998845890517
373.59; 0.020339329; 20.019550449869
374.61; 0.020724253; 20.040646844874
375.63; 0.021011833; 20.062035984198
376.64; 0.021196286; 20.083612888481
377.66; 0.021291877; 20.105287100913
378.68; 0.021324412; 20.12699443224
379.70; 0.021319604; 20.148696868781
380.72; 0.021292731; 20.170371949701
381.73; 0.021243385; 20.191996798682
382.75; 0.021157082; 20.213533794963
383.77; 0.021012804; 20.234923922533
384.79; 0.020793255; 20.256090558792
385.81; 0.020493626; 20.27695218581
386.82; 0.020125367; 20.297438940988
387.84; 0.019713542; 20.317506476289
388.86; 0.019288963; 20.337141808106
389.88; 0.018878378; 20.356359182436
390.90; 0.018496749; 20.375188074968
391.91; 0.018144734; 20.39365863133
392.93; 0.017812365; 20.411790849833
393.95; 0.017487357; 20.429592224151
394.97; 0.017164585; 20.447065031437
395.99; 0.016852718; 20.464220370809
397.00; 0.016575027; 20.481093033267
398.02; 0.016363634; 20.497750506311
399.04; 0.016248927; 20.514291212737
400.06; 0.016247841; 20.53083081412
401.07; 0.016355227; 20.547479729044
402.09; 0.016541616; 20.564318380796
403.11; 0.016758605; 20.581377917531
404.13; 0.016950527; 20.598632822208
405.15; 0.017069077; 20.61600840618
406.16; 0.017086564; 20.633401791319
407.18; 0.017003898; 20.650711025847
408.20; 0.016851021; 20.667864638284
409.22; 0.016679685; 20.684843838142
410.24; 0.016550604; 20.701691639263
411.25; 0.016518457; 20.718506715694
412.27; 0.016618624; 20.735423757316
413.29; 0.016858927; 20.752585417734
414.31; 0.017218256; 20.770112858846
415.33; 0.017652213; 20.788082050256
416.34; 0.018104337; 20.806511484133
417.36; 0.018520224; 20.825364273463
418.38; 0.018861395; 20.844564360001
419.40; 0.019115825; 20.864023445246
420.42; 0.019302803; 20.883672865562
421.43; 0.019470897; 20.903493398069
422.45; 0.019689198; 20.923536151888
423.47; 0.020033407; 20.943929296022
424.49; 0.020569524; 20.964868184169
425.51; 0.021338629; 20.986589988128
426.52; 0.022346297; 21.009337553981
427.54; 0.02355943; 21.033320037157
428.56; 0.024911822; 21.058679197034
