#Wavenumber (cm^-1);   Spectrum at 400.00 K (cm*km*mol^-1); Spectrum (normalised);   Integral (km*mol^-1)
0; 0.0057870854; 0.001660691403324; 0.005891003180458
1.02; 0.0059603958; 0.001710425435482; 0.011958428943263
2.04; 0.0064703609; 0.001856767609311; 0.018544977121799
3.05; 0.0072886486; 0.002091587601571; 0.025964506860747
4.07; 0.0083728232; 0.002402707848374; 0.034487679577282
5.09; 0.0096721332; 0.002775564441652; 0.044333493779726
6.11; 0.01113333; 0.003194876892843; 0.055666742826554
7.13; 0.012705209; 0.003645951270001; 0.068600097233979
8.14; 0.014341215; 0.004115427856607; 0.083198834828683
9.16; 0.016000283; 0.004591522431802; 0.099486432865083
10.18; 0.01764686; 0.005064032526229; 0.1174501753371
11.2; 0.019251308; 0.005524453068957; 0.13704717627471
12.22; 0.020791636; 0.005966473410993; 0.15821216410815
13.23; 0.022256643; 0.006386879256517; 0.18086846613818
14.25; 0.023649503; 0.006786581432682; 0.20494263919048
15.27; 0.024989962; 0.007171246351885; 0.23038134248466
16.29; 0.026313178; 0.007550963132277; 0.25716702250267
17.31; 0.027663918; 0.007938578339428; 0.28532769746722
18.32; 0.029086399; 0.008346780708118; 0.31493639636655
19.34; 0.030611855; 0.00878453330554; 0.34609794346841
20.36; 0.03224738; 0.009253871861944; 0.37892438454922
21.38; 0.033969961; 0.009748192450029; 0.41350433877314
22.4; 0.035728571; 0.010252852102849; 0.44987448255471
23.41; 0.037454897; 0.010748247375145; 0.48800195149688
24.43; 0.039080406; 0.011214711689345; 0.52778411876241
25.45; 0.040555085; 0.011637893061087; 0.56906744542793
26.47; 0.041862192; 0.012012987121065; 0.6116813507118
27.48; 0.043024346; 0.012346484732339; 0.65547827807876
28.5; 0.044098926; 0.012654851664022; 0.70036908197587
29.52; 0.045164262; 0.012960565890539; 0.74634435188285
30.54; 0.046301066; 0.013286788937129; 0.79347683886883
31.56; 0.04757495; 0.013652349156377; 0.84190608451499
32.57; 0.049025025; 0.014068470039383; 0.8918114444556
33.59; 0.050660904; 0.014537910181423; 0.94338205827536
34.61; 0.05246699; 0.015056193788205; 0.99679118966998
35.63; 0.054410249; 0.015613841255397; 1.0521784752888
36.65; 0.056446826; 0.016198267729578; 1.1096389082075
37.66; 0.058524326; 0.016794437675576; 1.1692141469446
38.68; 0.060579659; 0.017384246466728; 1.2308816252673
39.7; 0.062535561; 0.01794552203338; 1.2945401275016
40.72; 0.064300773; 0.018452076229633; 1.3599955400766
41.74; 0.06577816; 0.018876034702802; 1.4269548680902
42.75; 0.066881951; 0.019192784171328; 1.4950378079356
43.77; 0.067560885; 0.019387614518436; 1.5638118734069
44.79; 0.06782017; 0.019462020258242; 1.6328498797637
45.81; 0.067733777; 0.019437228484406; 1.7017999418145
46.83; 0.067440478; 0.019353061914494; 1.7704514386335
47.84; 0.067121886; 0.019261637136908; 1.8387786225036
48.86; 0.066966845; 0.019217145784515; 1.9069479811957
49.88; 0.067131576; 0.019264417828497; 1.9752850289112
50.9; 0.067706951; 0.019429530359269; 2.0442077828613
51.92; 0.06870231; 0.019715163630643; 2.1141437698053
52.93; 0.070050003; 0.020101904455208; 2.185451650548
53.95; 0.071628201; 0.020554792164683; 2.2583660685442
54.97; 0.073294029; 0.021032826623793; 2.3329762275338
55.99; 0.074916603; 0.021498448695494; 2.4092380962897
57.01; 0.076400859; 0.021924378331772; 2.4870108741894
58.02; 0.07769741; 0.022296443188405; 2.5661034851579
59.04; 0.078799053; 0.022612576255947; 2.6463175207135
60.06; 0.079728914; 0.022879413888754; 2.7274781144745
61.08; 0.080526871; 0.023108399680137; 2.8094509942696
62.1; 0.08123958; 0.023312922272697; 2.8921493813732
63.11; 0.081916089; 0.023507056729495; 2.9755364254546
64.13; 0.082607403; 0.023705439704247; 3.0596271965754
65.15; 0.083366182; 0.023923182777871; 3.1444903720396
66.17; 0.084242962; 0.024174788017463; 3.2302460717618
67.19; 0.085277596; 0.024471691842209; 3.3170549849545
68.2; 0.08648787; 0.024818998212954; 3.4050959041919
69.22; 0.087859697; 0.025212664652669; 3.4945332842571
70.24; 0.089343805; 0.025638551818116; 3.5854814225201
71.26; 0.090861912; 0.026074195509192; 3.6779749275702
72.27; 0.092321936; 0.026493171407741; 3.7719546747056
