#Wavenumber (cm^-1);  Spectrum (K*cm*km*mol^-1); Spectrum (normalised);  Integral (K*km*mol^-1)
0; 138.0557; 0.001408802690936; 140.53474254321
1.02; 142.06286; 0.001449694141206; 285.14860015078
2.04; 153.85152; 0.001569992657895; 441.76281134533
3.05; 172.7606; 0.001762952186456; 617.6256437488
4.07; 197.80321; 0.002018501912806; 818.98077812198
5.09; 227.80852; 0.002324693989412; 1050.8800251585
6.11; 261.56749; 0.002669190651116; 1317.14444166
7.13; 297.94831; 0.003040442233734; 1620.4429657566
8.14; 335.95908; 0.003428326798157; 1962.4348074071
9.16; 374.75499; 0.00382422339935; 2343.9192125978
10.18; 413.60929; 0.004220715846923; 2764.9556188867
11.2; 451.88194; 0.004611272791035; 3224.9519321278
12.22; 489.02133; 0.004990265274298; 3722.7545389102
13.23; 524.61867; 0.005353521759776; 4256.7937079205
14.25; 558.50659; 0.005699334304178; 4825.3293137647
15.27; 590.86293; 0.006029517692918; 5426.8022751517
16.29; 622.26261; 0.006349938752523; 6060.2387588783
17.31; 653.62477; 0.006669976935673; 6725.6005729794
18.32; 686.03324; 0.00700069229002; 7423.9528080789
19.34; 720.45684; 0.00735197123259; 8157.3467784137
20.36; 757.44444; 0.007729414760175; 8928.3925310112
21.38; 796.89676; 0.008132009760451; 9739.5990476049
22.4; 838.00755; 0.00855152877762; 10592.654571365
23.41; 879.41895; 0.008974115398494; 11487.865113787
24.43; 919.56389; 0.009383778306287; 12423.941473352
25.45; 957.09813; 0.009766800074416; 13398.226066134
26.47; 991.28498; 0.010115663078802; 14407.311401173
27.48; 1022.2049; 0.010431188381267; 15447.871831024
28.5; 1050.7194; 0.010722167343604; 16517.45883805
29.52; 1078.2065; 0.011002662103661; 17615.026551282
30.54; 1106.1638; 0.011287955064917; 18741.053610038
31.56; 1135.8222; 0.011590607065007; 19897.271629908
32.57; 1167.8989; 0.011917936840427; 21086.142277591
33.59; 1202.5554; 0.012271592433484; 22310.291778503
34.61; 1239.5381; 0.012648985958547; 23572.088062473
35.63; 1278.4008; 0.013045564124729; 24873.444937083
36.65; 1318.6826; 0.013456623633578; 26215.806920048
37.66; 1359.9419; 0.013877658135349; 27600.169090615
38.68; 1401.6293; 0.014303061224813; 29026.967226758
39.7; 1442.8714; 0.014723920207526; 30495.748093699
40.72; 1482.3029; 0.015126302748107; 32004.668508808
41.74; 1518.0845; 0.015491439532506; 33550.012992302
42.75; 1548.1817; 0.01579856930947; 35125.995127233
43.77; 1570.8693; 0.016030087109394; 36725.072249496
44.79; 1585.317; 0.016177520055935; 38338.856521516
45.81; 1592.0507; 0.01624623474631; 39959.495466264
46.83; 1593.0977; 0.016256918958678; 41581.200158774
47.84; 1591.7157; 0.016242816206536; 43201.498049893
48.86; 1591.7456; 0.016243121323966; 44821.826407051
49.88; 1596.7571; 0.016294261658524; 46447.256236697
50.9; 1609.2356; 0.016421599713953; 48085.388600775
51.92; 1630.0494; 0.016633996141254; 49744.708571702
52.93; 1658.3456; 0.01692274744021; 51432.832831516
53.95; 1691.8824; 0.017264976946745; 53155.096091785
54.97; 1727.6729; 0.017630204552052; 54913.792553015
55.99; 1762.7286; 0.017987933819968; 56708.174187255
57.01; 1794.6862; 0.018314048227963; 58535.087251119
