#Wavenumber (cm^-1);  Spectrum (K*cm*km*mol^-1); Spectrum (normalised);  Integral (K*km*mol^-1)
0; 13.344364; 0.000809405687764; 13.583986760241
1.02; 13.739498; 0.000833372637933; 27.570202960685
2.04; 14.87864; 0.000902467576738; 42.716016696859
3.05; 16.635196; 0.001009011913904; 59.649928882076
4.07; 18.834531; 0.001142413120458; 78.822668648807
5.09; 21.295303; 0.00129167185269; 100.50036867833
6.11; 23.866459; 0.001447625953652; 124.79539432251
7.13; 26.449371; 0.001604293117692; 151.71971280963
8.14; 29.001281; 0.00175907984778; 181.24176586231
9.16; 31.523571; 0.001912069969466; 213.33140065873
10.18; 34.043339; 0.002064907118621; 247.98605083337
11.2; 36.59742; 0.002219825531249; 285.24064491303
12.22; 39.224444; 0.002379168319522; 325.16943604935
13.23; 41.964982; 0.002545396327446; 367.88797640284
14.25; 44.865024; 0.002721299089807; 413.5586348309
15.27; 47.97643; 0.002910022187689; 462.396570673
16.29; 51.350118; 0.003114654064933; 514.66877477743
17.31; 55.022394; 0.003337396870917; 570.67919742741
18.32; 58.999404; 0.003578623392788; 630.73804430919
19.34; 63.246703; 0.003836244360578; 695.12045861901
20.36; 67.689328; 0.004105712875047; 764.02527353899
21.38; 72.223185; 0.004380715088963; 837.54535932944
22.4; 76.733463; 0.004654287112822; 915.65671303645
23.41; 81.11275; 0.004919913845288; 998.22599267799
24.43; 85.272293; 0.005172211951267; 1085.0295074269
25.45; 89.144005; 0.005407051596992; 1175.7742578837
26.47; 92.676331; 0.005621305701229; 1270.1147633643
27.48; 95.83075; 0.005812637763229; 1367.6663316118
28.5; 98.5854; 0.005979721737991; 1468.0220142777
29.52; 100.94767; 0.006123005807133; 1570.7823880686
30.54; 102.97088; 0.006245724108398; 1675.6022988138
31.56; 104.76472; 0.006354529915774; 1782.2482676032
32.57; 106.4888; 0.006459104413154; 1890.6492677262
33.59; 108.32383; 0.006570408610134; 2000.9182560429
34.61; 110.42552; 0.006697887135144; 2113.326673556
35.63; 112.87571; 0.006846504013558; 2228.2292729547
