#Wavenumber (cm^-1);  Spectrum at 400.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
0.00; 0.0061040737; 0.0062136836069909
1.02; 0.0062779769; 0.012604393159602
2.04; 0.0067773836; 0.019503477168855
3.05; 0.007541467; 0.027180365134061
4.07; 0.0084869812; 0.035819745797671
5.09; 0.009528832; 0.045519685567133
6.11; 0.010598366; 0.05630836512768
7.13; 0.011654071; 0.068171706691471
8.14; 0.012682721; 0.081082169170363
9.16; 0.013692779; 0.095020827772005
10.18; 0.014704444; 0.1099893172361
11.20; 0.015741094; 0.12601307144
12.22; 0.016825133; 0.14314033081934
13.23; 0.017978272; 0.16144143615391
14.25; 0.019223698; 0.18101033081925
15.27; 0.020586593; 0.20196659456817
16.29; 0.02209055; 0.22445382149059
17.31; 0.02374993; 0.2486302258415
18.32; 0.025560936; 0.27465015617788
19.34; 0.027495541; 0.30263943010268
20.36; 0.029501781; 0.33267097030831
21.38; 0.031511447; 0.36474826341323
22.40; 0.033453022; 0.39880199597778
23.41; 0.035265478; 0.43470073038146
24.43; 0.03690823; 0.47227171576089
25.45; 0.038364477; 0.51132509778805
26.47; 0.039638273; 0.5516751491197
27.48; 0.04074845; 0.59315531290827
28.50; 0.04172344; 0.6356279742649
29.52; 0.042599612; 0.67899254153019
30.54; 0.043422689; 0.72319496545038
31.56; 0.044248783; 0.76823831738316
32.57; 0.045140532; 0.81418943078269
33.59; 0.046155601; 0.86117384098657
34.61; 0.047329068; 0.90935278965542
35.63; 0.048655889; 0.9588823849199
36.65; 0.050082326; 1.0098640312497
37.66; 0.051513851; 1.0623029082929
38.68; 0.052841519; 1.1160932947905
39.70; 0.053980862; 1.1710434830373
40.72; 0.054910365; 1.2269398649995
41.74; 0.055693965; 1.2836339178963
42.75; 0.056475612; 1.3411236543047
43.77; 0.057443208; 1.3995983611993
44.79; 0.058770909; 1.4594246103116
45.81; 0.060558319; 1.5210703659433
46.83; 0.062788275; 1.5849861204046
47.84; 0.065319976; 1.6514790369633
48.86; 0.067922447; 1.7206211566353
49.88; 0.070338975; 1.792223197561
50.90; 0.072361673; 1.8658842581353
51.92; 0.07389121; 1.9411023214698
52.93; 0.074961685; 2.0174100819666
53.95; 0.075722846; 2.0944926718499
54.97; 0.076386732; 2.1722510683153
55.99; 0.077157786; 2.2507943648164
57.01; 0.078170298; 2.330368355003
58.02; 0.079453127; 2.4112482092781
59.04; 0.080931063; 2.493632538664
60.06; 0.082459073; 2.577572316873
61.08; 0.083874979; 2.6629534264651
62.10; 0.085051439; 2.7495321213838
63.11; 0.085930477; 2.8370056386427
64.13; 0.086531605; 2.925091078182
65.15; 0.086934445; 3.0135865919049
66.17; 0.087245004; 3.1023982409308
67.19; 0.08755882; 3.1915293409902
68.20; 0.087933386; 3.2810417334177
69.22; 0.088377567; 3.3710062826275
70.24; 0.088859342; 3.4614612585313
71.26; 0.08932735; 3.5523926464388
72.27; 0.089737958; 3.6437420156178
73.29; 0.090078683; 3.7354382280283
