#Wavenumber (cm^-1);   Spectrum at 400.00 K (cm*km*mol^-1); Spectrum (normalised);   Integral (km*mol^-1)
0; 0.0061040737; 0.001638702798768; 0.006213683606991
1.02; 0.0062779769; 0.001685388942245; 0.012604393159602
2.04; 0.0067773836; 0.001819459924549; 0.019503477168855
3.05; 0.007541467; 0.00202458615133; 0.027180365134061
4.07; 0.0084869812; 0.002278419384997; 0.035819745797671
5.09; 0.009528832; 0.002558115192382; 0.045519685567133
6.11; 0.010598366; 0.002845242846031; 0.05630836512768
7.13; 0.011654071; 0.00312865795915; 0.068171706691471
8.14; 0.012682721; 0.003404809872904; 0.081082169170363
9.16; 0.013692779; 0.003675970568673; 0.095020827772005
10.18; 0.014704444; 0.003947562680498; 0.1099893172361
11.2; 0.015741094; 0.004225862278411; 0.12601307144
12.22; 0.016825133; 0.0045168839519; 0.14314033081934
13.23; 0.017978272; 0.004826456247311; 0.16144143615391
14.25; 0.019223698; 0.005160803958719; 0.18101033081925
15.27; 0.020586593; 0.005526687458934; 0.20196659456817
16.29; 0.02209055; 0.005930440537002; 0.22445382149059
17.31; 0.02374993; 0.006375918554447; 0.2486302258415
18.32; 0.025560936; 0.006862102166678; 0.27465015617788
19.34; 0.027495541; 0.007381467230702; 0.30263943010268
20.36; 0.029501781; 0.007920063464067; 0.33267097030831
21.38; 0.031511447; 0.008459579443173; 0.36474826341323
22.4; 0.033453022; 0.008980815677021; 0.39880199597778
23.41; 0.035265478; 0.009467388557005; 0.43470073038146
24.43; 0.03690823; 0.009908402612926; 0.47227171576089
25.45; 0.038364477; 0.010299347439591; 0.51132509778805
26.47; 0.039638273; 0.010641311375948; 0.5516751491197
27.48; 0.04074845; 0.010939350070505; 0.59315531290827
28.5; 0.04172344; 0.011201096392763; 0.6356279742649
29.52; 0.042599612; 0.01143631398337; 0.67899254153019
30.54; 0.043422689; 0.011657277662675; 0.72319496545038
31.56; 0.044248783; 0.011879051287369; 0.76823831738316
32.57; 0.045140532; 0.012118450687494; 0.81418943078269
33.59; 0.046155601; 0.012390956638928; 0.86117384098657
34.61; 0.047329068; 0.012705986199787; 0.90935278965542
35.63; 0.048655889; 0.013062185255209; 0.9588823849199
36.65; 0.050082326; 0.013445127273777; 1.0098640312497
37.66; 0.051513851; 0.01382943521947; 1.0623029082929
38.68; 0.052841519; 0.014185861660952; 1.1160932947905
39.7; 0.053980862; 0.014491730275031; 1.1710434830373
40.72; 0.054910365; 0.014741265133623; 1.2269398649995
41.74; 0.055693965; 0.014951630796986; 1.2836339178963
42.75; 0.056475612; 0.015161472156953; 1.3411236543047
43.77; 0.057443208; 0.015421233482128; 1.3995983611993
44.79; 0.058770909; 0.015777668782807; 1.4594246103116
45.81; 0.060558319; 0.01625751780061; 1.5210703659433
46.83; 0.062788275; 0.016856172947636; 1.5849861204046
47.84; 0.065319976; 0.017535834714227; 1.6514790369633
48.86; 0.067922447; 0.018234495431809; 1.7206211566353
49.88; 0.070338975; 0.018883237794946; 1.792223197561
50.9; 0.072361673; 0.019426252351546; 1.8658842581353
51.92; 0.07389121; 0.019836872649712; 1.9411023214698
52.93; 0.074961685; 0.02012425292471; 2.0174100819666
53.95; 0.075722846; 0.020328594602467; 2.0944926718499
54.97; 0.076386732; 0.020506821783155; 2.1722510683153
55.99; 0.077157786; 0.020713819340836; 2.2507943648164
57.01; 0.078170298; 0.02098563883872; 2.330368355003
58.02; 0.079453127; 0.021330027778952; 2.4112482092781
59.04; 0.080931063; 0.021726795245833; 2.493632538664
60.06; 0.082459073; 0.022137005604785; 2.577572316873
61.08; 0.083874979; 0.022517120465618; 2.6629534264651
62.1; 0.085051439; 0.022832953528813; 2.7495321213838
63.11; 0.085930477; 0.02306894052727; 2.8370056386427
64.13; 0.086531605; 0.023230319662653; 2.925091078182
65.15; 0.086934445; 0.023338466298473; 3.0135865919049
66.17; 0.087245004; 0.02342183912906; 3.1023982409308
67.19; 0.08755882; 0.023506086335561; 3.1915293409902
68.2; 0.087933386; 0.023606642518643; 3.2810417334177
69.22; 0.088377567; 0.023725887580815; 3.3710062826275
70.24; 0.088859342; 0.023855225147771; 3.4614612585313
71.26; 0.08932735; 0.02398086681875; 3.5523926464388
72.27; 0.089737958; 0.024091098855888; 3.6437420156178
73.29; 0.090078683; 0.024182570066518; 3.7354382280283
74.31; 0.090380467; 0.024263587156043; 3.827441643121
75.33; 0.090714884; 0.024353364917714; 3.9197854806884
76.35; 0.091176814; 0.024477374885653; 4.0125995424255
77.36; 0.091857376; 0.02466007891397; 4.1061063878637
78.38; 0.092815027; 0.024917170399275; 4.2005880800984
79.4; 0.094053634; 0.025249687478397; 4.2963306209788
80.42; 0.09551476; 0.025641942123939; 4.3935605249394
81.44; 0.097087251; 0.026064093875275; 4.492391156972
82.45; 0.098631802; 0.026478744839686; 4.5927940754453
83.47; 0.10001309; 0.026849566134242; 4.694603082821
84.49; 0.10112936; 0.027149240558747; 4.7975484024761
85.51; 0.10193037; 0.02736428011976; 4.9013091171472
86.53; 0.10241918; 0.027495506306473; 5.0055674196052
87.54; 0.10263984; 0.027554744804786; 5.1100503471384
88.56; 0.10265892; 0.027559867031505; 5.2145526963573
89.58; 0.10255097; 0.027530886718386; 5.318945162542
90.6; 0.10239556; 0.027489165268994; 5.4231794200215
91.62; 0.10228651; 0.027459889649303; 5.5273026759135
92.63; 0.10234647; 0.027475986542074; 5.6314869657004
93.65; 0.10273409; 0.027580047208783; 5.7360658367672
94.67; 0.1036322; 0.027821154286274; 5.8415589486405
95.69; 0.10521186; 0.028245230631077; 5.9486600802499
96.71; 0.10757842; 0.028880558558958; 6.0581702721692
97.72; 0.11071644; 0.02972299303949; 6.1708748262154
98.74; 0.11445493; 0.030726630008383; 6.2873850072958
99.76; 0.11847137; 0.031804885578771; 6.4079837517194
100.78; 0.12234054; 0.032843604968399; 6.5325211383084
101.8; 0.12561882; 0.033723693721447; 6.6603956801962
102.81; 0.12794079; 0.034347050994747; 6.790633887994
103.83; 0.12909907; 0.034658003445691; 6.9220511675972
104.85; 0.12908373; 0.034653885261316; 7.053452830664
105.87; 0.12807136; 0.034382103884825; 7.1838239439369
106.89; 0.12637122; 0.03392568341659; 7.3124643886406
107.9; 0.12434978; 0.033383006583323; 7.4390470968004
108.92; 0.12235934; 0.032848652026172; 7.5636036287571
109.94; 0.12069038; 0.032400602156946; 7.6864612232287
110.96; 0.11955366; 0.03209543771481; 7.8081616892732
111.98; 0.11908411; 0.03196938207771; 7.9293841768076
112.99; 0.11934972; 0.03204068787639; 8.0508770397648
114.01; 0.12035056; 0.032309373903087; 8.1733887151166
115.03; 0.12200333; 0.032753077396497; 8.2975828368392
116.05; 0.12412056; 0.033321470062961; 8.4239322076443
117.07; 0.12640369; 0.03393440032967; 8.5526057079096
118.08; 0.12846905; 0.034488867948968; 8.683381660806
119.1; 0.12991459; 0.034876938368847; 8.8156291046889
120.12; 0.13041657; 0.035011700180607; 8.9483875461103
121.14; 0.12982815; 0.034853732641511; 9.0805470016439
122.15; 0.12824327; 0.034428254932794; 9.2110931132281
123.17; 0.12599606; 0.033824967767959; 9.3393516606034
124.19; 0.12358588; 0.033177929592202; 9.4651567540331
125.21; 0.12154477; 0.03262997214051; 9.5888840877955
126.23; 0.12028692; 0.032292289075603; 9.7113309795027
127.24; 0.1199893; 0.032212389855682; 9.8334749091696
128.26; 0.12054414; 0.032361342490522; 9.9561836422056
129.28; 0.12159986; 0.032644761630549; 10.079967049661
130.3; 0.12267668; 0.032933845287545; 10.204846614535
131.32; 0.12331729; 0.033105823781173; 10.330378294285
132.33; 0.12322179; 0.033080185801526; 10.455812760068
133.35; 0.12232367; 0.032839076039429; 10.580332976738
134.37; 0.12078628; 0.032426347520801; 10.703288201497
135.39; 0.11892828; 0.0319275478749; 10.824352058826
136.41; 0.11711033; 0.03143950007282; 10.943565320527
137.42; 0.11562584; 0.031040973115692; 11.061267434532
138.44; 0.11463193; 0.030774147520398; 11.177957789678
139.46; 0.11413773; 0.030641474331483; 11.294145077733
140.48; 0.11404357; 0.030616196088933; 11.410236507447
141.5; 0.11420611; 0.030659831661831; 11.526493395547
142.51; 0.11449858; 0.030738348310075; 11.643048006079
