#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 47.277749; 48.126708744604
1.02; 48.662334; 97.662864898444
2.04; 52.649704; 151.25799161379
3.05; 58.780957; 211.09446967642
4.07; 66.412396; 278.69942305968
5.09; 74.85676; 354.90037448984
6.11; 83.51622; 439.91628298215
7.13; 91.973072; 533.54090133004
8.14; 100.02302; 635.36001680527
9.16; 107.65748; 744.9506810343
10.18; 115.0163; 862.03231039079
11.20; 122.33525; 986.56431718854
12.22; 129.90406; 1118.8010482124
13.23; 138.03692; 1259.3166734266
14.25; 147.04591; 1409.0030683996
15.27; 157.20584; 1569.0318257411
16.29; 168.70632; 1740.7675786592
17.31; 181.60077; 1925.6293265032
18.32; 195.77193; 2124.9167048769
19.34; 210.93465; 2339.6390769372
20.36; 226.68487; 2570.3944878927
21.38; 242.58428; 2817.3348220048
22.40; 258.25207; 3080.2242852978
23.41; 273.42787; 3358.5620594977
24.43; 287.9803; 3651.7135761067
25.45; 301.85873; 3958.9927360083
26.47; 315.01425; 4279.6636462356
27.48; 327.33385; 4612.8753760142
28.50; 338.63029; 4957.5863976286
29.52; 348.70627; 5312.5543315558
30.54; 357.47435; 5676.4477973636
31.56; 365.0803; 6048.0837898956
32.57; 371.96368; 6426.7267660006
33.59; 378.80623; 6812.3351614053
34.61; 386.36165; 7205.6346465102
35.63; 395.21431; 7607.9457589487
36.65; 405.55536; 8020.7836102282
37.66; 417.07253; 8445.3454494281
38.68; 429.01706; 8882.0663002916
39.70; 440.44628; 9330.421609451
40.72; 450.56901; 9789.0814187424
41.74; 459.07085; 10256.395737767
42.75; 466.29249; 10731.061369745
43.77; 473.17968; 11212.73786786
44.79; 481.00542; 11702.380628493
45.81; 490.95079; 12202.147352157
46.83; 503.68863; 12714.880647029
47.84; 519.11852; 13243.320894624
48.86; 536.35082; 13789.302883859
49.88; 553.94946; 14353.199531934
50.90; 570.35136; 14933.792608276
51.92; 584.32013; 15528.605285533
52.93; 595.28372; 16134.578421052
53.95; 603.45205; 16748.866564654
54.97; 609.69094; 17369.505635039
55.99; 615.21182; 17995.764722422
57.01; 621.19195; 18628.111326691
58.02; 628.45023; 19267.84654324
59.04; 637.26964; 19916.559533235
60.06; 647.39748; 20575.582235852
61.08; 658.19324; 21245.594547338
62.10; 668.8533; 21926.458342696
63.11; 678.63328; 22617.277737521
64.13; 687.00736; 23316.621584697
65.15; 693.73864; 24022.817583688
66.17; 698.86751; 24734.234546948
67.19; 702.64581; 25449.497658254
68.20; 705.44968; 26167.614988486
69.22; 707.69728; 26888.020280579
70.24; 709.78687; 27610.552687709
71.26; 712.06125; 28335.400312059
72.27; 714.79859; 29063.0344326
73.29; 718.22539; 29794.156890856
74.31; 722.54206; 30529.67352766
75.33; 727.94601; 31270.691151272
76.35; 734.63403; 32018.51688867
77.36; 742.7695; 32774.624183236
78.38; 752.41353; 33540.548690525
79.40; 763.43869; 34317.696337816
80.42; 775.46157; 35107.082754148
81.44; 787.83577; 35909.065569879
82.45; 799.73316; 36723.159416336
83.47; 810.31029; 37548.020320232
84.49; 818.91985; 38381.645392147
85.51; 825.30062; 39221.765805899
86.53; 829.67691; 40066.341101813
87.54; 832.72619; 40914.020433295
88.56; 835.4202; 41764.442143365
89.58; 838.79368; 42618.297916648
90.60; 843.72214; 43477.170651256
91.62; 850.78328; 44343.231314912
92.63; 860.23782; 45218.916291026
93.65; 872.11078; 46106.687427469
94.67; 886.30947; 47008.912218491
95.69; 902.7014; 47927.823286919
96.71; 921.10061; 48865.463959054
97.72; 941.16378; 49823.528075509
98.74; 962.25233; 50803.059427685
99.76; 983.34642; 51804.063649172
100.78; 1003.0849; 52825.160792707
101.80; 1019.9554; 53863.431332132
102.81; 1032.5921; 54914.565508378
103.83; 1040.0884; 55973.330569638
104.85; 1042.2169; 57034.262421247
105.87; 1039.4857; 58092.413991455
106.89; 1033.0194; 59143.983213479
107.90; 1024.3227; 60186.699484966
108.92; 1015.0129; 61219.938847322
109.94; 1006.6053; 62244.619616644
110.96; 1000.381; 63262.964257667
111.98; 997.31682; 64278.18974321
112.99; 998.01943; 65294.130456667
114.01; 1002.6151; 66314.749335071
115.03; 1010.5998; 67343.496341604
116.05; 1020.7181; 68382.543271675
117.07; 1030.9792; 69432.035617545
118.08; 1038.9079; 70489.599058318
119.10; 1042.046; 71550.356945476
120.12; 1038.6115; 72607.618655607
121.14; 1028.1188; 73654.199274068
122.15; 1011.7266; 74684.09331784
123.17; 992.1347; 75694.043627087
124.19; 972.99123; 76684.506715968
125.21; 957.94679; 77659.655211082
126.23; 949.63655; 78626.344239717
127.24; 948.92286; 79592.306761823
128.26; 954.66015; 80564.109600354
129.28; 964.07298; 81545.49429368
130.30; 973.627; 82536.604565336
131.32; 980.10168; 83534.305782234
132.33; 981.50782; 84533.43839327
133.35; 977.55695; 85528.549190008
134.37; 969.5575; 86515.516885516
135.39; 959.81821; 87492.57040087
136.41; 950.8039; 88460.447742595
137.42; 944.35278; 89421.758118304
138.44; 941.2105; 90379.869791266
139.46; 940.99394; 91337.761011639
140.48; 942.52848; 92297.214333231
141.50; 944.37539; 93258.547728758
142.51; 945.32453; 94220.847309958
143.53; 944.6799; 95182.490682366
144.55; 942.27781; 96141.688832105
145.57; 938.29725; 97096.834947601
146.59; 932.99723; 98046.585862107
147.60; 926.52068; 98989.74393271
148.62; 918.84582; 99925.089328503
149.64; 909.87728; 100851.3051336
150.66; 899.59659; 101767.05563891
151.68; 888.16656; 102671.17086954
152.69; 875.91566; 103562.81521453
153.71; 863.19757; 104441.51308961
154.73; 850.19181; 105306.97166379
155.75; 836.74905; 106158.74608492
156.77; 822.37101; 106995.88428929
157.78; 806.35703; 107816.72094751
158.80; 788.07334; 108618.94559705
159.82; 767.24324; 109399.96610769
160.84; 744.14118; 110157.46971561
161.86; 719.60925; 110890.00088279
162.87; 694.8843; 111597.3631153
163.89; 671.29728; 112280.71477839
164.91; 649.95361; 112942.33950436
165.93; 631.50464; 113585.18397875
166.94; 616.07853; 114212.32533726
167.96; 603.37294; 114826.53295568
168.98; 592.85132; 115430.03002004
170.00; 583.95298; 116024.46895445
171.02; 576.23586; 116611.05219348
172.03; 569.4121; 117190.68914118
173.05; 563.28964; 117764.09368839
174.07; 557.67424; 118331.78200118
175.09; 552.29825; 118893.99778401
176.11; 546.8222; 119450.6391878
177.12; 540.91462; 120001.26692714
178.14; 534.37357; 120545.23616154
179.16; 527.23032; 121081.93387263
180.18; 519.7801; 121611.04758525
181.20; 512.51531; 122132.76605839
182.21; 505.97773; 122647.82955172
183.23; 500.58097; 123157.39937652
184.25; 496.46743; 123662.78179901
185.27; 493.45064; 124165.09325928
186.29; 491.06101; 124664.97217817
187.30; 488.67458; 125162.42181579
188.32; 485.67613; 125656.81915391
189.34; 481.60046; 126147.06764018
190.36; 476.21027; 126631.82914289
191.38; 469.49719; 127109.75702241
192.39; 461.62295; 127579.66926186
193.41; 452.83652; 128040.63729545
194.43; 443.4057; 128492.00516812
195.45; 433.58782; 128933.37886125
196.47; 423.64248; 129364.62862057
197.48; 413.86928; 129785.92968381
198.50; 404.643; 130197.83879724
199.52; 396.4209; 130601.37816606
200.54; 389.70906; 130998.08516949
201.56; 384.99078; 131389.9891689
202.57; 382.63324; 131779.49329574
203.59; 382.79527; 132169.16235819
204.61; 385.35846; 132561.44063846
205.63; 389.89848; 132958.34046654
206.65; 395.70622; 133361.15232462
207.66; 401.86157; 133770.23006455
208.68; 407.35582; 134184.90071597
209.70; 411.25065; 134603.53613576
210.72; 412.85194; 135023.80159872
211.74; 411.86683; 135443.0642558
212.75; 408.50661; 135858.90635407
213.77; 403.50156; 136269.65353321
214.79; 398.0093; 136674.80982145
215.81; 393.42448; 137075.2989623
216.82; 391.12763; 137473.45001152
217.84; 392.23315; 137872.72643692
218.86; 397.40202; 138277.26454598
219.88; 406.76755; 138691.33635416
220.90; 419.98715; 139118.86515198
221.91; 436.39105; 139563.092408
222.93; 455.16635; 140026.43211467
223.95; 475.50647; 140510.47717844
224.97; 496.67522; 141016.07111901
225.99; 517.97709; 141543.34944642
227.00; 538.67145; 142091.69373793
228.02; 557.90002; 142659.61188355
229.04; 574.6971; 143244.62873708
230.06; 588.11841; 143843.30789516
231.08; 597.46838; 144451.50492215
232.09; 602.55086; 145064.87569604
233.11; 603.83798; 145679.55670293
234.13; 602.46467; 146292.83974396
235.15; 600.01025; 146903.62428817
236.17; 598.10666; 147512.47106113
237.18; 597.98565; 148121.19465065
238.20; 600.11382; 148732.08461863
239.22; 604.04775; 149346.97915773
240.24; 608.57302; 149966.48023477
241.26; 612.09354; 150589.56504598
242.27; 613.14685; 151213.72208015
243.29; 610.87162; 151835.56302579
244.31; 605.26511; 152451.69678659
245.33; 597.13976; 153059.55929549
246.35; 587.79363; 153657.90784466
247.36; 578.51159; 154246.80768374
248.38; 570.07561; 154827.12005585
249.40; 562.45994; 155399.68000195
250.42; 554.82225; 155964.46510591
251.44; 545.79676; 156520.06265521
252.45; 533.98898; 157063.64039664
253.47; 518.50052; 157591.45155034
254.49; 499.30187; 158099.7193065
255.51; 477.32333; 158585.6138611
256.53; 454.23047; 159048.00088217
257.54; 431.9571; 159487.71457008
258.56; 412.14936; 159907.26483656
259.58; 395.70309; 160310.07350483
260.60; 382.54474; 160699.48753811
261.61; 371.72636; 161077.88893267
262.63; 361.80353; 161446.18931098
263.65; 351.37505; 161803.87395321
264.67; 339.61263; 162149.5849601
265.69; 326.61159; 162482.06146436
266.70; 313.44912; 162801.13914537
267.72; 301.92584; 163108.4866226
268.74; 294.06258; 163407.82963981
269.76; 291.49902; 163704.56306459
270.78; 294.97134; 164004.83116323
271.79; 304.02449; 164314.31497812
272.81; 317.04713; 164637.0552764
273.83; 331.62394; 164974.63413496
274.85; 345.1083; 165325.93948886
275.87; 355.25536; 165687.57411862
276.88; 360.73977; 166054.79163918
277.90; 361.41798; 166422.6995496
278.92; 358.27137; 166787.40434227
279.94; 353.05908; 167146.80324873
280.96; 347.7913; 167500.83978126
281.97; 344.1793; 167851.1994571
282.99; 343.21625; 168200.57878572
284.01; 344.99472; 168551.76852583
285.03; 348.79077; 168906.8224769
286.05; 353.36453; 169266.53231646
287.06; 357.36943; 169630.3189793
288.08; 359.7412; 169996.51999474
289.10; 359.95757; 170362.94126649
290.12; 358.11007; 170727.48186707
291.14; 354.79053; 171088.64332062
292.15; 350.84828; 171445.79173161
293.17; 347.10332; 171799.12792976
294.19; 344.10108; 172149.40797575
295.21; 341.97024; 172497.51892682
296.23; 340.4077; 172844.03928125
297.24; 338.77747; 173188.90012269
298.26; 336.28379; 173531.22251029
299.28; 332.16781; 173869.35500508
300.30; 325.88063; 174201.08742161
301.32; 317.19973; 174523.98305557
302.33; 306.27292; 174835.7556679
303.35; 293.59057; 175134.6182014
304.37; 279.89921; 175419.54351766
305.39; 266.07716; 175690.39858046
306.41; 252.99652; 175947.93812073
307.42; 241.39536; 176193.66817945
308.44; 231.78049; 176429.6107156
309.46; 224.37491; 176658.0146877
310.48; 219.1151; 176881.06440177
311.49; 215.69409; 177100.63167576
312.51; 213.63782; 177318.10575766
313.53; 212.39746; 177534.31720748
314.55; 211.43951; 177749.55350716
315.57; 210.319; 177963.64916874
316.58; 208.72697; 178176.12421724
317.60; 206.51011; 178386.34259673
318.62; 203.66504; 178593.66482146
319.64; 200.31287; 178797.57467593
320.66; 196.65978; 178997.76584769
321.67; 192.94947; 179194.18008501
322.69; 189.41273; 179386.99407181
323.71; 186.22056; 179576.55856236
324.73; 183.44816; 179763.30087233
325.75; 181.05773; 179947.60982379
326.76; 178.90616; 180129.72857788
327.78; 176.77966; 180309.68263839
328.80; 174.45016; 180487.26537573
329.82; 171.7419; 180662.09121572
330.84; 168.59069; 180833.70925875
331.85; 165.07851; 181001.75205707
332.87; 161.43048; 181166.08132022
333.89; 157.9715; 181326.88949487
334.91; 155.0521; 181484.72584416
335.93; 152.96359; 181640.43617402
336.94; 151.86776; 181795.03099764
337.96; 151.76321; 181949.51939751
338.98; 152.4992; 182104.75700073
340.00; 153.83212; 182261.35146016
341.02; 155.50452; 182419.64835616
342.03; 157.31797; 182579.79126365
343.05; 159.17321; 182741.82272661
344.07; 161.06414; 182905.77907406
345.09; 163.0314; 183071.73800017
346.11; 165.09974; 183239.80241508
347.12; 167.23237; 183410.03775074
348.14; 169.32958; 183582.40795592
349.16; 171.28015; 183756.76376099
350.18; 173.04733; 183932.91847544
351.20; 174.74959; 184110.80601223
352.21; 176.68977; 184290.66857509
353.23; 179.30066; 184473.18890495
354.25; 183.00749; 184659.48262828
355.27; 188.04741; 184850.90677628
356.28; 194.31484; 185048.71090313
357.30; 201.3066; 185253.63233147
358.32; 208.21409; 185465.58528556
359.34; 214.15861; 185683.589508
360.36; 218.50648; 185906.01967842
361.37; 221.15746; 186131.14842664
362.39; 222.69178; 186357.83904902
363.41; 224.29673; 186586.16343922
364.43; 227.46395; 186817.7119229
365.45; 233.53142; 187055.43682776
366.46; 243.20831; 187303.01239633
367.48; 256.24188; 187563.85557123
368.50; 271.3512; 187840.07937989
369.52; 286.4724; 188131.69592567
370.54; 299.25902; 188436.32869402
371.55; 307.69467; 188749.54859024
372.57; 310.63404; 189065.76063462
373.59; 308.10672; 189379.39998456
374.61; 301.29227; 189686.10251829
375.63; 292.17775; 189983.52686443
376.64; 283.00732; 190271.61610244
377.66; 275.69315; 190552.25983399
378.68; 271.36074; 190828.49335788
379.70; 270.14967; 191103.49406307
380.72; 271.30428; 191379.67011442
381.73; 273.49744; 191658.07871004
382.75; 275.26556; 191938.28716991
383.77; 275.41326; 192218.64598838
384.79; 273.27406; 192496.82718602
385.81; 268.77433; 192770.42786073
386.82; 262.31883; 193037.45711308
387.84; 254.57006; 193296.59844511
388.86; 246.21638; 193547.23609775
389.88; 237.80935; 193789.31575206
390.90; 229.70992; 194023.15053458
391.91; 222.13433; 194249.27369275
392.93; 215.25157; 194468.39050685
393.95; 209.26997; 194681.4183097
394.97; 204.46253; 194889.55234294
395.99; 201.11295; 195094.2766446
397.00; 199.40177; 195297.25903818
398.02; 199.28056; 195500.11805394
399.04; 200.3906; 195704.10703766
400.06; 202.06849; 195909.80403716
401.07; 203.45115; 196116.90853154
402.09; 203.65711; 196324.22267689
403.11; 201.99362; 196529.84346971
404.13; 198.12937; 196731.53061423
405.15; 192.18188; 196927.16347182
406.16; 184.69565; 197115.17566936
407.18; 176.51932; 197294.86471624
408.20; 168.61953; 197466.5121179
409.22; 161.88462; 197631.30367839
410.24; 156.97012; 197791.09248841
411.25; 154.22094; 197948.08275081
412.27; 153.67958; 198104.52193031
413.29; 155.16331; 198262.47148543
414.31; 158.37527; 198423.69067199
415.33; 163.0089; 198589.62670231
416.34; 168.81355; 198761.47160912
417.36; 175.60655; 198940.23150183
418.38; 183.23907; 199126.76096819
419.40; 191.53993; 199321.74035515
420.42; 200.27038; 199525.60695968
421.43; 209.11843; 199738.48049331
422.45; 217.74687; 199960.1374158
423.47; 225.88772; 200190.08136703
424.49; 233.45487; 200427.72835187
425.51; 240.6338; 200672.68317351
426.52; 247.90617; 200925.0409584
427.54; 255.98187; 201185.61945664
428.56; 265.63698; 201456.02644308
429.58; 277.48803; 201738.49728375
430.60; 291.75975; 202035.49612108
431.61; 308.11703; 202349.14596282
432.63; 325.62427; 202680.61741342
433.65; 342.86699; 203029.64121587
434.67; 358.22677; 203394.30061397
435.69; 370.25304; 203771.2022272
436.70; 378.0392; 204156.02982093
437.72; 381.49789; 204544.37821429
438.74; 381.4477; 204932.67551221
439.76; 379.4698; 205318.95939191
440.78; 377.55504; 205703.29413294
441.79; 377.62316; 206087.69821516
442.81; 381.03689; 206475.57732268
