#Wavenumber (cm^-1);  Spectrum (K*cm*km*mol^-1); Spectrum (normalised);  Integral (K*km*mol^-1)
0; 47.277749; 0.001427584861626; 48.126708744604
1.02; 48.662334; 0.001469393378898; 97.662864898444
2.04; 52.649704; 0.001589794818689; 151.25799161379
3.05; 58.780957; 0.001774932312558; 211.09446967642
4.07; 66.412396; 0.002005368977146; 278.69942305968
5.09; 74.85676; 0.002260352483498; 354.90037448984
6.11; 83.51622; 0.002521830964757; 439.91628298215
7.13; 91.973072; 0.002777191555047; 533.54090133004
8.14; 100.02302; 0.003020265393052; 635.36001680527
9.16; 107.65748; 0.003250793278859; 744.9506810343
10.18; 115.0163; 0.003472998021125; 862.03231039079
11.2; 122.33525; 0.003693998860716; 986.56431718854
12.22; 129.90406; 0.003922544398629; 1118.8010482124
13.23; 138.03692; 0.004168121822752; 1259.3166734266
14.25; 147.04591; 0.004440154608038; 1409.0030683996
15.27; 157.20584; 0.004746940835597; 1569.0318257411
16.29; 168.70632; 0.005094205912651; 1740.7675786592
17.31; 181.60077; 0.005483562893648; 1925.6293265032
18.32; 195.77193; 0.005911471030469; 2124.9167048769
19.34; 210.93465; 0.006369320018438; 2339.6390769372
20.36; 226.68487; 0.006844908981848; 2570.3944878927
21.38; 242.58428; 0.007325002842171; 2817.3348220048
22.4; 258.25207; 0.007798102773792; 3080.2242852978
23.41; 273.42787; 0.008256346721554; 3358.5620594977
24.43; 287.9803; 0.008695767574012; 3651.7135761067
25.45; 301.85873; 0.009114836522729; 3958.9927360083
26.47; 315.01425; 0.009512076695877; 4279.6636462356
27.48; 327.33385; 0.009884075677074; 4612.8753760142
28.5; 338.63029; 0.010225179622913; 4957.5863976286
29.52; 348.70627; 0.010529430921215; 5312.5543315558
30.54; 357.47435; 0.010794189259721; 5676.4477973636
31.56; 365.0803; 0.011023856266039; 6048.0837898956
32.57; 371.96368; 0.011231704763327; 6426.7267660006
33.59; 378.80623; 0.011438320370067; 6812.3351614053
34.61; 386.36165; 0.011666461587518; 7205.6346465102
35.63; 395.21431; 0.011933773878573; 7607.9457589487
36.65; 405.55536; 0.012246029151838; 8020.7836102282
37.66; 417.07253; 0.012593798195173; 8445.3454494281
38.68; 429.01706; 0.012954471674091; 8882.0663002916
39.7; 440.44628; 0.013299585005358; 9330.421609451
40.72; 450.56901; 0.013605247952769; 9789.0814187424
41.74; 459.07085; 0.01386196698734; 10256.395737767
42.75; 466.29249; 0.014080029483084; 10731.061369745
43.77; 473.17968; 0.014287993026001; 11212.73786786
44.79; 481.00542; 0.014524296745854; 11702.380628493
45.81; 490.95079; 0.014824604183403; 12202.147352157
46.83; 503.68863; 0.015209232215373; 12714.880647029
47.84; 519.11852; 0.015675148589279; 13243.320894624
48.86; 536.35082; 0.016195490000014; 13789.302883859
49.88; 553.94946; 0.016726893304541; 14353.199531934
50.9; 570.35136; 0.017222160203604; 14933.792608276
51.92; 584.32013; 0.017643957032119; 15528.605285533
52.93; 595.28372; 0.017975010338254; 16134.578421052
53.95; 603.45205; 0.018221658803957; 16748.866564654
54.97; 609.69094; 0.018410046472697; 17369.505635039
55.99; 615.21182; 0.018576753324811; 17995.764722422
57.01; 621.19195; 0.018757327553473; 18628.111326691
