#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 33.758101; 34.36428996894
1.02; 35.68256; 70.687596529329
2.04; 41.271399; 112.70010019731
3.05; 50.010066; 163.60818953289
4.07; 61.162028; 225.86849432562
5.09; 73.920352; 301.1162227665
6.11; 87.566946; 390.25559509322
7.13; 101.60141; 493.6814422753
8.14; 115.80845; 611.56944803419
9.16; 130.24789; 744.15618112584
10.18; 145.17096; 891.93395145408
11.20; 160.88691; 1055.7098846659
12.22; 177.61895; 1236.5183069667
13.23; 195.39361; 1435.4205700724
14.25; 214.00062; 1653.2639701675
15.27; 233.04039; 1890.4890291655
16.29; 252.04912; 2147.0641596095
17.31; 270.66415; 2422.5885816142
18.32; 288.77364; 2716.5476888913
19.34; 306.59401; 3028.6471600337
20.36; 324.63677; 3359.1133817902
21.38; 343.56208; 3708.8447550296
22.40; 363.95681; 4079.3370872018
23.41; 386.10747; 4472.3778326089
24.43; 409.8488; 4889.586222372
25.45; 434.55083; 5331.9402165323
26.47; 459.26382; 5799.4509679005
27.48; 482.98523; 6291.109086301
28.50; 504.96567; 6805.1423450735
29.52; 524.94969; 7339.5184770312
30.54; 543.26293; 7892.5367017277
31.56; 560.7067; 8463.3119243299
32.57; 578.28788; 9051.9840354446
33.59; 596.87292; 9659.5749110267
34.61; 616.88545; 10287.537679973
35.63; 638.15652; 10937.153482477
36.65; 659.98491; 11608.989643769
37.66; 681.39179; 12302.617078915
38.68; 701.48418; 13016.697704402
39.70; 719.80123; 13749.424297921
40.72; 736.52052; 14499.170407748
41.74; 752.44833; 15265.130335797
42.75; 768.79066; 16047.72605325
43.77; 786.77634; 16848.63041282
44.79; 807.25361; 17670.379751714
45.81; 830.39191; 18515.682886681
46.83; 855.58766; 19386.634200073
47.84; 881.6093; 20284.074429406
48.86; 906.94322; 21207.303490992
49.88; 930.2403; 22154.247978349
50.90; 950.73265; 23122.052790284
51.92; 968.49692; 24107.940864251
52.93; 984.48432; 25110.103420905
53.95; 1000.3033; 26128.368975993
54.97; 1017.8118; 27164.457469763
55.99; 1038.633; 28221.741055367
57.01; 1063.7315; 29304.573819898
58.02; 1093.175; 30417.378831277
59.04; 1126.1534; 31563.754363461
60.06; 1161.2505; 32745.857299139
61.08; 1196.8884; 33964.238044142
62.10; 1231.8031; 35218.160437869
63.11; 1265.4019; 36506.284917032
64.13; 1297.8832; 37827.474007457
65.15; 1330.0792; 39181.437288487
66.17; 1363.0712; 40568.984968739
67.19; 1397.7063; 41991.789621749
68.20; 1434.1778; 43451.720712433
69.22; 1471.8096; 44949.959408256
70.24; 1509.1144; 46486.172753692
71.26; 1544.104; 48058.003995052
72.27; 1574.7504; 49661.031950707
73.29; 1599.4552; 51289.208304185
74.31; 1617.3989; 52935.650627006
75.33; 1628.6966; 54593.593520791
76.35; 1634.3549; 56257.296240798
77.36; 1636.0823; 57922.757467748
78.38; 1636.0258; 59588.161136451
79.40; 1636.4878; 61254.035104514
80.42; 1639.6503; 62923.128395068
81.44; 1647.3016; 64600.010359055
82.45; 1660.5649; 66290.393776653
83.47; 1679.6577; 68000.212863625
84.49; 1703.7502; 69734.557031228
85.51; 1731.0121; 71496.652658195
86.53; 1758.916; 73287.153213621
87.54; 1784.7903; 75103.992714839
88.56; 1806.5182; 76942.950303101
