#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0.4043516; 0.41161248023347
1.02; 0.43064042; 0.84998584648686
2.04; 0.50853293; 1.3676504272638
3.05; 0.63523415; 2.0142913759209
4.07; 0.80648909; 2.8352624726853
5.09; 1.0171297; 3.8706565924941
6.11; 1.2617506; 5.1550642297017
7.13; 1.535457; 6.7180932295234
8.14; 1.8346083; 8.585645292644
9.16; 2.1574283; 10.781814238808
10.18; 2.5042917; 13.331075105951
11.20; 2.8774725; 16.260217985988
12.22; 3.2802363; 19.599356999905
13.23; 3.7153728; 23.381446225698
14.25; 4.1835659; 27.640135741079
15.27; 4.6822278; 32.406441603541
16.29; 5.2054492; 37.705364272419
17.31; 5.7454221; 43.553956033306
18.32; 6.2951405; 49.962137427744
19.34; 6.8515514; 56.936721098089
20.36; 7.4179099; 64.48783330215
21.38; 8.0041347; 72.635697055363
22.40; 8.6245431; 81.415109725707
23.41; 9.2933186; 90.875307047997
24.43; 10.019064; 101.07428183251
25.45; 10.800384; 112.06860695153
26.47; 11.624325; 123.90166788025
27.48; 12.468605; 136.59417012554
28.50; 13.307242; 150.14036868979
29.52; 14.117827; 164.51170718142
30.54; 14.887988; 179.66703682413
31.56; 15.618737; 195.56623735497
32.57; 16.323439; 212.18279429082
33.59; 17.022759; 229.51122808345
34.61; 17.737404; 247.56713947131
35.63; 18.481351; 266.38035715294
36.65; 19.25806; 285.98423094384
37.66; 20.061068; 306.40553236765
38.68; 20.8787; 327.65914759822
39.70; 21.701017; 349.74984672185
40.72; 22.526222; 372.68056885271
41.74; 23.363813; 396.46392188709
42.75; 24.232933; 421.1320018645
43.77; 25.156133; 446.7398601883
44.79; 26.150596; 473.36003849756
45.81; 27.22011; 501.06893621864
46.83; 28.351226; 529.92926109386
47.84; 29.515887; 559.9751603031
48.86; 30.680721; 591.20681017559
49.88; 31.820645; 623.59885318296
50.90; 32.932345; 657.12255942124
51.92; 34.042379; 691.77623190912
52.93; 35.205557; 727.6139695924
53.95; 36.491978; 764.76122890457
54.97; 37.964849; 803.40780687031
55.99; 39.654963; 843.7748477337
57.01; 41.540045; 886.06082074102
58.02; 43.537001; 930.37960903878
59.04; 45.512153; 976.70901665884
60.06; 47.309364; 1024.8679078519
61.08; 48.790118; 1074.5341422764
62.10; 49.875002; 1125.3047425154
63.11; 50.574446; 1176.7873457128
64.13; 50.998669; 1228.7017899787
65.15; 51.342301; 1280.9660373624
66.17; 51.8462; 1333.7432320781
67.19; 52.745538; 1387.4359141731
68.20; 54.217033; 1442.6265141106
69.22; 56.338182; 1499.9763524932
70.24; 59.067766; 1560.1047894509
71.26; 62.251055; 1623.4736773004
72.27; 65.647176; 1690.2996700028
73.29; 68.971657; 1760.5098408452
74.31; 71.945228; 1833.7469779948
75.33; 74.340309; 1909.4222046196
76.35; 76.018318; 1986.8055723883
77.36; 76.952855; 2065.1402581109
78.38; 77.235429; 2143.7625918647
79.40; 77.061791; 2222.2081694035
80.42; 76.698852; 2300.2842905336
81.44; 76.4353; 2378.0921276652
82.45; 76.523263; 2455.9895074951
83.47; 77.122605; 2534.4969909296
84.49; 78.261809; 2614.1641351675
85.51; 79.827994; 2695.4255885112
86.53; 81.592611; 2778.4833452222
87.54; 83.269793; 2863.2484015336
88.56; 84.593896; 2949.3613369856
89.58; 85.395136; 3036.2899008438
90.60; 85.650788; 3123.4787069297
91.62; 85.495258; 3210.5091901599
92.63; 85.184408; 3297.2232413952
93.65; 85.023756; 3383.7737563293
94.67; 85.281894; 3470.5870442809
95.69; 86.115285; 3558.2486879455
96.71; 87.526794; 3647.3471874239
97.72; 89.369072; 3738.3210459731
98.74; 91.389306; 3831.3514161546
99.76; 93.299077; 3926.3258504435
100.78; 94.846384; 4022.8753765856
101.80; 95.868444; 4120.4653161364
102.81; 96.312336; 4218.5071178138
103.83; 96.222488; 4316.4574586801
104.85; 95.704808; 4413.8808233863
105.87; 94.883171; 4510.4677975041
106.89; 93.863676; 4606.016969597
107.90; 92.716385; 4700.3982483791
108.92; 91.476247; 4793.5171205402
109.94; 90.157813; 4885.2938833106
110.96; 88.774666; 4975.6626626992
111.98; 87.354977; 5064.5862597873
112.99; 85.948044; 5152.0776595556
114.01; 84.621198; 5238.2183877405
115.03; 83.449876; 5323.1667605462
116.05; 82.504993; 5407.1532832708
117.07; 81.841111; 5490.4640025882
118.08; 81.487283; 5573.4145403935
119.10; 81.441135; 5656.3181019039
120.12; 81.666353; 5739.450925482
121.14; 82.094168; 5823.0192464054
122.15; 82.629886; 5907.1329043123
123.17; 83.165098; 5991.7913852565
124.19; 83.594686; 6076.8871682915
125.21; 83.835464; 6162.2280534779
126.23; 83.841551; 6247.5751349139
127.24; 83.611369; 6332.6879010263
128.26; 83.183213; 6417.3648223698
129.28; 82.620065; 6501.4684829775
130.30; 81.988419; 6584.9291554216
131.32; 81.3385; 6667.7282387985
132.33; 80.693111; 6749.8703441047
133.35; 80.049193; 6831.3569680728
134.37; 79.391115; 6912.1736969935
135.39; 78.709751; 6992.2968265592
136.41; 78.018626; 7071.7164215708
137.42; 77.359195; 7150.4647440045
138.44; 76.791439; 7228.6351148033
139.46; 76.372036; 7306.378551637
140.48; 76.127867; 7383.8734354252
141.50; 76.035396; 7461.2741872152
142.51; 76.015218; 7538.6543992758
143.53; 75.94612; 7615.9642721203
144.55; 75.696013; 7693.0195467421
145.57; 75.160757; 7769.5299541219
146.59; 74.298397; 7845.162516275
147.60; 73.147157; 7919.623165903
148.62; 71.820416; 7992.733250593
149.64; 70.4792; 8064.4780349635
150.66; 69.290005; 8135.0122700532
151.68; 68.380563; 8204.6207323371
152.69; 67.806874; 8273.6452037198
153.71; 67.541285; 8342.3993176606
154.73; 67.484775; 8411.0959060754
155.75; 67.499055; 8479.8070310603
156.77; 67.448133; 8548.4663194346
157.78; 67.236322; 8616.9099933776
158.80; 66.831261; 8684.9413333659
159.82; 66.265602; 8752.3968566561
160.84; 65.617998; 8819.1931472766
161.86; 64.980628; 8885.3406220943
162.87; 64.424523; 8950.9220066019
163.89; 63.974291; 9016.0450737267
164.91; 63.600256; 9080.7873903347
165.93; 63.229985; 9145.1527866099
166.94; 62.774477; 9209.0544956578
167.96; 62.159487; 9272.3301711948
168.98; 61.35089; 9334.7827296677
170.00; 60.365426; 9396.232128557
171.02; 59.263546; 9456.5598614525
172.03; 58.127591; 9515.7312409635
173.05; 57.033815; 9573.7892032381
174.07; 56.028909; 9630.8242151953
175.09; 55.11991; 9686.9339052992
176.11; 54.28129; 9742.1899162109
177.12; 53.476521; 9796.6267071542
178.14; 52.685785; 9850.2585627645
179.16; 51.928911; 9903.1199530604
180.18; 51.274033; 9955.3147064065
181.20; 50.827396; 10007.05480228
182.21; 50.70644; 10058.671770162
183.23; 51.004395; 10110.592043241
184.25; 51.757833; 10163.279284091
185.27; 52.927915; 10217.157618035
186.29; 54.401612; 10272.536111334
187.30; 56.012661; 10329.554582876
188.32; 57.575711; 10388.16417169
189.34; 58.923207; 10448.145453702
190.36; 59.934361; 10509.156046741
191.38; 60.548892; 10570.792205628
192.39; 60.763813; 10632.6471451
193.41; 60.617227; 10694.352866403
194.43; 60.166896; 10755.600170394
195.45; 59.472031; 10816.14013199
196.47; 58.584263; 10875.776383915
197.48; 57.549278; 10934.359065645
198.50; 56.415923; 10991.788040949
199.52; 55.246511; 11048.026605639
200.54; 54.121691; 11103.12015147
201.56; 53.135614; 11157.209913841
202.57; 52.381265; 11210.531780821
203.59; 51.930016; 11263.394295793
204.61; 51.812233; 11316.13691314
205.63; 52.005924; 11369.076699713
206.65; 52.438067; 11422.45638867
207.66; 52.999177; 11476.407263447
208.68; 53.567388; 11530.936553321
209.70; 54.035307; 11585.942164033
210.72; 54.332164; 11641.249962342
211.74; 54.435499; 11696.662951725
212.75; 54.370012; 11752.009277573
213.77; 54.195125; 11807.177575997
214.79; 53.985891; 11862.132883228
215.81; 53.813177; 11916.91237503
216.82; 53.728432; 11971.605600713
217.84; 53.756199; 12026.327091824
218.86; 53.894806; 12081.18967903
219.88; 54.123392; 12136.284956762
220.90; 54.412154; 12191.674182023
221.91; 54.732706; 12247.389715246
222.93; 55.066261; 12303.444792688
223.95; 55.408488; 12359.848242864
224.97; 55.770755; 12416.62046521
225.99; 56.177848; 12473.807090284
227.00; 56.662332; 12531.486899529
228.02; 57.255814; 12589.770847394
229.04; 57.977855; 12648.789801848
230.06; 58.824268; 12708.670368219
231.08; 59.757596; 12769.50102184
232.09; 60.703208; 12831.294267666
233.11; 61.554; 12893.953583981
234.13; 62.18492; 12957.255149088
235.15; 62.475748; 13020.852764365
236.17; 62.33765; 13084.309802211
237.18; 61.736963; 13147.155366735
238.20; 60.709509; 13208.95502681
239.22; 59.360694; 13269.381652183
240.24; 57.850296; 13328.270756904
241.26; 56.364984; 13385.64787861
242.27; 55.085006; 13441.722037875
243.29; 54.1528; 13496.847250988
244.31; 53.650396; 13551.46103949
245.33; 53.589646; 13606.012986623
246.35; 53.915704; 13660.89684642
247.36; 54.521138; 13716.397012384
248.38; 55.266305; 13772.655725803
249.40; 56.001571; 13829.662908386
250.42; 56.588077; 13887.267128619
251.44; 56.915135; 13945.204280394
252.45; 56.91334; 14003.13960436
253.47; 56.56265; 14060.717941652
254.49; 55.894452; 14117.616081665
255.51; 54.986459; 14173.589924137
