#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0.020003367; 0.020362564336396
1.02; 0.02130414; 0.042049259635617
2.04; 0.025116482; 0.067616754444761
3.05; 0.031202002; 0.099379045875886
4.07; 0.039254972; 0.1393389136745
5.09; 0.048998416; 0.18921718708304
6.11; 0.060255299; 0.25055448085203
7.13; 0.072967439; 0.32483218467681
8.14; 0.087159302; 0.4135565925933
9.16; 0.10286889; 0.51827268351399
10.18; 0.12008181; 0.64051078489248
11.20; 0.13870066; 0.78170206788897
12.22; 0.15856198; 0.94311132492414
13.23; 0.17948702; 1.125821363973
14.25; 0.20133285; 1.3307695197771
15.27; 0.22400866; 1.5588006663665
16.29; 0.24743874; 1.8106826256086
17.31; 0.27148393; 2.0870415537252
18.32; 0.29586065; 2.3882149328554
19.34; 0.32010832; 2.7140713881052
20.36; 0.34364238; 3.0638845008347
21.38; 0.36589505; 3.4363498721029
22.40; 0.38650258; 3.829792816681
23.41; 0.40546629; 4.2425400026015
24.43; 0.42321123; 4.6733507761914
25.45; 0.44049663; 5.1217573324394
26.47; 0.45818772; 5.5881726622672
27.48; 0.47695781; 6.0736951267324
28.50; 0.49702662; 6.5796467745946
29.52; 0.5180395; 7.1069886331308
30.54; 0.53914662; 7.6558166318603
31.56; 0.55926891; 8.2251282506645
32.57; 0.57746466; 8.8129623591151
33.59; 0.5932675; 9.4168830689279
34.61; 0.60687152; 10.034652085753
35.63; 0.61909315; 10.664862200361
36.65; 0.63112095; 11.307316096997
37.66; 0.64414304; 11.963025920064
38.68; 0.65898564; 12.6338448628
39.70; 0.67588824; 13.321869923798
40.72; 0.69448582; 14.028826523634
41.74; 0.71398868; 14.755636192837
42.75; 0.73347928; 15.50228644839
43.77; 0.7522103; 16.268004069766
44.79; 0.76980063; 17.051627893123
45.81; 0.78627752; 17.852024474332
46.83; 0.80197841; 18.668403887568
47.84; 0.81737711; 19.500458510917
48.86; 0.83291449; 20.348329524407
49.88; 0.84889292; 21.212465883266
50.90; 0.865449; 22.093455624623
51.92; 0.88257714; 22.991881064916
52.93; 0.90015616; 23.90820119608
53.95; 0.91794379; 24.842628367586
54.97; 0.9355378; 25.794965475621
55.99; 0.95234014; 26.76440663902
57.01; 0.96757718; 27.749358454969
58.02; 0.9804142; 28.747377807843
59.04; 0.9901599; 29.755317860261
60.06; 0.99650617; 30.769718142931
61.08; 0.99971533; 31.787385205663
62.10; 1.0006698; 32.806023851395
63.11; 1.000741; 33.824735054924
64.13; 1.0015002; 34.844219010944
65.15; 1.0043525; 35.866606471421
66.17; 1.010211; 36.894957653449
67.19; 1.0193092; 37.932570464308
68.20; 1.0312014; 38.982289020311
69.22; 1.0449299; 40.045982551448
70.24; 1.0592827; 41.124286592459
71.26; 1.0730439; 42.2165989689
72.27; 1.0851602; 43.321245187244
73.29; 1.0947972; 44.435701454953
74.31; 1.1013155; 45.556793103327
75.33; 1.1042281; 46.680849669559
76.35; 1.1031988; 47.803858403503
77.36; 1.098105; 48.92168189829
78.38; 1.0891396; 50.030378986744
79.40; 1.0768872; 51.126603640526
80.42; 1.0623084; 52.207987733421
81.44; 1.0465971; 53.273378454596
82.45; 1.0309337; 54.322824465847
83.47; 1.0162123; 55.357284720438
84.49; 1.0028482; 56.378140889275
85.51; 0.99075167; 57.386683340542
86.53; 0.97949764; 58.383769668907
87.54; 0.96864059; 59.369803988362
88.56; 0.95805919; 60.345066902455
89.58; 0.94818844; 61.310281816619
90.60; 0.940027; 62.267188742912
91.62; 0.93488398; 63.218860295728
92.63; 0.9339271; 64.169557780739
93.65; 0.93767777; 65.124073288173
94.67; 0.9456351; 66.086689009137
95.69; 0.95618436; 67.060043422221
96.71; 0.96686188; 68.044267095411
97.72; 0.97493288; 69.036706692881
98.74; 0.97813006; 70.032400888361
99.76; 0.97533537; 71.02525020648
100.78; 0.9669879; 72.009602165334
101.80; 0.95507148; 72.981823713991
102.81; 0.94265429; 73.941405105441
103.83; 0.93308671; 74.891247110788
104.85; 0.92906952; 75.836999795984
105.87; 0.93185242; 76.785585345648
106.89; 0.94079428; 77.743273321236
107.90; 0.95342113; 78.713814885887
108.92; 0.96598024; 79.697141086091
109.94; 0.97435023; 80.688987575505
110.96; 0.97506677; 81.681563469053
111.98; 0.96619104; 82.665104251514
112.99; 0.94779268; 83.629916302194
114.01; 0.9219274; 84.568398608109
115.03; 0.89212956; 85.476548001792
116.05; 0.86257115; 86.354608213886
117.07; 0.83712174; 87.206762019785
118.08; 0.81855743; 88.040018162696
119.10; 0.80810848; 88.862637720762
120.12; 0.80542584; 89.682526468911
121.14; 0.80892312; 90.505975301926
122.15; 0.81634994; 91.336984315354
123.17; 0.82540592; 92.177211926053
124.19; 0.83422131; 93.026413219173
125.21; 0.84159905; 93.883124737578
126.23; 0.84700644; 94.745340746145
127.24; 0.85038734; 95.610998361356
128.26; 0.85191138; 96.478207380193
129.28; 0.85177243; 97.345274953743
130.30; 0.85010304; 98.210643169937
131.32; 0.8470074; 99.072860152813
132.33; 0.84266025; 99.930651927606
133.35; 0.83739557; 100.7830844855
134.37; 0.8317221; 101.62974168851
135.39; 0.82624514; 102.47082358692
136.41; 0.82152317; 103.30709872072
137.42; 0.81792128; 104.13970728677
138.44; 0.81552759; 104.96987917902
139.46; 0.8141718; 105.79867093876
140.48; 0.81354142; 106.62682099732
141.50; 0.81334992; 107.45477611893
142.51; 0.81349081; 108.2828746631
143.53; 0.81411942; 109.11161310679
144.55; 0.81563555; 109.94189489916
145.57; 0.81857968; 110.77517368942
146.59; 0.82348623; 111.61344713871
147.60; 0.830747; 112.45911173839
148.62; 0.84052575; 113.31473067777
149.64; 0.85273874; 114.18278191317
150.66; 0.86708992; 115.0654420329
151.68; 0.88313449; 115.9644348382
152.69; 0.9003453; 116.88094750491
153.71; 0.91816807; 117.81560298071
154.73; 0.9360646; 118.76847635217
155.75; 0.95354864; 119.73914772235
156.77; 0.97021443; 120.72678414961
157.78; 0.98574761; 121.73023268053
158.80; 0.99990163; 122.74808939547
159.82; 1.0124288; 123.77869823357
160.84; 1.0229749; 124.82004253565
161.86; 1.0309731; 125.86952865519
162.87; 1.0355928; 126.92371743478
163.89; 1.0357974; 127.97811448547
164.91; 1.0305365; 129.02715620558
165.93; 1.0190484; 130.0645035251
166.94; 1.0011937; 131.08367553296
167.96; 0.97770774; 132.0789398232
168.98; 0.95026047; 133.0462639759
170.00; 0.92126034; 133.98406724655
171.02; 0.89341575; 134.89352593198
172.03; 0.86915352; 135.77828670553
173.05; 0.85005378; 136.64360477323
174.07; 0.83647312; 137.49509831551
175.09; 0.82748179; 138.33743907059
176.11; 0.82115046; 139.17333480557
177.12; 0.81511402; 140.00308569986
178.14; 0.80725132; 140.82483270431
179.16; 0.79628072; 141.63541211782
180.18; 0.78209571; 142.43155179781
181.20; 0.7657459; 143.21104807581
182.21; 0.74907996; 143.97357915072
183.23; 0.73417119; 144.72093373978
184.25; 0.72271008; 145.45662141908
185.27; 0.71555068; 146.1850211337
186.29; 0.71253916; 146.9103552554
187.30; 0.712656; 147.63580830618
188.32; 0.71440004; 148.36303671862
189.34; 0.71627033; 149.09216900333
190.36; 0.71718135; 149.82222867286
191.38; 0.71668557; 150.55178365997
192.39; 0.71495554; 151.27957755221
193.41; 0.71256756; 152.00494057996
194.43; 0.71019572; 152.72788917736
195.45; 0.7083467; 153.4489555482
196.47; 0.70723581; 154.16889107919
197.48; 0.7068385; 154.88842216725
198.50; 0.70707572; 155.60819473882
199.52; 0.70803688; 156.32894573215
200.54; 0.71013111; 157.05182855566
201.56; 0.71408994; 157.77874130135
202.57; 0.72080833; 158.51249307298
203.59; 0.73107949; 159.25670044176
204.61; 0.74532602; 160.01541016532
205.63; 0.76343588; 160.79255494554
206.65; 0.78477605; 161.59142309533
207.66; 0.80839251; 162.41433178516
208.68; 0.83333709; 163.26263297802
209.70; 0.8590144; 164.13707256634
210.72; 0.88543258; 165.03840472287
211.74; 0.9132716; 165.96807580495
212.75; 0.94374195; 166.9287643847
213.77; 0.97827311; 167.92460419943
214.79; 1.018124; 168.96101053432
215.81; 1.0640295; 170.04414668761
216.82; 1.1159828; 171.18016899685
217.84; 1.1732098; 172.37444590846
218.86; 1.2343329; 173.63094351186
219.88; 1.2976651; 174.95191060883
220.90; 1.3615417; 176.33790132993
221.91; 1.4245904; 177.78807288007
222.93; 1.4858664; 179.3006207553
223.95; 1.5448244; 180.87318535116
224.97; 1.6011519; 182.50308884518
225.99; 1.6545307; 184.18732965774
227.00; 1.7044153; 185.92235089737
228.02; 1.7499071; 187.70368080564
229.04; 1.7897732; 189.52559267121
230.06; 1.8226142; 191.38093524194
231.08; 1.847139; 193.26124305942
232.09; 1.862476; 195.15716323951
233.11; 1.8684381; 197.05915261581
234.13; 1.8656747; 198.95832890749
235.15; 1.855667; 200.84731787526
236.17; 1.8405637; 202.72093234902
237.18; 1.8228812; 204.5765467642
238.20; 1.8051236; 206.41408464712
239.22; 1.7893895; 208.23560596178
240.24; 1.7770396; 210.04455558325
241.26; 1.7684905; 211.84480259232
242.27; 1.7631873; 213.63965119741
243.29; 1.7597748; 215.43102602587
244.31; 1.7564508; 217.21901710004
245.33; 1.7514412; 219.0019086247
246.35; 1.7435002; 220.77671655482
247.36; 1.7323174; 222.54014088593
