#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 1.8870386; 1.9209238906343
1.02; 1.9814264; 3.9379304328389
2.04; 2.2586591; 6.237147890318
3.05; 2.7022156; 8.987886748655
4.07; 3.2882872; 12.335221270195
5.09; 3.989834; 16.396700156287
6.11; 4.7799633; 21.262496494022
7.13; 5.6337341; 26.997394699493
8.14; 6.5284395; 33.643064402553
9.16; 7.4432934; 41.220015940923
10.18; 8.3597975; 49.729929090815
11.20; 9.2636691; 59.159944494811
12.22; 10.148239; 69.490413622273
13.23; 11.018128; 80.706392269424
14.25; 11.891347; 92.811270655485
15.27; 12.798104; 105.83918852447
16.29; 13.775589; 119.86214409187
17.31; 14.859491; 134.98846498987
18.32; 16.074345; 151.3514541164
19.34; 17.425492; 169.08985347043
20.36; 18.895127; 188.32427721892
21.38; 20.44367; 209.1350510728
22.40; 22.01614; 231.54653119869
23.41; 23.551719; 255.52116439608
24.43; 24.994028; 280.96400677367
25.45; 26.299771; 307.73603925764
26.47; 27.444252; 335.67310343843
27.48; 28.423369; 364.60686686689
28.50; 29.252512; 394.38466219105
29.52; 29.963097; 424.88580237722
30.54; 30.597347; 456.03258177206
31.56; 31.201623; 487.79448718317
32.57; 31.818577; 520.18442572722
33.59; 32.478873; 553.2465168785
34.61; 33.193994; 587.0365701875
35.63; 33.952452; 621.59870146057
36.65; 34.721765; 656.94395996933
37.66; 35.457583; 693.03824907926
38.68; 36.119295; 729.80613272404
39.70; 36.688845; 767.15379411031
40.72; 37.187317; 805.00887799707
41.74; 37.683109; 843.36865683933
42.75; 38.286855; 882.34302351487
43.77; 39.131583; 922.17728649468
44.79; 40.341144; 963.24283028054
45.81; 41.994255; 1005.9911694269
46.83; 44.094022; 1050.8769811405
47.84; 46.552539; 1098.265457057
48.86; 49.196786; 1148.3456618114
49.88; 51.796478; 1201.072240982
50.90; 54.108294; 1256.1521490103
51.92; 55.925985; 1313.0823887621
52.93; 57.12385; 1371.2320027335
53.95; 57.682589; 1429.9503887544
54.97; 57.691317; 1488.6776602071
55.99; 57.325956; 1547.0330096078
57.01; 56.810488; 1604.8636350689
58.02; 56.371721; 1662.247614292
59.04; 56.199059; 1719.4558315216
60.06; 56.418319; 1776.8872455812
61.08; 57.083694; 1834.9959830212
62.10; 58.18639; 1894.2272173925
63.11; 59.673905; 1954.9726773367
64.13; 61.471891; 2017.5484100597
