#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 3.8273957; 3.8961237075044
1.02; 3.9679945; 7.9353709229734
2.04; 4.372076; 12.385955586196
3.05; 4.9906906; 17.466263276389
4.07; 5.7549989; 23.324603864124
5.09; 6.5914738; 30.034439783684
6.11; 7.4367609; 37.60474149002
7.13; 8.2484795; 46.001337680009
8.14; 9.009852; 55.172978263777
9.16; 9.7281138; 65.075778339384
10.18; 10.428403; 75.691442914248
11.20; 11.145707; 87.037291363135
12.22; 11.917266; 99.168553616484
13.23; 12.776925; 112.1749115059
14.25; 13.751707; 126.17355595504
15.27; 14.860016; 141.30041096802
16.29; 16.110539; 157.70024463807
17.31; 17.501235; 175.51574693378
18.32; 19.018373; 194.87562979218
19.34; 20.636153; 215.88234272132
20.36; 22.317648; 238.60074575203
21.38; 24.017575; 263.04960032787
22.40; 25.686858; 289.19771372524
23.41; 27.278396; 316.96594334909
24.43; 28.752964; 346.23521971057
25.45; 30.084164; 376.85960053385
26.47; 31.261472; 408.68243039315
27.48; 32.290869; 441.55314192899
28.50; 33.192966; 475.34214936419
29.52; 33.998951; 509.95161435695
30.54; 34.745019; 545.32054435671
31.56; 35.466253; 581.42365965523
32.57; 36.191132; 618.26467070459
33.59; 36.937947; 655.86590687035
34.61; 37.714247; 694.25738248369
35.63; 38.519948; 733.46902715526
36.65; 39.353891; 773.52958955075
37.66; 40.222572; 814.47443238963
38.68; 41.148804; 856.36213870798
39.70; 42.177451; 899.2969641559
40.72; 43.375566; 943.45141904343
41.74; 44.825166; 989.08150414122
42.75; 46.608655; 1036.5271038529
43.77; 48.788948; 1086.1921479173
44.79; 51.388317; 1138.5032375357
45.81; 54.37118; 1193.8507523944
46.83; 57.63607; 1252.5217848583
47.84; 61.020607; 1314.6381295458
48.86; 64.320542; 1380.1136656514
49.88; 67.320481; 1448.6430101166
50.90; 69.830414; 1519.7273580981
51.92; 71.719828; 1592.735047668
52.93; 72.940745; 1666.9855784161
53.95; 73.533052; 1741.8390523099
54.97; 73.609719; 1816.7705701409
55.99; 73.325068; 1891.4123253941
57.01; 72.834524; 1965.5547276603
58.02; 72.25757; 2039.109815736
59.04; 71.655517; 2112.0520403433
60.06; 71.031765; 2184.3593122158
61.08; 70.355294; 2255.9779655337
62.10; 69.6002; 2326.8279654892
63.11; 68.787798; 2396.8509755641
64.13; 68.015614; 2466.0879357475
65.15; 67.460685; 2534.7600015354
66.17; 67.352486; 2603.3219258176
67.19; 67.921141; 2672.4627163733
68.20; 69.335835; 2743.0436039476
69.22; 71.653163; 2815.9834321082
70.24; 74.793323; 2892.1198076055
71.26; 78.553778; 2972.084163861
72.27; 82.657885; 3056.2263240043
73.29; 86.824072; 3144.6094827322
74.31; 90.833862; 3237.074434187
75.33; 94.577173; 3333.3499156287
76.35; 98.061075; 3433.1718582898
77.36; 101.38083; 3536.3731671386
78.38; 104.66511; 3642.9177330409
79.40; 108.01579; 3752.8731464034
80.42; 111.46356; 3866.3382387677
81.44; 114.95366; 3983.3561014079
82.45; 118.36394; 4103.8454880428
83.47; 121.54522; 4227.5732773003
84.49; 124.36617; 4354.1726681679
85.51; 126.74508; 4483.1936870771
86.53; 128.65785; 4614.1618243508
87.54; 130.12283; 4746.6212541177
88.56; 131.17343; 4880.1501446735
89.58; 131.83403; 5014.3514981935
90.60; 132.11234; 5148.8361545106
91.62; 132.0121; 5283.2187776832
92.63; 131.55957; 5417.1407418359
93.65; 130.82897; 5550.3189884393
94.67; 129.95166; 5682.6041714176
95.69; 129.1001; 5814.022507136
96.71; 128.44955; 5944.7786108781
97.72; 128.1314; 6075.2108517974
98.74; 128.19775; 6205.7106300479
99.76; 128.61357; 6336.6336893666
100.78; 129.282; 6468.2371888336
101.80; 130.09408; 6600.6673521791
102.81; 130.98262; 6734.0020032201
103.83; 131.95693; 6868.3284624568
104.85; 133.10181; 7003.8203587821
105.87; 134.53841; 7140.7746547387
106.89; 136.36108; 7279.584345319
107.90; 138.57491; 7420.6476234772
108.92; 141.06; 7564.240621282
109.94; 143.57844; 7710.397281721
110.96; 145.82382; 7858.8396424512
111.98; 147.49674; 8008.9849604602
112.99; 148.38036; 8160.029762643
114.01; 148.39159; 8311.0859989198
