#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0.873783; 0.88947339138585
1.02; 0.90975736; 1.8155671282459
2.04; 1.0129991; 2.8467564530984
3.05; 1.1705675; 4.0383436059898
4.07; 1.3642373; 5.4270783510752
5.09; 1.5744597; 7.0298103847243
6.11; 1.7841916; 8.8460404222991
7.13; 1.9816284; 10.863252606806
8.14; 2.1613182; 13.063381240349
9.16; 2.323689; 15.428796349044
10.18; 2.473466; 17.946677982853
11.20; 2.6176554; 20.611338187123
12.22; 2.7637045; 23.42467012552
13.23; 2.918202; 26.395273799954
14.25; 3.0861966; 29.536888778232
15.27; 3.2710147; 32.866640561652
16.29; 3.4743825; 36.403412069052
17.31; 3.6966943; 40.166487358524
18.32; 3.9373198; 44.174509035007
19.34; 4.1948743; 48.444710067903
20.36; 4.4673531; 52.992282726998
21.38; 4.7520218; 57.829635894885
22.40; 5.0450059; 62.965234155768
23.41; 5.3406662; 68.401801920869
24.43; 5.631046; 74.133963716101
25.45; 5.9058081; 80.145821491674
26.47; 6.1530578; 86.40936883415
27.48; 6.3611869; 92.884782558309
28.50; 6.521456; 99.523343342514
29.52; 6.6306053; 106.27301342544
30.54; 6.6925556; 113.08574625759
31.56; 6.7183951; 119.92478254493
32.57; 6.7243459; 126.76987650352
33.59; 6.7281233; 133.61881570319
34.61; 6.7447583; 140.48468861916
35.63; 6.7832732; 147.38976800316
36.65; 6.8454072; 154.35809715931
37.66; 6.9269218; 161.40940465973
38.68; 7.0210991; 168.55658055825
39.70; 7.12323; 175.80772126927
40.72; 7.2344787; 183.17210842814
41.74; 7.3636715; 190.668008274
42.75; 7.5262261; 198.32938170435
43.77; 7.7403754; 206.20874980032
44.79; 8.0217049; 214.37449925801
45.81; 8.3775511; 222.90248480735
46.83; 8.802846; 231.86340214187
47.84; 9.2785985; 241.30861505811
48.86; 9.7735266; 251.25764340012
49.88; 10.248608; 261.6902842992
50.90; 10.663681; 272.54545142854
51.92; 10.984774; 283.72747747139
52.93; 11.190648; 295.11907429077
53.95; 11.277068; 306.59864312378
54.97; 11.257665; 318.05845988561
55.99; 11.160861; 329.41973438341
57.01; 11.023246; 340.64092268688
58.02; 10.880762; 351.71706892174
59.04; 10.759912; 362.67019461848
60.06; 10.671508; 373.53332958521
61.08; 10.609082; 384.33291707595
62.10; 10.552814; 395.07522611274
63.11; 10.478167; 405.74154805599
64.13; 10.366683; 416.29438366526
65.15; 10.215413; 426.69323316873
66.17; 10.041614; 436.91516246387
67.19; 9.8807079; 446.97329675528
68.20; 9.7777714; 456.9266461032
69.22; 9.7750879; 466.87726378256
70.24; 9.8998268; 476.95486024331
71.26; 10.155969; 487.29319809919
72.27; 10.523179; 498.0053400338
73.29; 10.962887; 509.16508587754
74.31; 11.429304; 520.7996236696
75.33; 11.881448; 532.89442482593
76.35; 12.292114; 545.40726651196
77.36; 12.651082; 558.28552160559
78.38; 12.962196; 571.4804774409
79.40; 13.23626; 584.95441944896
80.42; 13.48307; 598.67960312379
81.44; 13.705869; 612.63158639564
82.45; 13.900176; 626.78136592406
83.47; 14.056895; 641.09067800293
84.49; 14.167827; 655.51291464829
85.51; 14.230885; 669.99934180122
86.53; 14.252665; 684.50793980893
87.54; 14.247404; 699.01118266905
88.56; 14.232955; 713.49971674524
89.58; 14.225567; 727.9807304584
90.60; 14.235538; 742.47189342402
91.62; 14.265107; 756.99315715447
92.63; 14.308853; 771.55895228576
93.65; 14.355777; 786.17251366078
94.67; 14.391885; 800.82283172515
95.69; 14.402357; 815.48380967346
96.71; 14.373154; 830.11505995982
97.72; 14.292625; 844.66433587477
98.74; 14.15383; 859.07232443526
99.76; 13.957765; 873.28072687537
100.78; 13.716744; 887.24377985699
101.80; 13.456323; 900.94173622612
102.81; 13.213995; 914.39301242699
103.83; 13.033629; 927.66068438813
104.85; 12.956211; 940.84954773089
105.87; 13.009059; 954.09220862935
106.89; 13.196834; 967.52601626853
107.90; 13.497493; 981.26588177301
108.92; 13.864999; 995.37985233634
109.94; 14.238368; 1009.8738969665
110.96; 14.554498; 1024.6897481939
111.98; 14.760948; 1039.7157560791
112.99; 14.825027; 1054.8069939242
114.01; 14.737053; 1069.8086782918
115.03; 14.507852; 1084.5770451661
116.05; 14.162568; 1098.9939286739
117.07; 13.733817; 1112.9743621211
118.08; 13.256751; 1126.469162596
119.10; 12.767134; 1139.4655536113
120.12; 12.301633; 1151.9880853596
121.14; 11.898261; 1164.100001763
122.15; 11.594774; 1175.9029810172
123.17; 11.423985; 1187.5321046639
124.19; 11.406775; 1199.1437096365
125.21; 11.545241; 1210.8962672083
126.23; 11.81908; 1222.9275809476
127.24; 12.187534; 1235.333964541
128.26; 12.597276; 1248.1574480154
129.28; 12.994276; 1261.3850603647
130.30; 13.335927; 1274.9604583806
131.32; 13.599366; 1288.8040263969
132.33; 13.783171; 1302.8346993078
133.35; 13.90201; 1316.9863456552
134.37; 13.976492; 1331.2138111116
135.39; 14.022209; 1345.4878147129
136.41; 14.042251; 1359.7822202567
137.42; 14.025999; 1374.0600822465
138.44; 13.954517; 1388.2651781339
139.46; 13.810229; 1402.3233957119
140.48; 13.586927; 1416.1543013948
141.50; 13.296022; 1429.6890776246
142.51; 12.966481; 1442.8883958439
143.53; 12.638327; 1455.7536676611
144.55; 12.352009; 1468.3274803087
145.57; 12.137476; 1480.6829074856
146.59; 12.006771; 1492.9052827138
147.60; 11.952566; 1505.0724789283
148.62; 11.952803; 1517.2399165925
149.64; 11.979452; 1529.4344823012
150.66; 12.008052; 1541.6581609215
151.68; 12.024696; 1553.8987823576
152.69; 12.028312; 1566.143085041
153.71; 12.02792; 1578.386988806
154.73; 12.036365; 1590.6394890356
155.75; 12.063112; 1602.9192167932
156.77; 12.108765; 1615.2454168761
157.78; 12.163102; 1627.6269300756
158.80; 12.207074; 1640.053204817
159.82; 12.217841; 1652.4904400641
160.84; 12.175103; 1664.884169918
161.86; 12.066791; 1677.167642334
162.87; 11.892644; 1689.2738410078
163.89; 11.664981; 1701.1482885492
164.91; 11.406737; 1712.759854467
165.93; 11.14741; 1724.1074371869
166.94; 10.917801; 1735.2212878454
167.96; 10.744442; 1746.1586662323
168.98; 10.644569; 1756.9943779502
170.00; 10.622424; 1767.8075468093
171.02; 10.667627; 1778.6667307738
172.03; 10.756216; 1789.6160947521
173.05; 10.854582; 1800.6655911872
174.07; 10.925929; 1811.7877152829
175.09; 10.938125; 1822.9222545466
176.11; 10.871188; 1833.9886544068
177.12; 10.722392; 1844.9035870249
178.14; 10.507397; 1855.5996642302
179.16; 10.256757; 1866.0406004406
180.18; 10.008547; 1876.2288696716
181.20; 9.7990918; 1886.2039223007
182.21; 9.6544736; 1896.0317598065
183.23; 9.5853378; 1905.7892200787
184.25; 9.5864473; 1915.5478097922
185.27; 9.6408542; 1925.3617833452
186.29; 9.7269879; 1935.2634373154
187.30; 9.8260093; 1945.2658908145
188.32; 9.9268159; 1955.3709609907
189.34; 10.027106; 1965.5781226392
190.36; 10.13053; 1975.8905651209
191.38; 10.241512; 1986.3159819807
192.39; 10.360239; 1996.8622584097
193.41; 10.480147; 2007.5305955351
194.43; 10.589082; 2018.3098244458
195.45; 10.673701; 2029.1751916019
196.47; 10.725143; 2040.092924647
197.48; 10.743403; 2051.0292450712
198.50; 10.738254; 2061.9603242567
199.52; 10.726028; 2072.878958141
200.54; 10.723335; 2083.7948507632
201.56; 10.74025; 2094.7279622983
202.57; 10.775905; 2105.6973690067
203.59; 10.818611; 2116.7102483672
204.61; 10.850883; 2127.7559790656
205.63; 10.857721; 2138.8086700263
206.65; 10.835043; 2149.8382758152
207.66; 10.794895; 2160.8270127035
208.68; 10.765093; 2171.7854124538
209.70; 10.782969; 2182.7620096999
210.72; 10.885081; 2193.842551959
211.74; 11.096285; 2205.1380913924
212.75; 11.421913; 2216.7651055031
213.77; 11.845709; 2228.8235262016
214.79; 12.334255; 2241.3792658218
215.81; 12.846359; 2254.4563044871
216.82; 13.344316; 2268.0402420146
217.84; 13.803457; 2282.0915658088
218.86; 14.217134; 2296.5639949142
219.88; 14.59594; 2311.422032412
220.90; 14.96186; 2326.6525607025
221.91; 15.339537; 2342.2675472467
222.93; 15.747513; 2358.2978355588
223.95; 16.192015; 2374.7806078254
224.97; 16.664817; 2391.744672146
225.99; 17.145377; 2409.1979257293
227.00; 17.606228; 2427.1203060981
228.02; 18.019841; 2445.4637267487
229.04; 18.364992; 2464.1584964335
230.06; 18.631032; 2483.1240833794
231.08; 18.819157; 2502.2811734866
232.09; 18.940644; 2521.56193172
233.11; 19.012805; 2540.9161464827
234.13; 19.053987; 2560.3122826033
235.15; 19.079143; 2579.7340268763
236.17; 19.097297; 2599.1742509859
237.18; 19.111597; 2618.6290317958
238.20; 19.121789; 2638.0941879339
239.22; 19.12803; 2657.5656969329
240.24; 19.134357; 2677.0436465058
241.26; 19.150095; 2696.537617138
242.27; 19.188095; 2716.0702702703
243.29; 19.259852; 2735.6759682826
244.31; 19.368871; 2755.3926427143
245.33; 19.504631; 2775.2475149427
246.35; 19.639695; 2795.2398771072
247.36; 19.731794; 2815.3259919505
248.38; 19.731174; 2835.4114753882
249.40; 19.591715; 2855.3549962515
250.42; 19.282878; 2874.9841339681
251.44; 18.799004; 2894.1207092713
252.45; 18.163154; 2912.6100158479
253.47; 17.424212; 2930.3471115166
254.49; 16.648042; 2947.2940995457
255.51; 15.905152; 2963.4848579885
256.53; 15.258232; 2979.0170796623
257.54; 14.752646; 2994.0346363957
