#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 6.2972653; 6.4103443648422
1.02; 6.5621879; 13.090368449558
2.04; 7.3236119; 20.545489304749
3.05; 8.4893224; 29.187253224713
4.07; 9.9292914; 39.294843437584
5.09; 11.503686; 51.005099087127
6.11; 13.089905; 64.330057375251
7.13; 14.601827; 79.194087352195
8.14; 15.997649; 95.479003845239
9.16; 17.276631; 113.0658688171
10.18; 18.468203; 131.86570267801
11.20; 19.618234; 151.83621880254
12.22; 20.776699; 172.98600154136
13.23; 21.989129; 195.36998596523
14.25; 23.2922; 219.08044077874
15.27; 24.712382; 244.23657890444
16.29; 26.266214; 270.97445124996
17.31; 27.961153; 299.43769888409
18.32; 29.796498; 329.76924857105
19.34; 31.764204; 362.1038373739
20.36; 33.849269; 396.56093235653
21.38; 36.029164; 433.23706678091
22.40; 38.271903; 472.19621294413
23.41; 40.533122; 513.45718233755
24.43; 42.753693; 556.97859668302
25.45; 44.860306; 602.64445256247
26.47; 46.771357; 650.25567599863
27.48; 48.408948; 699.53389629566
28.50; 49.715223; 750.1418482212
29.52; 50.668577; 801.72027288469
30.54; 51.293877; 853.93522597506
31.56; 51.661725; 906.52463236879
32.57; 51.875014; 959.33115763317
33.59; 52.045644; 1012.3113770414
34.61; 52.268408; 1065.5183607752
35.63; 52.600929; 1119.0638370622
36.65; 53.057077; 1173.0736520477
37.66; 53.61677; 1227.653210379
38.68; 54.249106; 1282.8764595308
39.70; 54.940579; 1338.8035985796
40.72; 55.717833; 1395.5219483462
41.74; 56.655873; 1453.1951824874
42.75; 57.867426; 1512.1017250977
43.77; 59.475406; 1572.6451220217
44.79; 61.576028; 1635.3268614191
45.81; 64.203113; 1700.6828603513
46.83; 67.303844; 1769.1952692526
47.84; 70.733027; 1841.1984389767
48.86; 74.26815; 1916.8002106817
49.88; 77.642578; 1995.8370048252
50.90; 80.590372; 2077.8745264057
