#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 1.7565939; 1.7881367982856
1.02; 1.8230117; 3.6438840746066
2.04; 2.0137711; 5.6938161770203
3.05; 2.3054343; 8.0406487752716
4.07; 2.6651352; 10.753641367313
5.09; 3.0579329; 13.866485105001
6.11; 3.453926; 17.382432701255
7.13; 3.8333071; 21.284573915625
8.14; 4.1883537; 25.548137287118
9.16; 4.5223873; 30.151732444409
10.18; 4.8466053; 35.085367451942
11.20; 5.17611; 40.354424050447
12.22; 5.5263547; 45.98001464113
13.23; 5.9107291; 51.99688179428
14.25; 6.3393905; 58.450107758334
15.27; 6.8189686; 65.391523496389
16.29; 7.3525965; 72.87614946432
17.31; 7.9398441; 80.95856813142
18.32; 8.5764205; 89.688994153949
19.34; 9.2538035; 99.108966819832
20.36; 9.9591; 109.24690091459
21.38; 10.675421; 120.11401869063
22.40; 11.382904; 131.70132369642
23.41; 12.06035; 143.97823937351
24.43; 12.687306; 156.89336942469
25.45; 13.246376; 170.37760814471
26.47; 13.725493; 184.34956783334
27.48; 14.119867; 198.72298301379
28.50; 14.433218; 213.4153759919
29.52; 14.67791; 228.35685457548
30.54; 14.873638; 243.49757605711
31.56; 15.044603; 258.81233283185
32.57; 15.215506; 274.30106127839
33.59; 15.40717; 289.98489590607
34.61; 15.632929; 305.89854335083
35.63; 15.896906; 322.080907912
36.65; 16.194928; 338.56664588214
37.66; 16.518055; 355.38131358346
38.68; 16.857854; 372.54188136287
39.70; 17.211843; 390.06279525561
40.72; 17.587325; 407.96593302969
41.74; 18.00211; 426.2913039401
42.75; 18.48152; 445.1046941025
43.77; 19.052116; 464.49892595168
44.79; 19.733624; 484.58690407717
45.81; 20.531188; 505.48676743873
46.83; 21.43009; 527.301674389
47.84; 22.3946; 550.09841064153
48.86; 23.371588; 573.88967907626
49.88; 24.298408; 598.624410005
50.90; 25.113451; 624.18881930034
51.92; 25.767081; 650.41859621182
52.93; 26.230445; 677.12005706816
53.95; 26.500045; 704.09595898853
54.97; 26.596923; 731.17047852333
55.99; 26.560568; 758.20799067454
57.01; 26.439051; 785.12180407707
58.02; 26.27795; 811.87162351416
59.04; 26.111083; 838.4515795383
60.06; 25.955667; 864.87332815892
61.08; 25.813287; 891.15013994673
62.10; 25.676318; 917.28752342443
63.11; 25.537646; 943.28374549294
64.13; 25.400355; 969.14021096161
65.15; 25.283876; 994.87810552601
66.17; 25.224145; 1020.5551971734
67.19; 25.26724; 1046.2761573108
68.20; 25.458188; 1072.1914942545
69.22; 25.8284; 1098.4836907816
70.24; 26.385764; 1125.3432599037
71.26; 27.110698; 1152.9407805712
72.27; 27.959554; 1181.4024000277
73.29; 28.874423; 1210.7953165223
74.31; 29.796386; 1241.1267516996
75.33; 30.678307; 1272.3559446095
76.35; 31.493619; 1304.4150901308
77.36; 32.239027; 1337.2330281777
78.38; 32.931021; 1370.7553860899
79.40; 33.597874; 1404.9565724695
80.42; 34.269787; 1439.841737277
81.44; 34.969884; 1475.439570009
82.45; 35.708042; 1511.7888160368
83.47; 36.478447; 1548.9223007346
84.49; 37.26078; 1586.8521665514
85.51; 38.024356; 1625.5593200539
86.53; 38.734258; 1664.9891229933
87.54; 39.358442; 1705.0543189096
88.56; 39.874688; 1745.6450308683
89.58; 40.276047; 1786.6443090794
90.60; 40.573348; 1827.9462265934
91.62; 40.793538; 1869.4722881211
92.63; 40.973482; 1911.1815251457
93.65; 41.15019; 1953.070642946
94.67; 41.349942; 1995.1630994107
95.69; 41.579778; 2037.4895193507
96.71; 41.824694; 2080.0652530265
97.72; 42.052407; 2122.8727891043
