#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 18.781264; 19.118516322792
1.02; 19.921386; 39.397627356401
2.04; 23.301837; 63.117892108549
3.05; 28.804394; 92.439521741861
4.07; 36.237412; 129.32764353818
5.09; 45.344966; 175.48686222071
6.11; 55.821117; 232.31035011098
7.13; 67.329595; 300.84897214549
8.14; 79.527898; 381.80494055143
9.16; 92.093232; 475.5518772382
10.18; 104.74641; 582.17920507559
11.20; 117.26943; 701.55442738591
12.22; 129.51341; 833.39348948901
13.23; 141.39591; 977.32842615312
14.25; 152.88978; 1132.9636278021
15.27; 164.00825; 1299.9169440429
16.29; 174.79228; 1477.847947436
17.31; 185.30528; 1666.4807262192
18.32; 195.63663; 1865.6303685301
19.34; 205.91173; 2075.239628328
20.36; 216.30176; 2295.4254857896
21.38; 227.02428; 2526.5264078419
22.40; 238.32711; 2769.1331212982
23.41; 250.45138; 3024.0818161062
24.43; 263.57642; 3292.3912412781
25.45; 277.75603; 3575.1348955087
26.47; 292.8615; 3873.2552643856
27.48; 308.5499; 4187.3457492935
28.50; 324.27434; 4517.4430306484
29.52; 339.34623; 4862.8828482404
30.54; 353.04821; 5222.2706936652
31.56; 364.78165; 5593.6026679217
32.57; 374.21868; 5974.5411405454
33.59; 381.41955; 6362.809785041
34.61; 386.8757; 6756.6325562323
35.63; 391.45179; 7155.1135869595
36.65; 396.2231; 7558.451600795
37.66; 402.23556; 7967.9100420844
38.68; 410.2439; 8385.5206302139
39.70; 420.49955; 8813.5710316889
40.72; 432.65607; 9253.99623978
41.74; 445.83317; 9707.835166166
42.75; 458.83712; 10174.911552059
43.77; 470.48693; 10653.846947993
44.79; 479.95909; 11142.424594207
45.81; 487.05126; 11638.221759786
46.83; 492.28418; 12139.34580869
47.84; 496.80595; 12645.072830291
48.86; 502.12054; 13156.209870756
49.88; 509.71369; 13675.076408579
50.90; 520.67832; 14205.104467804
51.92; 535.43826; 14750.157515681
52.93; 553.6372; 15313.73629291
53.95; 574.21028; 15898.257578347
54.97; 595.60666; 16504.559460894
55.99; 616.09672; 17131.719340627
57.01; 634.08672; 17777.19225773
58.02; 648.37489; 18437.209919232
59.04; 658.30822; 19107.339280591
60.06; 663.82745; 19783.086977798
61.08; 665.41103; 20460.446689089
62.10; 663.94241; 21136.311415732
63.11; 660.53147; 21808.703947108
64.13; 656.32295; 22476.812391056
65.15; 652.32596; 23140.852066707
66.17; 649.2965; 23801.807881173
67.19; 647.69811; 24461.136604633
68.20; 647.74896; 25120.517089594
69.22; 649.53934; 25781.720108815
70.24; 653.17729; 26446.626399728
71.26; 658.90274; 27117.360958123
72.27; 667.1133; 27796.453511958
73.29; 678.27067; 28486.903787409
74.31; 692.70179; 29192.044321886
75.33; 710.35625; 29915.156327337
76.35; 730.61268; 30658.888504809
77.36; 752.2254; 31424.62150176
78.38; 773.46359; 32211.974057764
79.40; 792.4302; 33018.633804541
80.42; 807.47906; 33840.61264795
81.44; 817.6034; 34672.89762766
82.45; 822.66728; 35510.33741742
83.47; 823.39759; 36348.520635186
84.49; 821.13289; 37184.398482552
85.51; 817.40911; 38016.485688482
86.53; 813.51927; 38844.613199437
87.54; 810.19248; 39669.354182578
88.56; 807.49443; 40491.348671069
89.58; 804.97167; 41310.775095032
90.60; 801.97669; 42127.152760964
91.62; 798.05061; 42939.533841305
92.63; 793.22609; 43747.003772171
93.65; 788.14871; 44549.305147576
94.67; 783.98329; 45347.366301824
95.69; 782.147; 46143.558199447
96.71; 783.96468; 46941.600412813
97.72; 790.35694; 47746.149672926
98.74; 801.64751; 48562.192246986
99.76; 817.52533; 49394.397759378
100.78; 837.14272; 50246.57292542
101.80; 859.29288; 51121.295994857
102.81; 882.60044; 52019.745160299
103.83; 905.67592; 52941.684169089
104.85; 927.21712; 53885.551184347
105.87; 946.07156; 54848.611206923
106.89; 961.28998; 55827.162923926
107.90; 972.19648; 56816.816987157
108.92; 978.48048; 57812.867896047
109.94; 980.28964; 58810.760452113
110.96; 978.28428; 59806.611633261
111.98; 973.61179; 60797.706420845
112.99; 967.77592; 61782.860541265
114.01; 962.40572; 62762.548035463
115.03; 958.96263; 63738.730613877
116.05; 958.44965; 64714.391001206
117.07; 961.19599; 65692.847045317
118.08; 966.77902; 66676.986369979
119.10; 974.11533; 67668.593737657
120.12; 981.71089; 68667.933057227
121.14; 988.01701; 69673.691738259
122.15; 991.8059; 70683.307345229
123.17; 992.46723; 71693.596156647
124.19; 990.14138; 72701.517358208
125.21; 985.64526; 73704.861698071
126.23; 980.20438; 74702.667462381
127.24; 975.06535; 75695.241912535
128.26; 971.10609; 76683.786011693
129.28; 968.57206; 77669.750575128
130.30; 967.03538; 78654.150859094
131.32; 965.60695; 79637.097065304
132.33; 963.3465; 80617.742232301
133.35; 959.74045; 81594.716599846
134.37; 955.08029; 82566.947119728
135.39; 950.59176; 83534.608512214
136.41; 948.23776; 84499.873633365
137.42; 950.22374; 85467.160400109
138.44; 958.33985; 86442.709011149
139.46; 973.34036; 87433.527497691
140.48; 994.56328; 88445.95000038
141.50; 1019.9259; 89484.190587771
142.51; 1046.3176; 90549.296708322
143.53; 1070.2849; 91638.800539297
144.55; 1088.8151; 92747.167282617
145.57; 1099.9929; 93866.912633687
146.59; 1103.3561; 94990.081497033
147.60; 1099.8711; 96109.702776394
148.62; 1091.5754; 97220.879470206
149.64; 1081.0243; 98321.315561136
150.66; 1070.7234; 99411.26582345
151.68; 1062.7078; 100493.05651748
152.69; 1058.3521; 101570.41329576
153.71; 1058.4092; 102647.82821379
154.73; 1063.1965; 103730.11636295
155.75; 1072.8148; 104822.19550573
156.77; 1087.2975; 105929.01745598
157.78; 1106.6353; 107055.52440745
158.80; 1130.6821; 108206.51004123
159.82; 1159.0003; 109386.32229935
160.84; 1190.7201; 110598.42394751
161.86; 1224.4849; 111844.8967674
162.87; 1258.5164; 113126.01216875
163.89; 1290.7959; 114439.98671538
164.91; 1319.3238; 115783.00138766
165.93; 1342.3967; 117149.5033487
166.94; 1358.8422; 118532.74612065
167.96; 1368.1597; 119925.47368124
168.98; 1370.5425; 121320.62684369
170.00; 1366.7823; 122711.95227312
171.02; 1358.0871; 124094.42629005
172.03; 1345.8676; 125464.46147875
173.05; 1331.5586; 126819.93064645
174.07; 1316.5282; 128160.0995367
175.09; 1302.1031; 129485.58427887
176.11; 1289.6826; 130798.42546905
177.12; 1280.8714; 132102.29730939
178.14; 1277.5302; 133402.76792087
179.16; 1281.6524; 134707.43480631
180.18; 1295.033; 136025.72248952
181.20; 1318.7762; 137368.17979407
182.21; 1352.7823; 138745.25382746
183.23; 1395.3993; 140165.71011934
184.25; 1443.4175; 141635.0468306
185.27; 1492.494; 143154.34129113
186.29; 1537.9594; 144719.91761141
187.30; 1575.8162; 146324.03046191
188.32; 1603.6468; 147956.47374031
189.34; 1621.1523; 149606.73677821
190.36; 1630.1379; 151266.14682905
191.38; 1633.9389; 152929.42617182
192.39; 1636.4545; 154595.26625771
193.41; 1641.0883; 156265.82332239
194.43; 1649.9146; 157945.36516864
195.45; 1663.3014; 159638.53418008
196.47; 1680.0561; 161348.75883856
197.48; 1697.9825; 163077.23172926
198.50; 1714.6107; 164822.63140309
199.52; 1727.8402; 166581.49816951
200.54; 1736.3057; 168348.98243961
201.56; 1739.4157; 170119.63256321
202.57; 1737.1523; 171887.97863299
203.59; 1729.8013; 173648.84175968
204.61; 1717.7788; 175397.46645919
205.63; 1701.636; 177129.65843783
206.65; 1682.2113; 178842.07693563
207.66; 1660.8037; 180532.70344783
208.68; 1639.217; 182201.35558192
209.70; 1619.5784; 183850.01647839
210.72; 1603.943; 185482.76124221
211.74; 1593.8045; 187105.18540028
212.75; 1589.6951; 188723.42639766
213.77; 1591.04; 190343.03650632
214.79; 1596.337; 191968.03872004
215.81; 1603.606; 193600.44041295
216.82; 1610.9453; 195240.31317492
217.84; 1616.9904; 196886.33962961
218.86; 1621.1161; 198536.56584656
219.88; 1623.3327; 200189.04846662
220.90; 1623.9579; 201842.16751528
221.91; 1623.2353; 203494.55102592
222.93; 1621.0872; 205144.74788614
223.95; 1617.1202; 206790.90649582
224.97; 1610.8823; 208430.715114
225.99; 1602.2488; 210061.7352699
227.00; 1591.7484; 211682.06643411
228.02; 1580.6533; 213291.10330102
229.04; 1570.7569; 214890.06599864
230.06; 1563.8895; 216482.03804472
231.08; 1561.3446; 218071.41944802
232.09; 1563.4313; 219662.92506842
233.11; 1569.3354; 221260.44078402
234.13; 1577.3518; 222866.11682564
235.15; 1585.414; 224479.99990001
236.17; 1591.7306; 226100.31300148
237.18; 1595.3005; 227724.26003232
238.20; 1596.131; 229349.05255328
239.22; 1595.1015; 230972.79706321
240.24; 1593.5499; 232594.96208903
241.26; 1592.764; 234216.32713541
242.27; 1593.5793; 235838.52214313
243.29; 1596.2262; 237463.41151612
244.31; 1600.454; 239092.6045942
245.33; 1605.8395; 240727.27993865
246.35; 1612.1133; 242368.34175866
247.36; 1619.342; 244016.76200972
248.38; 1627.8825; 245673.87615909
249.40; 1638.1406; 247341.43263037
250.42; 1650.2639; 249021.33007272
251.44; 1663.9409; 250715.15013443
252.45; 1678.4342; 252423.72371767
253.47; 1692.8676; 254146.98984804
254.49; 1706.6632; 255884.29930796
255.51; 1719.9345; 257635.11836854
256.53; 1733.6337; 259399.88261726
257.54; 1749.3327; 261180.62785753
258.56; 1768.6587; 262981.04605505
259.58; 1792.5498; 264805.78441371
260.60; 1820.5925; 266659.06897353
261.61; 1850.6931; 268542.99464832
262.63; 1879.2431; 270455.98302689
263.65; 1901.7729; 272391.90577008
264.67; 1913.9299; 274340.20379333
265.69; 1912.5127; 276287.05923172
266.70; 1896.2819; 278217.39241191
267.72; 1866.3455; 280117.2515804
268.74; 1826.0526; 281976.09435218
269.76; 1780.4626; 283788.52847934
270.78; 1735.5464; 285555.23985953
271.79; 1697.3017; 287283.01972194
272.81; 1670.9278; 288983.95208539
273.83; 1660.1479; 290673.91104046
274.85; 1666.7167; 292370.55671871
275.87; 1690.1368; 294091.04300628
276.88; 1727.624; 295849.68971694
277.90; 1774.3792; 297655.93120334
278.92; 1824.2141; 299512.90239342
