#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 2.3911045; 2.4340412262706
1.02; 2.5004609; 4.9794025561337
2.04; 2.8233342; 7.8534349518466
3.05; 3.3450496; 11.258551070522
4.07; 4.0438659; 15.375032063367
5.09; 4.8940491; 20.356962824936
6.11; 5.8686147; 26.330959363546
7.13; 6.9410152; 33.396613316701
8.14; 8.0855984; 41.627403546098
9.16; 9.2772483; 51.071242031776
10.18; 10.490957; 61.750583217849
11.20; 11.702011; 73.662725587781
12.22; 12.887065; 86.781202067485
13.23; 14.025785; 101.05884625918
14.25; 15.102361; 116.43239831985
15.27; 16.106171; 132.8277858582
16.29; 17.031323; 150.16493738195
17.31; 17.875492; 168.36141702692
18.32; 18.639079; 187.3351949061
19.34; 19.325767; 207.00799130189
20.36; 19.945025; 227.31116621604
21.38; 20.515944; 248.19551146223
22.40; 21.070568; 269.64444002202
23.41; 21.654199; 291.68748062333
24.43; 22.32044; 314.40872556264
25.45; 23.120267; 337.94416004239
26.47; 24.086799; 362.46348218286
27.48; 25.219799; 388.13614907101
28.50; 26.475419; 415.08698351729
29.52; 27.766367; 443.35194734152
30.54; 28.975306; 472.84755813135
31.56; 29.9804; 503.36631175659
32.57; 30.687592; 534.6049558137
33.59; 31.060917; 566.22362862147
34.61; 31.141324; 597.92415257133
35.63; 31.046568; 629.52821873406
36.65; 30.949584; 661.03355953516
37.66; 31.038999; 692.62992063614
38.68; 31.471207; 724.66625089718
39.70; 32.326907; 757.57364683131
40.72; 33.5848; 791.76152368132
41.74; 35.121132; 827.5133209405
42.75; 36.736861; 864.90986044758
43.77; 38.206372; 903.80229829821
44.79; 39.335216; 943.84385035845
45.81; 40.011246; 984.57357272604
46.83; 40.234903; 1025.5309677554
47.84; 40.119932; 1066.3713271498
48.86; 39.864055; 1106.9512153208
49.88; 39.697553; 1147.3616109833
50.90; 39.823948; 1187.9006715615
51.92; 40.36909; 1228.994663425
52.93; 41.352246; 1271.0894652475
