#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 33.811899; 34.419053712661
1.02; 35.093447; 70.142668561611
2.04; 38.903359; 109.74460915957
3.05; 45.134478; 155.68956030226
4.07; 53.601189; 210.25325781083
5.09; 64.037248; 275.44041251496
6.11; 76.104808; 352.9118228557
7.13; 89.418243; 443.93573578049
8.14; 103.58029; 549.37600027235
9.16; 118.22253; 669.72143706107
10.18; 133.03992; 805.15033129372
11.20; 147.81072; 955.61526343519
12.22; 162.3984; 1120.9298265109
13.23; 176.73746; 1300.8409379651
14.25; 190.80953; 1495.0768050593
15.27; 204.61718; 1703.3682640218
16.29; 218.16195; 1925.4477156249
17.31; 231.43078; 2161.0342596619
18.32; 244.39353; 2409.8163273131
19.34; 257.01333; 2671.4448056339
20.36; 269.26987; 2945.5499174437
21.38; 281.19273; 3231.7919861952
22.40; 292.89576; 3529.9472289571
23.41; 304.59737; 3840.014207464
24.43; 316.60827; 4162.3077664027
25.45; 329.27232; 4497.4927842446
26.47; 342.86007; 4846.5095421619
27.48; 357.4353; 5210.3632497873
28.50; 372.73576; 5589.7921660525
29.52; 388.12006; 5984.8816342893
30.54; 402.62496; 6394.7364732236
31.56; 415.14916; 6817.3404035082
32.57; 424.73656; 7249.7038942595
33.59; 430.88941; 7688.3307245022
34.61; 433.81523; 8129.9359071175
35.63; 434.5158; 8572.2542415956
36.65; 434.66436; 9014.7238065807
37.66; 436.2787; 9458.8366946564
38.68; 441.26421; 9908.0246163869
39.70; 450.94826; 10367.070483134
40.72; 465.73784; 10841.171509721
41.74; 485.00159; 11334.882202781
42.75; 507.21376; 11851.203919564
43.77; 530.32286; 12391.049705396
44.79; 552.24539; 12953.211681747
45.81; 571.35395; 13534.825348335
46.83; 586.83699; 14132.200078973
47.84; 598.84773; 14741.801224449
48.86; 608.41807; 15361.144561089
49.88; 617.17104; 15989.398046169
50.90; 626.90867; 16627.564018275
51.92; 639.17323; 17278.214785514
52.93; 654.87909; 17944.853438515
53.95; 674.09332; 18631.051350486
54.97; 696.01164; 19339.56116218
55.99; 719.1363; 20071.610888515
57.01; 741.61971; 20826.547753336
58.02; 761.69723; 21601.922666892
59.04; 778.10535; 22394.000339534
60.06; 790.3756; 23198.568598005
61.08; 798.91879; 24011.833456224
62.10; 804.86664; 24831.152962983
63.11; 809.70737; 25655.400126894
64.13; 814.81792; 26484.849607961
65.15; 821.03413; 27320.626925197
66.17; 828.39575; 28163.898056418
67.19; 836.15169; 29015.06439067
68.20; 843.02843; 29873.23095353
69.22; 847.67824; 30736.130820678
70.24; 849.16387; 31600.542994973
71.26; 847.3257; 32463.08399874
72.27; 842.91795; 33321.138099584
73.29; 837.47807; 34173.654634657
74.31; 832.97905; 35021.59136412
75.33; 831.37723; 35867.897508279
76.35; 834.1892; 36717.066114738
77.36; 842.20731; 37574.396810725
78.38; 855.40788; 38445.165115158
79.40; 873.04326; 39333.885476609
80.42; 893.86097; 40243.797375543
81.44; 916.37349; 41176.626047919
82.45; 939.11124; 42132.600766957
83.47; 960.81849; 43110.672531155
84.49; 980.58185; 44108.862536097
85.51; 997.90164; 45124.683339958
86.53; 1012.7224; 46155.591035244
87.54; 1025.4316; 47199.436162078
88.56; 1036.8238; 48254.878049535
89.58; 1048.0175; 49321.714638546
90.60; 1060.3121; 50401.066580561
91.62; 1074.9818; 51495.351673767
92.63; 1093.024; 52608.002936403
93.65; 1114.9022; 53742.9252783
94.67; 1140.3464; 54903.74868702
95.69; 1168.2804; 56093.007757021
96.71; 1196.9362; 57311.437149741
97.72; 1224.1748; 58557.594306622
98.74; 1247.978; 59827.982077468
99.76; 1267.0035; 61117.736967881
100.78; 1281.0489; 62421.789427274
101.80; 1291.2568; 63736.233140568
102.81; 1299.944; 65059.520008158
103.83; 1310.0389; 66393.083054679
104.85; 1324.2477; 67741.110113294
105.87; 1344.182; 69109.429410249
106.89; 1369.7315; 70503.757005222
107.90; 1398.9194; 71927.796542952
108.92; 1428.3336; 73381.778483536
109.94; 1454.0381; 74861.92650428
110.96; 1472.6895; 76361.060844464
111.98; 1482.4988; 77870.180643084
112.99; 1483.7167; 79380.540251071
114.01; 1478.4818; 80885.57091411
115.03; 1470.095; 82382.064231012
116.05; 1461.9887; 83870.30567119
117.07; 1456.7579; 85353.222389381
118.08; 1455.5855; 86834.945647891
119.10; 1458.2266; 88319.357370545
120.12; 1463.4974; 89809.134527889
121.14; 1470.0263; 91305.557822872
122.15; 1476.943; 92809.022038993
123.17; 1484.2377; 94319.912004739
124.19; 1492.6816; 95839.397419092
125.21; 1503.391; 97369.784580214
126.23; 1517.2622; 98914.292056241
127.24; 1534.5346; 100476.38208865
128.26; 1554.6659; 102058.96486072
129.28; 1576.5524; 103663.82714001
130.30; 1598.9802; 105291.52000519
131.32; 1621.1076; 106941.7375466
132.33; 1642.7885; 108614.02530641
133.35; 1664.6374; 110308.55437899
134.37; 1687.8523; 112026.71521566
135.39; 1713.905; 113771.39655301
136.41; 1744.2355; 115546.95297779
137.42; 1780.0433; 117358.96019487
138.44; 1822.191; 119213.87202309
139.46; 1871.164; 121118.63623155
140.48; 1927.005; 123080.24417257
141.50; 1989.1758; 125105.13927026
142.51; 2056.3646; 127198.42965191
143.53; 2126.3282; 129362.93998717
144.55; 2195.8878; 131598.2590335
145.57; 2261.1736; 133900.03613453
146.59; 2318.1406; 136259.80327256
147.60; 2363.2882; 138665.52867543
148.62; 2394.4323; 141102.95743534
149.64; 2411.3469; 143557.60452661
150.66; 2416.0964; 146017.08644323
151.68; 2412.9389; 148473.35414843
152.69; 2407.7622; 150924.35215777
153.71; 2407.1135; 153374.68979913
154.73; 2416.9779; 155835.06898844
155.75; 2441.5389; 158320.45023563
156.77; 2482.1952; 160847.21787397
157.78; 2537.0925; 163429.8685079
158.80; 2601.3401; 166077.92049845
159.82; 2667.9298; 168793.75786071
160.84; 2729.1765; 171571.94176256
161.86; 2778.3352; 174400.16706596
162.87; 2810.9544; 177261.59737656
163.89; 2825.5807; 180137.91659619
164.91; 2823.61; 183012.22975724
165.93; 2808.3621; 185871.02122503
166.94; 2783.72; 188704.72810034
167.96; 2752.8375; 191506.99786379
168.98; 2717.3924; 194273.18601869
170.00; 2677.6537; 196998.9219319
171.02; 2633.3057; 199679.51345417
172.03; 2584.6587; 202310.58446258
173.05; 2533.7037; 204889.78549569
174.07; 2484.5063; 207418.90569271
175.09; 2442.6862; 209905.45478917
176.11; 2414.0874; 212362.89156111
177.12; 2403.0762; 214809.1193892
178.14; 2411.0707; 217263.48534105
179.16; 2435.847; 219743.07249547
180.18; 2471.8976; 222259.35760435
181.20; 2511.7556; 224816.21638434
182.21; 2547.8708; 227409.83891068
183.23; 2574.4618; 230030.52997221
184.25; 2588.8092; 232665.82600274
185.27; 2591.6742; 235304.03852196
186.29; 2586.8231; 237937.31282935
187.30; 2579.8938; 240563.53337608
188.32; 2576.9848; 243186.79268783
189.34; 2583.3423; 245816.52369021
190.36; 2602.4113; 248465.66613042
191.38; 2635.3664; 251148.35542315
192.39; 2681.1106; 253877.61027886
193.41; 2736.658; 256663.41004367
194.43; 2797.7939; 259511.44351734
195.45; 2859.8993; 262422.69757771
196.47; 2918.8173; 265393.92760343
197.48; 2971.6106; 268418.89894949
198.50; 3017.0427; 271490.11827616
199.52; 3055.6402; 274600.62812184
200.54; 3089.2796; 277745.38145636
201.56; 3120.3831; 280921.79675176
202.57; 3150.9452; 284129.32298413
203.59; 3181.7028; 287368.15911075
204.61; 3211.7346; 290637.5663212
205.63; 3238.6472; 293934.36938747
206.65; 3259.2995; 297252.19562737
207.66; 3270.8262; 300581.75553652
208.68; 3271.6139; 303912.11726639
209.70; 3261.9103; 307232.60116301
210.72; 3243.8898; 310534.74104624
211.74; 3221.1984; 313813.78204078
212.75; 3198.1698; 317069.38094087
213.77; 3178.9818; 320305.44723337
214.79; 3166.9793; 323529.29550998
215.81; 3164.2782; 326750.3941694
216.82; 3171.6356; 329978.98232469
217.84; 3188.5058; 333224.74368142
218.86; 3213.2132; 336495.6560304
219.88; 3243.2398; 339797.13422506
220.90; 3275.6899; 343131.64514689
221.91; 3307.9773; 346499.02325891
222.93; 3338.684; 349897.65954835
223.95; 3368.373; 353326.51787634
224.97; 3400.011; 356787.58232482
225.99; 3438.6558; 360287.98549805
227.00; 3490.233; 363840.8921075
228.02; 3559.5555; 367464.36598597
229.04; 3648.0948; 371177.96908869
230.06; 3752.2585; 374997.60636612
231.08; 3862.9112; 378929.88324806
232.09; 3966.569; 382967.6793061
233.11; 4048.1647; 387088.53623407
234.13; 4094.7036; 391256.76782449
235.15; 4098.7369; 395429.10508268
236.17; 4060.5273; 399562.54666916
237.18; 3988.1379; 403622.29895807
238.20; 3895.3159; 407587.56249804
239.22; 3797.77; 411453.52847305
240.24; 3708.9724; 415229.10233314
241.26; 3636.777; 418931.18433963
242.27; 3581.8586; 422577.36185958
243.29; 3538.3654; 426179.26517105
244.31; 3496.4452; 429738.49546262
245.33; 3445.7318; 433246.10172966
246.35; 3378.6392; 436685.41060626
247.36; 3292.4754; 440037.00851426
248.38; 3189.8682; 443284.15666788
249.40; 3077.5861; 446417.00653426
250.42; 2964.3377; 449434.57440145
251.44; 2858.364; 452344.26564364
252.45; 2765.5755; 455159.50220025
253.47; 2688.6795; 457896.46188165
254.49; 2627.3518; 460570.99264363
255.51; 2579.1742; 463196.4807279
256.53; 2540.8862; 465782.99323768
257.54; 2509.5135; 468337.56966004
258.56; 2483.0806; 470865.23854616
259.58; 2460.8072; 473370.23409584
260.60; 2442.8538; 475856.95389266
261.61; 2429.7797; 478330.36474527
262.63; 2421.9074; 480795.76194226
263.65; 2418.7819; 483257.97753107
264.67; 2418.885; 485720.29805233
265.69; 2419.7287; 488183.47745014
266.70; 2418.3839; 490645.28790401
267.72; 2412.3905; 493100.99728537
268.74; 2400.8542; 495544.96326493
269.76; 2385.4029; 497973.20044192
270.78; 2370.6146; 500386.38383542
271.79; 2363.6064; 502792.43320151
272.81; 2372.6865; 505207.72562394
273.83; 2405.2886; 507656.20563285
274.85; 2465.7099; 510166.1919343
275.87; 2553.3383; 512765.38013634
276.88; 2662.001; 515475.18229561
277.90; 2780.7703; 518305.8864318
278.92; 2896.1159; 521254.00741174
279.94; 2994.8503; 524302.63582385
280.96; 3067.0328; 527424.7429135
281.97; 3107.9964; 530588.54914682
282.99; 3118.9463; 533763.50191216
284.01; 3106.0456; 536925.32228138
285.03; 3078.3846; 540058.98500875
286.05; 3045.5518; 543159.22534156
287.06; 3015.5695; 546228.94495787
288.08; 2993.737; 549276.44000506
289.10; 2982.5275; 552312.5243425
290.12; 2982.287; 555348.36380231
291.14; 2992.2281; 558394.32287996
292.15; 3011.196; 561459.59051083
293.17; 3037.8774; 564552.0186469
294.19; 3070.4414; 567677.59547373
295.21; 3105.8928; 570839.26032142
296.23; 3139.5663; 574035.20330778
297.24; 3165.1406; 577257.17989484
298.26; 3175.3421; 580489.54114845
299.28; 3163.2215; 583709.56409274
300.30; 3123.6554; 586889.31053518
301.32; 3054.6223; 589998.78426394
302.33; 2957.8638; 593009.761996
