#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 51.526036; 52.45128114529
1.02; 53.913831; 107.33323465649
2.04; 60.945816; 169.37344504286
3.05; 72.24277; 242.91346774702
4.07; 87.221728; 331.70142313811
5.09; 105.16555; 438.7554156617
6.11; 125.3097; 566.31528045547
7.13; 146.93207; 715.88579162189
8.14; 169.42774; 888.35592140915
9.16; 192.35102; 1084.1609548901
10.18; 215.41464; 1303.4437614687
11.20; 238.44791; 1546.1734493703
12.22; 261.32888; 1812.1949684136
13.23; 283.91455; 2101.2077275054
14.25; 305.99438; 2412.6967975747
15.27; 327.28412; 2745.8579110294
16.29; 347.46395; 3099.561218522
17.31; 366.24975; 3472.3876568921
18.32; 383.47618; 3862.7498597314
19.34; 399.16616; 4269.0837825764
20.36; 413.5646; 4690.0746993466
21.38; 427.12254; 5124.8670167143
22.40; 440.4282; 5573.2039195615
23.41; 454.09282; 6035.4508184983
24.43; 468.61005; 6512.4756317625
25.45; 484.2173; 7005.3879524115
26.47; 500.79431; 7515.1749477354
27.48; 517.83406; 8042.30767292
28.50; 534.511; 8586.416801906
29.52; 549.84919; 9146.139553308
30.54; 562.96261; 9719.211194613
31.56; 573.30932; 10302.815341181
32.57; 580.88392; 10894.130102688
33.59; 586.27776; 11490.935560384
34.61; 590.56898; 12092.10930002
35.63; 595.05625; 12697.850880057
36.65; 600.90502; 13309.546262533
37.66; 608.81257; 13929.291183143
38.68; 618.80018; 14559.203067441
39.70; 630.20503; 15200.724591099
40.72; 641.87873; 15854.12944492
41.74; 652.53; 16518.376824722
42.75; 661.09907; 17191.347149508
43.77; 667.04341; 17870.368560607
44.79; 670.4488; 18552.856508743
45.81; 671.9451; 19236.867622955
46.83; 672.47507; 19921.418221789
47.84; 673.01071; 20606.514080852
48.86; 674.31858; 21292.941292123
49.88; 676.84317; 21981.938432137
50.90; 680.72265; 22674.884711813
51.92; 685.89807; 23373.099347581
52.93; 692.24828; 24077.778229369
53.95; 699.68643; 24790.028817671
54.97; 708.18497; 25510.930552969
55.99; 717.73653; 26241.555366504
57.01; 728.2871; 26982.92020605
58.02; 739.68441; 27735.887014633
59.04; 751.6672; 28501.051787749
60.06; 763.89304; 29278.661936148
61.08; 775.98002; 30068.576111126
62.10; 787.53381; 30870.251547921
63.11; 798.14732; 31682.731074614
64.13; 807.386; 32504.615183033
65.15; 814.79118; 33334.037445622
66.17; 819.93304; 34168.6938987
67.19; 822.52174; 35005.985538221
68.20; 822.54861; 35843.304523674
69.22; 820.39827; 36678.434555895
70.24; 816.86522; 37509.968102806
71.26; 813.03257; 38337.600174185
72.27; 810.02059; 39162.166179706
73.29; 808.66899; 39985.356320056
74.31; 809.25459; 40809.142568675
75.33; 811.34775; 41635.059567732
76.35; 813.87254; 42463.546689694
77.36; 815.369; 43293.557151392
78.38; 814.38741; 44122.568392107
79.40; 809.89787; 44947.009471512
80.42; 801.59326; 45762.996824338
81.44; 789.9987; 46567.181413655
82.45; 776.36317; 47357.485616188
83.47; 762.37515; 48133.550616364
84.49; 749.79053; 48896.805020127
85.51; 740.07503; 49650.16946678
86.53; 734.14447; 50397.496856402
87.54; 732.24626; 51142.891953979
88.56; 733.98161; 51890.053565307
89.58; 738.43503; 52641.748556529
90.60; 744.36381; 53399.478798041
91.62; 750.40376; 54163.357448184
92.63; 755.26044; 54932.179986108
93.65; 757.87006; 55703.659004914
94.67; 757.52293; 56474.784659556
95.69; 753.94507; 57242.268201924
96.71; 747.33253; 58003.020465568
97.72; 738.33247; 58754.611056754
98.74; 727.96785; 59495.650919616
99.76; 717.50948; 60226.044606871
100.78; 708.30701; 60947.070580491
101.80; 701.59792; 61661.266988068
102.81; 698.31718; 62372.123746298
103.83; 698.93226; 63083.606630848
104.85; 703.32752; 63799.563700917
105.87; 710.76085; 64523.087573423
