#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0.42507463; 0.43270763469786
1.02; 0.43977683; 0.88038147454058
2.04; 0.48383017; 1.3728997110437
3.05; 0.55674686; 1.9396439914157
4.07; 0.65680924; 2.6082474596243
5.09; 0.78028084; 3.4025396839397
6.11; 0.92114953; 4.340230151744
7.13; 1.0717163; 5.4311911126989
8.14; 1.223961; 6.6771305938537
9.16; 1.3712403; 8.072994098161
10.18; 1.5096826; 9.6097857963355
11.20; 1.6387285; 11.277940702298
12.22; 1.7606041; 13.070159690459
13.23; 1.8789431; 14.982842662987
14.25; 1.9971243; 17.015828992768
15.27; 2.1169877; 19.170831129016
16.29; 2.2384107; 21.449436618281
17.31; 2.359841; 23.851652901068
18.32; 2.4794751; 26.37565152822
19.34; 2.5965138; 29.018790549053
20.36; 2.7119307; 31.779418946743
21.38; 2.8284334; 34.658642084334
22.40; 2.9496637; 37.661272442734
23.41; 3.0789909; 40.795552332872
24.43; 3.2183806; 44.071724908095
25.45; 3.3677209; 47.499919411433
26.47; 3.5247399; 51.087952531364
27.48; 3.6853874; 54.839517862839
28.50; 3.8444104; 58.752961708153
29.52; 3.9958906; 62.82060588533
30.54; 4.1336785; 67.028512238091
31.56; 4.2518431; 71.356705002517
32.57; 4.3453317; 75.780065168456
33.59; 4.4109404; 80.270212168965
34.61; 4.448466; 84.798558644934
35.63; 4.4616771; 89.340353388421
36.65; 4.4586334; 93.879049817565
37.66; 4.4509979; 98.409973560938
38.68; 4.4522909; 102.94221353334
39.70; 4.4754247; 107.49800277194
40.72; 4.530145; 112.10949487257
41.74; 4.6210779; 116.81355271834
42.75; 4.7468989; 121.64569093957
43.77; 4.900786; 126.63447959862
44.79; 5.0719515; 131.79750731177
45.81; 5.2478072; 137.13954853957
46.83; 5.4162734; 142.65308109495
47.84; 5.5678547; 148.32091690653
48.86; 5.6972694; 154.12049129563
49.88; 5.8045187; 160.02924090187
50.90; 5.8952808; 166.03038237252
51.92; 5.9804574; 172.11822996461
52.93; 6.0747079; 178.30202047724
53.95; 6.1939603; 184.6072047348
54.97; 6.352205; 191.07347536086
55.99; 6.5582324; 197.74947297038
57.01; 6.8131819; 204.68499814901
58.02; 7.1096757; 211.92234121837
59.04; 7.4328667; 219.48867874673
60.06; 7.7630928; 227.39117226476
61.08; 8.0792639; 235.61551431089
62.10; 8.3618879; 244.12755538746
63.11; 8.594914; 252.87680693045
64.13; 8.7662256; 261.80044629604
65.15; 8.8673559; 270.82703195723
66.17; 8.8934291; 279.88015905588
67.19; 8.8441871; 288.88315985633
68.20; 8.7262396; 297.76609520108
69.22; 8.5556938; 306.47542226192
70.24; 8.3595657; 314.98509945249
71.26; 8.1743216; 323.30620605678
72.27; 8.0407063; 331.49129812485
73.29; 7.9954754; 339.63034701853
74.31; 8.0621603; 347.83727831862
75.33; 8.243894; 356.22920671798
76.35; 8.5210836; 364.90330217248
77.36; 8.8553138; 373.9176295077
78.38; 9.1987452; 383.28155521654
79.40; 9.5062571; 392.95851476757
80.42; 9.7464957; 402.88002679094
81.44; 9.9083161; 412.96626497281
82.45; 10.00076; 423.1466069688
83.47; 10.047057; 433.37407770385
84.49; 10.075253; 443.63025035247
85.51; 10.109092; 453.92086969327
86.53; 10.162379; 464.26573253385
87.54; 10.238357; 474.68793776753
88.56; 10.333493; 485.20698728526
89.58; 10.443282; 495.8377982053
90.60; 10.567075; 506.59462433715
91.62; 10.709608; 517.49654303523
92.63; 10.878642; 528.57053135889
93.65; 11.079946; 539.84943828662
94.67; 11.312151; 551.36472023539
95.69; 11.564094; 563.13646846824
96.71; 11.816177; 575.1648263687
97.72; 12.045548; 587.42667489002
98.74; 12.233192; 599.87953696376
99.76; 12.370154; 612.47182012531
100.78; 12.460383; 625.1559522349
101.80; 12.51896; 637.89971368567
102.81; 12.566267; 650.69163098309
103.83; 12.620195; 663.53844450307
104.85; 12.689257; 676.45556088357
105.87; 12.769096; 689.45394940879
106.89; 12.843629; 702.52820993314
107.90; 12.890419; 715.65009993052
108.92; 12.888332; 728.76986544077
109.94; 12.824843; 741.82500256454
110.96; 12.700482; 754.75354540161
111.98; 12.528959; 767.50748529554
112.99; 12.332991; 780.06193757052
114.01; 12.137247; 792.41713131403
115.03; 11.960775; 804.59268387057
116.05; 11.811361; 816.61613918036
117.07; 11.683651; 828.5095913029
118.08; 11.561611; 840.27881228042
119.10; 11.424529; 851.9084893669
120.12; 11.254636; 863.36522305402
121.14; 11.043928; 874.60746469063
122.15; 10.797993; 885.59935611093
123.17; 10.535623; 896.32416587542
124.19; 10.284255; 906.79309354225
125.21; 10.072644; 917.04661053854
126.23; 9.9229887; 927.14778486004
127.24; 9.8449127; 937.16948117188
128.26; 9.8331203; 947.17917332314
129.28; 9.8693885; 957.22578491022
130.30; 9.9282301; 967.33229474477
131.32; 9.9844648; 977.49604909716
