#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 8.9924354; 9.153911231436
1.02; 9.3204786; 18.641756279318
2.04; 10.295674; 29.122308421418
3.05; 11.89019; 41.226008570551
4.07; 14.055106; 55.533500002277
5.09; 16.719305; 72.553031471524
6.11; 19.79179; 92.700219418604
7.13; 23.168541; 116.28479482961
8.14; 26.74297; 143.50798386556
9.16; 30.417038; 174.471215548
10.18; 34.109327; 209.19303822016
11.20; 37.757084; 247.62812086022
12.22; 41.311543; 289.68148908246
13.23; 44.728627; 335.21330100735
14.25; 47.959399; 384.03389977191
15.27; 50.945228; 435.89394388394
16.29; 53.621239; 490.47805181718
17.31; 55.928591; 547.41094440261
18.32; 57.832528; 606.28196253416
19.34; 59.340356; 666.68788455016
20.36; 60.512596; 728.28709628661
21.38; 61.461992; 790.85275152272
22.40; 62.338423; 854.31057645939
23.41; 63.302019; 918.74930034671
24.43; 64.490479; 984.39782518433
25.45; 65.98869; 1051.5714644971
26.47; 67.808448; 1120.5975389408
27.48; 69.883656; 1191.7360846597
28.50; 72.082491; 1265.1129503848
29.52; 74.233859; 1340.6798150549
30.54; 76.162036; 1418.2094812555
31.56; 77.721739; 1497.3268576443
32.57; 78.826011; 1577.5683355682
33.59; 79.461382; 1658.4565938801
34.61; 79.687876; 1739.5754129862
35.63; 79.624946; 1820.6301716247
36.65; 79.427361; 1901.4837980619
37.66; 79.256835; 1982.1638364981
38.68; 79.255411; 2062.8424252769
39.70; 79.525458; 2143.7959102487
40.72; 80.118959; 2225.3535529489
41.74; 81.036364; 2307.8450742363
42.75; 82.233339; 2391.555065237
43.77; 83.632716; 2476.6895608424
44.79; 85.138968; 2563.3573561231
45.81; 86.653285; 2651.5666610823
46.83; 88.088092; 2741.2365377764
47.84; 89.380254; 2832.2217795174
48.86; 90.501869; 2924.3487766273
49.88; 91.466801; 3017.4580331234
50.90; 92.330588; 3111.4465871155
51.92; 93.181777; 3206.3016151214
52.93; 94.124514; 3302.116309161
53.95; 95.254945; 3399.0817331129
54.97; 96.636783; 3497.453808502
55.99; 98.282867; 3597.5015262789
57.01; 100.14868; 3699.448558508
58.02; 102.14045; 3803.4231244365
59.04; 104.13565; 3909.4287217729
60.06; 106.00921; 4017.3415281383
61.08; 107.65659; 4126.931295248
62.10; 109.00629; 4237.8949991118
63.11; 110.01909; 4349.8896828352
64.13; 110.67719; 4462.5542828196
65.15; 110.97148; 4575.5184623619
66.17; 110.89604; 4688.4058450546
67.19; 110.45559; 4800.8448659322
68.20; 109.6848; 4912.4992588383
69.22; 108.67085; 5023.1214978997
70.24; 107.56638; 5132.6194343047
71.26; 106.58131; 5241.1146093876
72.27; 105.94907; 5348.9661929398
73.29; 105.87328; 5456.7406199209
74.31; 106.47039; 5565.122881653
75.33; 107.72844; 5674.785782322
76.35; 109.49848; 5786.2505126774
77.36; 111.52532; 5899.7784766812
78.38; 113.51025; 6015.3270084287
79.40; 115.18698; 6132.582382477
80.42; 116.38679; 6251.0591092125
81.44; 117.07251; 6370.2338766909
82.45; 117.33242; 6489.6732166617
83.47; 117.3389; 6609.1191555676
84.49; 117.28894; 6728.5142336143
85.51; 117.34788; 6847.969311672
86.53; 117.6147; 6967.6959980317
87.54; 118.11677; 7087.9337686808
88.56; 118.83031; 7208.8978940665
89.58; 119.71354; 7330.7611090672
90.60; 120.73679; 7453.6659471544
91.62; 121.89778; 7577.7526288042
92.63; 123.21848; 7703.1837204345
93.65; 124.72833; 7830.15177988
94.67; 126.44411; 7958.8664320023
95.69; 128.35617; 8089.5274756184
96.71; 130.42658; 8222.2961049088
97.72; 132.59806; 8357.2752122022
98.74; 134.80745; 8494.5033799904
99.76; 136.99587; 8633.9592599098
100.78; 139.11044; 8775.5676890426
101.80; 141.09736; 8919.1987097627
102.81; 142.89106; 9064.6556386668
103.83; 144.4073; 9211.6560366964
104.85; 145.54662; 9359.8162134841
105.87; 146.21083; 9508.6525243585
106.89; 146.32956; 9657.6097029949
107.90; 145.88916; 9806.11857732
108.92; 144.95385; 9953.6753432342
109.94; 143.67033; 10099.925542464
110.96; 142.25115; 10244.731079291
111.98; 140.93795; 10388.199826633
112.99; 139.9518; 10530.664720926
114.01; 139.44248; 10672.611152814
115.03; 139.44982; 10814.565051556
116.05; 139.88877; 10956.965784675
117.07; 140.56454; 11100.054422404
118.08; 141.21642; 11243.806639176
119.10; 141.581; 11387.929986343
120.12; 141.45913; 11531.929277135
121.14; 140.76838; 11675.225417459
122.15; 139.56596; 11817.297542019
123.17; 138.03462; 11957.810824596
124.19; 136.43501; 12096.695773968
125.21; 135.03811; 12234.158742286
126.23; 134.0577; 12370.62369937
127.24; 133.60279; 12506.625573925
128.26; 133.66319; 12642.688931785
129.28; 134.13051; 12779.228002166
130.30; 134.84519; 12916.494585862
131.32; 135.6524; 13054.58287564
132.33; 136.4481; 13193.481152328
133.35; 137.20157; 13333.146429467
134.37; 137.95027; 13473.573854548
135.39; 138.77283; 13614.838610169
136.41; 139.75278; 13757.100911835
137.42; 140.94701; 13900.578889881
138.44; 142.36879; 14045.504173888
139.46; 143.98789; 14192.077633098
140.48; 145.74335; 14340.438078027
141.50; 147.56009; 14490.647881072
142.51; 149.36098; 14642.690915526
143.53; 151.07016; 14796.473820953
144.55; 152.60886; 14951.823057813
145.57; 153.89001; 15108.47644771
146.59; 154.8192; 15266.075715501
147.60; 155.30753; 15424.172080284
148.62; 155.29653; 15582.257245999
149.64; 154.7896; 15739.826382644
150.66; 153.87986; 15896.469444068
151.68; 152.76326; 16051.975849214
152.69; 151.72878; 16206.429196017
153.71; 151.12365; 16360.266546759
154.73; 151.29889; 16514.282291235
155.75; 152.54706; 16669.56861825
156.77; 155.04722; 16827.39999522
157.78; 158.83122; 16989.083325928
158.80; 163.78002; 17155.804321952
159.82; 169.6506; 17328.501310455
160.84; 176.12595; 17507.789929634
161.86; 182.87453; 17693.948313553
162.87; 189.60374; 17886.956735791
163.89; 196.09505; 18086.573033109
164.91; 202.21489; 18292.419068234
165.93; 207.9029; 18504.055252966
166.94; 213.14565; 18721.028331287
167.96; 217.94693; 18942.888904726
168.98; 222.30497; 19169.185766441
170.00; 226.20347; 19399.451134895
171.02; 229.61885; 19633.193217003
172.03; 232.54172; 19869.910651668
173.05; 235.00783; 20109.138479245
174.07; 237.13168; 20350.528301514
175.09; 239.13417; 20593.956571853
176.11; 241.35419; 20839.64471925
177.12; 244.23391; 21088.264303407
178.14; 248.27027; 21340.992729128
179.16; 253.93234; 21599.484896969
180.18; 261.55633; 21865.73795672
181.20; 271.24277; 22141.851393894
182.21; 282.78941; 22429.718807848
183.23; 295.69223; 22730.720742039
184.25; 309.23261; 23045.506197141
185.27; 322.64235; 23373.942182162
186.29; 335.3085; 23715.271768484
187.30; 346.9572; 24068.459225806
188.32; 357.75146; 24432.634775102
189.34; 368.25817; 24807.505705561
190.36; 379.27945; 25193.595816687
191.38; 391.59158; 25592.219148145
192.39; 405.67263; 26005.176381791
193.41; 421.51105; 26434.256438476
194.43; 438.56585; 26880.697549832
195.45; 455.89895; 27344.783005214
196.47; 472.43945; 27825.705975306
197.48; 487.29144; 28321.747630751
198.50; 499.97952; 28830.705203622
199.52; 510.54844; 29350.421483594
200.54; 519.48665; 29879.236479107
201.56; 527.50793; 30416.216784201
202.57; 535.27554; 30961.104185027
203.59; 543.17015; 31514.027958974
204.61; 551.1796; 32075.10500673
205.63; 558.93704; 32644.07879108
206.65; 565.87476; 33220.114881223
207.66; 571.41959; 33801.795367706
208.68; 575.14755; 34387.270758324
209.70; 576.84285; 34974.471884105
210.72; 576.45442; 35561.277603499
211.74; 573.99095; 36145.575621924
212.75; 569.4204; 36725.22101824
213.77; 562.63285; 37297.956984189
214.79; 553.49056; 37861.386485826
215.81; 541.94319; 38413.061266317
216.82; 528.15195; 38950.69715649
217.84; 512.55871; 39472.459804811
218.86; 495.85983; 39977.223717134
219.88; 478.8867; 40464.709708464
220.90; 462.4373; 40935.450922646
221.91; 447.125; 41390.604877852
222.93; 433.30203; 41831.687647941
223.95; 421.08063; 42260.329558087
224.97; 410.43; 42678.129584222
225.99; 401.29374; 43086.629295557
227.00; 393.66575; 43487.364041439
228.02; 387.5859; 43881.909757812
229.04; 383.05933; 44271.847624672
230.06; 379.94444; 44658.61466848
231.08; 377.87466; 45043.274770319
232.09; 376.26799; 45426.299347851
233.11; 374.43939; 45807.462490415
234.13; 371.78277; 46185.921306053
235.15; 367.9527; 46560.481280258
236.17; 362.96979; 46929.968865769
237.18; 357.20092; 47293.583991258
238.20; 351.21633; 47651.107063871
239.22; 345.57703; 48002.889565335
