#Wavenumber (cm^-1);  Spectrum at 400.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
0.00; 0.0023124148; 0.002353938431115
1.02; 0.0024057009; 0.0048028381665743
2.04; 0.0026804319; 0.0075314021892439
3.05; 0.0031219717; 0.010709434684351
4.07; 0.0037082464; 0.014484269512177
5.09; 0.0044126746; 0.018976181804684
6.11; 0.005207322; 0.02427701091199
7.13; 0.0060656379; 0.030451568521626
8.14; 0.0069642834; 0.037540908478749
9.16; 0.0078838317; 0.04556630897756
10.18; 0.0088084169; 0.054532897267529
11.20; 0.009724659; 0.064432180533248
12.22; 0.010620332; 0.075243220144397
13.23; 0.011483241; 0.086932664134239
14.25; 0.012300674; 0.099454219779889
15.27; 0.01305961; 0.11274833917538
16.29; 0.01374769; 0.12674289386096
17.31; 0.014354794; 0.14135545423241
18.32; 0.01487494; 0.15649750122046
19.34; 0.015308126; 0.17208051321759
20.36; 0.015661675; 0.18802342255756
21.38; 0.01595063; 0.20426047600811
22.40; 0.016196835; 0.22074815547272
23.41; 0.016426523; 0.23746964730874
24.43; 0.016666592; 0.25443551901484
25.45; 0.016940124; 0.2716798346152
26.47; 0.01726205; 0.2892518565285
27.48; 0.017635998; 0.30720454136619
28.50; 0.018053219; 0.32558193913668
29.52; 0.018494015; 0.34440804794403
30.54; 0.018931479; 0.36367947624594
31.56; 0.019336741; 0.38336344367962
32.57; 0.019684528; 0.40340144350916
33.59; 0.019957836; 0.4237176588591
34.61; 0.020150819; 0.44423032342968
35.63; 0.020269549; 0.46486384923294
36.65; 0.020330772; 0.48555969742108
37.66; 0.020359168; 0.50628445232958
38.68; 0.020383645; 0.5270341231902
39.70; 0.020433136; 0.54783417421667
40.72; 0.020532299; 0.56873516864131
41.74; 0.020697512; 0.58980434261865
42.75; 0.020933805; 0.61111405255202
43.77; 0.021233534; 0.63272887373136
44.79; 0.021577603; 0.65469394249062
45.81; 0.021939601; 0.67702750918879
46.83; 0.02229237; 0.69972018008147
47.84; 0.022615512; 0.722741795626
48.86; 0.02290155; 0.74605458508098
49.88; 0.023158431; 0.76962886881004
50.90; 0.023406918; 0.79345610100645
51.92; 0.023673061; 0.81755425573093
52.93; 0.023977887; 0.84196270966206
53.95; 0.02432779; 0.8667273502821
54.97; 0.024709392; 0.89188044483756
55.99; 0.025091368; 0.91742237426473
57.01; 0.025433422; 0.94331250051429
58.02; 0.025699861; 0.96947385042879
59.04; 0.02587322; 0.99581167172646
60.06; 0.025962937; 1.0222408210528
61.08; 0.026005468; 1.0487132657632
62.10; 0.026055062; 1.0752361947802
63.11; 0.02616772; 1.1018738044634
64.13; 0.026383414; 1.1287309816746
65.15; 0.026712439; 1.1559230920477
66.17; 0.027130526; 1.1835407968277
67.19; 0.027584477; 1.2116206040429
68.20; 0.028006585; 1.2401300993511
69.22; 0.028333275; 1.2689721507267
70.24; 0.028522164; 1.2980064830852
71.26; 0.028562503; 1.3270818786111
72.27; 0.028476284; 1.3560695068264
73.29; 0.028310359; 1.3848882306456
74.31; 0.028122557; 1.4135157800516
75.33; 0.027966227; 1.4419841922094
76.35; 0.027877539; 1.47036232404
77.36; 0.027868497; 1.4987312510243
78.38; 0.027926618; 1.5271593430366
79.40; 0.028020386; 1.5556828869722
80.42; 0.028108373; 1.5842959976726
81.44; 0.028149619; 1.612951095577
82.45; 0.028113202; 1.6415691221398
83.47; 0.027985567; 1.6700572214516
84.49; 0.027774817; 1.6983307866689
85.51; 0.027511521; 1.726336327367
86.53; 0.027245814; 1.7540713905199
87.54; 0.027040838; 1.7815977966235
88.56; 0.026962987; 1.8090449534561
89.58; 0.027070183; 1.836601231888
90.60; 0.027400145; 1.8644933972199
91.62; 0.02796113; 1.8929566213209
92.63; 0.028727584; 1.9222000620432
93.65; 0.029642288; 1.9523746318772
94.67; 0.030625178; 1.9835497417523
95.69; 0.031587278; 2.015704227244
96.71; 0.032446729; 2.0487335967839
97.72; 0.033143188; 2.0824719324148
98.74; 0.033647129; 2.1167232580966
99.76; 0.03396187; 2.1512949767306
100.78; 0.034118099; 2.1860257296243
101.80; 0.034162672; 2.220801855652
102.81; 0.034145025; 2.2555600174373
103.83; 0.034105102; 2.2902775392876
104.85; 0.034066132; 2.3249553917706
105.87; 0.034034002; 2.359600537439
106.89; 0.034002844; 2.3942139655005
107.90; 0.033964434; 2.4287882938872
108.92; 0.033917721; 2.4633150700608
109.94; 0.033874724; 2.4977980768487
110.96; 0.033860251; 2.5322663514616
111.98; 0.033905035; 2.5667802136489
112.99; 0.034034272; 2.6014256339454
114.01; 0.034255424; 2.6362961777462
115.03; 0.034549684; 2.6714662648123
116.05; 0.034870601; 2.706963031721
117.07; 0.035151147; 2.7427453825747
118.08; 0.035317735; 2.7786973129101
119.10; 0.035307401; 2.8146387230457
120.12; 0.035083269; 2.8503519773231
121.14; 0.034644003; 2.8856180778594
122.15; 0.034024875; 2.9202539327803
123.17; 0.033290738; 2.9541424679386
124.19; 0.032523439; 2.9872499255773
125.21; 0.031807389; 3.0196284750872
126.23; 0.031216768; 3.0514057976624
127.24; 0.030806498; 3.0827654834203
128.26; 0.030607439; 3.1139225353221
129.28; 0.030625002; 3.1450974663261
130.30; 0.030840094; 3.1764913515766
131.32; 0.03121182; 3.20826363778
132.33; 0.031682282; 3.2405148341728
133.35; 0.032184219; 3.2732769806278
134.37; 0.032651759; 3.3065150618815
135.39; 0.03303317; 3.3401414038374
136.41; 0.03330285; 3.3740422678884
137.42; 0.033468753; 3.4081120144229
138.44; 0.033571925; 3.4422867851679
139.46; 0.033676778; 3.4765682924125
140.48; 0.033853846; 3.5110300466138
141.50; 0.034159618; 3.5458030638497
142.51; 0.034619628; 3.5810443515273
143.53; 0.035220265; 3.6168970617014
144.55; 0.035912078; 3.65345400704
145.57; 0.036623482; 3.6907351318187
146.59; 0.037280331; 3.7286849000713
147.60; 0.037825041; 3.7671891596353
148.62; 0.038229625; 3.8061052684434
149.64; 0.03849958; 3.845296179507
150.66; 0.038669083; 3.8846596371551
151.68; 0.038790817; 3.9241470153329
152.69; 0.038924892; 3.9637708761006
153.71; 0.039130462; 4.0036039974345
154.73; 0.039461398; 4.0437739978556
155.75; 0.039964928; 4.0844565702133
156.77; 0.040680673; 4.1258677394271
157.78; 0.041637718; 4.1682531396502
158.80; 0.042848965; 4.21187153724
159.82; 0.044304179; 4.2569712799152
160.84; 0.045964781; 4.3037614439956
161.86; 0.047763603; 4.3523827305897
162.87; 0.049611407; 4.4028850021994
163.89; 0.051409549; 4.4552177048239
164.91; 0.053065695; 4.5092362919888
165.93; 0.054508131; 4.5647232172152
166.94; 0.055694449; 4.6214177625663
167.96; 0.05661219; 4.6790465293443
168.98; 0.057271805; 4.7373467558293
170.00; 0.05769489; 4.7960776637642
171.02; 0.057902336; 4.8550197433565
172.03; 0.057907098; 4.9139666703142
173.05; 0.057714723; 4.9727177680625
174.07; 0.057332124; 5.0310793967889
175.09; 0.056781958; 5.0888809802733
176.11; 0.05611745; 5.1460061231072
177.12; 0.055431345; 5.2024328405683
178.14; 0.054853477; 5.2582713132335
179.16; 0.054534294; 5.3137848711343
180.18; 0.054616049; 5.3693816525266
181.20; 0.055198105; 5.425570941076
182.21; 0.056306313; 5.4828883375202
183.23; 0.057877252; 5.5418048825502
184.25; 0.059765236; 5.6026433135981
185.27; 0.061773791; 5.6655263670706
186.29; 0.063705311; 5.7303756242892
187.30; 0.065415438; 5.7969657173588
