#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 2.5424035; 2.5880570722416
1.02; 2.640008; 5.2754712656054
2.04; 2.9263754; 8.2543951003356
3.05; 3.3835238; 11.698676360486
4.07; 3.9855804; 15.755825243943
5.09; 4.7035915; 20.543878472104
6.11; 5.5100663; 26.152888156332
7.13; 6.381995; 32.649483671989
8.14; 7.3016711; 40.08226974535
9.16; 8.2554108; 48.485921653825
10.18; 9.2309428; 57.882623078095
11.20; 10.214591; 68.280635879184
12.22; 11.189311; 79.670871728475
13.23; 12.134238; 92.023002096652
14.25; 13.025835; 105.28274050845
15.27; 13.840266; 119.37153396284
16.29; 14.556328; 134.18924758682
17.31; 15.158346; 149.6197901696
18.32; 15.638575; 165.53918469097
19.34; 15.998879; 181.82535263065
20.36; 16.251558; 198.36873705489
21.38; 16.419121; 215.0826940045
22.40; 16.532717; 231.91228696836
23.41; 16.62895; 248.8398407804
24.43; 16.745065; 265.88559483472
25.45; 16.912991; 283.10228976164
26.47; 17.153308; 300.56361667428
27.48; 17.470641; 318.34797503963
28.50; 17.851947; 336.52048703803
29.52; 18.268618; 355.11715220305
30.54; 18.682329; 374.13495692593
31.56; 19.05346; 393.53055664509
32.57; 19.350082; 413.22810467848
33.59; 19.555256; 433.134511824
34.61; 19.670847; 453.15858520334
35.63; 19.717007; 473.22964736999
36.65; 19.727661; 493.31155476841
37.66; 19.743225; 513.40930565923
38.68; 19.802287; 533.56717961049
39.70; 19.933943; 553.85907333455
40.72; 20.152099; 574.37304041996
41.74; 20.452589; 595.19289384361
42.75; 20.813514; 616.38015252686
43.77; 21.198873; 637.95969026954
44.79; 21.565215; 659.91214897293
45.81; 21.870478; 682.17535150302
46.83; 22.083532; 704.65543443647
47.84; 22.192323; 727.24626182049
48.86; 22.208228; 749.85327988555
49.88; 22.16478; 772.41606994273
50.90; 22.110197; 794.92329628554
51.92; 22.095043; 817.4150968481
52.93; 22.158182; 839.97117029642
53.95; 22.315178; 862.68705827539
54.97; 22.552985; 885.64502422576
55.99; 22.832998; 908.88803076333
57.01; 23.101809; 932.40467591549
58.02; 23.306408; 956.1295932086
59.04; 23.408888; 979.95883062505
60.06; 23.395922; 1003.7748700527
61.08; 23.280112; 1027.4730199328
62.10; 23.093291; 1050.9809932226
63.11; 22.874742; 1074.2664931722
64.13; 22.658969; 1097.3323454603
65.15; 22.467465; 1120.2032554735
66.17; 22.307046; 1142.9108662031
67.19; 22.174465; 1165.4835142553
68.20; 22.064479; 1187.9442022412
69.22; 21.977315; 1210.3161609594
70.24; 21.921965; 1232.6317753235
71.26; 21.913827; 1254.9391060926
72.27; 21.967763; 1277.3013409057
73.29; 22.089693; 1299.7876954966
74.31; 22.27053; 1322.4581340094
75.33; 22.485229; 1345.347127201
76.35; 22.697632; 1368.4523373757
77.36; 22.869387; 1391.7323861126
78.38; 22.969668; 1415.114517082
79.40; 22.982237; 1438.5094428803
80.42; 22.907612; 1461.8284034008
81.44; 22.760204; 1484.997309426
82.45; 22.562264; 1507.9647201939
83.47; 22.337547; 1530.7033791461
84.49; 22.107399; 1553.2077574252
85.51; 21.890503; 1575.4913446347
86.53; 21.705648; 1597.5867574648
87.54; 21.575272; 1619.5494532316
88.56; 21.526981; 1641.4629913888
89.58; 21.591003; 1663.44170076
90.60; 21.793282; 1685.6263209071
91.62; 22.146023; 1708.1700168779
92.63; 22.639034; 1731.2155767019
93.65; 23.235552; 1754.8683656914
94.67; 23.875178; 1779.1722662903
95.69; 24.48429; 1804.0962169695
96.71; 24.991684; 1829.5366731851
97.72; 25.345101; 1855.3368918305
98.74; 25.523533; 1881.318746817
99.76; 25.541176; 1907.3185618088
100.78; 25.441329; 1933.2167370133
101.80; 25.281811; 1958.9525298562
102.81; 25.116372; 1984.5199128428
103.83; 24.978158; 2009.9465998132
104.85; 24.870864; 2035.2640659661
105.87; 24.770785; 2060.4796564854
106.89; 24.639282; 2085.5613819715
107.90; 24.441413; 2110.4416856436
108.92; 24.164055; 2135.039650877
109.94; 23.8266; 2159.2941019377
110.96; 23.479642; 2183.1953644271
111.98; 23.191137; 2206.8029414631
112.99; 23.024089; 2230.2404704115
114.01; 23.01313; 2253.6668433161
115.03; 23.148274; 2277.2307877746
116.05; 23.372073; 2301.0225493345
117.07; 23.592054; 2325.0382426407
