#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 1.2563074; 1.2788666713984
1.02; 1.3316812; 2.634460653462
2.04; 1.5536776; 4.2160374330375
3.05; 1.9109047; 6.1612559632583
4.07; 2.3873416; 8.5914666624177
5.09; 2.9657992; 11.610522239321
6.11; 3.6311241; 15.306849893143
7.13; 4.3721705; 19.757530751329
8.14; 5.1819824; 25.032565183806
9.16; 6.0562232; 31.197539066398
10.18; 6.9904649; 38.313530683536
11.20; 7.9773345; 46.434112966284
12.22; 9.0045908; 55.600397871088
13.23; 10.054954; 65.835906647935
14.25; 11.108003; 77.143374753011
15.27; 12.143858; 89.505298563188
16.29; 13.147765; 102.88915613497
17.31; 14.114387; 117.25699266684
18.32; 15.050514; 132.57776640373
19.34; 15.975223; 148.83985393139
20.36; 16.917092; 166.06072348596
21.38; 17.908872; 184.29118247576
22.40; 18.980758; 203.61277485467
23.41; 20.153922; 224.12859791103
24.43; 21.436054; 245.94957590204
25.45; 22.820167; 269.17952100526
26.47; 24.287014; 293.90265304656
27.48; 25.810296; 320.17642095823
28.50; 27.362875; 348.03064727691
29.52; 28.921788; 377.47177919506
30.54; 30.470267; 408.48919613882
31.56; 31.99612; 441.05986557133
32.57; 33.487355; 475.14854742758
33.59; 34.927277; 510.70300777679
34.61; 36.291794; 547.64648791382
35.63; 37.551028; 585.87181448869
36.65; 38.675666; 625.24197386257
37.66; 39.646355; 665.60025233278
38.68; 40.462756; 706.78959231983
39.70; 41.148395; 748.67688253624
40.72; 41.748561; 791.17511625308
41.74; 42.320988; 834.25605613843
42.75; 42.921868; 877.94866595971
43.77; 43.591897; 922.3233359467
44.79; 44.347398; 967.46707368218
45.81; 45.179903; 1013.458264837
46.83; 46.064352; 1060.349786969
47.84; 46.972638; 1108.1659060038
48.86; 47.886896; 1156.9126998529
49.88; 48.806888; 1206.5960061799
50.90; 49.748187; 1257.2375139688
51.92; 50.731678; 1308.880173268
52.93; 51.768782; 1361.5785591607
53.95; 52.848952; 1415.3765118927
54.97; 53.935556; 1470.2805802616
55.99; 54.973162; 1526.2408871546
57.01; 55.904791; 1583.1495515517
