#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 53.920678; 54.888923749056
1.02; 56.364456; 112.26550776658
2.04; 63.576022; 176.98315522468
3.05; 75.220054; 253.55392442655
4.07; 90.809476; 345.99405190874
5.09; 109.78787; 457.75336804348
6.11; 131.60441; 591.72097923616
7.13; 155.76031; 750.2782570876
8.14; 181.8189; 935.36205267602
9.16; 209.38672; 1148.5087032373
10.18; 238.08496; 1390.868919229
11.20; 267.53326; 1663.2062366101
12.22; 297.36138; 1965.9072871667
13.23; 327.24979; 2299.0334566592
14.25; 356.98553; 2662.4293243261
15.27; 386.50923; 3055.8790460935
16.29; 415.92979; 3479.2776245078
17.31; 445.49318; 3932.7704596134
18.32; 475.50942; 4416.8185308989
19.34; 506.25869; 4932.168033931
20.36; 537.90799; 5479.7351552588
21.38; 570.46821; 6060.4471771038
22.40; 603.80867; 6675.0983437021
23.41; 637.72552; 7324.2754043367
24.43; 672.04028; 8008.3834096487
25.45; 706.69144; 8727.7648053481
26.47; 741.78205; 9482.8669266639
27.48; 777.55879; 10274.388216737
28.50; 814.32072; 11103.331573739
29.52; 852.28079; 11970.916643106
30.54; 891.42203; 12878.345805746
31.56; 931.39774; 13826.468515996
32.57; 971.51593; 14815.429809867
33.59; 1010.826; 15844.407033215
34.61; 1048.2948; 16911.525906551
35.63; 1083.0301; 18014.003789007
36.65; 1114.4886; 19148.505058126
37.66; 1142.6065; 20311.629126023
38.68; 1167.8074; 21500.406690692
39.70; 1190.8802; 22712.671339214
40.72; 1212.7595; 23947.208132889
41.74; 1234.2787; 25203.650567774
42.75; 1255.977; 26482.180964923
43.77; 1278.0276; 27783.157918366
44.79; 1300.3138; 29106.821246876
45.81; 1322.6248; 30453.19623372
46.83; 1344.8948; 31822.241066519
47.84; 1367.3855; 33214.180503707
48.86; 1390.7292; 34629.882780175
49.88; 1415.7951; 36071.101129707
50.90; 1443.4142; 37540.434526166
51.92; 1474.0529; 39040.956741113
52.93; 1507.5582; 40575.585944627
53.95; 1543.0779; 42146.37270834
54.97; 1579.2006; 43753.930747708
55.99; 1614.2838; 45397.20195551
57.01; 1646.8709; 47073.645456235
58.02; 1676.0642; 48779.806481536
59.04; 1701.7393; 50512.103641938
60.06; 1724.5426; 52267.613599669
61.08; 1745.6866; 54044.647269921
62.10; 1766.6191; 55842.989269643
63.11; 1788.6702; 57663.778339461
64.13; 1812.7713; 59509.101316091
65.15; 1839.2997; 61381.429025436
66.17; 1868.0593; 63283.032790263
67.19; 1898.3767; 65215.498367043
68.20; 1929.2792; 67179.421346998
69.22; 1959.7274; 69174.33927562
70.24; 1988.8775; 71198.930733203
71.26; 2016.3395; 73251.47735921
72.27; 2042.3759; 75330.527909176
73.29; 2067.9634; 77435.625425734
74.31; 2094.6455; 79567.884200264
75.33; 2124.1473; 81730.174533625
76.35; 2157.8083; 83926.730267505
77.36; 2195.9859; 86162.149158046
78.38; 2237.6469; 88439.977109531
79.40; 2280.3538; 90761.278900482
80.42; 2320.7546; 93123.706931348
81.44; 2355.5093; 95521.51377206
82.45; 2382.407; 97946.701314364
83.47; 2401.3023; 100391.12344102
84.49; 2414.5067; 102848.98706745
85.51; 2426.4152; 105318.97299231
86.53; 2442.3971; 107805.22781785
87.54; 2467.2461; 110316.77790368
88.56; 2503.6634; 112865.39923729
89.58; 2551.2679; 115462.47986676
90.60; 2606.4704; 118115.7542205
91.62; 2663.2669; 120826.84495704
92.63; 2714.7039; 123590.29638682
93.65; 2754.5574; 126394.31696191
94.67; 2778.7237; 129222.93779301
95.69; 2785.9556; 132058.92034926
96.71; 2777.8272; 134886.62854747
