#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0.48271036; 0.49137831706078
1.02; 0.49803447; 0.99835591561912
2.04; 0.54308394; 1.5511919281347
3.05; 0.61525508; 2.1774950526723
4.07; 0.71070414; 2.9009611985358
5.09; 0.82492384; 3.7406980699178
6.11; 0.95328628; 4.7111023659557
7.13; 1.0914204; 5.8221212004059
8.14; 1.2353801; 7.0796848623655
9.16; 1.38166; 8.486155127493
10.18; 1.5271811; 10.040759541497
11.20; 1.6693773; 11.740113644164
12.22; 1.8064494; 13.579001154171
13.23; 1.937745; 15.551541946134
14.25; 2.064122; 17.652729044924
15.27; 2.1880868; 19.88010698275
16.29; 2.3135257; 22.235176341656
17.31; 2.4449498; 24.724029693804
18.32; 2.5863392; 27.356811364425
19.34; 2.7398431; 30.145853368009
20.36; 2.9047036; 33.102716312935
21.38; 3.0767845; 36.234750208668
22.40; 3.248967; 39.542058412441
23.41; 3.4124552; 43.015790575157
24.43; 3.5587633; 46.638458023529
25.45; 3.6819172; 50.386490894021
26.47; 3.7802834; 54.234656300132
27.48; 3.8574767; 58.161401077699
28.50; 3.9220177; 62.153845840621
29.52; 3.9857434; 66.211160609965
30.54; 4.0613292; 70.345418457361
31.56; 4.1595486; 74.579659407082
32.57; 4.2869769; 78.943616855608
33.59; 4.4447132; 83.468143117944
34.61; 4.6283855; 88.17963982012
35.63; 4.829319; 93.095678188849
36.65; 5.0364268; 98.222543383792
37.66; 5.2382237; 103.55482904489
38.68; 5.4244304; 109.07666514549
39.70; 5.5868813; 114.76386926589
40.72; 5.7197664; 120.58634464905
41.74; 5.8195016; 126.51034612348
42.75; 5.8846108; 132.50062597497
43.77; 5.915894; 138.52275082507
44.79; 5.9168998; 144.54589946466
45.81; 5.8944424; 150.5461875054
46.83; 5.8587418; 156.51013383606
47.84; 5.8228003; 162.4374933137
48.86; 5.8008782; 168.34253698491
49.88; 5.8062784; 174.25307786545
50.90; 5.8489715; 180.20707843691
51.92; 5.9337252; 186.24735465288
52.93; 6.059298; 192.41545858534
53.95; 6.2189289; 198.74605982967
54.97; 6.401944; 205.26296256405
55.99; 6.5959594; 211.9773645553
57.01; 6.7890207; 218.88829464045
58.02; 6.971136; 225.9846102528
59.04; 7.1349574; 233.24768903401
60.06; 7.2757233; 240.65406139187
61.08; 7.3908243; 248.17760164461
62.10; 7.4794112; 255.79131947176
63.11; 7.542305; 263.4690604536
64.13; 7.5822017; 271.18741455397
65.15; 7.6039101; 278.92786693663
66.17; 7.6142617; 286.67885681046
67.19; 7.6214282; 294.43714187869
68.20; 7.633642; 302.20785999866
69.22; 7.6576105; 310.00297700868
70.24; 7.6971164; 317.83830935226
71.26; 7.7522957; 325.72981189249
72.27; 7.819881; 333.69011327795
73.29; 7.8943614; 341.72623255093
74.31; 7.9696854; 349.83902842925
75.33; 8.0409404; 358.02435877663
76.35; 8.1054715; 366.27537903459
77.36; 8.163124; 374.58508704381
78.38; 8.2156215; 382.94823524383
79.40; 8.2653989; 391.3620546718
80.42; 8.3143738; 399.82572841617
81.44; 8.3631183; 408.33902198372
82.45; 8.410704; 416.90075567256
83.47; 8.4552215; 425.5078063073
84.49; 8.494732; 434.15507690192
85.51; 8.5282661; 442.83648374991
86.53; 8.5564966; 451.54662802907
87.54; 8.5818395; 460.28257027998
