#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 14.620325; 14.88286013435
1.02; 15.152246; 30.30719274454
2.04; 16.71528; 47.322626502421
3.05; 19.219092; 66.88683308697
4.07; 22.536569; 89.82808827805
5.09; 26.530435; 116.83492673673
6.11; 31.076614; 148.46957845076
7.13; 36.076761; 185.19416446026
8.14; 41.456713; 227.39530921612
9.16; 47.153214; 275.39524585267
10.18; 53.096207; 329.44489343387
11.20; 59.196203; 389.70407349522
12.22; 65.344768; 456.22222802928
13.23; 71.43125; 528.9361580867
14.25; 77.371949; 607.69746362928
15.27; 83.141656; 692.33208124325
16.29; 88.794212; 782.72075789091
17.31; 94.460443; 878.87741276214
18.32; 100.31839; 980.99720946949
19.34; 106.54072; 1089.4510608281
20.36; 113.23373; 1204.7181130339
21.38; 120.38859; 1327.2685068721
22.40; 127.86389; 1457.4284293083
23.41; 135.41051; 1595.2704855549
24.43; 142.73572; 1740.5692849943
25.45; 149.58866; 1892.84408779
26.47; 155.83984; 2051.4823188649
27.48; 161.52631; 2215.9091305267
28.50; 166.84458; 2385.7497160952
29.52; 172.09076; 2560.9306799819
30.54; 177.56689; 2741.6861162749
31.56; 183.48627; 2928.4672221426
32.57; 189.912; 3121.7894472148
33.59; 196.75237; 3322.0748688238
34.61; 203.8151; 3529.5498449251
35.63; 210.90012; 3744.2370658304
36.65; 217.89434; 3966.0441049718
37.66; 224.83009; 4194.9114353187
38.68; 231.88177; 4430.957073512
39.70; 239.29914; 4674.5532749212
40.72; 247.30055; 4926.2945670998
41.74; 255.96641; 5186.8573294359
42.75; 265.17464; 5456.793667714
43.77; 274.60549; 5736.3302060013
44.79; 283.81821; 6025.2448988413
45.81; 292.37599; 6322.8710432169
46.83; 299.97854; 6628.236255587
47.84; 306.55928; 6940.3003753735
48.86; 312.31672; 7258.2253235128
49.88; 317.67184; 7581.6015511986
50.90; 323.16619; 7910.5707906173
51.92; 329.33157; 8245.8161215731
52.93; 336.56639; 8588.4261846881
53.95; 345.04737; 8939.6695142344
54.97; 354.6921; 9300.7307704035
55.99; 365.17427; 9672.4624186566
57.01; 375.9831; 10055.196994219
58.02; 386.51425; 10448.651821412
59.04; 396.17778; 10851.943702295
60.06; 404.50913; 11263.716542131
61.08; 411.26743; 11682.369036844
62.10; 416.50353; 12106.35166242
63.11; 420.58019; 12534.484151946
64.13; 424.13134; 12966.231553076
65.15; 427.9592; 13401.875554551
66.17; 432.88425; 13842.533040319
67.19; 439.57914; 14290.005635518
68.20; 448.42754; 14746.48552568
69.22; 459.44621; 15214.181938298
70.24; 472.29324; 15694.956072111
