#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 6.4051927; 6.5202098153209
1.02; 6.5816934; 13.220089689702
2.04; 7.1025428; 20.450171787071
3.05; 7.9427955; 28.535594894651
4.07; 9.0639582; 37.762313196313
5.09; 10.417715; 48.367097107779
6.11; 11.949739; 60.531415951195
7.13; 13.60295; 74.378632526837
8.14; 15.320079; 89.973812245518
9.16; 17.045988; 107.32589244971
10.18; 18.730484; 126.39271653154
11.20; 20.332225; 147.09004417257
12.22; 21.823681; 169.30561007841
13.23; 23.196195; 192.91833578291
14.25; 24.463394; 217.8210155768
15.27; 25.660946; 243.94275176383
16.29; 26.841218; 271.2659534639
17.31; 28.062795; 299.83266793777
18.32; 29.37665; 329.73682949242
19.34; 30.81235; 361.10247208513
20.36; 32.368426; 394.05213338974
21.38; 34.010342; 428.67319362456
22.40; 35.677525; 464.9913741101
23.41; 37.298137; 502.95926830398
24.43; 38.807623; 542.46375353084
25.45; 40.165609; 583.3506100239
26.47; 41.366076; 625.45948992098
27.48; 42.437828; 668.65936800948
28.50; 43.435551; 712.87488485624
29.52; 44.424858; 758.09747325364
30.54; 45.466609; 804.38051928338
31.56; 46.605565; 851.82297285294
32.57; 47.866276; 900.5487765722
33.59; 49.255859; 950.68911597074
34.61; 50.770311; 1002.3711013021
35.63; 52.399661; 1055.7116953176
36.65; 54.12814; 1110.8118058428
37.66; 55.928362; 1167.7444648458
38.68; 57.752184; 1226.5336965292
39.70; 59.523604; 1287.1261567401
40.72; 61.139591; 1349.3636224674
41.74; 62.482514; 1412.9681256594
42.75; 63.443456; 1477.5508264955
43.77; 63.95094; 1542.6501240458
44.79; 63.996238; 1607.7955328676
45.81; 63.646173; 1672.5845902733
46.83; 63.037455; 1736.7539991099
47.84; 62.352253; 1800.2259023398
48.86; 61.780873; 1863.1161654056
49.88; 61.481848; 1925.7020340723
50.90; 61.55076; 1988.3580518163
51.92; 62.006263; 2051.4777514518
52.93; 62.796145; 2115.4015173458
53.95; 63.819878; 2180.3673992552
54.97; 64.95929; 2246.4931529966
55.99; 66.107434; 2313.7876684929
57.01; 67.187716; 2382.1818645728
58.02; 68.159874; 2451.5656751198
59.04; 69.014571; 2521.8195306502
60.06; 69.762042; 2592.83427938
61.08; 70.421167; 2664.5199885786
62.10; 71.013477; 2736.808643452
63.11; 71.562994; 2809.6566832523
64.13; 72.099298; 2883.0506571741
65.15; 72.659388; 2957.0147788217
66.17; 73.28459; 3031.6153293058
67.19; 74.011485; 3106.9558278068
68.20; 74.859336; 3183.1594014079
69.22; 75.819003; 3260.339874824
70.24; 76.848683; 3338.5685179846
71.26; 77.879626; 3417.8466167371
72.27; 78.831231; 3498.0934083267
73.29; 79.631068; 3579.1543989769
74.31; 80.233137; 3660.8282702236
75.33; 80.628004; 3742.9040994534
76.35; 80.841248; 3825.1970013883
77.36; 80.920869; 3907.5709545972
78.38; 80.91826; 3989.9422511889
79.40; 80.8695; 4072.2639122844
80.42; 80.78346; 4154.4979887776
81.44; 80.64057; 4236.5866094707
82.45; 80.402363; 4318.4327451612
83.47; 80.028378; 4399.8981807616
84.49; 79.494926; 4480.8205852051
85.51; 78.810052; 4561.0458175465
86.53; 78.020599; 4640.4674205001
87.54; 77.209673; 4719.0635356604
88.56; 76.485241; 4796.9222104263
89.58; 75.962338; 4874.248592511
90.60; 75.742289; 4951.3509739406
91.62; 75.892619; 5028.6063853413
92.63; 76.431223; 5106.4100718669
93.65; 77.317988; 5185.116447107
94.67; 78.456351; 5264.9816273305
95.69; 79.705844; 5346.1187375139
96.71; 80.904557; 5428.476085587
97.72; 81.897846; 5511.8445584351
98.74; 82.567298; 5595.8945045207
99.76; 82.852944; 5680.2352258131
100.78; 82.762681; 5764.4840640477
101.80; 82.365985; 5848.3290820384
102.81; 81.773392; 5931.5708665328
103.83; 81.107579; 6014.1348819399
104.85; 80.474366; 6096.054313446
105.87; 79.941777; 6177.4315932685
106.89; 79.532191; 6258.3919316601
107.90; 79.227844; 6339.0424583451
108.92; 78.985419; 6419.4462062901
109.94; 78.752825; 6499.6131837915
110.96; 78.481763; 6579.5042318056
111.98; 78.132731; 6659.0399804048
112.99; 77.67345; 6738.1082006414
114.01; 77.075099; 6816.5673250747
115.03; 76.311698; 6894.2493403506
116.05; 75.365939; 6970.9686136331
117.07; 74.2407; 7046.5424421555
118.08; 72.971383; 7120.8241615895
119.10; 71.632157; 7193.7426058481
120.12; 70.330414; 7265.3359323492
121.14; 69.188073; 7335.7664053664
122.15; 68.313902; 7405.3070099498
123.17; 67.775542; 7474.2995869829
124.19; 67.581089; 7543.0942196831
125.21; 67.677256; 7611.9867463887
126.23; 67.9652; 7681.1723868424
127.24; 68.328463; 7750.7278140113
128.26; 68.66288; 7820.6236626056
129.28; 68.897686; 7890.7585338673
130.30; 69.000871; 7960.9984433562
131.32; 68.968325; 8031.205222438
132.33; 68.803002; 8101.2437092523
133.35; 68.494268; 8170.9679179882
134.37; 68.007249; 8240.1963631742
135.39; 67.287508; 8308.6921430121
136.41; 66.279695; 8376.162012027
137.42; 64.952761; 8442.281120078
138.44; 63.32136; 8506.7395321516
139.46; 61.454357; 8569.2974160298
140.48; 59.466344; 8629.8315884569
141.50; 57.494493; 8688.3585013342
142.51; 55.66847; 8745.026601426
143.53; 54.083321; 8800.0810883298
144.55; 52.783608; 8853.8125235449
145.57; 51.762514; 8906.5045293636
146.59; 50.974154; 8958.3940183525
147.60; 50.353102; 9009.6513037892
148.62; 49.833692; 9060.3798516442
149.64; 49.363109; 9110.6293660958
150.66; 48.905806; 9160.4133660058
151.68; 48.440526; 9209.7237313598
152.69; 47.953775; 9258.538604932
153.71; 47.434039; 9306.8244095485
154.73; 46.869592; 9354.5356312869
155.75; 46.250293; 9401.6164334144
156.77; 45.571601; 9448.0063569294
157.78; 44.838023; 9493.6495298756
158.80; 44.063656; 9538.5044306604
159.82; 43.269; 9582.5504051559
160.84; 42.474961; 9625.7880822151
161.86; 41.696205; 9668.2330192943
162.87; 40.936236; 9709.9043412377
163.89; 40.185899; 9750.8118524178
164.91; 39.425753; 9790.9455676985
165.93; 38.631561; 9830.2708301639
166.94; 37.781324; 9868.7305880922
167.96; 36.862049; 9906.2545632418
168.98; 35.874675; 9942.7734342391
170.00; 34.836073; 9978.2350530754
171.02; 33.777614; 10012.619206701
172.03; 32.740433; 10045.947555113
173.05; 31.768133; 10078.286143177
174.07; 30.898305; 10109.739284211
175.09; 30.154736; 10140.435504351
176.11; 29.542262; 10170.508252294
177.12; 29.045831; 10200.075654703
178.14; 28.634302; 10229.224138884
179.16; 28.268143; 10257.99988844
180.18; 27.908898; 10286.409942369
181.20; 27.527659; 10314.431911198
182.21; 27.110006; 10342.028727388
183.23; 26.656126; 10369.163513599
184.25; 26.176501; 10395.810062065
185.27; 25.685132; 10421.956418097
186.29; 25.193046; 10447.601852136
187.30; 24.704494; 10472.749961154
188.32; 24.216961; 10497.401782609
189.34; 23.724427; 10521.552225108
190.36; 23.221943; 10545.19116112
191.38; 22.709177; 10568.308123571
192.39; 22.191199; 10590.897806375
193.41; 21.676224; 10612.96326751
194.43; 21.171534; 10634.514975045
195.45; 20.679693; 10655.566010024
196.47; 20.19712; 10676.125806524
197.48; 19.71594; 10696.195782297
198.50; 19.228545; 10715.769610945
199.52; 18.732952; 10734.838948149
200.54; 18.23658; 10753.402999534
201.56; 17.756627; 10771.478479615
202.57; 17.316644; 10789.106076336
203.59; 16.940432; 10806.350704849
204.61; 16.64551; 10823.29511525
205.63; 16.438555; 10840.028854521
206.65; 16.314366; 10856.636174883
207.66; 16.25849; 10873.186616269
208.68; 16.25223; 10889.730684962
209.70; 16.277924; 10906.300908995
210.72; 16.322475; 10922.916484519
211.74; 16.377975; 10939.588556166
212.75; 16.439541; 10956.32329934
213.77; 16.501629; 10973.121245333
214.79; 16.554609; 10989.973122904
215.81; 16.583225; 11006.854129886
216.82; 16.567756; 11023.719390207
217.84; 16.487694; 11040.503150991
218.86; 16.326858; 11057.123187864
219.88; 16.078445; 11073.490351363
220.90; 15.748569; 11089.521714806
221.91; 15.357289; 11105.154772501
222.93; 14.936784; 11120.359774377
223.95; 14.526925; 11135.147557635
224.97; 14.169028; 11149.571016631
225.99; 13.898876; 11163.719472895
227.00; 13.740301; 11177.706506678
228.02; 13.700593; 11191.653118739
229.04; 13.768827; 11205.669190078
230.06; 13.917723; 11219.836831099
231.08; 14.108918; 11234.199100462
232.09; 14.300693; 11248.756588678
233.11; 14.456421; 11263.472601421
234.13; 14.551627; 11278.285530152
235.15; 14.57777; 11293.125070586
236.17; 14.541691; 11307.927884987
237.18; 14.460977; 11322.648535081
238.20; 14.356726; 11337.263062368
239.22; 14.246135; 11351.765013341
240.24; 14.137325; 11366.156199744
241.26; 14.028074; 11380.436173385
242.27; 13.908728; 11394.594658107
243.29; 13.768011; 11408.60989951
244.31; 13.599417; 11422.453519173
245.33; 13.405626; 11436.099868004
246.35; 13.199152; 11449.536035016
247.36; 12.998832; 11462.768285435
248.38; 12.823383; 11475.821935694
249.40; 12.684367; 11488.734074193
250.42; 12.581222; 11501.541214852
251.44; 12.500249; 11514.265929035
252.45; 12.418095; 11526.907014192
253.47; 12.308601; 11539.436639086
254.49; 12.150745; 11551.805573646
255.51; 11.935032; 11563.95492107
256.53; 11.666274; 11575.830684692
257.54; 11.362025; 11587.396736141
258.56; 11.047401; 11598.642513403
259.58; 10.748199; 11609.583715778
260.60; 10.484635; 11620.256621523
261.61; 10.267579; 11630.708573939
262.63; 10.098121; 11640.988024856
263.65; 9.9700415; 11651.137096827
264.67; 9.8738191; 11661.188218565
265.69; 9.8004295; 11671.164632937
266.70; 9.7435791; 11681.083176058
267.72; 9.6998239; 11690.95717824
268.74; 9.6669921; 11700.797759083
269.76; 9.6420009; 11710.612899907
270.78; 9.6193117; 11720.404944129
271.79; 9.5908831; 11730.16804923
272.81; 9.5477518; 11739.887248517
273.83; 9.4826377; 11749.540164484
274.85; 9.3925228; 11759.101347403
275.87; 9.2801679; 11768.548157894
276.88; 9.1539632; 11777.866497441
277.90; 9.026154; 11787.054732693
278.92; 8.9100641; 11796.124793423
279.94; 8.817233; 11805.100356159
280.96; 8.7553028; 11814.012876577
281.97; 8.7271163; 11822.896704423
282.99; 8.731014; 11831.784499908
284.01; 8.7619402; 11840.703776981
285.03; 8.8128388; 11849.674866541
286.05; 8.8759171; 11858.710167174
287.06; 8.9436024; 11867.814368528
288.08; 9.0092275; 11876.985373336
289.10; 9.067572; 11886.215770361
290.12; 9.1153092; 11895.494761764
291.14; 9.1512543; 11904.810343708
292.15; 9.1762085; 11914.151328007
293.17; 9.1922383; 11923.50862998
294.19; 9.201444; 11932.87530289
295.21; 9.2045619; 11942.245149665
296.23; 9.1999546; 11951.610306489
297.24; 9.1835308; 11960.958744604
298.26; 9.1498526; 11970.272899766
299.28; 9.0942173; 11979.530420508
300.30; 9.0150243; 11988.707326206
301.32; 8.9154856; 11997.782905784
302.33; 8.803844; 12006.744839062
303.35; 8.6917431; 12015.592658455
304.37; 8.5910743; 12024.338001399
305.39; 8.5102617; 12033.001080545
306.41; 8.451264; 12041.604102621
307.42; 8.4084372; 12050.163528819
308.44; 8.3698221; 12058.683646507
309.46; 8.3206117; 12067.153670209
310.48; 8.2477869; 12075.549561404
311.49; 8.1444738; 12083.840284288
312.51; 8.0126231; 12091.996788875
313.53; 7.8631197; 12100.001105431
314.55; 7.7132245; 12107.852835159
315.57; 7.5820639; 12115.571049014
316.58; 7.4854513; 12123.190915441
317.60; 7.431498; 12130.7558597
318.62; 7.4182118; 12138.307279156
319.64; 7.4337096; 12145.874474766
320.66; 7.4589574; 12153.467371546
321.67; 7.4723048; 12161.073855407
322.69; 7.4546579; 12168.662375418
323.71; 7.3940107; 12176.189159245
324.73; 7.2882468; 12183.608280037
325.75; 7.1455568; 12190.882148559
326.76; 6.9824008; 12197.989931254
327.78; 6.8195389; 12204.931927562
328.80; 6.6771287; 12211.728956411
329.82; 6.5701269; 12218.417062125
330.84; 6.5051657; 12225.039040047
331.85; 6.4796905; 12231.635085314
332.87; 6.4835411; 12238.235050403
333.89; 6.5024704; 12244.854284644
334.91; 6.5225397; 12251.493948558
335.93; 6.534075; 12258.14535497
336.94; 6.5340075; 12264.7966926
337.96; 6.5259354; 12271.439813236
338.98; 6.5179767; 12278.074832209
340.00; 6.519191; 12284.711087287
341.02; 6.5358153; 12291.36426525
342.03; 6.5686036; 12298.050820217
343.05; 6.6121807; 12304.781734852
344.07; 6.6566394; 12311.557906515
345.09; 6.6908487; 12318.368901723
346.11; 6.7063719; 12325.19569891
347.12; 6.7006864; 12332.016708475
348.14; 6.6786233; 12338.815258844
349.16; 6.6515217; 12345.586220906
350.18; 6.6343135; 12352.339665727
351.20; 6.6414032; 12359.100327619
352.21; 6.6825658; 12365.902891205
353.23; 6.7600697; 12372.784350476
354.25; 6.8678607; 12379.775536282
355.27; 6.9930326; 12386.894141739
356.28; 7.1191674; 12394.141146898
357.30; 7.2306111; 12401.501596946
358.32; 7.3165205; 12408.949499116
359.34; 7.3735949; 12416.455500561
360.36; 7.4067793; 12423.995282264
361.37; 7.4277712; 12431.55643283
362.39; 7.4517399; 12439.141982538
363.41; 7.4931295; 12446.76966502
364.43; 7.56165; 12454.467098395
365.45; 7.659511; 12462.264150024
366.46; 7.7806284; 12470.184493975
367.48; 7.9120256; 12478.2385946
368.50; 8.0370766; 12486.419991773
369.52; 8.1397554; 12494.705911531
370.54; 8.2087839; 12503.062099321
371.55; 8.240593; 12511.450667394
372.57; 8.2403203; 12519.838957845
373.59; 8.2205879; 12528.207161587
374.61; 8.1983931; 12536.552772024
375.63; 8.1909411; 12544.890796607
376.64; 8.2115167; 12553.249766236
377.66; 8.2664583; 12561.664664043
378.68; 8.3539732; 12570.168648232
379.70; 8.4650201; 12578.785673399
380.72; 8.5859288; 12587.525778414
381.73; 8.7019844; 12596.384023046
382.75; 8.800995; 12605.343056199
383.77; 8.8759269; 12614.378366818
384.79; 8.9259981; 12623.464647717
385.81; 8.9560624; 12632.581532778
386.82; 8.9745689; 12641.717256694
387.84; 8.9907195; 12650.869421137
388.86; 9.0116031; 12660.042844275
389.88; 9.0400428; 12669.24521774
390.90; 9.0736759; 12678.481828221
391.91; 9.1054841; 12687.750818081
392.93; 9.1256484; 12697.040334317
393.95; 9.1243076; 12706.328485768
394.97; 9.0945867; 12715.586382554
395.99; 9.0351665; 12724.783792158
397.00; 8.9517234; 12733.896260265
398.02; 8.8567678; 12742.912067709
399.04; 8.7677577; 12751.837266741
400.06; 8.7037852; 12760.697344522
401.07; 8.6815482; 12769.534786015
402.09; 8.711598; 12778.40281682
403.11; 8.7958876; 12787.356650818
404.13; 8.9273859; 12796.444344425
405.15; 9.0919948; 12805.699602769
406.16; 9.2723597; 12815.138464849
407.18; 9.4525857; 12824.760789152
408.20; 9.6225642; 12834.556144236
409.22; 9.7807027; 12844.512477512
410.24; 9.934309; 12854.625175374
411.25; 10.097577; 12864.90407349
412.27; 10.287815; 12875.37662531
413.29; 10.521005; 12886.08655397
414.31; 10.807894; 12897.088523806
415.33; 11.151536; 12908.440306432
416.34; 11.54671; 12920.194359456
417.36; 11.981163; 12932.390665961
418.38; 12.438238; 12945.052255718
419.40; 12.900359; 12958.184264961
420.42; 13.352811; 12971.776850453
421.43; 13.787354; 12985.811781841
422.45; 14.205147; 13000.272008182
423.47; 14.61833; 13015.152837192
424.49; 15.049533; 13030.472612159
425.51; 15.528696; 13046.280154605
426.52; 16.087122; 13062.656150803
427.54; 16.749555; 13079.706474793
428.56; 17.526107; 13097.547295316
429.58; 18.406602; 13116.284422077
430.60; 19.359912; 13135.991976763
431.61; 20.33992; 13156.6971378
432.63; 21.297933; 13178.377514553
433.65; 22.199117; 13200.975257725
434.67; 23.038706; 13224.427666759
435.69; 23.852938; 13248.708928777
436.70; 24.72046; 13273.873290494
437.72; 25.752216; 13300.087935562
438.74; 27.070968; 13327.645012385
439.76; 28.784652; 13356.946545818
440.78; 30.959783; 13388.462268872
441.79; 33.601302; 13422.666944847
442.81; 36.64369; 13459.968639772
443.83; 39.955196; 13500.641305412
444.85; 43.353763; 13544.773564984
445.87; 46.630522; 13592.241423803
446.88; 49.575536; 13642.707180175
447.90; 52.000784; 13695.64173437
448.92; 53.757041; 13750.364082205
449.94; 54.743487; 13806.090589373
450.95; 54.910792; 13861.987405681
