#Wavenumber (cm^-1);  Spectrum at 400.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
0.00; 0.011051871; 0.011250327371497
1.02; 0.011350555; 0.02280470278747
2.04; 0.01220474; 0.035228601057786
3.05; 0.013500536; 0.048971564438792
4.07; 0.01508308; 0.064325489267201
5.09; 0.01679618; 0.081423275663813
6.11; 0.018517539; 0.10027333167761
7.13; 0.020179215; 0.12081490203463
8.14; 0.021769367; 0.14297517795974
9.16; 0.023318601; 0.16671250738859
10.18; 0.024879271; 0.19203853156229
11.20; 0.026507024; 0.21902153806354
12.22; 0.028250731; 0.24777956337947
13.23; 0.030151507; 0.27847249658843
14.25; 0.032246582; 0.31129812561808
15.27; 0.034571684; 0.34649060832198
16.29; 0.03715715; 0.38431498363474
17.31; 0.040017221; 0.42505078749357
18.32; 0.0431366; 0.46896198504849
19.34; 0.046460897; 0.51625717338307
20.36; 0.049896704; 0.56704986498015
21.38; 0.053323174; 0.62133055552681
22.40; 0.05661199; 0.67895911812368
23.41; 0.059649081; 0.73967930855658
24.43; 0.062351141; 0.80315007976419
25.45; 0.064672966; 0.86898436791824
26.47; 0.066606326; 0.9367867335439
27.48; 0.068174869; 1.0061858081616
28.50; 0.069430266; 1.0768628225303
29.52; 0.070452056; 1.1485799750081
30.54; 0.071348817; 1.2212099920932
31.56; 0.072254382; 1.2947618349372
32.57; 0.073312542; 1.3693908388396
33.59; 0.074648181; 1.4453794656702
34.61; 0.07633052; 1.5230806415694
35.63; 0.078341587; 1.6028289970056
36.65; 0.080565886; 1.6848415924748
37.66; 0.08281287; 1.7691415204316
38.68; 0.084872612; 1.8555381771259
39.70; 0.086590891; 1.9436839680615
40.72; 0.087938693; 2.0332017626266
41.74; 0.089048407; 2.1238491987226
42.75; 0.090197341; 2.2156661998087
43.77; 0.091736567; 2.3090500661652
44.79; 0.093983612; 2.4047213277023
45.81; 0.097113018; 2.5035781890347
46.83; 0.10108279; 2.6064761097051
47.84; 0.10562482; 2.7139976207066
48.86; 0.11030634; 2.8262847160202
49.88; 0.11464512; 2.9429884963487
50.90; 0.11824207; 3.0633538215322
51.92; 0.1208888; 3.1864134079689
52.93; 0.12261611; 3.3112313173829
53.95; 0.12366994; 3.4371219756566
54.97; 0.1244256; 3.5637818639832
55.99; 0.12527065; 3.6913019793964
57.01; 0.12649498; 3.8200684147316
58.02; 0.12822128; 3.9505921464822
59.04; 0.13039291; 4.0833265052645
60.06; 0.13281614; 4.2185276086313
61.08; 0.13523649; 4.356192517796
62.10; 0.13742069; 4.4960808459604
63.11; 0.13921787; 4.6377986350788
64.13; 0.14058402; 4.7809070966962
65.15; 0.14156793; 4.9250171372919
66.17; 0.14227013; 5.0698419868121
67.19; 0.1427931; 5.2151991995059
68.20; 0.14320196; 5.3609726197126
69.22; 0.14350867; 5.5070582549207
70.24; 0.14368329; 5.6533216447056
71.26; 0.14368607; 5.7995878674406
72.27; 0.14350667; 5.9456714614414
73.29; 0.14319424; 6.0914370155305
74.31; 0.14286508; 6.2368675010835
75.33; 0.14268171; 6.3821113231383
76.35; 0.14280749; 6.5274831862646
77.36; 0.14335039; 6.6734077022504
78.38; 0.14431519; 6.8203143340161
79.40; 0.14558278; 6.9685113231998
80.42; 0.14692788; 7.1180775670485
81.44; 0.14807328; 7.268809775115
82.45; 0.14876555; 7.4202466846947
83.47; 0.14884749; 7.5717670106628
84.49; 0.14830184; 7.7227318811553
85.51; 0.14724986; 7.8726258795594
86.53; 0.14590505; 8.0211509243269
87.54; 0.14449968; 8.1682453675529
88.56; 0.14321371; 8.3140307445556
89.58; 0.14213574; 8.458718798285
90.60; 0.14127321; 8.602528832039
91.62; 0.14060784; 8.745661543298
92.63; 0.14017158; 8.8883501584527
93.65; 0.14010608; 9.0309721066988
94.67; 0.14067182; 9.17416995111
95.69; 0.14219094; 9.318914190914
96.71; 0.14493494; 9.4664517058658
97.72; 0.14899301; 9.6181201598371
98.74; 0.15416957; 9.7750581339831
99.76; 0.15995421; 9.9378846140803
100.78; 0.16558448; 10.106442473235
101.80; 0.17019121; 10.279689780113
102.81; 0.17298702; 10.455783097636
103.83; 0.17344459; 10.632342207614
104.85; 0.17141471; 10.806834983446
105.87; 0.16715471; 10.976991265244
106.89; 0.16126668; 11.141153790147
107.90; 0.15457017; 11.298499557612
108.92; 0.14794829; 11.449104527763
109.94; 0.14220493; 11.593863009815
110.96; 0.13795817; 11.734298469082
111.98; 0.13557741; 11.872310424928
112.99; 0.13515908; 12.009896532278
114.01; 0.1365305; 12.148878685489
115.03; 0.13927589; 12.290655535433
116.05; 0.14278515; 12.43600465972
117.07; 0.14633032; 12.584962615888
118.08; 0.14917123; 12.736812491384
119.10; 0.15068045; 12.89019868271
120.12; 0.15046427; 13.043364818842
121.14; 0.14844744; 13.194477906559
122.15; 0.14489156; 13.341971261095
123.17; 0.1403326; 13.484823797323
124.19; 0.13544688; 13.622702872887
125.21; 0.13087934; 13.755932388442
126.23; 0.12708325; 13.885297652636
127.24; 0.12421897; 14.011747207999
128.26; 0.12214185; 14.136082342141
129.28; 0.12048055; 14.258726345621
130.30; 0.11877788; 14.379637101721
131.32; 0.1166467; 14.498378404163
132.33; 0.11389093; 14.614314451373
133.35; 0.11055595; 14.726855642547
134.37; 0.10689833; 14.835673532118
135.39; 0.10329189; 14.940820215873
136.41; 0.10010657; 15.042724385051
137.42; 0.097601534; 15.142078535467
138.44; 0.095864629; 15.239664590746
139.46; 0.094811408; 15.336178513047
140.48; 0.094235483; 15.432106168325
141.50; 0.093886248; 15.527678317129
142.51; 0.093544395; 15.622902474818
143.53; 0.093070761; 15.717644493472
144.55; 0.092416761; 15.811720767958
145.57; 0.091599617; 15.904965225004
146.59; 0.090657405; 15.99725055112
147.60; 0.089604143; 16.088463702297
148.62; 0.088402874; 16.178454013291
149.64; 0.086966628; 16.266982288229
150.66; 0.085186539; 16.353698508762
151.68; 0.082976772; 16.438165281666
152.69; 0.08032021; 16.519927789222
153.71; 0.077298364; 16.598614187701
154.73; 0.074093686; 16.674038362929
155.75; 0.070960803; 16.746273397921
156.77; 0.068172703; 16.815670267617
157.78; 0.065955968; 16.882810597223
158.80; 0.064433216; 16.948400830681
159.82; 0.063589772; 17.013132474221
160.84; 0.063275209; 17.077543906041
161.86; 0.063240463; 17.14191996816
162.87; 0.063200668; 17.206255520689
163.89; 0.06290595; 17.270291063414
164.91; 0.062199876; 17.333607853109
165.93; 0.061049061; 17.395753162703
166.94; 0.059536577; 17.456358829433
167.96; 0.057823244; 17.51522039714
168.98; 0.056090801; 17.572318412643
170.00; 0.054485968; 17.627782776751
171.02; 0.053082809; 17.681818785667
172.03; 0.051873413; 17.734623681994
173.05; 0.050786476; 17.78632212316
174.07; 0.049723874; 17.836938880971
175.09; 0.048600119; 17.886411704743
176.11; 0.047370363; 17.934632690355
177.12; 0.046038657; 17.981498056797
178.14; 0.044646769; 18.026946540802
179.16; 0.043251454; 18.070974654576
180.18; 0.041901704; 18.113628781175
181.20; 0.040625979; 18.154984274495
182.21; 0.039433783; 18.19512616438
183.23; 0.038328799; 18.234143227964
184.25; 0.0373253; 18.272138772706
185.27; 0.036458091; 18.309251536001
186.29; 0.035779222; 18.345673240362
187.30; 0.035340875; 18.381648725729
188.32; 0.035170373; 18.417450647749
189.34; 0.035247469; 18.453331050137
190.36; 0.035494041; 18.489462452447
191.38; 0.035782187; 18.525887174866
192.39; 0.035959985; 18.562492887842
193.41; 0.035887644; 18.599024960873
194.43; 0.035472855; 18.635134796536
195.45; 0.034694316; 18.670452113041
196.47; 0.033606436; 18.704662014711
197.48; 0.032324463; 18.737566923497
198.50; 0.030995387; 18.769118890013
199.52; 0.029763798; 18.799417152407
200.54; 0.028742362; 18.828675636914
201.56; 0.027993889; 18.857172208225
202.57; 0.027527541; 18.885194057164
203.59; 0.027307256; 18.912991665755
204.61; 0.027267559; 18.940748863735
205.63; 0.027331187; 18.968570832218
206.65; 0.027424203; 18.99648748697
207.66; 0.027486421; 19.024467477535
208.68; 0.027477043; 19.052437921568
209.70; 0.027376506; 19.080306023032
210.72; 0.027185626; 19.107979817316
211.74; 0.02692254; 19.135385801323
212.75; 0.026617427; 19.162481193514
213.77; 0.026305071; 19.189258620746
214.79; 0.026016042; 19.215741829134
215.81; 0.025768304; 19.241972851055
216.82; 0.025561694; 19.267993552531
217.84; 0.025377445; 19.293826696026
218.86; 0.025183592; 19.319462506337
219.88; 0.024945107; 19.34485554888
220.90; 0.024635715; 19.369933643981
221.91; 0.024247463; 19.394616514843
222.93; 0.023794577; 19.418838367805
223.95; 0.023310065; 19.442567008244
224.97; 0.022836035; 19.465813106089
225.99; 0.022411012; 19.488626548842
227.00; 0.022058606; 19.511081258103
228.02; 0.021781373; 19.533253756375
229.04; 0.02156178; 19.555202717836
230.06; 0.021369601; 19.576956049394
231.08; 0.021172822; 19.598509069016
232.09; 0.020948041; 19.619833271111
233.11; 0.020686806; 19.640891547073
234.13; 0.020396068; 19.661653863823
235.15; 0.020093183; 19.682107857507
236.17; 0.019797865; 19.702261229317
237.18; 0.01952435; 19.722136175445
238.20; 0.019276699; 19.741759023012
239.22; 0.019048643; 19.761149719168
240.24; 0.018827609; 19.780315413148
241.26; 0.018600977; 19.799250405233
242.27; 0.018361961; 19.817942089011
243.29; 0.018112891; 19.836380230304
244.31; 0.01786479; 19.854565815891
245.33; 0.017633602; 19.872516062099
246.35; 0.017434594; 19.890263725947
247.36; 0.017276971; 19.907850936841
248.38; 0.017160499; 19.92531958384
249.40; 0.017075061; 19.942701259474
250.42; 0.017003077; 19.960009658163
251.44; 0.016923781; 19.977237336794
252.45; 0.016817986; 19.994357321017
253.47; 0.016672007; 20.011328704393
254.49; 0.016479898; 20.028104529341
255.51; 0.016243788; 20.04464000477
256.53; 0.015972584; 20.060899405698
257.54; 0.015679604; 20.076860565758
258.56; 0.015379717; 20.092516454447
259.58; 0.015086415; 20.10787377415
260.60; 0.014809118; 20.122948817683
261.61; 0.014551001; 20.137761108507
262.63; 0.014307698; 20.15232572755
263.65; 0.014067402; 20.166645735862
264.67; 0.01381282; 20.180706590752
265.69; 0.013525186; 20.194474646002
266.70; 0.013189929; 20.207901424492
267.72; 0.012802873; 20.220934196917
268.74; 0.012375203; 20.233531619468
269.76; 0.011935287; 20.245681226252
270.78; 0.011525918; 20.25741411376
271.79; 0.011196696; 20.268811867331
272.81; 0.010992792; 20.280002055069
273.83; 0.01094279; 20.291141343212
274.85; 0.011049052; 20.302388801472
275.87; 0.011283779; 20.313875201532
276.88; 0.011592578; 20.325675945351
277.90; 0.011905201; 20.337794925873
278.92; 0.012150915; 20.350164032887
279.94; 0.012274414; 20.362658856232
280.96; 0.012247885; 20.375126674299
281.97; 0.012075952; 20.387419472681
282.99; 0.011792365; 20.399423591846
284.01; 0.011449793; 20.411078987354
285.03; 0.011106052; 20.422384468731
286.05; 0.010810869; 20.433389466366
287.06; 0.010596698; 20.444176447935
288.08; 0.01047541; 20.454839963484
289.10; 0.01044059; 20.465468033476
290.12; 0.010473492; 20.476129596571
291.14; 0.010549937; 20.486868977233
292.15; 0.010645802; 20.497705944716
293.17; 0.010739936; 20.508638736341
294.19; 0.010814694; 20.519647628407
295.21; 0.010855297; 20.530697852628
296.23; 0.010849418; 20.541742091816
297.24; 0.010787865; 20.5527236728
298.26; 0.010666291; 20.563581496265
299.28; 0.010487004; 20.574256813898
300.30; 0.010259682; 20.584700727487
301.32; 0.010000135; 20.594880433639
302.33; 0.0097271653; 20.604782268173
303.35; 0.0094584676; 20.614410580049
304.37; 0.0092070779; 20.623782988071
305.39; 0.0089797347; 20.6329239705
306.41; 0.0087777763; 20.641859368046
307.42; 0.0086001299; 20.650613929214
308.44; 0.008447036; 20.659212647403
309.46; 0.0083227917; 20.667684890229
310.48; 0.0082361459; 20.676068931321
311.49; 0.0081979157; 20.684414055784
312.51; 0.0082165391; 20.692778138033
313.53; 0.0082931812; 20.701220238666
314.55; 0.0084183239; 20.709789729089
315.57; 0.0085713537; 20.718514997261
316.58; 0.0087236859; 20.727395333066
317.60; 0.0088447534; 20.736398910384
318.62; 0.0089091835; 20.745468074701
319.64; 0.0089030117; 20.754530956437
320.66; 0.0088270029; 20.763516464496
321.67; 0.0086959852; 20.772368602228
322.69; 0.0085342998; 20.781056151117
323.71; 0.0083686497; 20.789575075378
324.73; 0.0082204481; 20.797943136806
325.75; 0.0080999574; 20.806188543917
326.76; 0.0080040203; 20.814336291153
327.78; 0.0079181272; 20.82239660301
328.80; 0.0078222521; 20.830359318122
329.82; 0.0076986961; 20.838196258503
