#Wavenumber (cm^-1);  Spectrum at 400.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
0.00; 0.0011562768; 0.001177039842485
1.02; 0.0012053985; 0.0024040835317333
2.04; 0.0013500275; 0.0037783532799252
3.05; 0.0015823977; 0.0053891658293308
4.07; 0.0018908822; 0.0073140023281421
5.09; 0.002261484; 0.0096160954704535
6.11; 0.0026791932; 0.012343398577751
7.13; 0.0031289271; 0.015528511348314
8.14; 0.0035960749; 0.019189160380986
9.16; 0.004066958; 0.023329148155419
10.18; 0.0045296171; 0.027940102909922
11.20; 0.0049751636; 0.033004604816474
12.22; 0.0053995348; 0.03850109825921
13.23; 0.0058050373; 0.044410375719387
14.25; 0.0062008132; 0.050722536020423
15.27; 0.0066015026; 0.057442580814363
16.29; 0.0070239505; 0.064592659346444
17.31; 0.0074826402; 0.072209664189435
18.32; 0.0079852728; 0.080338327307263
19.34; 0.0085301843; 0.089021686822297
20.36; 0.0091068583; 0.098292075636475
21.38; 0.0096997193; 0.10816597129964
22.40; 0.010294054; 0.11864487383188
23.41; 0.010881874; 0.12972215220633
24.43; 0.011465319; 0.14139335175758
25.45; 0.012055988; 0.15366582765787
26.47; 0.01267022; 0.1665635646955
27.48; 0.013322031; 0.18012481765494
28.50; 0.014016614; 0.19439312599949
29.52; 0.014747169; 0.20940510805225
30.54; 0.015496561; 0.22517993880755
31.56; 0.016243185; 0.24171479982909
32.57; 0.016968522; 0.25898802272577
33.59; 0.017663021; 0.27696821630298
34.61; 0.018327615; 0.29562493774146
35.63; 0.01897019; 0.31493577283425
36.65; 0.019598765; 0.3348864700246
37.66; 0.020214831; 0.35546429615427
38.68; 0.020810427; 0.37664841245508
39.70; 0.021370833; 0.39840299801298
40.72; 0.021882037; 0.42067796737243
41.74; 0.022339522; 0.44341863706989
42.75; 0.022753884; 0.46658110880068
43.77; 0.023149849; 0.4901466562334
44.79; 0.023558206; 0.51412789292084
45.81; 0.024003621; 0.53856254285195
46.83; 0.024493758; 0.56349613110409
47.84; 0.025015129; 0.58896045322001
48.86; 0.025538552; 0.6149575972504
49.88; 0.026032834; 0.64145789877343
50.90; 0.026481276; 0.66841469473839
51.92; 0.026893616; 0.69579123497066
52.93; 0.027307259; 0.72358884655027
53.95; 0.027775756; 0.75186336804309
54.97; 0.028347866; 0.78072027264728
55.99; 0.029044922; 0.81028675023635
57.01; 0.029845612; 0.84066829527432
58.02; 0.030684971; 0.87190427207395
59.04; 0.031469212; 0.90393857206345
60.06; 0.032102002; 0.93661702511467
61.08; 0.032513471; 0.96971433513417
62.10; 0.032682193; 1.0029833968072
63.11; 0.032643079; 1.0362126422067
64.13; 0.032479194; 1.0692750596677
65.15; 0.032300963; 1.1021560465179
66.17; 0.032219881; 1.1349544950494
67.19; 0.032324541; 1.1678594824746
68.20; 0.032664808; 1.2011108471227
69.22; 0.033246462; 1.2349543103343
70.24; 0.034035394; 1.2696008723569
71.26; 0.034968627; 1.3051974254371
72.27; 0.03596925; 1.3418125697942
73.29; 0.036963129; 1.3794394405262
74.31; 0.037895855; 1.4180157851586
75.33; 0.03874806; 1.4574596382386
76.35; 0.039546136; 1.4977158985864
77.36; 0.040364358; 1.538805073477
78.38; 0.041314868; 1.5808618261807
79.40; 0.042524487; 1.6241499187578
80.42; 0.044101638; 1.6690434828304
81.44; 0.046101223; 1.7159725388291
82.45; 0.048498055; 1.7653414661958
83.47; 0.051178681; 1.8174391549792
84.49; 0.053956873; 1.8723649237969
85.51; 0.056610878; 1.929992354735
86.53; 0.058933304; 1.9899839148835
87.54; 0.060779995; 2.051855326724
88.56; 0.062104127; 2.1150746481589
89.58; 0.062966204; 2.179171526799
90.60; 0.0635179; 2.2438300080039
91.62; 0.063965187; 2.3089438085289
92.63; 0.064521364; 2.3746237729481
93.65; 0.065362097; 2.4411595668355
94.67; 0.066592586; 2.508947946171
95.69; 0.068232778; 2.5784059695859
96.71; 0.070221905; 2.6498888384726
97.72; 0.072439863; 2.7236294925937
98.74; 0.074740288; 2.7997118806085
99.76; 0.076988537; 2.8780828893585
100.78; 0.079096589; 2.9585998033815
101.80; 0.081046438; 3.0411015802795
102.81; 0.082894573; 3.1254846783519
103.83; 0.084753543; 3.2117601275803
104.85; 0.086752744; 3.3000706778818
105.87; 0.088988001; 3.39065662263
106.89; 0.091475748; 3.4837749871337
107.90; 0.094129382; 3.5795946359891
108.92; 0.096770402; 3.6781027297515
109.94; 0.099175822; 3.7790594366429
110.96; 0.10114915; 3.882024909464
111.98; 0.10259081; 3.9864579286873
112.99; 0.10354036; 4.091857547252
114.01; 0.10417062; 4.1978987447438
115.03; 0.10473076; 4.3045101382457
116.05; 0.10545596; 4.4118597555689
117.07; 0.10647705; 4.5202487999315
118.08; 0.10776688; 4.629950830228
119.10; 0.10914873; 4.7410595266679
120.12; 0.11036887; 4.8534102733787
121.14; 0.11120886; 4.9666160967283
122.15; 0.11159497; 5.0802149653607
123.17; 0.11165951; 5.1938795238835
124.19; 0.11172488; 5.3076106351788
125.21; 0.11221021; 5.4218357871491
126.23; 0.11349059; 5.5373643063698
127.24; 0.11575963; 5.6552026103404
128.26; 0.11894643; 5.7762849422706
129.28; 0.12271916; 5.9012077537005
130.30; 0.12657548; 6.0300561273483
131.32; 0.12998788; 6.1623781844061
132.33; 0.13255266; 6.2973110687634
133.35; 0.13409138; 6.4338103109295
134.37; 0.13467424; 6.570902870876
135.39; 0.13456467; 6.707883901779
136.41; 0.13411409; 6.8444062560031
137.42; 0.13365014; 6.9804563335972
138.44; 0.13339923; 7.1162509886088
139.46; 0.13346406; 7.2521116424195
