#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 31.598389; 32.165796042632
1.02; 33.334673; 66.099055134015
2.04; 38.426435; 105.21550818598
3.05; 46.555545; 152.60704375506
4.07; 57.28976; 210.92554712945
5.09; 70.190812; 282.37676505682
6.11; 84.903838; 368.80520887669
7.13; 101.19701; 471.81939879562
8.14; 118.94142; 592.89662822941
9.16; 138.04657; 733.42208185215
10.18; 158.38603; 894.65222276148
11.20; 179.75217; 1077.6321767825
12.22; 201.86698; 1283.124052522
13.23; 224.45042; 1511.6048928949
14.25; 247.3206; 1763.3665920749
15.27; 270.48139; 2038.7049775151
16.29; 294.15257; 2338.1395967348
17.31; 318.71684; 2662.5795872734
18.32; 344.59037; 3013.3577169486
19.34; 372.05607; 3392.0947383467
20.36; 401.11843; 3800.4159946296
21.38; 431.43558; 4239.5988010792
22.40; 462.35805; 4710.2593453502
23.41; 493.0649; 5212.178141066
24.43; 522.7507; 5744.3157937216
25.45; 550.79769; 6305.0040779437
26.47; 576.87492; 6892.2378577955
27.48; 600.93671; 7503.9654950976
28.50; 623.13522; 8138.2902582755
29.52; 643.69659; 8793.5456121462
30.54; 662.8223; 9468.2701147933
31.56; 680.66138; 10161.154031714
32.57; 697.36136; 10871.037805483
33.59; 713.16371; 11597.007683339
34.61; 728.4829; 12338.571837774
35.63; 743.91071; 13095.840835323
36.65; 760.11948; 13869.609664505
37.66; 777.68704; 14661.261516865
38.68; 796.90899; 15472.480484616
39.70; 817.68075; 16304.844201477
40.72; 839.5115; 17159.430686011
41.74; 861.68116; 18036.584928692
42.75; 883.4903; 18935.939934586
43.77; 904.50921; 19856.691279838
44.79; 924.7262; 20798.022644154
45.81; 944.5331; 21759.516585875
46.83; 964.55317; 22741.390092346
47.84; 985.38485; 23744.469349994
48.86; 1007.374; 24769.932582045
49.88; 1030.5164; 25818.953820578
50.90; 1054.5359; 26892.425894336
51.92; 1079.1002; 27990.903289773
52.93; 1104.0683; 29114.797135299
53.95; 1129.6396; 30264.721492677
54.97; 1156.3088; 31441.793974553
55.99; 1184.6185; 32647.684508318
57.01; 1214.7999; 33884.298421684
58.02; 1246.462; 35153.142989479
59.04; 1278.4925; 36454.593180296
60.06; 1309.2626; 37787.366058701
61.08; 1337.105; 39148.481294634
62.10; 1360.9054; 40533.82430051
63.11; 1380.5767; 41939.191825851
64.13; 1397.1987; 43361.479859055
65.15; 1412.7187; 44799.566577112
66.17; 1429.2763; 46254.508133981
67.19; 1448.3795; 47728.895932126
68.20; 1470.2478; 49225.544773877
69.22; 1493.6059; 50745.971098053
70.24; 1516.064; 52289.258830543
71.26; 1535.0032; 53851.825874949
72.27; 1548.6726; 55428.307751375
73.29; 1557.0936; 57013.361879314
74.31; 1562.3982; 58603.815810487
75.33; 1568.4048; 60200.384204079
76.35; 1579.5061; 61808.253292422
77.36; 1599.2022; 63436.172158248
78.38; 1628.7715; 65094.191251292
79.40; 1666.5609; 66790.678315363
80.42; 1708.1913; 68529.543375837
81.44; 1747.6746; 70308.600750108
82.45; 1779.1268; 72119.675034171
83.47; 1798.5482; 73950.519479468
84.49; 1805.1037; 75788.037169577
85.51; 1801.4856; 77621.871805835
86.53; 1793.2345; 79447.307114798
87.54; 1787.2219; 81266.621860736
88.56; 1789.7574; 83088.517702486
89.58; 1804.8836; 84925.811291236
90.60; 1833.3419; 86792.074259162
91.62; 1872.4684; 88698.166336907
92.63; 1916.9845; 90649.573843031
93.65; 1960.3976; 92645.174023981
94.67; 1996.5833; 94677.609669189
95.69; 2021.1221; 96735.024793333
96.71; 2032.0925; 98803.6073114
97.72; 2030.212; 100870.27553658
98.74; 2018.4071; 102924.92691708
99.76; 2001.0182; 104961.87712771
100.78; 1982.8843; 106980.3678089
101.80; 1968.518; 108984.23417568
102.81; 1961.4987; 110980.95519879
103.83; 1964.1289; 112980.35365188
104.85; 1977.3329; 114993.1932049
105.87; 2000.7457; 117029.8659813
106.89; 2032.9297; 119099.30066856
107.90; 2071.6584; 121208.1595186
108.92; 2114.2108; 123360.3349129
109.94; 2157.6265; 125556.70559992
110.96; 2198.8882; 127795.07891999
111.98; 2235.0297; 130070.24268523
112.99; 2263.2055; 132374.08820884
114.01; 2280.793; 134695.83707574
115.03; 2285.6006; 137022.4799056
116.05; 2276.2189; 139339.5725622
117.07; 2252.4754; 141632.49531227
118.08; 2215.866; 143888.15126154
119.10; 2169.7774; 146096.89106148
120.12; 2119.3213; 148254.26872353
121.14; 2070.6898; 150362.14153498
122.15; 2030.0941; 152428.68969044
123.17; 2002.5124; 154467.16092448
124.19; 1990.5829; 156493.48838753
125.21; 1993.9843; 158523.27834015
126.23; 2009.5299; 160568.8930217
127.24; 2031.9887; 162637.36979335
128.26; 2055.4196; 164729.69827553
129.28; 2074.6337; 166841.58584975
130.30; 2086.357; 168965.4072261
131.32; 2089.7703; 171092.70319525
132.33; 2086.3111; 173216.47785262
133.35; 2078.8669; 175332.67466746
134.37; 2070.675; 177440.53244795
135.39; 2064.3089; 179541.90981675
136.41; 2061.062; 181639.98202889
137.42; 2060.8657; 183737.85434084
138.44; 2062.6784; 185837.57193954
139.46; 2065.1307; 187939.78586444
140.48; 2067.1523; 190044.05773207
141.50; 2068.3628; 192149.56183768
142.51; 2069.1283; 194255.84516524
143.53; 2070.3274; 196363.34909315
144.55; 2072.9671; 198473.54011578
145.57; 2077.8174; 200588.66852731
146.59; 2085.1924; 202711.30436898
147.60; 2094.927; 204843.8496918
148.62; 2106.5196; 206988.19573239
149.64; 2119.3611; 209145.61385622
150.66; 2132.9657; 211316.88091694
151.68; 2147.1368; 213502.57354707
152.69; 2162.0351; 215703.43203137
153.71; 2178.1413; 217920.6858836
154.73; 2196.1168; 220156.23800307
155.75; 2216.5765; 222412.61724424
156.77; 2239.7995; 224692.63649884
157.78; 2265.4297; 226998.74614789
158.80; 2292.2472; 229332.15483782
159.82; 2318.1063; 231691.88705929
160.84; 2340.1192; 234074.02743229
161.86; 2355.1072; 236471.42495752
162.87; 2360.2604; 238874.06817723
163.89; 2353.8581; 241270.19416064
164.91; 2335.8565; 243647.99527712
165.93; 2308.1558; 245997.59830329
166.94; 2274.435; 248312.87502205
167.96; 2239.5553; 250592.64569851
168.98; 2208.6559; 252840.96207188
170.00; 2186.1515; 255066.36993148
171.02; 2174.8677; 257280.29136761
172.03; 2175.511; 259494.86768552
173.05; 2186.5856; 261720.71743136
174.07; 2204.763; 263965.07103259
175.09; 2225.6177; 266230.65383677
176.11; 2244.5717; 268515.53100584
177.12; 2257.8601; 270813.93518936
178.14; 2263.3264; 273117.90383343
179.16; 2260.8847; 275419.38691924
180.18; 2252.541; 277712.37640797
181.20; 2241.9485; 279994.58319617
182.21; 2233.5747; 282268.26589461
183.23; 2231.659; 284539.99849296
184.25; 2239.2126; 286819.42025865
185.27; 2257.3232; 289117.27782947
186.29; 2284.9563; 291443.26476886
187.30; 2319.3037; 293804.21587512
188.32; 2356.5594; 296203.0916998
189.34; 2392.8644; 298638.92436023
190.36; 2425.1071; 301107.57871359
191.38; 2451.3347; 303602.9316277
192.39; 2470.6887; 306117.98609662
193.41; 2482.9801; 308645.55274287
194.43; 2488.1686; 311178.40099344
195.45; 2486.0461; 313709.08861584
196.47; 2476.3263; 316229.88191102
197.48; 2459.1388; 318733.17909823
198.50; 2435.7155; 321212.6323561
199.52; 2408.925; 323664.81405413
200.54; 2383.3295; 326090.94068477
201.56; 2364.6055; 328498.00706957
202.57; 2358.4238; 330898.78075389
203.59; 2369.1186; 333310.44123152
204.61; 2398.584; 335752.09619477
205.63; 2445.7753; 338241.78988454
206.65; 2506.9748; 340793.78209158
207.66; 2576.7043; 343416.7558583
208.68; 2648.9392; 346113.26168109
209.70; 2718.2034; 348880.27548516
210.72; 2780.2164; 351710.41576859
211.74; 2831.9923; 354593.26173437
212.75; 2871.5375; 357516.36303194
213.77; 2897.4509; 360465.84305516
214.79; 2908.7363; 363426.81105243
215.81; 2904.9821; 366383.95744153
216.82; 2886.8365; 369322.63243094
217.84; 2856.5084; 372230.4347203
218.86; 2817.9605; 375098.99688119
219.88; 2776.5607; 377925.41586332
220.90; 2738.183; 380712.76801156
221.91; 2707.9983; 383469.39347318
222.93; 2689.359; 386207.04483359
223.95; 2683.1758; 388938.4019673
224.97; 2688.0179; 391674.68823427
225.99; 2700.8945; 394424.08232928
227.00; 2718.4234; 397191.32003158
228.02; 2737.9579; 399978.44305627
229.04; 2758.281; 402786.25410101
230.06; 2779.6637; 405615.83178431
231.08; 2803.3432; 408469.51414285
232.09; 2830.6875; 411351.03183316
233.11; 2862.4016; 414264.83316286
234.13; 2898.0646; 417214.93785434
235.15; 2936.1117; 420203.77283472
236.17; 2974.1774; 423231.35711487
237.18; 3009.5815; 426294.98123345
238.20; 3039.7257; 429389.29087396
239.22; 3062.2696; 432506.54920791
240.24; 3075.1055; 435636.87389782
241.26; 3076.2815; 438768.39568627
242.27; 3064.0572; 441887.47369826
243.29; 3037.205; 444979.21733086
244.31; 2995.5242; 448028.53173689
245.33; 2940.3904; 451021.72224829
246.35; 2875.0864; 453948.43610573
247.36; 2804.7027; 456803.50242994
248.38; 2735.5334; 459588.15740796
249.40; 2674.0813; 462310.25682544
250.42; 2625.9383; 464983.34868596
251.44; 2594.8616; 467624.80579451
252.45; 2582.304; 470253.47983138
253.47; 2587.4974; 472887.44052531
254.49; 2608.0053; 475542.27737131
255.51; 2640.5193; 478230.21203381
256.53; 2681.6276; 480959.99318366
257.54; 2728.341; 483737.32657884
258.56; 2778.2862; 486565.50204532
259.58; 2829.6141; 489445.92710404
260.60; 2880.7628; 492378.4193694
261.61; 2930.2341; 495361.27125469
262.63; 2976.4918; 498391.21147707
263.65; 3018.0083; 501463.41374017
264.67; 3053.4104; 504571.65374824
265.69; 3081.6435; 507708.63381974
266.70; 3102.0912; 510866.42879272
267.72; 3114.6295; 514036.98717691
268.74; 3119.6385; 517212.6446001
269.76; 3118.0083; 520386.64245984
270.78; 3111.1475; 523553.6563948
271.79; 3100.9666; 526710.30656986
272.81; 3089.7667; 529855.55572757
273.83; 3079.978; 532990.84045735
274.85; 3073.7387; 536119.77377659
275.87; 3072.3885; 539247.33271012
276.88; 3076.0266; 542378.59503955
277.90; 3083.3046; 545517.266063
278.92; 3091.5859; 548664.36709553
279.94; 3097.4899; 551817.47813746
280.96; 3097.7081; 554970.81128887
281.97; 3089.871; 558116.16663425
282.99; 3073.2109; 561244.56272072
284.01; 3048.8221; 564348.13205342
285.03; 3019.4496; 567421.80145393
286.05; 2988.8882; 570464.36063365
287.06; 2961.1885; 573478.72274346
288.08; 2939.9026; 576471.41669524
289.10; 2927.5465; 579451.5327255
290.12; 2925.3477; 582429.41048644
291.14; 2933.2272; 585415.30915286
292.15; 2949.9029; 588418.18304874
293.17; 2973.0149; 591444.5839683
294.19; 2999.2488; 594497.68982946
295.21; 3024.5356; 597576.5366057
296.23; 3044.4565; 600675.66192081
297.24; 3054.945; 603785.46413591
298.26; 3053.2563; 606893.54733397
299.28; 3038.9963; 609987.11445143
300.30; 3014.8707; 613056.12273472
301.32; 2986.7868; 616096.54282854
302.33; 2963.0718; 619112.82204928
303.35; 2952.8332; 622118.67878532
304.37; 2963.799; 625135.69831397
305.39; 3000.2176; 628189.79037059
306.41; 3061.4625; 631306.22713231
307.42; 3141.8343; 634504.47887776
308.44; 3231.7009; 637794.21093067
309.46; 3319.6988; 641173.52108297
310.48; 3395.365; 644629.85617505
311.49; 3451.4257; 648143.25864119
312.51; 3485.0885; 651690.92832734
313.53; 3498.0299; 655251.77181611
314.55; 3495.2175; 658809.7524296
