#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0.11332113; 0.11535602234778
1.02; 0.12018866; 0.23770289281477
2.04; 0.14026412; 0.3804857126434
3.05; 0.17210548; 0.55568166205269
4.07; 0.21373111; 0.77325071212836
5.09; 0.26311621; 1.0410916561988
6.11; 0.31865944; 1.3654732128887
7.13; 0.37947986; 1.7517673371053
8.14; 0.44545711; 2.2052234545304
9.16; 0.51700692; 2.731514189863
10.18; 0.59466482; 3.3368573154462
11.20; 0.67861059; 4.0276536143505
12.22; 0.76828818; 4.809737824167
13.23; 0.86225373; 5.6874749165522
14.25; 0.95832292; 6.6630062990081
15.27; 1.0540014; 7.7359342736054
16.29; 1.1470922; 8.9036246282246
17.31; 1.2363043; 10.162129025252
18.32; 1.3216657; 11.507527657864
19.34; 1.4045809; 12.937330353249
20.36; 1.4874705; 14.451511166384
21.38; 1.5730664; 16.052824928952
22.40; 1.6635626; 17.746259868688
23.41; 1.7599022; 19.537764398237
24.43; 1.8614647; 21.432655101639
25.45; 1.9662991; 23.4342627524
26.47; 2.0718621; 25.543328992769
27.48; 2.176015; 27.758418402184
28.50; 2.2779076; 30.077230016922
29.52; 2.3783762; 32.498314310554
30.54; 2.4796387; 35.022479504683
31.56; 2.5843286; 37.653214522569
32.57; 2.6941855; 40.395779143832
33.59; 2.8088978; 43.255115849636
34.61; 2.9255882; 46.233238439651
35.63; 3.0392352; 49.327048738872
36.65; 3.1439839; 52.527488657146
37.66; 3.2349631; 55.82054145127
38.68; 3.3100051; 59.189983820935
39.70; 3.3706734; 62.621183866483
40.72; 3.4222325; 66.104868892208
41.74; 3.4725669; 69.639792141751
42.75; 3.5304127; 73.233599908484
43.77; 3.6034773; 76.901784347819
44.79; 3.696996; 80.665166726939
45.81; 3.8130403; 84.54667717185
46.83; 3.9505655; 88.568182372631
47.84; 4.1059097; 92.747821297236
48.86; 4.2733679; 97.097925456577
49.88; 4.4455896; 101.62334383018
50.90; 4.6138138; 106.32000720877
51.92; 4.7682156; 111.1738449571
52.93; 4.8987346; 116.16054537035
53.95; 4.9966133; 121.24688206521
54.97; 5.0565223; 126.39420354537
55.99; 5.07874; 131.56414166
57.01; 5.0705856; 136.72577896872
58.02; 5.0463339; 141.86272907006
59.04; 5.0252097; 146.9781756936
60.06; 5.0276716; 152.09612839365
61.08; 5.0708221; 157.25800650125
62.10; 5.1641902; 162.5149292957
63.11; 5.3071336; 167.91736228732
64.13; 5.4886898; 173.50461161248
65.15; 5.6899858; 179.29677162613
66.17; 5.888554; 185.29106553434
67.19; 6.0633489; 191.46329304675
68.20; 6.1991036; 197.77371297116
69.22; 6.2889342; 204.17557656596
70.24; 6.3346773; 210.62400467277
71.26; 6.3451245; 217.08306756916
72.27; 6.3328688; 223.52965476382
73.29; 6.3107561; 229.95373212851
74.31; 6.2888954; 236.35555622379
75.33; 6.2729019; 242.74109969313
76.35; 6.2636416; 249.11721651429
77.36; 6.2583555; 255.48795239883
78.38; 6.2527501; 261.85298223037
79.40; 6.2434676; 268.20856285487
80.42; 6.2303074; 274.5507469204
81.44; 6.2176185; 280.88001426141
82.45; 6.2144305; 287.20603631257
83.47; 6.2331297; 293.55109334373
84.49; 6.2868173; 299.95080210509
85.51; 6.385853; 306.45132492197
86.53; 6.5344076; 313.10306987987
87.54; 6.7280019; 319.95188548128
88.56; 6.9528944; 327.02963195358
89.58; 7.1877762; 334.34647800564
90.60; 7.4076129; 341.88710832033
91.62; 7.5888139; 349.61219336727
92.63; 7.7144321; 357.46515237214
93.65; 7.7779823; 365.38280274282
94.67; 7.7847861; 373.30737902155
95.69; 7.7504345; 381.19698688596
96.71; 7.6967883; 389.03198529416
97.72; 7.6466449; 396.81593984722
98.74; 7.6185567; 404.57130182112
99.76; 7.6231749; 412.33136492675
100.78; 7.6619618; 420.13091141332
101.80; 7.7283625; 427.99805095163
102.81; 7.8108056; 435.94911401141
103.83; 7.8964468; 443.98735615584
104.85; 7.9745032; 452.10505633674
105.87; 8.038326; 460.28772530576
106.89; 8.0858843; 468.51880662818
107.90; 8.1188748; 476.78347087636
108.92; 8.1410453; 485.07070372555
109.94; 8.1564319; 493.37359942139
110.96; 8.1680596; 501.68833164324
111.98; 8.1773561; 510.01252728897
112.99; 8.1842132; 518.34370312714
114.01; 8.1874292; 526.6781527079
115.03; 8.1852275; 535.01036109445
116.05; 8.1756547; 543.33282480605
117.07; 8.1568321; 551.6361279177
118.08; 8.1271702; 559.90923646482
119.10; 8.0856848; 568.14011472304
120.12; 8.0324664; 576.31681890754
121.14; 7.9691962; 584.42911676147
122.15; 7.8994678; 592.47043409378
123.17; 7.8286345; 600.43964622858
124.19; 7.7630158; 608.34206134566
125.21; 7.7085263; 616.18900851519
126.23; 7.669064; 623.99578477605
127.24; 7.6451858; 631.77825403964
128.26; 7.6336148; 639.54894448335
129.28; 7.6279195; 647.31383735025
130.30; 7.6203264; 655.07100076889
131.32; 7.6041965; 662.81174469647
132.33; 7.5763774; 670.52417000566
133.35; 7.5385738; 678.19811278601
134.37; 7.4971258; 685.82986338041
135.39; 7.4610928; 693.42493385122
136.41; 7.4391422; 700.99765956245
137.42; 7.4362402; 708.56743124012
138.44; 7.4513112; 716.1525445455
139.46; 7.4768031; 723.76360751343
140.48; 7.5005014; 731.39879427911
141.50; 7.5091645; 739.04279973537
142.51; 7.4928806; 746.67022888853
143.53; 7.4487117; 754.2526959809
144.55; 7.3823428; 761.76760241448
145.57; 7.3070553; 769.20586935315
146.59; 7.2402029; 776.57608343096
147.60; 7.1981978; 783.90353820715
148.62; 7.1915207; 791.22419590359
149.64; 7.2212842; 798.57515160799
150.66; 7.2784024; 805.98425114034
151.68; 7.3456059; 813.46176092151
152.69; 7.4016876; 820.99635951542
153.71; 7.426727; 828.55644717304
154.73; 7.4068239; 836.09627431573
155.75; 7.337108; 843.56513369089
156.77; 7.2223662; 850.91719083867
157.78; 7.0753358; 858.11957739787
158.80; 6.9133275; 865.15704649188
159.82; 6.7541956; 872.03252612864
160.84; 6.6127106; 878.7639801609
161.86; 6.4981487; 885.37881510632
162.87; 6.4135048; 891.90748628803
163.89; 6.3562967; 898.37792201064
164.91; 6.3205538; 904.8119730028
165.93; 6.2993558; 911.22444542487
166.94; 6.2872093; 917.6245531398
167.96; 6.281637; 924.01898851205
168.98; 6.2835776; 930.41539933486
170.00; 6.2965091; 936.8249739358
171.02; 6.3245756; 943.26311893234
172.03; 6.3703118; 949.74782146478
173.05; 6.4327446; 956.2960778747
174.07; 6.5066017; 962.91951758588
175.09; 6.5830697; 969.62079848505
176.11; 6.6520493; 976.39229758627
177.12; 6.7053062; 983.21800990822
178.14; 6.7395051; 990.07853530688
179.16; 6.7580047; 996.95789250403
180.18; 6.7705847; 1003.8500555209
181.20; 6.7909125; 1010.7629114144
182.21; 6.8323472; 1017.7179460301
183.23; 6.9033443; 1024.7452526655
184.25; 7.0040139; 1031.875036541
185.27; 7.1251351; 1039.1281165966
186.29; 7.2501972; 1046.508504525
187.30; 7.3600286; 1054.0006960029
188.32; 7.4386439; 1061.5729144823
189.34; 7.4784193; 1069.1856226078
190.36; 7.4828055; 1076.8027956907
191.38; 7.4655195; 1084.4023723533
192.39; 7.4462873; 1091.982371542
193.41; 7.4443761; 1099.5604251385
194.43; 7.4719507; 1107.1665485186
195.45; 7.5294413; 1114.8311948337
196.47; 7.6045304; 1122.5722785937
197.48; 7.6752503; 1130.3853522372
198.50; 7.7163698; 1138.2402836858
199.52; 7.7071751; 1146.0858553147
200.54; 7.6382699; 1153.8612844916
201.56; 7.5152791; 1161.5115143013
202.57; 7.3582714; 1169.0019170276
203.59; 7.1970148; 1176.3281675177
204.61; 7.0634315; 1183.5184359852
205.63; 6.983443; 1190.6272796482
206.65; 6.9705399; 1197.7229884957
207.66; 7.0228464; 1204.871943121
208.68; 7.1243757; 1212.1242501175
209.70; 7.2499284; 1219.5043644311
210.72; 7.3720682; 1227.008811765
211.74; 7.4681016; 1234.6110169087
212.75; 7.5251372; 1242.2712818911
213.77; 7.5420013; 1249.9487138081
214.79; 7.5278025; 1257.61169192
215.81; 7.4979328; 1265.2442639415
216.82; 7.4689576; 1272.8473404416
217.84; 7.4540092; 1280.4352001647
218.86; 7.4599513; 1288.0291087195
