#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0.18104563; 0.18429664263254
1.02; 0.19507468; 0.38287424724683
2.04; 0.23618457; 0.62329994750107
3.05; 0.3016221; 0.93033823431819
4.07; 0.38735303; 1.3246469037234
5.09; 0.48876325; 1.8221867996759
6.11; 0.60141732; 2.4344036777331
7.13; 0.72172329; 3.1690868469367
8.14; 0.84738139; 4.0316845356167
9.16; 0.97753943; 5.0267774898261
10.18; 1.1126287; 6.1593855113797
11.20; 1.2539054; 7.4358071042498
12.22; 1.4027754; 8.8637719579946
13.23; 1.560036; 10.451821335676
14.25; 1.7252139; 12.208014606782
15.27; 1.8961975; 14.138261879686
16.29; 2.0693277; 16.244748134696
17.31; 2.2400029; 18.524974442412
18.32; 2.4037033; 20.971840648552
19.34; 2.5571618; 23.574921058924
20.36; 2.699306; 26.322698073101
21.38; 2.8315958; 29.205140400431
22.40; 2.9575438; 32.215792386515
23.41; 3.0814722; 35.352598142024
24.43; 3.206865; 38.617048291312
25.45; 3.3348856; 42.011817902388
26.47; 3.4636534; 45.537667617461
27.48; 3.5886642; 49.190772886736
28.50; 3.7043551; 52.961646535978
29.52; 3.806381; 56.836378185633
30.54; 3.8938494; 60.800148842654
31.56; 3.9706967; 64.842146758104
32.57; 4.045623; 68.960416390304
33.59; 4.1304669; 73.165053442351
34.61; 4.2374438; 77.478588377027
35.63; 4.3760811; 81.933250147859
36.65; 4.550814; 86.565782398483
37.66; 4.7599953; 91.41125222539
38.68; 4.9966013; 96.497576785439
39.70; 5.2503449; 101.84220131083
40.72; 5.5104575; 107.45160926604
41.74; 5.7682224; 113.32341071077
42.75; 6.0184891; 119.44997291235
43.77; 6.2598118; 125.8221911884
44.79; 6.4933538; 132.43214514773
45.81; 6.7211145; 139.27394968723
46.83; 6.9442035; 146.34284916181
47.84; 7.1617778; 153.6332298687
48.86; 7.3709317; 161.13652024282
49.88; 7.5674289; 168.83983629564
50.90; 7.746857; 176.72580245119
51.92; 7.9056792; 184.77344269028
52.93; 8.0417806; 192.95962828424
53.95; 8.1543962; 201.26045171661
54.97; 8.2436224; 209.65210356831
55.99; 8.309926; 218.11124964697
57.01; 8.3540719; 226.61533439772
58.02; 8.3776879; 235.14345919827
59.04; 8.3843505; 243.67836620412
60.06; 8.3807475; 252.20960553265
61.08; 8.3772928; 260.7373280602
62.10; 8.3876332; 269.27557676221
63.11; 8.4268051; 277.85370069819
64.13; 8.5082651; 286.51474742579
65.15; 8.6404921; 295.3103955024
66.17; 8.8241322; 304.29298130571
67.19; 9.0506355; 313.50613766394
68.20; 9.3029678; 322.97615747135
69.22; 9.5583914; 332.70618742535
70.24; 9.7926746; 342.67470762475
71.26; 9.9846509; 352.83865141162
72.27; 10.119952; 363.14032622356
73.29; 10.193052; 373.51641319912
74.31; 10.207339; 383.90704396592
75.33; 10.173612; 394.26334181607
76.35; 10.107827; 404.55267324779
77.36; 10.029033; 414.76179637126
78.38; 9.958081; 424.89869309403
79.40; 9.9170856; 434.99385830723
80.42; 9.9290437; 445.10119637243
81.44; 10.016683; 455.29774698331
82.45; 10.199819; 465.6807226785
83.47; 10.491158; 476.36026893341
84.49; 10.891358; 487.44720165289
85.51; 11.384966; 499.03660592012
86.53; 11.939093; 511.19008697814
87.54; 12.506263; 523.92092291045
88.56; 13.031765; 537.1866968744
89.58; 13.46435; 550.89282451744
90.60; 13.767827; 564.90787869071
91.62; 13.930369; 579.08839358998
92.63; 13.968646; 593.30787290019
93.65; 13.925088; 607.48301192188
94.67; 13.858461; 621.59032747945
95.69; 13.829891; 635.66856004687
96.71; 13.887889; 649.80583185748
97.72; 14.056357; 664.11459652849
98.74; 14.328819; 678.70071558707
99.76; 14.670414; 693.63456350161
100.78; 15.027025; 708.9314264151
101.80; 15.338948; 724.54581350204
102.81; 15.555301; 740.38043851013
103.83; 15.645322; 756.30670096424
104.85; 15.603751; 772.19064631093
105.87; 15.449333; 787.91740036981
106.89; 15.217493; 803.40815190004
107.90; 14.949852; 818.62645587692
108.92; 14.683895; 833.57402691097
109.94; 14.445766; 848.27919337027
110.96; 14.247841; 862.78288075856
111.98; 14.091043; 877.1269546042
112.99; 13.970324; 891.34814174133
114.01; 13.880843; 905.47824066021
115.03; 13.822412; 919.5488591982
116.05; 13.800659; 933.59733412801
117.07; 13.82469; 947.670272103
