#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0.048434552; 0.049304284054638
1.02; 0.051587536; 0.10181816947524
2.04; 0.060971417; 0.16388444078973
3.05; 0.076318623; 0.24157350533015
4.07; 0.097075687; 0.34039236573607
5.09; 0.12234065; 0.46492986784151
6.11; 0.15091346; 0.61855325869435
7.13; 0.18149092; 0.80330318238407
8.14; 0.21296009; 1.0200873635536
9.16; 0.24467981; 1.2691608486671
10.18; 0.27662472; 1.5507528779976
11.20; 0.30931351; 1.8656206884319
12.22; 0.34353475; 2.2153242396573
13.23; 0.37997883; 2.6021262877041
14.25; 0.41893671; 3.0285857795718
15.27; 0.46020693; 3.4970565708372
16.29; 0.50326547; 4.009359107318
17.31; 0.54763459; 4.5668274893889
18.32; 0.59328813; 5.1707691995134
19.34; 0.64089934; 5.8231770700466
20.36; 0.69178873; 6.5273881436144
21.38; 0.74754636; 7.2883580762813
22.40; 0.80943735; 8.1123303691917
23.41; 0.87779532; 9.0058881259785
24.43; 0.95162682; 9.9746031622096
25.45; 1.0285838; 11.021657112596
26.47; 1.1053382; 12.146843744345
27.48; 1.1782611; 13.346262712333
28.50; 1.2442185; 14.612823489557
29.52; 1.3012737; 15.937463930353
30.54; 1.3491294; 17.310819402903
31.56; 1.3892319; 18.724997555687
32.57; 1.4245475; 20.175125459184
33.59; 1.4590889; 21.660414963533
34.61; 1.4972998; 23.184601551151
35.63; 1.5434049; 24.75572110001
36.65; 1.6008163; 26.385283040968
37.66; 1.6716748; 28.086975884864
38.68; 1.7565848; 29.875103363423
39.70; 1.8545851; 31.762990995199
40.72; 1.9633631; 33.761609888338
41.74; 2.0796689; 35.878623045642
42.75; 2.1998429; 38.117968194056
43.77; 2.3203364; 40.479970474301
44.79; 2.4381153; 42.96186667534
45.81; 2.5508885; 45.558561051388
46.83; 2.657168; 48.263443426546
47.84; 2.7562354; 51.069172126732
48.86; 2.8480992; 53.968414168917
49.88; 2.9334972; 56.954587753587
50.90; 3.0139213; 60.022629597794
51.92; 3.0915716; 63.169716046206
52.93; 3.1691291; 66.395752679545
53.95; 3.2492886; 69.703388288329
54.97; 3.3341099; 73.097368249601
55.99; 3.4243714; 76.583230520308
57.01; 3.5191829; 80.165606877961
58.02; 3.6160726; 83.846612722405
59.04; 3.7116135; 87.624875114111
60.06; 3.8024417; 91.495596655774
61.08; 3.8863271; 95.45170989605
62.10; 3.9628925; 99.48576349369
63.11; 4.0336716; 103.59186715207
64.13; 4.1014383; 107.76695431721
65.15; 4.1690374; 112.01085451026
66.17; 4.2381705; 116.32512914633
67.19; 4.3086391; 120.71113777735
68.20; 4.3783916; 125.16815146337
69.22; 4.4443979; 129.69235673349
70.24; 4.5040304; 134.27726531717
71.26; 4.5563946; 138.91547835713
72.27; 4.6030382; 143.60117260574
73.29; 4.64769; 148.33232045557
74.31; 4.6950541; 153.11168290907
75.33; 4.7490706; 157.94603184731
76.35; 4.8112888; 162.84371622905
77.36; 4.8799938; 167.81133928826
78.38; 4.9504789; 172.85071322492
79.40; 5.0164597; 177.95725275949
80.42; 5.0722247; 183.12055866772
81.44; 5.1148661; 188.32727161963
82.45; 5.1458983; 193.5655740138
83.47; 5.1717652; 198.83020777499
84.49; 5.2030636; 204.12670199704
85.51; 5.2526645; 209.4736878446
86.53; 5.3331762; 214.90263106251
87.54; 5.4543113; 220.4548846053
88.56; 5.6206892; 226.17650361972
89.58; 5.8304651; 232.11166547661
90.60; 6.0750004; 238.29575371825
91.62; 6.3396086; 244.74920169893
92.63; 6.6052666; 251.47307805805
93.65; 6.8510597; 258.44716118153
94.67; 7.0570322; 265.63091539129
95.69; 7.2070397; 272.96737079025
96.71; 7.2911637; 280.38946078918
97.72; 7.3072742; 287.82795060866
98.74; 7.2614358; 295.21977889235
99.76; 7.1670354; 302.51551161073
100.78; 7.0427427; 309.68471973483
101.80; 6.9096395; 316.71843461886
102.81; 6.7880207; 323.62834677822
103.83; 6.6944354; 330.44299317337
104.85; 6.6394923; 337.20170982883
105.87; 6.6268031; 343.94750938312
106.89; 6.6532289; 350.7202093513
107.90; 6.7103539; 357.55106006466
