#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 6.361637; 6.4758719354522
1.02; 6.7205231; 13.317074407476
2.04; 7.7827828; 21.239611455338
3.05; 9.5039472; 30.914219629069
4.07; 11.807563; 42.933808875144
5.09; 14.587237; 57.782986236477
6.11; 17.717132; 75.818261579189
7.13; 21.072171; 97.268822150135
8.14; 24.554206; 122.26394418273
9.16; 28.115985; 150.8848040862
10.18; 31.773379; 183.22873280459
11.20; 35.599184; 219.46716574971
12.22; 39.698321; 259.87834325526
13.23; 44.171812; 304.84334200147
14.25; 49.082263; 354.80696730601
15.27; 54.433875; 410.21830292848
16.29; 60.174571; 471.47341928255
17.31; 66.218409; 538.88090232271
18.32; 72.477169; 612.65953256671
19.34; 78.885133; 692.96119392717
20.36; 85.403659; 779.89843388002
21.38; 92.001746; 873.55224157042
22.40; 98.621747; 973.9449241132
23.41; 105.14967; 1080.9827482943
24.43; 111.41155; 1194.3948996697
25.45; 117.20882; 1313.7084182677
26.47; 122.38847; 1438.2946004493
27.48; 126.9255; 1567.4992825892
28.50; 130.98327; 1700.8346042868
29.52; 134.91994; 1838.1772770148
30.54; 139.22607; 1979.9034037964
31.56; 144.40581; 2126.902281974
32.57; 150.83936; 2280.4502399301
33.59; 158.67773; 2441.977316983
34.61; 167.81304; 2612.8037471446
35.63; 177.94072; 2793.9397211693
36.65; 188.69252; 2986.0205642219
37.66; 199.78752; 3189.3956423545
38.68; 211.13635; 3404.3233361267
39.70; 222.84918; 3631.1741823668
40.72; 235.13709; 3870.5335959164
41.74; 248.14366; 4123.1331366977
42.75; 261.77937; 4389.6132417651
43.77; 275.63867; 4670.2015094769
44.79; 289.05171; 4964.4436768475
45.81; 301.26936; 5271.1228873254
46.83; 311.7211; 5588.441516176
47.84; 320.24688; 5914.4390213184
48.86; 327.20371; 6247.5182772103
49.88; 333.38961; 6586.8945096231
50.90; 339.79751; 6932.7937166661
51.92; 347.28231; 7286.3121267107
52.93; 356.26607; 7648.9756099324
53.95; 366.60043; 8022.1590281697
54.97; 377.65014; 8406.5905780647
55.99; 388.57709; 8802.1452849035
57.01; 398.72289; 9208.0279806761
58.02; 407.9424; 9623.2957450475
59.04; 416.75022; 10047.529480921
60.06; 426.20632; 10481.389123062
61.08; 437.56257; 10926.808937663
62.10; 451.78296; 11386.704497133
63.11; 469.10411; 11864.232242785
64.13; 488.79697; 12361.806468754
65.15; 509.22821; 12880.178811483
66.17; 528.22203; 13417.886040691
67.19; 543.62404; 13971.271855596
68.20; 553.90195; 14535.120135794
69.22; 558.60379; 15103.754689024
70.24; 558.53616; 15672.32040097
71.26; 555.6062; 16237.903538433
72.27; 552.3663; 16800.188596269
