#Wavenumber (cm^-1);  Spectrum at 400.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
0.00; 0.00011010598; 0.00011208313704913
1.02; 0.00011476684; 0.0002289108231589
2.04; 0.00012851098; 0.00035972945937687
3.05; 0.00015068541; 0.0005131207066469
4.07; 0.00018038368; 0.00069674351182043
5.09; 0.00021664124; 0.00091727494831987
6.11; 0.00025859063; 0.0011805090558301
7.13; 0.00030552703; 0.0014915223863382
8.14; 0.00035688131; 0.0018548121596826
9.16; 0.00041214428; 0.00227435725206
10.18; 0.0004708081; 0.0027536195859482
11.20; 0.00053237769; 0.0032955571005557
12.22; 0.00059645998; 0.0039027276191543
13.23; 0.00066288445; 0.0045775153878145
14.25; 0.00073177183; 0.0053224275340576
15.27; 0.00080347229; 0.0061403276572787
16.29; 0.00087834451; 0.0070344444636029
17.31; 0.00095642446; 0.0080080432880981
18.32; 0.001037105; 0.0090637714312509
19.34; 0.0011189767; 0.010202841401579
20.36; 0.0011999455; 0.011424334163234
21.38; 0.0012776504; 0.012724927144567
22.40; 0.001350082; 0.014099252315175
23.41; 0.0014162084; 0.015540891312506
24.43; 0.0014763838; 0.017043786346866
25.45; 0.0015323738; 0.018603676739558
26.47; 0.0015869605; 0.020219134027953
27.48; 0.0016432449; 0.021891886411922
28.50; 0.0017038728; 0.023626355370218
29.52; 0.0017704365; 0.025428583355259
30.54; 0.0018432268; 0.027304908718431
31.56; 0.0019213616; 0.02926077192929
32.57; 0.002003168; 0.031299910547563
33.59; 0.0020866047; 0.033423984128314
34.61; 0.0021695294; 0.035632471458402
35.63; 0.0022497318; 0.037922601388657
36.65; 0.0023248113; 0.040289159016716
37.66; 0.0023920998; 0.04272421339194
38.68; 0.0024488472; 0.045217034152271
39.70; 0.0024927768; 0.047754573338249
40.72; 0.0025229193; 0.050322796349638
41.74; 0.0025404391; 0.05290885374038
42.75; 0.0025490685; 0.055503695458354
43.77; 0.0025548363; 0.05810440859059
44.79; 0.0025650027; 0.060715470704303
45.81; 0.0025864199; 0.063348334588228
46.83; 0.0026238007; 0.066019250486489
47.84; 0.0026784746; 0.06874582206637
48.86; 0.0027480869; 0.071543255900611
49.88; 0.0028273802; 0.07442140697231
50.90; 0.0029098095; 0.077383467453723
51.92; 0.0029894245; 0.08042657263559
52.93; 0.0030623559; 0.083543918758782
53.95; 0.003127389; 0.086727465830374
54.97; 0.0031854751; 0.089970141980639
55.99; 0.0032384456; 0.093266739817772
