#Wavenumber (cm^-1);  Spectrum at 400.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
0.00; 0.0034864621; 0.0035490679943923
1.02; 0.0036484601; 0.0072630429401657
2.04; 0.0041172341; 0.011454209632311
3.05; 0.004844676; 0.016385880715506
4.07; 0.0057614554; 0.022250793712273
5.09; 0.006790173; 0.029162896865633
6.11; 0.0078586013; 0.03716261385788
7.13; 0.0089099244; 0.046232532431053
8.14; 0.0099080817; 0.056318532047571
9.16; 0.010837911; 0.067351058185769
10.18; 0.011701219; 0.079262393956409
11.20; 0.012510718; 0.091997765259388
12.22; 0.013283881; 0.10552018303404
13.23; 0.014038188; 0.11981045284617
14.25; 0.014788456; 0.13486446321897
15.27; 0.015546109; 0.15068973150773
16.29; 0.016319717; 0.16730249902843
17.31; 0.017115912; 0.18472575866774
18.32; 0.017939858; 0.20298775959391
19.34; 0.018794721; 0.2221199743068
20.36; 0.01968001; 0.24215337538764
21.38; 0.020589152; 0.26311224335695
22.40; 0.021507178; 0.28500562293296
23.41; 0.02240979; 0.30781782197966
24.43; 0.023265067; 0.33150065636052
25.45; 0.02403864; 0.35597095491452
26.47; 0.02470207; 0.38111659626624
27.48; 0.025242845; 0.40681272365623
28.50; 0.025673183; 0.43294691615517
29.52; 0.026034287; 0.45944869657353
30.54; 0.026393335; 0.486315973178
31.56; 0.026832253; 0.51363004858563
32.57; 0.027429861; 0.54155246303762
33.59; 0.028241531; 0.5703011233255
34.61; 0.029281974; 0.6001089088636
35.63; 0.030516656; 0.63117354805726
36.65; 0.031865426; 0.66361117629565
37.66; 0.033218603; 0.69742628111298
38.68; 0.034462262; 0.73250737668899
39.70; 0.035506587; 0.76865155016633
40.72; 0.036310131; 0.80561369665799
41.74; 0.036893647; 0.8431698373851
42.75; 0.037339754; 0.88118009581425
43.77; 0.037778106; 0.91963657792337
44.79; 0.038359093; 0.95868447924902
45.81; 0.039221556; 0.99861033055792
46.83; 0.04046118; 1.0397980657961
47.84; 0.042106015; 1.0826601724588
48.86; 0.044104258; 1.1275564039984
49.88; 0.046327252; 1.1747155477514
50.90; 0.048587974; 1.224176008609
51.92; 0.050672333; 1.2757582573002
52.93; 0.052377871; 1.3290766700828
53.95; 0.053552367; 1.3835906689999
54.97; 0.054124144; 1.4386867119765
55.99; 0.054116971; 1.493775453144
57.01; 0.053645524; 1.5483842820131
58.02; 0.052891873; 1.6022259265009
59.04; 0.052068287; 1.6552291957859
60.06; 0.051375351; 1.7075270860648
61.08; 0.050965637; 1.7594079052694
62.10; 0.050921433; 1.8112437265395
63.11; 0.051250713; 1.863414741064
64.13; 0.051900063; 1.9162467660713
65.15; 0.052778514; 1.9699730155829
66.17; 0.053783881; 2.0247226851063
67.19; 0.054823964; 2.0805311147526
68.20; 0.055828331; 2.1373619463703
69.22; 0.056750854; 2.1951318664699
70.24; 0.057566744; 2.2537323276509
71.26; 0.058268983; 2.3130476382602
72.27; 0.058867483; 2.3729721954427
73.29; 0.059390898; 2.4334295666492
74.31; 0.059887684; 2.4943926449022
75.33; 0.060421581; 2.5558992068332
76.35; 0.06105832; 2.6180539420531
77.36; 0.061844556; 2.681009031749
78.38; 0.062784984; 2.7449214360357
79.40; 0.063826933; 2.8098944996055
80.42; 0.064861338; 2.8759205424474
81.44; 0.065744322; 2.9428454250378
82.45; 0.066336062; 3.0103726741318
83.47; 0.066545914; 3.0781135431529
84.49; 0.066368327; 3.145673635717
85.51; 0.065895203; 3.2127521087564
86.53; 0.065297306; 3.2792219485646
87.54; 0.064778023; 3.345163180709
88.56; 0.064513365; 3.4108350021014
89.58; 0.064598344; 3.4765933288734
90.60; 0.065019027; 3.5427798921708
91.62; 0.06566136; 3.6096203229519
92.63; 0.066355028; 3.677166878002
93.65; 0.066937653; 3.7453065206205
94.67; 0.067316607; 3.813831921627
95.69; 0.067505749; 3.882549860834
96.71; 0.067622905; 3.9513870604965
97.72; 0.067847898; 4.020453293402
98.74; 0.068355391; 4.0900361315192
99.76; 0.069246346; 4.1605259239343
100.78; 0.070502888; 4.2322948213686
101.80; 0.071983315; 4.3055707297453
102.81; 0.073459906; 4.3803497442784
103.83; 0.074687018; 4.456377906061
104.85; 0.075476415; 4.5332096395379
105.87; 0.075754456; 4.6103244071857
106.89; 0.075582439; 4.6872640683344
107.90; 0.075134356; 4.7637476008723
108.92; 0.07464085; 4.8397287653575
109.94; 0.074318907; 4.9153822060892
110.96; 0.074310371; 4.9910269568408
111.98; 0.074647718; 5.0670151125176
112.99; 0.075255063; 5.1436215197051
114.01; 0.075980056; 5.2209659381643
115.03; 0.076642792; 5.2989849930406
116.05; 0.077084124; 5.3774533045274
117.07; 0.077198557; 5.4560381047504
118.08; 0.076944526; 5.5343643115753
119.10; 0.076333891; 5.6120689188179
120.12; 0.075409561; 5.6888325980202
121.14; 0.074222701; 5.7643881046483
122.15; 0.072818823; 5.8385145242803
123.17; 0.071236455; 5.9110301619023
124.19; 0.069515759; 5.9817942043962
125.21; 0.067710018; 6.0507200805461
