#Wavenumber (cm^-1);  Spectrum at 400.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
0.00; 0.0017982841; 0.0018305755657207
1.02; 0.0018816135; 0.0037459768816625
2.04; 0.0021228726; 0.0059069695458442
3.05; 0.0024976807; 0.0084495007110767
4.07; 0.0029709195; 0.011473768612047
5.09; 0.0035034071; 0.015040085906977
6.11; 0.004058596; 0.019171561456856
7.13; 0.0046077257; 0.023862027408696
8.14; 0.0051324815; 0.029086672103628
9.16; 0.0056250278; 0.034812707718915
10.18; 0.0060860134; 0.04100800677118
11.20; 0.006521548; 0.047646661179973
12.22; 0.0069401706; 0.054711455326597
13.23; 0.0073505363; 0.062193984116993
14.25; 0.0077601141; 0.070093445376516
15.27; 0.0081747907; 0.078415029582505
16.29; 0.0085990307; 0.087168471746019
17.31; 0.0090361681; 0.09636690097792
18.32; 0.0094884813; 0.10602576551258
19.34; 0.0099568487; 0.11616140785419
20.36; 0.010439978; 0.12678885477544
21.38; 0.010933401; 0.13791858525076
22.40; 0.01142863; 0.14955243762407
23.41; 0.011912999; 0.16167935664608
24.43; 0.012370725; 0.1742722213537
25.45; 0.012785507; 0.18728731582704
26.47; 0.013144515; 0.2006678651471
27.48; 0.013443045; 0.21435230503408
28.50; 0.013688528; 0.2282866357627
29.52; 0.013902362; 0.2424386399644
30.54; 0.014118281; 0.25681044094822
31.56; 0.014376807; 0.27144541025747
32.57; 0.014716514; 0.2864261867926
33.59; 0.015164068; 0.30186255372691
34.61; 0.015725752; 0.31787069016101
35.63; 0.016383194; 0.33454807472296
36.65; 0.017095118; 0.35195016765618
37.66; 0.017805352; 0.37007524725247
38.68; 0.018455555; 0.38886220542063
39.70; 0.018999682; 0.4082030617523
40.72; 0.019416525; 0.42796824650382
41.74; 0.019717043; 0.44803934556274
42.75; 0.019944411; 0.46834189563631
43.77; 0.020166471; 0.48887049325698
44.79; 0.020462048; 0.50969997497666
45.81; 0.020903988; 0.53097933257308
