#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0.098877954; 0.1006534902528
1.02; 0.10449926; 0.2070292260532
2.04; 0.12096384; 0.33016519785213
3.05; 0.14718351; 0.4799916558319
4.07; 0.18166432; 0.66491809835212
5.09; 0.22284536; 0.89176505462606
6.11; 0.26935717; 1.1659590331651
7.13; 0.32010916; 1.4918163457191
8.14; 0.37420284; 1.8727386934493
9.16; 0.43076009; 2.3112338801246
10.18; 0.488806; 2.8088172935325
11.20; 0.54732789; 3.3659734625166
12.22; 0.60554626; 3.9823934263751
13.23; 0.66331438; 4.6576188379696
14.25; 0.72146453; 5.3920385920022
15.27; 0.78189247; 6.1879713834823
16.29; 0.84724071; 7.050425865218
17.31; 0.92019005; 7.9871396316384
18.32; 1.002541; 9.0076830891214
19.34; 1.0943885; 10.121723358406
20.36; 1.1937057; 11.336864209466
21.38; 1.2965336; 12.656679513848
22.40; 1.3977667; 14.079545732142
23.41; 1.4922984; 15.598641119008
24.43; 1.5761532; 17.203097060331
25.45; 1.6472308; 18.879906885825
26.47; 1.7054404; 20.615971598172
27.48; 1.752245; 22.399681364112
28.50; 1.7898623; 24.221683909878
29.52; 1.8204879; 26.074862084865
30.54; 1.8458576; 27.953865498334
31.56; 1.8672741; 29.854669978954
32.57; 1.8859825; 31.774518760683
33.59; 1.903594; 33.71229531766
34.61; 1.9222346; 35.669047233956
35.63; 1.9442417; 37.648201344113
36.65; 1.9714908; 39.655093903274
37.66; 2.0046782; 41.69576984442
38.68; 2.0429808; 43.775436154891
39.70; 2.0844045; 45.897269991523
40.72; 2.1268346; 48.062295876829
41.74; 2.1694436; 50.270695830586
42.75; 2.213858; 52.524307725931
43.77; 2.2644738; 54.829444368488
44.79; 2.3275725; 57.198812701501
45.81; 2.4093512; 59.651428219948
46.83; 2.5134589; 62.210020875116
47.84; 2.6389179; 64.896325432341
48.86; 2.7792763; 67.725508741255
49.88; 2.9234583; 70.701463186804
50.90; 3.0581953; 73.814574004668
51.92; 3.1713361; 77.042857256702
52.93; 3.2549976; 80.356304404251
53.95; 3.3075419; 83.723239350591
54.97; 3.3337656; 87.116868824849
55.99; 3.3433043; 90.520208285538
57.01; 3.3478511; 93.92817624515
58.02; 3.3581478; 97.3466257762
59.04; 3.3817017; 100.78905213414
60.06; 3.4218333; 104.27233078656
61.08; 3.4781207; 107.81290757086
62.10; 3.5477971; 111.42441189866
63.11; 3.6273742; 115.11692229069
64.13; 3.7137933; 118.89740358327
65.15; 3.8047154; 122.77043963187
66.17; 3.8980008; 126.73843620319
67.19; 3.9908052; 130.80090365433
68.20; 4.0788816; 134.95302906357
69.22; 4.1565685; 139.18423639705
70.24; 4.2176227; 143.4775943114
71.26; 4.2566632; 147.8106937961
72.27; 4.2706991; 152.15808116282
73.29; 4.2601389; 156.49471872613
74.31; 4.2288535; 160.79950906992
75.33; 4.1832143; 165.05784067576
76.35; 4.1304224; 169.26243244556
77.36; 4.0767187; 173.41235617715
78.38; 4.026121; 177.51077360859
79.40; 3.9801445; 181.56238894876
80.42; 3.9385954; 185.57170915154
81.44; 3.9011179; 189.54287883281
82.45; 3.8688722; 193.4812237855
83.47; 3.8456417; 197.39592108394
84.49; 3.8378403; 201.30267688635
85.51; 3.8532737; 205.22514322385
86.53; 3.8989652; 209.19412153639
87.54; 3.9787343; 213.24430134247
88.56; 4.0913752; 217.40914474644
89.58; 4.2301531; 221.71525804958
90.60; 4.383943; 226.17792288132
91.62; 4.5397993; 230.79924265194
92.63; 4.6862331; 235.56962574733
93.65; 4.8161765; 240.47228562305
94.67; 4.9286343; 245.48942267142
95.69; 5.0283963; 250.60811316515
96.71; 5.1237939; 255.82391422538
97.72; 5.2231471; 261.14085261952
98.74; 5.3310415; 266.56762280458
99.76; 5.4457044; 272.11111492496
100.78; 5.558465; 277.76939239348
101.80; 5.6556301; 283.52657973564
102.81; 5.7223119; 289.35164632611
103.83; 5.7470487; 295.20189389386
104.85; 5.7257276; 301.03043749915
105.87; 5.6634746; 306.79561023473
106.89; 5.5737922; 312.46949018422
107.90; 5.4751117; 318.04291761153
108.92; 5.3857851; 323.52541446178
109.94; 5.3190798; 328.94000817467
110.96; 5.2797557; 334.31457161619
111.98; 5.2632934; 339.67237717439
112.99; 5.2579626; 345.02475625749
114.01; 5.2489825; 350.3679939827
115.03; 5.2233555; 355.68514452046
116.05; 5.1737858; 360.95183520088
117.07; 5.1004778; 366.14390146562
118.08; 5.0104013; 371.24427381443
119.10; 4.914512; 376.24703500592
120.12; 4.8240947; 381.15775519761
121.14; 4.7476126; 385.99061994532
122.15; 4.68913; 390.76395191243
123.17; 4.6486685; 395.49609587894
124.19; 4.6240569; 400.20318624863
125.21; 4.6132475; 404.8992730942
126.23; 4.6159448; 409.59810571588
127.24; 4.6337517; 414.31506501766
128.26; 4.6687395; 419.06764033789
129.28; 4.7210889; 423.87350508487
130.30; 4.7869204; 428.74638351259
131.32; 4.8574304; 433.69103808111
132.33; 4.9199694; 438.6993546522
133.35; 4.9609282; 443.74936551119
134.37; 4.9695449; 448.80814777394
135.39; 4.941319; 453.83819730457
136.41; 4.8797918; 458.80561477504
137.42; 4.7959993; 463.68773508251
138.44; 4.7057163; 468.47795120421
139.46; 4.6253682; 473.18637648026
140.48; 4.5679095; 477.83631125054
141.50; 4.5399053; 482.45773890831
142.51; 4.5405587; 487.07983175852
143.53; 4.5627148; 491.72447850693
144.55; 4.5952316; 496.40222602768
145.57; 4.6257828; 501.11107327086
146.59; 4.6432219; 505.83767284864
147.60; 4.6390336; 510.56000886277
148.62; 4.607884; 515.25063589865
149.64; 4.5476528; 519.87995024098
150.66; 4.459402; 524.41942899656
151.68; 4.3475226; 528.84501938832
152.69; 4.2199399; 533.14073608787
153.71; 4.087953; 537.30209581581
154.73; 3.9652407; 541.3385397201
155.75; 3.8658233; 545.27378106543
156.77; 3.8012456; 549.14328507272
157.78; 3.7777153; 552.98883618657
158.80; 3.7941641; 556.85113150952
159.82; 3.8420423; 560.76216477659
160.84; 3.907135; 564.73945964532
161.86; 3.9729888; 568.78379075971
162.87; 4.024932; 572.88099788088
163.89; 4.0534291; 577.00721376708
164.91; 4.055729; 581.13577088496
165.93; 4.0353938; 585.24362761944
166.94; 4.0000597; 589.31551578017
167.96; 3.9584009; 593.34499706113
168.98; 3.9174741; 597.33281660025
170.00; 3.8813564; 601.28386991132
171.02; 3.8513682; 605.20439650492
172.03; 3.8274725; 609.10059836331
173.05; 3.8099659; 612.97897929068
174.07; 3.800515; 616.84773954591
175.09; 3.8019674; 620.71797830812
176.11; 3.8169927; 624.60351221454
177.12; 3.8461992; 628.51877701017
178.14; 3.886665; 632.47523425482
179.16; 3.9316817; 636.47751661465
180.18; 3.9719978; 640.52083898858
181.20; 3.9982012; 644.59083532343
182.21; 4.003379; 648.66610236057
183.23; 3.9850546; 652.72271602388
184.25; 3.9456969; 656.7392652104
185.27; 3.8916728; 660.7008201799
186.29; 3.8311411; 664.60075653717
187.30; 3.7717717; 668.44025733094
188.32; 3.7191765; 672.22621852976
189.34; 3.6765668; 675.96880487151
190.36; 3.6455736; 679.67984152829
191.38; 3.6276583; 683.37264114147
192.39; 3.6252998; 687.06303992833
193.41; 3.6422839; 690.77072772486
194.43; 3.6828472; 694.51970722133
195.45; 3.749963; 698.33700770038
196.47; 3.8434498; 702.24947379401
197.48; 3.9586912; 706.27925058282
198.50; 4.0865324; 710.43916426716
199.52; 4.2144906; 714.7293338469
200.54; 4.3289475; 719.13601560358
201.56; 4.417691; 723.63303438589
202.57; 4.4721108; 728.1854501678
203.59; 4.4885368; 732.75458693684
204.61; 4.4685202; 737.30334767067
205.63; 4.4181629; 741.80084688102
206.65; 4.3467943; 746.22569585657
207.66; 4.2653384; 750.5676263106
208.68; 4.1846568; 754.82742638252
209.70; 4.1140551; 759.01535695451
210.72; 4.0600866; 763.14834996386
211.74; 4.0257766; 767.24641679727
212.75; 4.0104038; 771.32883484145
213.77; 4.0099567; 775.41079767719
214.79; 4.0182778; 779.50123111883
215.81; 4.0287447; 783.60231935071
216.82; 4.0361384; 787.71093407956
217.84; 4.038231; 791.82167893997
218.86; 4.036622; 795.93078594756
219.88; 4.036519; 800.0397881321
220.90; 4.0454305; 804.15786177129
221.91; 4.0710512; 808.30201623219
222.93; 4.118865; 812.49484307612
223.95; 4.1900923; 816.76017627317
224.97; 4.2805494; 821.11759083016
225.99; 4.3807731; 825.5770287731
227.00; 4.4774688; 830.13489876891
228.02; 4.5560208; 834.7727313683
229.04; 4.6035413; 839.45893781012
230.06; 4.6117736; 844.15352428099
231.08; 4.5791509; 848.81490231019
232.09; 4.5114612; 853.40737516197
233.11; 4.420865; 857.90762495426
234.13; 4.3234208; 862.30868074416
235.15; 4.2356842; 866.6204245233
236.17; 4.1712489; 870.86657589654
237.18; 4.1381697; 875.07905409595
238.20; 4.137991; 879.29135042074
239.22; 4.1666199; 883.53278973133
240.24; 4.2166821; 887.82519018658
241.26; 4.2804782; 892.18253229396
242.27; 4.3524303; 896.61311856925
243.29; 4.4300921; 901.12276113509
244.31; 4.513353; 905.71715968388
245.33; 4.6022133; 910.402014261
246.35; 4.6941442; 915.1804505247
247.36; 4.7823096; 920.04863533169
248.38; 4.855672; 924.9914999013
249.40; 4.9012916; 929.98080329265
250.42; 4.9082214; 934.97716083921
251.44; 4.8716574; 939.93629783261
252.45; 4.795745; 944.81815933884
253.47; 4.6938014; 949.59624660559
254.49; 4.5855957; 954.26418515153
255.51; 4.4924039; 958.83725843493
256.53; 4.431409; 963.34824158508
257.54; 4.4113167; 967.83877160957
258.56; 4.430659; 972.34899130441
259.58; 4.4793168; 976.90874249897
260.60; 4.5426461; 981.53296022051
261.61; 4.60669; 986.22237187318
262.63; 4.6626195; 990.96871732177
263.65; 4.7089004; 995.76217470764
264.67; 4.7505674; 1000.5980473584
265.69; 4.7960596; 1005.480229087
266.70; 4.8529243; 1010.4202966496
267.72; 4.9240324; 1015.4327491364
268.74; 5.0056669; 1020.5283020384
269.76; 5.0881027; 1025.7077709781
270.78; 5.1583803; 1030.9587794856
271.79; 5.2042445; 1036.2564757781
272.81; 5.2179; 1041.5680728658
273.83; 5.19841; 1046.8598299441
274.85; 5.1521026; 1052.1044480689
275.87; 5.0910316; 1057.2868985924
276.88; 5.0301009; 1062.4073242485
277.90; 4.9837463; 1067.48056289
278.92; 4.9630317; 1072.5327150303
279.94; 4.973737; 1077.5957646498
280.96; 5.0156471; 1082.7014769823
281.97; 5.0829435; 1087.8756941379
282.99; 5.1654232; 1093.1338720498
284.01; 5.2502452; 1098.4783951443
285.03; 5.3239544; 1103.897950992
286.05; 5.3745854; 1109.369046981
287.06; 5.3936509; 1114.8595508606
288.08; 5.3777631; 1120.3338816633
289.10; 5.329577; 1125.7591610815
290.12; 5.2577492; 1131.1113228809
291.14; 5.175725; 1136.3799875656
292.15; 5.0994065; 1141.5709632988
293.17; 5.0440598; 1146.7055985551
294.19; 5.0210933; 1151.8168548405
295.21; 5.035474; 1156.9427501211
296.23; 5.0844816; 1162.1185330113
297.24; 5.1582053; 1167.3693634293
298.26; 5.2417539; 1172.7052426729
299.28; 5.3186758; 1178.1194251267
300.30; 5.3747337; 1183.5906720826
301.32; 5.401055; 1189.0887129798
302.33; 5.3958453; 1194.5814506159
303.35; 5.3642601; 1200.0420359626
304.37; 5.316569; 1205.4540737867
305.39; 5.2652387; 1210.8138595708
