#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 9.1815723; 9.3464443782452
1.02; 9.5442389; 19.062067758879
2.04; 10.604627; 29.857120713312
3.05; 12.283583; 42.361278519028
4.07; 14.461071; 57.082024829674
5.09; 16.99262; 74.379778971291
6.11; 19.729485; 94.463543097834
7.13; 22.539557; 117.40783991451
8.14; 25.325467; 143.1880723405
9.16; 28.036232; 171.72774650052
10.18; 30.669648; 202.94812471579
11.20; 33.264317; 236.80976428311
12.22; 35.882658; 273.33676156927
13.23; 38.588794; 312.61848840723
14.25; 41.427107; 354.78949533454
15.27; 44.407664; 399.99458067471
16.29; 47.503241; 448.35083062392
17.31; 50.659385; 499.91989843165
18.32; 53.814685; 554.70092577909
19.34; 56.924616; 612.64772819808
20.36; 59.980323; 673.70510850817
21.38; 63.014785; 737.85144068639
22.40; 66.092816; 805.13107531405
23.41; 69.287341; 875.66259852367
24.43; 72.650152; 949.61731837075
25.45; 76.188483; 1027.1739065188
26.47; 79.857604; 1108.4655015157
27.48; 83.574006; 1193.5402328092
28.50; 87.245382; 1282.3522664841
29.52; 90.805725; 1374.7885761688
30.54; 94.239927; 1470.7207554315
31.56; 97.584675; 1570.057744019
32.57; 100.90111; 1672.7707211538
33.59; 104.22685; 1778.8691605404
34.61; 107.52587; 1888.3258560128
35.63; 110.65938; 2000.9723328551
36.65; 113.39657; 2116.4051505345
37.66; 115.47074; 2233.94937777
38.68; 116.66907; 2352.713455937
39.70; 116.9288; 2471.7419252261
40.72; 116.4056; 2590.23780107
41.74; 115.48564; 2707.7972004559
42.75; 114.72927; 2824.5866480248
43.77; 114.75698; 2941.4043026444
44.79; 116.10859; 3059.5978331154
45.81; 119.11691; 3180.8537098985
46.83; 123.83352; 3306.9108846907
47.84; 130.02716; 3439.2729257657
48.86; 137.252; 3578.9895428995
49.88; 144.96023; 3726.5527997965
50.90; 152.6216; 3881.9150038172
51.92; 159.81358; 4044.5983348108
52.93; 166.25975; 4213.8435813129
53.95; 171.81494; 4388.7437738298
54.97; 176.41505; 4568.3266808529
55.99; 180.0202; 4751.5794809888
57.01; 182.57933; 4937.4373585512
58.02; 184.03248; 5124.7744858283
59.04; 184.3504; 5312.435236682
60.06; 183.59468; 5499.3266984303
61.08; 181.97315; 5684.5675106617
62.10; 179.86505; 5867.662370711
63.11; 177.79987; 6048.6549631146
