#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 2.2216889; 2.2615834649517
1.02; 2.2946899; 4.597478752325
2.04; 2.508664; 7.1511904750222
3.05; 2.849735; 10.052097782833
4.07; 3.2983727; 13.409698879213
5.09; 3.8334505; 17.311986116078
6.11; 4.4358382; 21.827478025023
7.13; 5.090519; 27.009406721216
8.14; 5.7868817; 32.900202605987
9.16; 6.517512; 39.534748616164
10.18; 7.2762108; 46.941617236805
11.20; 8.055993; 55.142270507956
12.22; 8.8475753; 64.148720378749
13.23; 9.638574; 73.960372799837
14.25; 10.413507; 84.560874046879
15.27; 11.154759; 95.915937828711
16.29; 11.844766; 107.97339864651
17.31; 12.469598; 120.6669114881
18.32; 13.023671; 133.92444636811
19.34; 13.514602; 147.68172779016
20.36; 13.966559; 161.89908265124
21.38; 14.420232; 176.57825650145
22.40; 14.928107; 191.7744255014
23.41; 15.545086; 207.59865262918
24.43; 16.316158; 224.20779750486
25.45; 17.2643; 241.78210999021
26.47; 18.382281; 260.49447893518
27.48; 19.631284; 280.47827867585
28.50; 20.947386; 301.80181329895
29.52; 22.254544; 324.45597924396
30.54; 23.480671; 348.35828892176
31.56; 24.572387; 373.37191804479
32.57; 25.504507; 399.3344053836
33.59; 26.281963; 426.0883095035
34.61; 26.934187; 453.5061493269
35.63; 27.504118; 481.5041548839
36.65; 28.035308; 510.04288884108
37.66; 28.560759; 539.11650943492
38.68; 29.096283; 568.73526947365
39.70; 29.639622; 598.90712572427
40.72; 30.174952; 629.62392477493
41.74; 30.680978; 660.85583620802
42.75; 31.140084; 692.55509816478
43.77; 31.545842; 724.66740387
44.79; 31.9067; 757.14704811166
45.81; 32.244757; 789.97081927306
46.83; 32.589887; 823.14591828501
47.84; 32.970983; 856.70895601807
48.86; 33.407116; 890.71595874518
49.88; 33.901775; 925.22650301954
50.90; 34.442553; 960.28753525019
51.92; 35.006942; 995.92309145097
52.93; 35.572618; 1032.1344817464
53.95; 36.128582; 1068.9118192457
54.97; 36.68268; 1106.2532041336
55.99; 37.26182; 1144.1841288
57.01; 37.90363; 1182.7683886372
58.02; 38.641566; 1222.1038354776
59.04; 39.488399; 1262.3013220211
60.06; 40.424323; 1303.451538331
61.08; 41.394947; 1345.5898076764
62.10; 42.321369; 1388.6711354612
63.11; 43.120354; 1432.5657946271
64.13; 43.728912; 1477.0799401468
65.15; 44.125766; 1521.9980655151
66.17; 44.342844; 1567.1371671276
67.19; 44.463033; 1612.3986162076
68.20; 44.604572; 1657.8041456436
69.22; 44.896344; 1703.5066865919
70.24; 45.450544; 1749.7733788511
71.26; 46.339225; 1796.9447104528
