#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 2.0420359; 2.0787044695988
1.02; 2.1486769; 4.2659648225456
2.04; 2.4612448; 6.7714058583907
3.05; 2.9587501; 9.7832857704928
4.07; 3.6096114; 13.457714376345
5.09; 4.3761552; 17.912451480232
6.11; 5.2198225; 23.226005571378
7.13; 6.1062363; 29.441890671999
8.14; 7.0093382; 36.577094472195
9.16; 7.9140006; 44.633205551852
10.18; 8.8168058; 53.608333357794
11.20; 9.7249883; 63.507951833504
12.22; 10.653794; 74.353054641041
13.23; 11.622669; 86.184430138748
14.25; 12.650755; 99.062352681865
15.27; 13.752199; 113.06149771851
16.29; 14.931821; 128.26144758355
17.31; 16.181814; 144.73383623631
18.32; 17.480305; 162.52803212075
19.34; 18.792715; 181.65820545829
20.36; 20.076689; 202.0954086711
21.38; 21.290763; 223.76848627779
22.40; 22.405933; 246.57675871629
23.41; 23.41795; 270.41522172961
24.43; 24.357033; 295.20963067888
25.45; 25.29124; 320.95502183432
26.47; 26.320505; 347.74815999014
27.48; 27.56037; 375.8034277342
28.50; 29.117454; 405.44373941757
29.52; 31.061731; 437.06324096161
30.54; 33.402723; 471.06577143095
31.56; 36.076669; 507.79026385648
32.57; 38.949368; 547.43903995414
33.59; 41.835154; 590.02542183218
34.61; 44.527711; 635.35271027721
35.63; 46.834853; 683.02856946548
36.65; 48.608443; 732.50986674871
37.66; 49.762756; 783.16620522645
38.68; 50.279096; 834.34815558933
39.70; 50.199525; 885.44910550611
40.72; 49.616003; 935.9560554364
41.74; 48.661471; 985.4913332206
42.75; 47.506184; 1033.8505789691
43.77; 46.357378; 1081.0403893802
44.79; 45.455596; 1127.3122250324
45.81; 45.059429; 1173.1807796374
46.83; 45.413435; 1219.409697168
47.84; 46.701148; 1266.9494505482
48.86; 48.993618; 1316.8228399501
49.88; 52.210176; 1369.9705461885
50.90; 56.108574; 1427.0866533858
51.92; 60.315067; 1488.4847885808
52.93; 64.392727; 1554.0338059674
53.95; 67.932613; 1623.1862749089
54.97; 70.642532; 1695.0973237899
55.99; 72.406476; 1768.8039918375
57.01; 73.295844; 1843.4159984364
58.02; 73.528938; 1918.2652839414
59.04; 73.392655; 1992.9758399193
60.06; 73.153177; 2067.4426173564
61.08; 72.985702; 2141.738912904
62.10; 72.945542; 2215.994326981
63.11; 72.986882; 2290.2918238152
64.13; 73.017557; 2364.6205456345
65.15; 72.965182; 2438.8959521752
66.17; 72.827124; 2513.0308217488
67.19; 72.684877; 2587.0208895389
68.20; 72.679058; 2661.0050345699
69.22; 72.957756; 2735.272881604
70.24; 73.621503; 2810.2163947673
71.26; 74.688543; 2886.2461090355
72.27; 76.094289; 2963.7068116227
73.29; 77.723513; 3042.8259937325
74.31; 79.459561; 3123.7123977283
75.33; 81.227946; 3206.3989412142
76.35; 83.014997; 3290.9046257066
77.36; 84.854163; 3377.2825019498
78.38; 86.787687; 3465.6286220414
79.40; 88.822881; 3556.0464822797
80.42; 90.904937; 3648.5837850276
81.44; 92.920812; 3743.1731623596
82.45; 94.734536; 3839.60883245
83.47; 96.239468; 3937.5764577406
84.49; 97.404418; 4036.7299522899
85.51; 98.291981; 4136.7869472536
86.53; 99.038603; 4237.603971599
87.54; 99.802176; 4339.198280274
88.56; 100.69723; 4441.7037140344
89.58; 101.74398; 4545.2746967988
90.60; 102.85269; 4649.9742938451
91.62; 103.85075; 4755.6898775763
92.63; 104.54281; 4862.109944576
93.65; 104.78045; 4968.7719203617
94.67; 104.51437; 5075.1630406897
95.69; 103.80887; 5180.8359865827
96.71; 102.81402; 5285.4962242497
97.72; 101.70824; 5389.0308262728
98.74; 100.63563; 5491.4735583802
99.76; 99.664622; 5592.92784284
100.78; 98.785051; 5693.4867625077
101.80; 97.944709; 5793.1902496211
102.81; 97.109415; 5892.0434433652
103.83; 96.320217; 5990.0932678736
104.85; 95.721204; 6087.5333231556
105.87; 95.542114; 6184.7910720413
106.89; 96.03722; 6282.5528183059
107.90; 97.399376; 6381.7011798207
108.92; 99.678937; 6483.1700367296
109.94; 102.73756; 6587.7524427809
110.96; 106.25621; 6695.9166805219
111.98; 109.79892; 6807.6872392058
112.99; 112.91519; 6922.6300274773
114.01; 115.25063; 7039.9501994516
115.03; 116.63218; 7158.6767252147
116.05; 117.10197; 7277.8814766698
117.07; 116.89017; 7396.8706237683
118.08; 116.33594; 7515.2955882209
119.10; 115.78173; 7633.1563909377
120.12; 115.4736; 7750.7035341131
121.14; 115.49736; 7868.2748629922
122.15; 115.76797; 7986.1216612971
123.17; 116.07237; 8104.2783278845
124.19; 116.14903; 8222.5130263066
125.21; 115.77689; 8340.3689021898
126.23; 114.84523; 8457.2763955684
127.24; 113.38406; 8572.6964719024
128.26; 111.54912; 8686.2486623434
129.28; 109.57145; 8797.787667968
130.30; 107.69189; 8907.4133667371
131.32; 106.10433; 9015.4229916734
132.33; 104.92494; 9122.2320566414
133.35; 104.19311; 9228.2961415478
134.37; 103.89609; 9334.0578827696
135.39; 104.00139; 9439.9268145066
136.41; 104.47901; 9546.2819373154
137.42; 105.30323; 9653.4760779899
138.44; 106.43471; 9761.8220221913
139.46; 107.79482; 9871.5525010323
140.48; 109.24945; 9982.7637242013
141.50; 110.61685; 10095.366900935
142.51; 111.7039; 10209.076653186
143.53; 112.36194; 10323.45626189
144.55; 112.54281; 10438.019988005
145.57; 112.33272; 10552.369847428
146.59; 111.94749; 10666.327558655
147.60; 111.68607; 10780.019156006
148.62; 111.85428; 10893.881989086
149.64; 112.68201; 11008.587414872
