#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 3.1378744; 3.194220711683
1.02; 3.3158147; 6.5695769795792
2.04; 3.8313901; 10.469766794662
3.05; 4.635116; 15.188114866369
4.07; 5.6601327; 20.949885677022
5.09; 6.8397128; 27.91241812827
6.11; 8.1222142; 36.180481734422
7.13; 9.4783661; 45.829049435589
8.14; 10.898769; 56.923526165265
9.16; 12.38328; 69.52917044668
10.18; 13.927092; 83.706349448167
11.20; 15.509647; 99.494500981766
12.22; 17.091423; 116.89283161048
13.23; 18.620626; 135.84782554488
14.25; 20.047874; 156.25569598752
15.27; 21.343649; 177.98260916407
16.29; 22.511923; 200.89877551427
17.31; 23.594384; 224.91684025941
18.32; 24.662861; 250.02256900053
19.34; 25.801713; 276.28759963434
20.36; 27.085501; 303.85947121954
21.38; 28.559069; 332.931371038
22.40; 30.226427; 363.70056927123
23.41; 32.052013; 396.32813565566
24.43; 33.973916; 430.91211562549
25.45; 35.924933; 467.48214725382
26.47; 37.855091; 506.01699606388
27.48; 39.748985; 546.47974739568
28.50; 41.633015; 588.8603596845
29.52; 43.570412; 633.21315905294
30.54; 45.645113; 679.67791431462
31.56; 47.938113; 728.47684510644
32.57; 50.50163; 779.88532565163
33.59; 53.337019; 834.18010962937
34.61; 56.382098; 891.57465198281
35.63; 59.512303; 952.15560835976
36.65; 62.557891; 1015.8368417878
37.66; 65.336131; 1082.3462038268
38.68; 67.693434; 1151.2551990494
39.70; 69.548355; 1222.0524237601
40.72; 70.923789; 1294.2497800231
41.74; 71.956889; 1367.4987882271
42.75; 72.879243; 1441.6867126974
43.77; 73.967368; 1516.9823017204
44.79; 75.473022; 1593.8105814815
45.81; 77.55101; 1672.7541630454
46.83; 80.206004; 1754.4004138292
47.84; 83.276964; 1839.172769453
48.86; 86.467974; 1927.1934353951
49.88; 89.42016; 2018.219299618
50.90; 91.805409; 2111.673244796
51.92; 93.41397; 2206.7646353213
52.93; 94.208452; 2302.6647741864
