#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 7.4907295; 7.625239345961
1.02; 7.7549477; 15.519441511728
2.04; 8.5183065; 24.190709983035
3.05; 9.6987957; 34.063665496799
4.07; 11.178; 45.442386795704
5.09; 12.824167; 58.496835101222
6.11; 14.516875; 73.274387113016
7.13; 16.167813; 89.732522568296
8.14; 17.73312; 107.78407355103
9.16; 19.214686; 127.34379450104
10.18; 20.650374; 148.36498414224
11.20; 22.095809; 170.85756373279
12.22; 23.602486; 194.88387593944
13.23; 25.198096; 220.53445056304
14.25; 26.874593; 247.89162659881
15.27; 28.587685; 276.99265582829
16.29; 30.268295; 307.80447400379
17.31; 31.842924; 340.21919642893
18.32; 33.256765; 374.07314859009
19.34; 34.492065; 409.18458205085
20.36; 35.575207; 445.39860748026
21.38; 36.569468; 482.62474791657
22.40; 37.555261; 520.85438285605
23.41; 38.604443; 560.15203954765
24.43; 39.757967; 600.62393441874
25.45; 41.015541; 642.37598506325
26.47; 42.341857; 685.47816812455
27.48; 43.687676; 729.95033684821
28.50; 45.017826; 775.77654074802
29.52; 46.334637; 822.94320131762
30.54; 47.68614; 871.48563437032
31.56; 49.153622; 921.52190006665
32.57; 50.821067; 973.25555337517
33.59; 52.736694; 1026.9392325061
34.61; 54.880919; 1082.8056397983
35.63; 57.153888; 1140.9858315896
36.65; 59.389193; 1201.4414673373
37.66; 61.39088; 1263.9347340192
38.68; 62.982021; 1328.0477141058
39.70; 64.048436; 1393.2462582904
40.72; 64.562634; 1458.9682339651
41.74; 64.58029; 1524.7081827747
42.75; 64.211753; 1590.0729760556
43.77; 63.580305; 1654.7949834009
44.79; 62.783472; 1718.7058483046
45.81; 61.871784; 1781.6886546972
46.83; 60.851967; 1843.6333308128
47.84; 59.711378; 1904.4169371869
48.86; 58.451974; 1963.9185239965
49.88; 57.118314; 2022.0625025173
50.90; 55.806752; 2078.8713682884
51.92; 54.650662; 2134.5033842404
52.93; 53.78627; 2189.2554861262
53.95; 53.311467; 2243.5242591132
54.97; 53.252823; 2297.7333349889
55.99; 53.552994; 2352.2479714803
57.01; 54.083169; 2407.3023037522
58.02; 54.676225; 2462.960341492
59.04; 55.169286; 2519.1202937288
60.06; 55.441969; 2575.5578258071
61.08; 55.439217; 2631.992556355
62.10; 55.173903; 2688.1572082703
63.11; 54.711659; 2743.8513159382
64.13; 54.145789; 2798.9693929985
65.15; 53.571919; 2853.5032949503
66.17; 53.070046; 2907.5263114745
67.19; 52.697216; 2961.1698038623
68.20; 52.489302; 3014.6016486461
69.22; 52.467247; 3068.0110415812
70.24; 52.642707; 3121.5990454723
71.26; 53.019915; 3175.5710306207
72.27; 53.593554; 3230.1269562782
73.29; 54.344939; 3285.4477585878
74.31; 55.239582; 3341.679269683
75.33; 56.228259; 3398.9172107045
76.35; 57.251487; 3457.1967536257
77.36; 58.245434; 3516.488092473
78.38; 59.146528; 3576.6967055424
79.40; 59.893057; 3637.6652525986
80.42; 60.424269; 3699.1745513287
81.44; 60.679662; 3760.94382921
82.45; 60.602099; 3822.6341510533
83.47; 60.147304; 3883.8615115347
84.49; 59.299349; 3944.2256896936
85.51; 58.088111; 4003.3568804572
86.53; 56.602022; 4060.9752968535
87.54; 54.989043; 4116.9517699522
88.56; 53.441413; 4171.3528223206
89.58; 52.164552; 4224.4540848384
90.60; 51.336028; 4276.7119456499
91.62; 51.064682; 4328.6935879117
92.63; 51.361185; 4380.9770576622
93.65; 52.128947; 4434.0420764752
94.67; 53.17905; 4488.1760541403
95.69; 54.266468; 4543.4169767832
96.71; 55.13934; 4599.5464455427
97.72; 55.590011; 4656.1346776464
98.74; 55.496749; 4712.6279734562
99.76; 54.847885; 4768.4607539972
100.78; 53.744449; 4823.1702842437
101.80; 52.38179; 4876.4926861067
102.81; 51.014116; 4928.4228550834
103.83; 49.908096; 4979.2271436386
104.85; 49.29285; 5029.4051381283
105.87; 49.314265; 5079.6049320491
106.89; 50.001706; 5130.5045111843
107.90; 51.25448; 5182.6793602942
108.92; 52.853188; 5236.4816254708
109.94; 54.496868; 5291.9570854173
110.96; 55.860899; 5348.8210705569
111.98; 56.66439; 5406.5029747997
112.99; 56.731286; 5464.2529757435
114.01; 56.028977; 5521.2880563101
115.03; 54.6728; 5576.9426077534
116.05; 52.893909; 5630.7863249081
117.07; 50.978955; 5682.6807014473
118.08; 49.19915; 5732.7633131101
119.10; 47.750013; 5781.3707660223
120.12; 46.719644; 5828.9293474255
121.14; 46.093494; 5875.850535228
122.15; 45.790732; 5922.4635239516
123.17; 45.716144; 5969.0005860343
124.19; 45.806455; 6015.6295801657
125.21; 46.052982; 6062.5095288415
126.23; 46.492682; 6109.8370726113
127.24; 47.172747; 6157.8568938065
128.26; 48.104941; 6206.8256481896
129.28; 49.230123; 6256.9397885999
130.30; 50.409372; 6308.2543536674
131.32; 51.447289; 6360.6254742976
132.33; 52.139948; 6413.7016911495
133.35; 52.329947; 6466.9713190132
134.37; 51.948177; 6519.8523218448
135.39; 51.027243; 6571.7958532699
136.41; 49.682772; 6622.3707716262
137.42; 48.071266; 6671.3052463954
138.44; 46.341641; 6718.4790369023
139.46; 44.598868; 6763.8787602429
140.48; 42.891911; 6807.5408747484
141.50; 41.227354; 6849.5085416565
142.51; 39.599492; 6889.8191158693
143.53; 38.021529; 6928.5233916876
144.55; 36.543284; 6965.7228773906
145.57; 35.247748; 7001.603564282
146.59; 34.228616; 7036.4468186942
147.60; 33.559225; 7070.6086616968
148.62; 33.266724; 7104.4727515199
149.64; 33.322461; 7138.3935789834
150.66; 33.652144; 7172.650008949
151.68; 34.160718; 7207.4241460054
152.69; 34.760888; 7242.8092304492
153.71; 35.393292; 7278.8380740174
154.73; 36.030714; 7315.5157859308
155.75; 36.666227; 7352.8404226143
156.77; 37.292395; 7390.8024715752
157.78; 37.882574; 7429.3652976943
158.80; 38.384225; 7468.4387824116
159.82; 38.7287; 7507.8629279216
160.84; 38.85457; 7547.4152040417
161.86; 38.735353; 7586.8461215791
162.87; 38.400085; 7625.9357505852
163.89; 37.937445; 7664.5544324728
164.91; 37.480067; 7702.7075231583
165.93; 37.172937; 7740.5479686705
166.94; 37.135534; 7778.3503393401
167.96; 37.429558; 7816.4520137445
168.98; 38.04213; 7855.1772602606
170.00; 38.889138; 7894.764724121
171.02; 39.836984; 7935.3170546712
172.03; 40.735617; 7976.7841552388
173.05; 41.453028; 8018.9815494204
174.07; 41.901969; 8061.6359452889
175.09; 42.052879; 8104.4439612214
176.11; 41.931565; 8147.1284854702
177.12; 41.604447; 8189.4800172838
178.14; 41.157014; 8231.3760816431
179.16; 40.671945; 8272.7783667317
180.18; 40.212257; 8313.7127093033
181.20; 39.81261; 8354.2402283902
182.21; 39.479275; 8394.4284266715
183.23; 39.19706; 8434.3293419964
184.25; 38.940124; 8473.9687079776
185.27; 38.683244; 8513.3465816185
186.29; 38.41059; 8552.4469051713
187.30; 38.120176; 8591.2515997557
188.32; 37.823525; 8629.7543159665
189.34; 37.541397; 8667.969837715
190.36; 37.297424; 8705.9370057317
191.38; 37.111915; 8743.715333297
192.39; 36.99786; 8781.3775581629
193.41; 36.960339; 8819.0015887244
194.43; 36.999284; 8856.6652627812
195.45; 37.114303; 8894.4460221598
196.47; 37.309442; 8932.4254244617
197.48; 37.595594; 8970.6961164709
198.50; 37.98907; 9009.3673506421
199.52; 38.506212; 9048.5650133341
200.54; 39.155533; 9088.4236564662
201.56; 39.930107; 9129.0707825922
202.57; 40.803227; 9170.6067065595
203.59; 41.729528; 9213.0855653664
204.61; 42.652071; 9256.5035331318
205.63; 43.513763; 9300.798666032
206.65; 44.269857; 9345.8634703153
207.66; 44.897653; 9391.5673437667
208.68; 45.400285; 9437.782874578
209.70; 45.803404; 9484.408763293
210.72; 46.145961; 9531.3833602121
211.74; 46.468301; 9578.68608566
212.75; 46.801658; 9626.3281539051
213.77; 47.162491; 9674.3375347829
214.79; 47.553224; 9722.7446643652
215.81; 47.968455; 9771.5744811522
216.82; 48.403631; 9820.8472887254
217.84; 48.862217; 9870.5869168247
218.86; 49.358; 9920.8312312282
219.88; 49.911103; 9971.6385798222
220.90; 50.538798; 10023.084895205
221.91; 51.244502; 10075.249586772
222.93; 52.009372; 10128.192883479
223.95; 52.790491; 10181.931325592
224.97; 53.527641; 10236.420154193
225.99; 54.157878; 10291.550536797
227.00; 54.634346; 10347.165943554
228.02; 54.943958; 10403.096522352
229.04; 55.118346; 10459.204620437
230.06; 55.233978; 10515.430427042
231.08; 55.400206; 10571.825446501
232.09; 55.737405; 10628.563719661
233.11; 56.35034; 10685.925934201
234.13; 57.303482; 10744.258406552
235.15; 58.604665; 10803.915426296
236.17; 60.201244; 10865.197695372
237.18; 61.989446; 10928.300276784
238.20; 63.833868; 10993.280399895
239.22; 65.591473; 11060.049688949
240.24; 67.13366; 11128.388858149
241.26; 68.361477; 11197.977891609
242.27; 69.212164; 11268.432887975
243.29; 69.658808; 11339.342548827
244.31; 69.70741; 11410.301684657
245.33; 69.396075; 11480.943894441
246.35; 68.798912; 11550.978217953
247.36; 68.033409; 11620.233292893
248.38; 67.266056; 11688.707234895
249.40; 66.708771; 11756.613884937
250.42; 66.599652; 11824.409457024
251.44; 67.165923; 11892.781467898
252.45; 68.573657; 11962.586491355
253.47; 70.87562; 12034.734814078
254.49; 73.972738; 12110.035869157
255.51; 77.604313; 12189.033710815
256.53; 81.376483; 12271.871459132
257.54; 84.828724; 12358.223439437
258.56; 87.527065; 12447.32221428
259.58; 89.163505; 12538.086815271
260.60; 89.636824; 12629.333234395
261.61; 89.092286; 12720.025336757
262.63; 87.906451; 12809.510310798
263.65; 86.616328; 12897.681995364
264.67; 85.806149; 12985.028951956
265.69; 85.976455; 13072.549272869
266.70; 87.425838; 13161.545003253
267.72; 90.173953; 13253.338196242
268.74; 93.94552; 13348.97068145
269.76; 98.220871; 13448.95529002
270.78; 102.3426; 13553.135637096
271.79; 105.6539; 13660.686743189
272.81; 107.63606; 13770.255610393
273.83; 108.01243; 13880.207601943
274.85; 106.79444; 13988.919735291
275.87; 104.26056; 14095.052485167
276.88; 100.87625; 14197.740155408
277.90; 97.17888; 14296.664062302
278.92; 93.659865; 14392.005762775
279.94; 90.675605; 14484.309615582
280.96; 88.408273; 14574.305422583
281.97; 86.880787; 14662.746314601
282.99; 86.012656; 14750.303486803
284.01; 85.690764; 14837.53298669
285.03; 85.826022; 14924.900173771
286.05; 86.374427; 15012.825613328
287.06; 87.316711; 15101.710257378
288.08; 88.608764; 15191.91015562
289.10; 90.12838; 15283.656956854
290.12; 91.647219; 15376.949870918
291.14; 92.84832; 15471.465453837
292.15; 93.391744; 15566.534219002
293.17; 93.01056; 15661.214955054
294.19; 91.604282; 15754.464160895
295.21; 89.293542; 15845.361133191
296.23; 86.410386; 15933.323177213
297.24; 83.420093; 16018.241232565
298.26; 80.795269; 16100.487330384
299.28; 78.881891; 16180.785691852
300.30; 77.802436; 16259.985214321
301.32; 77.430365; 16338.805984763
302.33; 77.446348; 16417.643025348
303.35; 77.457972; 16496.491897891
304.37; 77.141749; 16575.018870072
305.39; 76.357653; 16652.747665613
306.41; 75.195612; 16729.293554231
307.42; 73.937506; 16804.55874486
308.44; 72.948355; 16878.817022876
309.46; 72.535875; 16952.655413586
310.48; 72.828813; 17026.792002318
311.49; 73.717644; 17101.833382666
312.51; 74.878744; 17178.056712588
313.53; 75.873518; 17255.292679923
314.55; 76.287913; 17332.950483436
315.57; 75.864539; 17410.177309974
316.58; 74.583582; 17486.100178436
317.60; 72.667663; 17560.072724089
318.62; 70.512312; 17631.851215455
319.64; 68.568088; 17701.650570594
320.66; 67.214075; 17770.071598368
