#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 1.7080427; 1.7387137773174
1.02; 1.7995137; 3.5705410391235
2.04; 2.068253; 5.6759333723291
3.05; 2.4982651; 8.2190594786583
4.07; 3.0659182; 11.3400319034
5.09; 3.7433263; 15.150576568887
6.11; 4.5013808; 19.732787941793
7.13; 5.3118241; 25.139995684521
8.14; 6.1484686; 31.398871359554
9.16; 6.9882234; 38.512581258344
10.18; 7.8126776; 46.46554995146
11.20; 8.6104903; 55.230657497859
12.22; 9.3800158; 64.779108815771
13.23; 10.130877; 75.091904630464
14.25; 10.883054; 86.17038382866
15.27; 11.662674; 98.042482244195
16.29; 12.494929; 110.76178087133
17.31; 13.395886; 124.39821467289
18.32; 14.365797; 139.02197618572
19.34; 15.386442; 154.68470980679
20.36; 16.423883; 171.40351383703
21.38; 17.43627; 189.15288433048
22.40; 18.384555; 207.86756793317
23.41; 19.242959; 227.45607033399
24.43; 20.006136; 247.82145384972
25.45; 20.691172; 268.88417410601
26.47; 21.3344; 290.60167247503
27.48; 21.984675; 312.98112250016
28.50; 22.695635; 336.08429950184
29.52; 23.51922; 360.02585097941
30.54; 24.501501; 384.96732215748
31.56; 25.680326; 411.1087862549
32.57; 27.083168; 438.67828266265
33.59; 28.723461; 467.91752634315
34.61; 30.594792; 499.06170403307
35.63; 32.664123; 532.31237127091
36.65; 34.866938; 567.80540964045
37.66; 37.107918; 605.57966917234
38.68; 39.26986; 645.55469172214
39.70; 41.231158; 687.52623099984
40.72; 42.888979; 731.1853606121
41.74; 44.182488; 776.16122648323
42.75; 45.109361; 822.08060982074
43.77; 45.73; 868.63177617637
44.79; 46.157162; 915.61777517987
45.81; 46.533174; 962.98653822906
46.83; 47.000788; 1010.8313118165
47.84; 47.675738; 1059.3631561084
48.86; 48.628249; 1108.864614838
49.88; 49.877423; 1159.6376795877
50.90; 51.397955; 1211.9585799273
51.92; 53.134585; 1266.0472947709
52.93; 55.017901; 1322.0531437961
53.95; 56.975937; 1380.0521890893
54.97; 58.939159; 1440.0497091703
55.99; 60.840202; 1501.9824095425
57.01; 62.61244; 1565.7191716467
58.02; 64.191733; 1631.0635857679
59.04; 65.523525; 1697.76370669
60.06; 66.573827; 1765.5329901826
61.08; 67.339479; 1834.0816744636
