#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0.75322392; 0.76674945118539
1.02; 0.77991794; 1.5606722567694
2.04; 0.85739112; 2.4334594168621
3.05; 0.97826078; 3.4292866782345
4.07; 1.1316389; 4.5812462448805
5.09; 1.3050323; 5.9097128601804
6.11; 1.4865515; 7.4229581574503
7.13; 1.6669946; 9.1198866978185
8.14; 1.8413289; 10.994280030022
9.16; 2.0091557; 13.039513847033
10.18; 2.1739461; 15.2524971423
11.20; 2.3411541; 17.635691038138
12.22; 2.5156769; 20.196541556157
13.23; 2.6994119; 22.944426372661
14.25; 2.8897473; 25.886064426392
15.27; 3.0796184; 29.020983051741
16.29; 3.2592991; 32.33880892227
17.31; 3.4194904; 35.81970261904
18.32; 3.5547259; 39.43826017871
19.34; 3.6658648; 43.16995235786
20.36; 3.7606239; 46.998105220473
21.38; 3.85171; 50.918979819917
22.40; 3.9529744; 54.942937170179
23.41; 4.0748109; 59.090918873349
24.43; 4.2204408; 63.387145456545
25.45; 4.3845529; 67.850431100959
26.47; 4.5550111; 72.487235890529
27.48; 4.7172279; 77.289170380058
28.50; 4.8597523; 82.236188502069
29.52; 4.9790395; 87.30463590139
30.54; 5.0815296; 92.477413782577
31.56; 5.1820507; 97.752517764902
32.57; 5.2988908; 103.14655991656
33.59; 5.4471554; 108.69152902851
34.61; 5.6327617; 114.42543734015
35.63; 5.8493063; 120.37977872073
36.65; 6.07909; 126.56803006525
37.66; 6.2981218; 132.97924626717
38.68; 6.483483; 139.5791522273
39.70; 6.6205514; 146.31858781309
40.72; 6.707581; 153.1466157924
41.74; 6.7560329; 160.02396574987
42.75; 6.7865085; 166.93233851198
43.77; 6.8216474; 173.87648116386
44.79; 6.8783725; 180.87836752793
45.81; 6.962054; 187.96543808749
46.83; 7.0644865; 195.1567804543
47.84; 7.1662835; 202.45174777158
48.86; 7.2428579; 209.82466454603
49.88; 7.272046; 217.22729356629
50.90; 7.2409961; 224.59831510525
51.92; 7.1502672; 231.8769785313
