#Wavenumber (cm^-1);  Spectrum at 400.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
0.00; 0.0037280888; 0.0037950335616669
1.02; 0.0038279334; 0.0076917045297187
2.04; 0.0041189618; 0.011884629914487
3.05; 0.0045769228; 0.016543739821088
4.07; 0.0051654668; 0.021801962145026
5.09; 0.0058417307; 0.027748591953188
6.11; 0.0065630676; 0.034429511523449
7.13; 0.0072937863; 0.041854271209895
8.14; 0.0080105208; 0.050008635746815
9.16; 0.0087048517; 0.058869799115582
10.18; 0.0093821972; 0.068420471042857
11.20; 0.010056826; 0.07865788550598
12.22; 0.010743983; 0.089594796435329
13.23; 0.011451278; 0.10125170328077
14.25; 0.012172152; 0.11364242869786
15.27; 0.012884083; 0.1267578693409
16.29; 0.013552958; 0.14055419588015
17.31; 0.014142993; 0.15495115199103
18.32; 0.014629354; 0.16984320288172
19.34; 0.015009091; 0.18512181026618
20.36; 0.015305898; 0.20070255437334
21.38; 0.015565929; 0.21654799846797
22.40; 0.015844997; 0.23267752123271
23.41; 0.016190925; 0.24915918386909
24.43; 0.016627254; 0.26608501122208
25.45; 0.017144758; 0.28353763502198
26.47; 0.01770489; 0.30156044880369
27.48; 0.018255022; 0.32014327311118
28.50; 0.018750615; 0.33923058966825
29.52; 0.019176213; 0.35875114657939
30.54; 0.019556813; 0.37865913786366
31.56; 0.019954167; 0.39897161833706
32.57; 0.020447998; 0.4197867975488
33.59; 0.02110799; 0.44127382101078
34.61; 0.021966435; 0.46363470425131
35.63; 0.023001858; 0.48704960333422
36.65; 0.024140467; 0.51162355677511
37.66; 0.025275938; 0.53735337120447
38.68; 0.026301293; 0.56412695239865
39.70; 0.027141906; 0.59175624118199
40.72; 0.027777969; 0.62003301458208
41.74; 0.028248278; 0.64878854275123
42.75; 0.028633823; 0.67793653898425
43.77; 0.029026844; 0.70748461405117
44.79; 0.029496182; 0.7375104547945
45.81; 0.030060947; 0.76811120157167
46.83; 0.030681479; 0.79934362321793
47.84; 0.031270394; 0.83117553543935
48.86; 0.031719552; 0.86346467080361
49.88; 0.031933521; 0.8959716171361
50.90; 0.031858337; 0.92840202940473
51.92; 0.031496466; 0.96046407217244
52.93; 0.030903961; 0.99192297071403
53.95; 0.030171919; 1.0226366827011
54.97; 0.029399312; 1.0525639134698
55.99; 0.028666555; 1.0817452296724
57.01; 0.028018217; 1.1102665652753
58.02; 0.027459588; 1.1382192414172
59.04; 0.026966967; 1.1656704501108
60.06; 0.026506975; 1.19265340732
61.08; 0.026057589; 1.2191789084917
62.10; 0.025623357; 1.2452623799924
63.11; 0.025239547; 1.2709551493627
64.13; 0.024963736; 1.2963671549465
65.15; 0.024857522; 1.3216710401412
66.17; 0.0249643; 1.3470836203109
67.19; 0.025290447; 1.3728282043222
68.20; 0.025796485; 1.3990879133161
69.22; 0.026401889; 1.4259638973693
70.24; 0.027003142; 1.4534519307844
71.26; 0.027500426; 1.4814461773607
72.27; 0.027825311; 1.5097711435599
73.29; 0.02796095; 1.5382341840302
74.31; 0.027947989; 1.5666840312439
75.33; 0.027873439; 1.5950579890699
76.35; 0.027844865; 1.6234028600417
