#Wavenumber (cm^-1);  Spectrum at 400.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
0.00; 0.0024549255; 0.0024990081790426
1.02; 0.0025430318; 0.0050877048087869
2.04; 0.0028031153; 0.0079411552644252
3.05; 0.0032229611; 0.011221990570193
4.07; 0.0037837572; 0.015073692095829
5.09; 0.0044621027; 0.019615920098326
6.11; 0.0052322346; 0.024942109185589
7.13; 0.0060680085; 0.031119080011538
8.14; 0.0069442375; 0.038188014172354
9.16; 0.0078372134; 0.046165959234928
10.18; 0.0087245535; 0.05504717826153
11.20; 0.0095848313; 0.064804122894105
12.22; 0.010397602; 0.07538843298658
13.23; 0.01114433; 0.086732879805841
14.25; 0.011810343; 0.098755299057446
15.27; 0.012387419; 0.11136515731603
16.29; 0.012876166; 0.12447253866196
17.31; 0.013287198; 0.13799833323608
18.32; 0.013640409; 0.15188368078993
19.34; 0.013962232; 0.16609663016437
20.36; 0.014281556; 0.18063463780167
21.38; 0.014625472; 0.19552273752088
22.40; 0.01501612; 0.21080850021467
23.41; 0.015469445; 0.22655572724461
24.43; 0.015995858; 0.24283882015684
25.45; 0.016601991; 0.2597389302403
26.47; 0.017292238; 0.2773416823658
27.48; 0.018068943; 0.29573508679628
28.50; 0.018930742; 0.31500576514537
29.52; 0.019869536; 0.33523209492406
30.54; 0.020867362; 0.35647416937326
31.56; 0.02189473; 0.3787620596729
32.57; 0.022911622; 0.40208510203376
33.59; 0.023871549; 0.4263853091412
34.61; 0.024728034; 0.45155738066258
35.63; 0.025442172; 0.47745641354359
36.65; 0.025989682; 0.5039127879602
37.66; 0.026366082; 0.53075232198
38.68; 0.026589139; 0.55781891771914
39.70; 0.026698211; 0.58499654494439
40.72; 0.026750431; 0.61222732971984
41.74; 0.026813765; 0.6395225856175
42.75; 0.026957269; 0.66696392171207
43.77; 0.027239351; 0.69469240571558
44.79; 0.02769578; 0.72288551415066
45.81; 0.028330105; 0.75172433846828
46.83; 0.029109694; 0.78135675051889
47.84; 0.029969979; 0.81186489638853
48.86; 0.030827697; 0.84324616180597
49.88; 0.031601027; 0.87541464411897
50.90; 0.032231696; 0.90822512018984
51.92; 0.032702355; 0.9415147062758
52.93; 0.03304303; 0.97515108532472
53.95; 0.033323364; 1.0090728314884
54.97; 0.033631987; 1.0433087427286
55.99; 0.034049157; 1.0779693153709
57.01; 0.03462172; 1.1132127318954
58.02; 0.035349224; 1.1491967169027
59.04; 0.036186326; 1.1860328351127
60.06; 0.037060628; 1.2237589556334
