#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0.80710891; 0.82160203888348
1.02; 0.840985; 1.6776884757818
2.04; 0.94029967; 2.634872961814
3.05; 1.0983135; 3.7529086634782
4.07; 1.3045089; 5.0808424552358
5.09; 1.545768; 6.6543675964647
6.11; 1.8080832; 8.4949182890502
7.13; 2.0786143; 10.610857985969
8.14; 2.3476786; 13.000693492878
9.16; 2.6101309; 15.657694134871
10.18; 2.8656604; 18.57481277332
11.20; 3.1178236; 21.748622667746
12.22; 3.3720718; 25.181246263456
13.23; 3.6334404; 28.879931848907
14.25; 3.904764; 32.854813053815
15.27; 4.1861398; 37.116122739462
16.29; 4.4759022; 41.672398083637
17.31; 4.7727383; 46.530839694109
18.32; 5.0780364; 51.700061579026
19.34; 5.3973433; 57.194324108612
20.36; 5.7400428; 63.037439948143
21.38; 6.1170056; 69.264287640432
22.40; 6.5367643; 75.918431630989
23.41; 7.0014292; 83.045584420552
24.43; 7.5038041; 90.684133178778
25.45; 8.0268795; 98.85515008702
26.47; 8.5461562; 107.5547682663
27.48; 9.0343595; 116.75135633778
28.50; 9.4673556; 126.38871582684
29.52; 9.8297358; 136.39496269893
30.54; 10.118665; 146.69532745489
31.56; 10.345112; 157.22620513011
32.57; 10.532241; 167.94757247969
33.59; 10.711384; 178.85129902149
34.61; 10.916382; 189.96370493196
35.63; 11.177326; 201.3417404831
36.65; 11.51472; 213.06322904703
37.66; 11.935107; 225.21265342227
38.68; 12.429062; 237.86490188986
39.70; 12.972233; 251.07007561717
40.72; 13.529619; 264.84264422228
41.74; 14.062498; 279.15766043414
42.75; 14.536608; 293.95530020463
43.77; 14.929499; 309.15288585367
44.79; 15.234881; 324.66133714309
45.81; 15.462462; 340.40145657379
46.83; 15.633111; 356.31528913676
47.84; 15.7708; 372.36928307969
48.86; 15.894073; 388.54876312532
49.88; 16.010112; 404.84636598468
50.90; 16.113653; 421.24936985765
51.92; 16.191185; 437.73129703639
52.93; 16.228777; 454.2514913311
53.95; 16.220401; 470.76315937804
54.97; 16.173316; 487.22689669061
55.99; 16.108294; 503.62444513734
57.01; 16.054597; 519.96733194287
58.02; 16.041785; 536.29717639293
59.04; 16.091752; 552.67788542946
60.06; 16.214126; 569.18316559445
61.08; 16.406548; 585.88432388483
62.10; 16.65908; 602.84254807288
63.11; 16.960083; 620.10718050064
64.13; 17.300435; 637.71827670916
65.15; 17.673958; 655.7096030528
66.17; 18.074137; 674.10829421324
67.19; 18.489385; 692.92968999571
68.20; 18.900195; 712.16927340157
69.22; 19.280867; 731.79636391423
70.24; 19.606289; 751.75472055163
71.26; 19.861569; 771.97294092895
72.27; 20.050361; 792.38334281214
73.29; 20.197756; 812.94378657285
74.31; 20.345616; 833.6547462041
75.33; 20.541533; 854.56514058774
76.35; 20.825637; 875.76474087065
77.36; 21.220779; 897.36657863299
