#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 19.148175; 19.492016292933
1.02; 19.723024; 39.569204090617
2.04; 21.40041; 61.353897543406
3.05; 24.044908; 85.830576295213
4.07; 27.450915; 113.77442272725
5.09; 31.371882; 145.70964509944
6.11; 35.557928; 181.90608148718
7.13; 39.796053; 222.416746014
8.14; 43.944434; 267.15028351226
9.16; 47.951311; 315.96264854737
10.18; 51.851293; 368.74502703325
11.20; 55.737725; 425.48362631507
12.22; 59.717653; 486.27362002804
13.23; 63.863169; 551.28357042737
14.25; 68.176317; 620.68411936233
15.27; 72.581932; 694.5693937071
16.29; 76.953847; 772.9050895408
17.31; 81.167303; 855.52990124895
18.32; 85.158791; 942.21787524243
19.34; 88.969016; 1032.7844941111
20.36; 92.748258; 1127.1982187724
21.38; 96.716074; 1225.6510084087
22.40; 101.08489; 1328.5510687497
23.41; 105.97305; 1436.4270571769
24.43; 111.34027; 1549.7666524497
25.45; 116.97404; 1668.8411728296
26.47; 122.53834; 1793.5799160726
27.48; 127.6743; 1923.5468430868
28.50; 132.12114; 2058.040465465
29.52; 135.81657; 2196.2958721595
30.54; 138.93997; 2337.7307646839
31.56; 141.88046; 2482.1589542515
32.57; 145.13702; 2629.9021826032
33.59; 149.18107; 2781.7620735278
34.61; 154.32438; 2938.8576312874
35.63; 160.63265; 3102.3747424432
36.65; 167.90897; 3273.2988261013
37.66; 175.74809; 3452.2027951221
38.68; 183.64083; 3639.1412370797
39.70; 191.0944; 3833.6670947732
40.72; 197.73381; 4034.9515775185
41.74; 203.35948; 4241.9627506921
42.75; 207.9525; 4453.6494262036
43.77; 211.63479; 4669.0845134266
44.79; 214.60263; 4887.5407320736
45.81; 217.05575; 5108.4941181757
46.83; 219.1411; 5331.5703052206
47.84; 220.92346; 5556.4608580878
48.86; 222.38634; 5782.8405509884
49.88; 223.45896; 6010.3121263975
50.90; 224.05913; 6238.3946489442
51.92; 224.13815; 6466.5576120115
52.93; 223.71378; 6694.2885902708
53.95; 222.88035; 6921.1711706722
54.97; 221.79202; 7146.9458794885
55.99; 220.62469; 7371.5322956868
57.01; 219.53064; 7595.0050107401
58.02; 218.60475; 7817.5352106766
59.04; 217.87833; 8039.3259503189
60.06; 217.34595; 8260.5747470201
61.08; 217.01566; 8481.4873202228
62.10; 216.95967; 8702.3428972027
63.11; 217.33762; 8923.583218455
64.13; 218.37261; 9145.8771080937
65.15; 220.27919; 9370.111820109
66.17; 223.16652; 9597.2857037397
67.19; 226.95661; 9828.3177400689
68.20; 231.36009; 10063.83232647
69.22; 235.93388; 10304.002832435
70.24; 240.21403; 10548.530352105
71.26; 243.88285; 10796.792564445
72.27; 246.90835; 11048.134606359
73.29; 249.59689; 11302.213467461
74.31; 252.52738; 11559.275441051
75.33; 256.37971; 11820.258917807
76.35; 261.71261; 12086.671057876
77.36; 268.76963; 12360.266947231
78.38; 277.38486; 12642.632766978
79.40; 287.02379; 12934.810601852
80.42; 296.94337; 13237.086141354
81.44; 306.40906; 13548.99733743
82.45; 314.88566; 13869.537353646
83.47; 322.13171; 14197.453537941
84.49; 328.16872; 14531.515134902
85.51; 333.15014; 14870.647604934
86.53; 337.19668; 15213.899272391
87.54; 340.27724; 15560.286816025
88.56; 342.19297; 15908.624492915
89.58; 342.6744; 16257.45224969
90.60; 341.54969; 16605.13509759
91.62; 338.90753; 16950.128341774
92.63; 335.17668; 17291.323736978
93.65; 331.07587; 17628.344686256
94.67; 327.44047; 17961.664953055
95.69; 324.98293; 18292.483554364
96.71; 324.07283; 18622.375706805
97.72; 324.61667; 18952.821472105
98.74; 326.08153; 19284.758394341
99.76; 327.65368; 19618.295703303
100.78; 328.47657; 19952.670673505
101.80; 327.88731; 20286.445807773
102.81; 325.57778; 20617.869936663
103.83; 321.638; 20945.283538566
104.85; 316.48377; 21267.45036374
105.87; 310.70807; 21583.737774014
106.89; 304.91449; 21894.127565854
107.90; 299.58639; 22199.093586126
108.92; 295.02255; 22499.413809544
109.94; 291.34076; 22795.986133263
110.96; 288.52762; 23089.694799723
111.98; 286.50239; 23381.341873764
112.99; 285.16773; 23671.630317682
114.01; 284.43362; 23961.17146716
115.03; 284.21652; 24250.491621907
116.05; 284.42565; 24540.02466379
117.07; 284.9503; 24830.091773573
118.08; 285.65725; 25120.878529467
119.10; 286.39985; 25412.421216843
120.12; 287.03424; 25704.609686208
121.14; 287.43641; 25997.207551068
122.15; 287.51514; 26289.885556126
123.17; 287.21889; 26582.261996783
124.19; 286.53689; 26873.944188194
125.21; 285.49443; 27164.56519445
126.23; 284.14168; 27453.809166485
127.24; 282.53484; 27741.417443302
128.26; 280.71027; 28027.168383755
129.28; 278.65689; 28310.829076097
130.30; 276.29659; 28592.087082596
131.32; 273.48466; 28870.482666355
132.33; 270.03968; 29145.371406733
133.35; 265.80366; 29415.948058572
134.37; 260.7216; 29681.351401013
135.39; 254.91848; 29940.847414783
136.41; 248.74597; 30194.060074836
137.42; 242.77491; 30441.194461128
138.44; 237.72212; 30683.185321976
139.46; 234.31916; 30921.712113316
140.48; 233.15071; 31159.049478006
141.50; 234.50356; 31397.763983662
142.51; 238.26967; 31640.312224285
143.53; 243.93606; 31888.62860746
144.55; 250.67214; 32143.802028954
145.57; 257.49812; 32405.924003372
146.59; 263.49422; 32674.149746288
147.60; 267.99701; 32946.959141002
148.62; 270.73167; 33222.552299111
149.64; 271.84657; 33499.280374628
150.66; 271.84516; 33776.007012115
151.68; 271.43961; 34052.320822552
152.69; 271.37232; 34328.566129123
153.71; 272.25709; 34605.7120962
154.73; 274.48066; 34885.121559563
155.75; 278.1805; 35168.29730691
156.77; 283.2874; 35456.671654077
157.78; 289.60032; 35751.472283069
158.80; 296.85585; 36053.65872661
