#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 218.08671; 222.00286062289
1.02; 229.02312; 455.13851668471
2.04; 261.22457; 721.05385536512
3.05; 312.80384; 1039.4746654212
4.07; 380.47692; 1426.7837479086
5.09; 459.57517; 1894.611443186
6.11; 544.37941; 2448.7661913022
7.13; 628.86272; 3088.9212989217
8.14; 707.74906; 3809.379303563
9.16; 777.61734; 4600.9601968736
10.18; 837.68929; 5453.6917418883
11.20; 889.98631; 6359.6594013107
12.22; 938.72084; 7315.2367113555
13.23; 989.04302; 8322.0398269711
14.25; 1045.498; 9386.3116979702
15.27; 1110.6717; 10516.927562407
16.29; 1184.4597; 11722.656432646
17.31; 1264.1969; 13009.554335387
18.32; 1345.5979; 14379.314935737
19.34; 1424.1876; 15829.076418031
20.36; 1496.7408; 17352.693991891
21.38; 1562.2592; 18943.006395469
22.40; 1622.1822; 20594.317923108
23.41; 1679.8029; 22304.284835896
24.43; 1739.1224; 24074.636365639
25.45; 1803.5563; 25910.578807598
26.47; 1874.9247; 27819.171246298
27.48; 1953.0275; 29807.26894238
28.50; 2035.8812; 31879.708176695
29.52; 2120.4622; 34038.24715564
30.54; 2203.644; 36281.461668639
31.56; 2282.9967; 38605.453796345
32.57; 2357.2155; 41004.99742156
33.59; 2426.13; 43474.69302952
34.61; 2490.4196; 46009.832702677
35.63; 2551.2598; 48606.905113734
36.65; 2610.1069; 51263.881334791
37.66; 2668.7075; 53980.510414682
38.68; 2729.2551; 56758.774332239
39.70; 2794.4881; 59603.442635579
40.72; 2867.5; 62522.433898868
41.74; 2951.137; 65526.564023298
42.75; 3047.0563; 68628.33583387
43.77; 3154.7285; 71839.713351397
44.79; 3270.7953; 75169.241794643
45.81; 3389.1609; 78619.261374219
46.83; 3501.9994; 82184.145614074
47.84; 3601.5394; 85850.357288207
48.86; 3682.1768; 89598.654384943
49.88; 3742.2666; 93408.120247758
50.90; 3784.9678; 97261.054174231
51.92; 3817.7666; 101147.37587198
52.93; 3850.7089; 105067.23140736
53.95; 3893.8096; 109030.96159813
54.97; 3954.3996; 113056.3697884
55.99; 4035.2217; 117164.0513589
57.01; 4133.858; 121372.1404011
58.02; 4243.6397; 125691.98245938
59.04; 4355.7047; 130125.90185677
60.06; 4461.503; 134667.51942757
61.08; 4554.9341; 139304.24576397
62.10; 4633.4713; 144020.91956095
63.11; 4698.0222; 148803.30345357
64.13; 4751.732; 153640.36163339
65.15; 4798.2953; 158524.81922921
66.17; 4840.467; 163452.20578917
67.19; 4879.3167; 168419.13960169
68.20; 4914.4241; 173421.8113174
69.22; 4944.8128; 178455.41741263
70.24; 4970.1201; 183514.78518616
71.26; 4991.4317; 188595.84724281
72.27; 5011.3778; 193697.21363573
73.29; 5033.4255; 198821.02360893
74.31; 5060.6611; 203972.55826988
75.33; 5094.587; 209158.6280172
76.35; 5134.457; 214385.28370369
77.36; 5177.4524; 219655.70684777
78.38; 5219.6414; 224969.07654407
79.40; 5257.3264; 230320.80791865
80.42; 5288.2085; 235703.97596497
81.44; 5311.8663; 241111.22662056
82.45; 5329.3343; 246536.25901619
83.47; 5341.9623; 251974.14613468
84.49; 5350.0693; 257420.28579484
85.51; 5352.04; 262868.43152241
86.53; 5344.3675; 268308.76702969
87.54; 5322.7784; 273727.12571903
88.56; 5284.1149; 279106.12665197
89.58; 5228.2861; 284428.29628261
90.60; 5159.4805; 289680.42476516
91.62; 5086.0321; 294857.78598448
92.63; 5018.7856; 299966.69313815
93.65; 4968.3558; 305024.26499967
94.67; 4942.1209; 310055.13078188
95.69; 4941.9439; 315085.81644374
96.71; 4963.4269; 320138.37087863
97.72; 4997.0035; 325225.10476344
98.74; 5030.5625; 330346.00027103
99.76; 5052.7724; 335489.50452801
100.78; 5056.0402; 340636.33527905
101.80; 5038.1784; 345764.98351116
102.81; 5002.3142; 350857.12354467
103.83; 4955.19; 355901.29316101
104.85; 4904.5495; 360893.91290408
105.87; 4856.5813; 365837.7030782
106.89; 4814.308; 370738.46088362
107.90; 4777.4041; 375601.6520683
108.92; 4743.3598; 380430.18764008
109.94; 4709.3998; 385224.15344039
110.96; 4674.3009; 389982.39002168
111.98; 4639.331; 394705.02875404
112.99; 4607.9132; 399395.68550563
114.01; 4584.1464; 404062.1487704
115.03; 4570.7915; 408715.01731166
116.05; 4567.5639; 413364.6002833
117.07; 4570.4849; 418017.15664591
118.08; 4572.656; 422671.92318231
119.10; 4566.2923; 427320.21168605
120.12; 4545.3653; 431947.19742302
121.14; 4507.9576; 436536.10376295
122.15; 4457.4893; 441073.63547594
123.17; 4402.3361; 445555.02362489
124.19; 4353.8804; 449987.08600957
125.21; 4323.5388; 454388.26195628
126.23; 4319.6319; 458785.46080819
127.24; 4344.9992; 463208.48245357
128.26; 4396.0197; 467683.44082355
129.28; 4463.2715; 472226.85861118
130.30; 4533.5961; 476841.86380734
131.32; 4592.9747; 481517.3138197
132.33; 4629.4616; 486229.90591211
133.35; 4635.485; 490948.62960132
134.37; 4609.0588; 495640.45254951
135.39; 4553.7626; 500275.98633528
136.41; 4477.6412; 504834.03182227
137.42; 4391.3761; 509304.2631491
138.44; 4306.1667; 513687.75500082
139.46; 4231.7407; 517995.48439438
140.48; 4174.8264; 522245.27753611
141.50; 4138.3056; 526457.89409949
142.51; 4121.1418; 530653.03856655
143.53; 4119.0569; 534846.0607372
144.55; 4125.8072; 539045.95442006
145.57; 4134.7885; 543254.99070918
146.59; 4140.6158; 547469.95889972
147.60; 4140.2928; 551684.59829876
148.62; 4133.6591; 555892.48491392
149.64; 4122.9734; 560089.49388618
150.66; 4111.7385; 564275.06622693
151.68; 4103.1256; 568451.87098149
152.69; 4098.5173; 572623.98474787
153.71; 4096.6975; 576794.24603309
154.73; 4094.029; 580961.79092247
155.75; 4085.6337; 585120.78975076
156.77; 4067.2152; 589261.03935613
157.78; 4036.8884; 593370.41758086
158.80; 3996.3112; 597438.48995678
159.82; 3950.606; 601460.03636478
160.84; 3906.9611; 605437.15417155
161.86; 3872.2869; 609378.97510873
162.87; 3850.6872; 613298.80851288
163.89; 3841.6472; 617209.43959323
164.91; 3839.6546; 621118.04230321
165.93; 3835.5165; 625022.43259358
166.94; 3819.0532; 628910.06394644
167.96; 3782.3539; 632760.33701807
168.98; 3722.5481; 636549.73031622
170.00; 3643.1741; 640258.32433233
171.02; 3553.6774; 643875.8145518
172.03; 3467.1832; 647405.25739473
173.05; 3397.252; 650863.51334388
174.07; 3354.6346; 654278.3866388
175.09; 3344.9951; 657683.44730624
176.11; 3368.1941; 661112.12359822
177.12; 3419.166; 664592.6870438
178.14; 3489.8945; 668145.24900595
179.16; 3571.6874; 671781.07265722
180.18; 3656.9643; 675503.70454024
181.20; 3740.0786; 679310.94320249
182.21; 3817.1557; 683196.64303697
183.23; 3885.3444; 687151.75597029
184.25; 3942.084; 691164.62734342
