#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0.24186751; 0.24621069278634
1.02; 0.25417929; 0.50495424033898
2.04; 0.29052417; 0.80069531155168
3.05; 0.34915895; 1.1561240571383
4.07; 0.42729102; 1.5910878791692
5.09; 0.52129853; 2.1217472843543
6.11; 0.62709297; 2.7601008685433
7.13; 0.74059728; 3.5139969441707
8.14; 0.85824757; 4.3876559376065
9.16; 0.97738716; 5.3825938922623
10.18; 1.0964354; 6.498717781198
11.20; 1.2147844; 7.7353158909613
12.22; 1.3324793; 9.0917223551192
13.23; 1.4498221; 10.567578668943
14.25; 1.5670693; 12.162787615062
15.27; 1.6843455; 13.877378690392
16.29; 1.8017858; 15.711518886222
17.31; 1.9198044; 17.665796893216
18.32; 2.0393117; 19.741728155926
19.34; 2.1617118; 21.942257470975
20.36; 2.2886072; 24.271960797888
21.38; 2.4212755; 26.736714734477
22.40; 2.5601069; 29.342793118511
23.41; 2.7042362; 32.095588903599
24.43; 2.8515488; 34.998342523208
25.45; 2.999104; 38.051300928385
26.47; 3.1438524; 41.251606976003
27.48; 3.2834035; 44.593970025271
28.50; 3.4165708; 48.071891712361
29.52; 3.5435029; 51.67902477773
30.54; 3.6653607; 55.410203808062
31.56; 3.7836718; 59.26181842616
32.57; 3.8996069; 63.231449925159
33.59; 4.0134493; 67.316968129587
34.61; 4.1244592; 71.515489634393
35.63; 4.2311981; 75.8226667128
36.65; 4.3322333; 80.232693290433
37.66; 4.4270236; 84.739212254361
38.68; 4.5167282; 89.337046629652
39.70; 4.6046887; 94.024421061876
40.72; 4.6963919; 98.805145324239
41.74; 4.7988227; 103.69013979754
42.75; 4.9192488; 108.69772277437
43.77; 5.0636165; 113.85226586212
44.79; 5.2348812; 119.18114901994
45.81; 5.4316821; 124.71036702943
46.83; 5.6477829; 130.45956628301
47.84; 5.8725823; 136.43760160931
48.86; 6.0927638; 142.63977227499
49.88; 6.2948382; 149.04764593102
50.90; 6.4680316; 155.63182299403
51.92; 6.6067958; 162.35725601181
52.93; 6.7122416; 169.19002831755
53.95; 6.7920497; 176.10404186741
54.97; 6.8588232; 183.08602787302
55.99; 6.9272844; 190.13770444923
57.01; 7.0110388; 197.27463936578
58.02; 7.1197126; 204.52219954155
59.04; 7.257113; 211.90962745372
60.06; 7.4207198; 219.46360002383
61.08; 7.6024434; 227.20255934445
62.10; 7.7903092; 235.13275796949
63.11; 7.9706276; 243.24651295996
64.13; 8.1302687; 251.52277563358
65.15; 8.2587922; 259.92986975693
66.17; 8.3502758; 268.4300901526
67.19; 8.4046708; 276.98568230317
68.20; 8.4284308; 285.56546116837
69.22; 8.4340861; 294.15099684928
70.24; 8.4385169; 302.74104288828
71.26; 8.459965; 311.3529222172
72.27; 8.5142645; 320.02007610201
73.29; 8.6112053; 328.7859115196
74.31; 8.7521437; 337.69521613376
75.33; 8.9297748; 346.78534153666
76.35; 9.1303703; 356.07966447182
77.36; 9.3379383; 365.58528271673
78.38; 9.5389994; 375.29557251395
79.40; 9.7263276; 385.19655426807
80.42; 9.9002799; 395.27461195105
