#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0.7350782; 0.74827788563232
1.02; 0.77958955; 1.5418664102823
2.04; 0.91185311; 2.4700935289064
3.05; 1.1278213; 3.6181669868478
4.07; 1.4201147; 5.0637824217909
5.09; 1.7775447; 6.8732462440847
6.11; 2.1851957; 9.0976811943166
7.13; 2.6254203; 11.770245777866
8.14; 3.0798131; 14.905362595569
9.16; 3.5318575; 18.500641150757
10.18; 3.9696353; 22.541558592951
11.20; 4.3878576; 27.008208238974
12.22; 4.7885879; 31.882784132364
13.23; 5.1803555; 37.156162495769
14.25; 5.5758022; 42.832088575112
15.27; 5.9884314; 48.928053339643
16.29; 6.4292772; 55.472780095222
17.31; 6.9043228; 62.50108276425
18.32; 7.4132538; 70.047455255771
19.34; 7.949737; 78.139944431954
20.36; 8.5029963; 86.795627778456
21.38; 9.0601589; 96.018478542261
22.40; 9.608735; 105.79975610331
23.41; 10.138694; 116.12050887929
24.43; 10.643811; 126.95544945639
25.45; 11.122208; 138.27737753445
26.47; 11.576166; 150.0614150106
27.48; 12.011371; 162.28847286146
28.50; 12.435735; 174.94751422006
29.52; 12.857902; 188.03630333047
30.54; 13.285617; 201.56048860448
31.56; 13.724193; 215.531124871
32.57; 14.175437; 229.96110837659
33.59; 14.637448; 244.86139844168
34.61; 15.105524; 260.23816984552
35.63; 15.574169; 276.09200158182
36.65; 16.039736; 292.41976042034
37.66; 16.502936; 309.21903691068
38.68; 16.970293; 326.49406328278
39.70; 17.45384; 344.26131966595
40.72; 17.968846; 362.55282946084
41.74; 18.530041; 381.41561125563
42.75; 19.147367; 400.90680440625
43.77; 19.822541; 421.08529542578
44.79; 20.547532; 442.00179598157
45.81; 21.305485; 463.68985999157
46.83; 22.073846; 486.16008229029
47.84; 22.828771; 509.39878647496
48.86; 23.549566; 533.37122842489
49.88; 24.221993; 558.02817213999
50.90; 24.839808; 583.31402458132
51.92; 25.404506; 609.17471537686
52.93; 25.923845; 635.56407053477
53.95; 26.409929; 662.44823886458
54.97; 26.877529; 689.80840340191
55.99; 27.342875; 717.64227007379
57.01; 27.822737; 745.96461570435
58.02; 28.333286; 774.80667857251
59.04; 28.888297; 804.21371875577
60.06; 29.496608; 834.23999285096
61.08; 30.159297; 864.94085600642
62.10; 30.867519; 896.36265792801
63.11; 31.602103; 928.53223470647
64.13; 32.335787; 961.44867039921
65.15; 33.038248; 995.08018168998
66.17; 33.683187; 1029.3682125815
67.19; 34.255814; 1064.239153478
68.20; 34.758577; 1099.6218852017
