#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 1.4514137; 1.4774765213769
1.02; 1.5188232; 3.0235730141845
2.04; 1.7145447; 4.7689054846804
3.05; 2.020921; 6.8261158953818
4.07; 2.4139912; 9.2834548061943
5.09; 2.8694046; 12.204384883098
6.11; 3.3671654; 15.63201391004
7.13; 3.8936119; 19.595542824252
8.14; 4.4403516; 24.115629174979
9.16; 5.0012558; 29.206691756264
10.18; 5.5694537; 34.876155322954
11.20; 6.1361748; 41.122516474681
12.22; 6.6923232; 47.935012703482
13.23; 7.2322711; 55.297152611889
14.25; 7.7581498; 63.194614306052
15.27; 8.282449; 71.625789977626
16.29; 8.8272203; 80.611519369499
17.31; 9.419429; 90.200091665322
18.32; 10.08351; 100.46466926827
19.34; 10.833353; 111.49255557662
20.36; 11.666353; 123.36839989451
21.38; 12.561619; 136.15558629162
22.40; 13.483279; 149.88098215753
23.41; 14.3883; 164.52765100369
24.43; 15.236994; 180.03825309662
25.45; 16.003569; 196.32919608799
26.47; 16.684037; 213.31282594075
27.48; 17.299237; 230.92270263994
28.50; 17.891806; 249.13578870535
29.52; 18.517223; 267.98552270787
30.54; 19.230541; 287.5613836314
31.56; 20.071729; 307.99353732506
32.57; 21.053415; 329.42500490308
33.59; 22.154799; 351.97763399419
34.61; 23.324382; 375.72084857032
35.63; 24.491952; 400.65259912617
36.65; 25.587431; 426.69949936177
37.66; 26.56159; 453.73805146305
38.68; 27.402267; 481.63237715093
39.70; 28.14031; 510.2779989251
40.72; 28.842185; 539.63809829324
41.74; 29.590321; 569.75976780945
42.75; 30.45649; 600.7631602729
43.77; 31.476266; 632.80464091754
44.79; 32.632809; 666.02343231249
45.81; 33.855573; 700.4869444427
46.83; 35.034936; 736.15099759948
47.84; 36.048791; 772.84711171864
48.86; 36.79357; 810.30137858296
49.88; 37.21121; 848.18078469283
50.90; 37.30532; 886.15599049602
51.92; 37.143381; 923.96634927614
52.93; 36.845706; 961.47368761845
53.95; 36.564694; 998.69496871592
54.97; 36.458976; 1035.8086329438
55.99; 36.666595; 1073.1336446802
57.01; 37.280429; 1111.0835129776
58.02; 38.328468; 1150.1002395761
59.04; 39.761885; 1190.576122951
60.06; 41.454442; 1232.7749559022
61.08; 43.216605; 1276.7675950195
62.10; 44.825731; 1322.3982553286
63.11; 46.069524; 1369.2950423657
64.13; 46.794737; 1416.9300650189
65.15; 46.948866; 1464.7219844451
66.17; 46.601599; 1512.1604011233
67.19; 45.936555; 1558.9218317699
68.20; 45.211835; 1604.9455284972
69.22; 44.697819; 1650.4459794444
70.24; 44.608884; 1695.8558982054
71.26; 45.04889; 1741.7137240013
72.27; 45.986769; 1788.5262707873
73.29; 47.269161; 1836.644236481
74.31; 48.665086; 1886.1831941756
75.33; 49.927579; 1937.0073153439
76.35; 50.852679; 1988.773148429
77.36; 51.318932; 2041.0136068133
78.38; 51.299082; 2093.2338583466
79.40; 50.846373; 2144.9932720517
80.42; 50.066374; 2195.9586807981
81.44; 49.088184; 2245.9283338192
82.45; 48.04556; 2294.8366401423
83.47; 47.070919; 2342.7528044072
84.49; 46.297135; 2389.8812897608
85.51; 45.857461; 2436.5622061169
86.53; 45.87493; 2483.26090495
87.54; 46.43863; 2530.5334268649
88.56; 47.572508; 2578.9601866824
89.58; 49.208721; 2629.0525416913
90.60; 51.178996; 2681.1505515009
91.62; 53.232719; 2735.3391620681
92.63; 55.081525; 2791.4097777292
93.65; 56.460291; 2848.8839176307
94.67; 57.187776; 2907.0986061365
95.69; 57.209332; 2965.335237293
96.71; 56.609328; 3022.9610904688
97.72; 55.590226; 3079.5495413822
98.74; 54.425003; 3134.9518458389
99.76; 53.396571; 3189.3072511258
100.78; 52.739873; 3242.9941655118
101.80; 52.599577; 3296.5382650761
102.81; 53.010418; 3350.5005826702
103.83; 53.900714; 3405.3691836584
104.85; 55.114651; 3461.4735197008
105.87; 56.446379; 3518.9334977783
106.89; 57.678748; 3577.6479740438
107.90; 58.620407; 3637.3210190374
108.92; 59.136197; 3697.5191156198
109.94; 59.166669; 3757.7482314006
110.96; 58.733632; 3817.5365345058
111.98; 57.930332; 3876.5071125592
112.99; 56.897675; 3934.4264900663
114.01; 55.791388; 3991.2197158358
115.03; 54.748029; 4046.9508471378
116.05; 53.858883; 4101.7768658234
117.07; 53.159052; 4155.890486847
118.08; 52.634477; 4209.4701129619
119.10; 52.24363; 4262.6518740779
120.12; 51.945368; 4315.5300175593
121.14; 51.722052; 4368.1808343731
122.15; 51.588753; 4420.6959585882
123.17; 51.584739; 4473.2069967737
124.19; 51.750525; 4525.8867982585
125.21; 52.099894; 4578.9222420768
126.23; 52.598897; 4632.4656490918
127.24; 53.161809; 4686.5820767583
128.26; 53.66791; 4741.2136937142
129.28; 53.99502; 4796.178293976
130.30; 54.058942; 4851.207963886
131.32; 53.84493; 4906.0197790532
132.33; 53.41924; 4960.3982605911
133.35; 52.915178; 5014.2636280938
134.37; 52.496577; 5067.702878594
135.39; 52.309394; 5120.9515848092
136.41; 52.43632; 5174.3294955369
137.42; 52.868667; 5228.1475174924
138.44; 53.504425; 5282.6127138042
139.46; 54.173197; 5337.7586907133
140.48; 54.680479; 5393.4210585692
141.50; 54.858029; 5449.2641646807
142.51; 54.605678; 5504.8503885002
143.53; 53.913124; 5559.7316223914
144.55; 52.856792; 5613.5375554641
145.57; 51.574512; 5666.0381830873
146.59; 50.227106; 5717.1672097105
147.60; 48.959025; 5767.00538446
148.62; 47.869263; 5815.7342285343
149.64; 46.999408; 5863.577597517
150.66; 46.339568; 5910.7492781926
151.68; 45.847179; 5957.4197281598
152.69; 45.470186; 6003.7064150072
