#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 13.009703; 13.243316463914
1.02; 13.572777; 27.059817982874
2.04; 15.198683; 42.531420965196
3.05; 17.714529; 60.564047201123
4.07; 20.882444; 81.821474222815
5.09; 24.454852; 106.71545797507
6.11; 28.220771; 135.44298518308
7.13; 32.029108; 168.04723491845
8.14; 35.786181; 204.47602329098
9.16; 39.436258; 244.62043214775
10.18; 42.940299; 288.33180378189
11.20; 46.266676; 335.42928348657
12.22; 49.399267; 385.71560567331
13.23; 52.357435; 439.01321490985
14.25; 55.21436; 495.21905081289
15.27; 58.099173; 554.36150133232
16.29; 61.174946; 616.63495605032
17.31; 64.595955; 682.39085037895
18.32; 68.458366; 752.07851241235
19.34; 72.763645; 826.14876334978
20.36; 77.410902; 904.94972158691
21.38; 82.224159; 988.65036715938
22.40; 87.007411; 1077.2201565783
23.41; 91.609661; 1170.4748384574
24.43; 95.978085; 1268.1763877453
25.45; 100.18143; 1370.1567612891
26.47; 104.39575; 1476.4271305029
27.48; 108.85653; 1587.2383821288
28.50; 113.79092; 1703.0726321327
29.52; 119.34833; 1824.5640847801
30.54; 125.54668; 1952.3651838042
31.56; 132.24674; 2086.9866564323
32.57; 139.16064; 2228.6461781152
33.59; 145.89433; 2377.160312584
34.61; 152.01898; 2531.9090739547
35.63; 157.16128; 2691.8924802105
36.65; 161.09856; 2855.8838599811
37.66; 163.8399; 3022.6658086238
38.68; 165.67274; 3191.3135134229
39.70; 167.15582; 3361.4709204555
40.72; 169.04742; 3533.5539010581
41.74; 172.17156; 3708.8171180691
42.75; 177.24121; 3889.2410257966
43.77; 184.67384; 4077.2310249754
44.79; 194.44297; 4275.1655824686
45.81; 206.00855; 4484.8733987366
46.83; 218.35513; 4707.1495034593
47.84; 230.14455; 4941.4267263624
48.86; 239.96203; 5185.6977224847
49.88; 246.60969; 5436.7357434811
50.90; 249.38442; 5690.598322049
51.92; 248.274; 5943.330540777
52.93; 244.01698; 6191.7292946525
53.95; 237.9985; 6434.00149444
54.97; 231.99026; 6670.1575665984
55.99; 227.78168; 6902.0294904233
57.01; 226.7814; 7132.8831652873
58.02; 229.68421; 7366.6917753294
59.04; 236.29177; 7607.2265960001
60.06; 245.54334; 7857.1791173839
61.08; 255.76178; 8117.533576935
62.10; 265.06148; 8387.3547241475
63.11; 271.81604; 8664.0517284581
64.13; 275.06107; 8944.052029411
65.15; 274.72001; 9223.7051458675
66.17; 271.58946; 9500.1714979321
67.19; 267.08976; 9772.0573481288
68.20; 262.85672; 10039.634144324
69.22; 260.29709; 10304.605344595
70.24; 260.23781; 10569.516204267
71.26; 262.7645; 10836.999127197
72.27; 267.27997; 11109.078606586
73.29; 272.7424; 11386.718597468
74.31; 277.98982; 11669.700239011
75.33; 282.04137; 11956.806179556
76.35; 284.28878; 12246.199888198
77.36; 284.54328; 12535.852670539
78.38; 282.95984; 12823.89357702
79.40; 279.9009; 13108.820612339
80.42; 275.81039; 13389.583686625
81.44; 271.1459; 13665.598517455
82.45; 266.37591; 13936.757696841
83.47; 262.01001; 14203.472579887
84.49; 258.61168; 14466.728109924
85.51; 256.75217; 14728.090738596
86.53; 256.89648; 14989.600269925
87.54; 259.25117; 15253.506774703
88.56; 263.63107; 15521.871823563
89.58; 269.40472; 15796.114200283
90.60; 275.55507; 16076.617369265
91.62; 280.85222; 16362.512810724
92.63; 284.09608; 16651.710359933
93.65; 284.36365; 16941.180287634
94.67; 281.19681; 17227.426503595
95.69; 274.68868; 17507.047725717
96.71; 265.45966; 17777.274204724
97.72; 254.54307; 18036.388069985
98.74; 243.21635; 18283.971815783
99.76; 232.81348; 18520.965887391
100.78; 224.54433; 18749.542321177
101.80; 219.33499; 18972.815874039
102.81; 217.69852; 19194.423568524
103.83; 219.64848; 19418.016245515
104.85; 224.67408; 19646.72476135
105.87; 231.79658; 19882.683677156
106.89; 239.71656; 20126.704793456
107.90; 247.03858; 20378.179412001
108.92; 252.53258; 20635.246676902
109.94; 255.37042; 20895.202740109
110.96; 255.27351; 21155.060156105
111.98; 252.5273; 21412.12205193
112.99; 247.85691; 21664.429691326
114.01; 242.20141; 21910.980277305
115.03; 236.4566; 22151.68289576
116.05; 231.26446; 22387.100137205
117.07; 226.90847; 22618.083167801
118.08; 223.33461; 22845.428159863
