#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 1.0095452; 1.0276734274216
1.02; 1.0918924; 2.1391727633684
2.04; 1.3361397; 3.4993053684809
3.05; 1.7340621; 5.2645057682755
4.07; 2.2724318; 7.5777433067323
5.09; 2.9336301; 10.564052129229
6.11; 3.6964184; 14.326846506396
7.13; 4.5370007; 18.94531739694
8.14; 5.4306467; 24.473481406221
9.16; 6.3541347; 30.941716384452
10.18; 7.2890136; 38.361617744794
11.20; 8.2252021; 46.734518582525
12.22; 9.1639064; 56.062979849588
13.23; 10.118521; 66.363197100855
14.25; 11.112342; 77.675082012307
15.27; 12.172713; 90.066378752806
16.29; 13.322448; 103.62805639653
17.31; 14.570768; 118.46046961876
18.32; 15.906826; 134.65293195476
19.34; 17.298851; 152.26241571359
20.36; 18.700643; 171.29886289831
21.38; 20.06489; 191.72405503677
22.40; 21.360186; 213.46780266601
23.41; 22.586584; 236.45997096336
24.43; 23.783984; 260.67104031
25.45; 25.028998; 286.14948022055
26.47; 26.419114; 313.04299785196
27.48; 28.047031; 341.59366540167
28.50; 29.971818; 372.10368262516
29.52; 32.195576; 404.87738927239
30.54; 34.653823; 440.1534853629
31.56; 37.22457; 478.04649160482
32.57; 39.755918; 518.51630024079
33.59; 42.106315; 561.37871192283
34.61; 44.187179; 606.35935366809
35.63; 45.995739; 653.18103069699
36.65; 47.627559; 701.663830165
37.66; 49.262943; 751.81138000596
38.68; 51.128127; 803.85760736593
39.70; 53.439167; 858.25637287509
40.72; 56.341686; 915.609778066
41.74; 59.861803; 976.54650995941
42.75; 63.881704; 1041.5753284074
43.77; 68.147994; 1110.9470451642
44.79; 72.313124; 1184.5586850925
45.81; 76.002051; 1261.9254931228
46.83; 78.889612; 1342.2317134764
47.84; 80.77094; 1424.4530454645
48.86; 81.608266; 1507.526738989
49.88; 81.542656; 1590.5336438881
50.90; 80.867375; 1672.8531425291
51.92; 79.968598; 1754.2577249157
52.93; 79.246924; 1834.9276736125
53.95; 79.037676; 1915.3846170303
54.97; 79.548111; 1996.3611618757
55.99; 80.825454; 2078.6379858854
57.01; 82.762151; 2162.886284037
