#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 0.25569218; 0.2602836079894
1.02; 0.2719255; 0.53709203573103
2.04; 0.31928597; 0.86211138012033
3.05; 0.39401242; 1.263199019772
4.07; 0.49063413; 1.7626433961713
5.09; 0.60297798; 2.3764489557572
6.11; 0.72525937; 3.1147316986964
7.13; 0.85305423; 3.9831040979671
8.14; 0.98400214; 4.9847758133455
9.16; 1.1181614; 6.1230158845138
10.18; 1.2579954; 7.4036009322197
11.20; 1.4080009; 8.8368851063336
12.22; 1.5740001; 10.439149298671
13.23; 1.7621278; 12.232919317314
14.25; 1.9775792; 14.246009609626
15.27; 2.2232542; 16.509186469125
16.29; 2.4985238; 19.05257585123
17.31; 2.7984264; 21.901253167007
18.32; 3.1136207; 25.070784725593
19.34; 3.4313405; 28.563741279077
20.36; 3.7374058; 32.368259135432
21.38; 4.0190685; 36.45949742277
22.40; 4.2681734; 40.804313785912
23.41; 4.4839007; 45.368731231442
24.43; 4.6742967; 50.126963529733
25.45; 4.8559686; 55.070129997468
26.47; 5.0517002; 60.212542855096
27.48; 5.2862677; 65.593735220605
28.50; 5.5812637; 71.27522082495
29.52; 5.9501129; 77.332179002644
30.54; 6.3945369; 83.841541632305
31.56; 6.9034539; 90.868959798453
32.57; 7.4547079; 98.457530752238
33.59; 8.0192791; 106.62081078253
34.61; 8.5669481; 115.34159426811
35.63; 9.071997; 124.57649574688
36.65; 9.5175633; 134.26496446612
37.66; 9.8977267; 144.34042311714
38.68; 10.217142; 154.74103319316
39.70; 10.488787; 165.41816559565
40.72; 10.730879; 176.34173734301
41.74; 10.964101; 187.50271933703
42.75; 11.209853; 198.91386618895
43.77; 11.489592; 210.60977524814
44.79; 11.824641; 222.64674973145
45.81; 12.235467; 235.10192741912
46.83; 12.739553; 248.07024236593
47.84; 13.347585; 261.65750828649
48.86; 14.058575; 275.96853123956
49.88; 14.855324; 291.09060958724
50.90; 15.702071; 307.07464020933
51.92; 16.545926; 323.91767879151
52.93; 17.322816; 341.55155781048
53.95; 17.967447; 359.84164365076
54.97; 18.425495; 378.5980028406
55.99; 18.665379; 397.5985532166
57.01; 18.686796; 416.62090535683
58.02; 18.523807; 435.47734147978
59.04; 18.241461; 454.04636150372
60.06; 17.926466; 472.29472983668
61.08; 17.673746; 490.28584028367
62.10; 17.571602; 508.17297252128
63.11; 17.688331; 526.17893028962
64.13; 18.062648; 544.56592695122
65.15; 18.699218; 563.60092428625
66.17; 19.569443; 583.52177236861
67.19; 20.616642; 604.5086246379
68.20; 21.764204; 626.66364552057
69.22; 22.92519; 650.00049922763
70.24; 24.012225; 674.44390797695
71.26; 24.94697; 699.83884659463
72.27; 25.668788; 725.9685653112
73.29; 26.142279; 752.58027694979
74.31; 26.363; 779.4166738084
75.33; 26.360297; 806.2503189005
76.35; 26.195875; 832.91658956295
77.36; 25.957074; 859.33977088135
78.38; 25.744717; 885.54678211267
79.40; 25.656902; 911.66440083768
80.42; 25.771627; 937.8988052812
81.44; 26.132192; 964.50024876266
82.45; 26.739234; 991.71963489352
83.47; 27.552001; 1019.7663827315
84.49; 28.499077; 1048.7772136325
85.51; 29.49613; 1078.8030011989
86.53; 30.466079; 1109.8161545127
87.54; 31.35628; 1141.7354944882
88.56; 32.148158; 1174.4609316001
89.58; 32.85698; 1207.9079191496
90.60; 33.522457; 1242.0323338867
91.62; 34.193471; 1276.8398122039
92.63; 34.911746; 1312.3784629169
93.65; 35.699185; 1348.7186925219
94.67; 36.552137; 1385.9271911942
95.69; 37.443588; 1424.0431483496
96.71; 38.332042; 1463.0635133216
97.72; 39.174299; 1502.9412590955
98.74; 39.938667; 1543.5970982106
99.76; 40.615376; 1584.9417982936
100.78; 41.221694; 1626.9037037402
101.80; 41.800256; 1669.4545602521
102.81; 42.410305; 1712.6264204356
103.83; 43.11289; 1756.5134824356
104.85; 43.952661; 1801.2553942138
105.87; 44.940448; 1847.0028310413
106.89; 46.041859; 1893.8714565972
107.90; 47.176808; 1941.8954117548
108.92; 48.232879; 1990.9944014802
109.94; 49.091568; 2040.9674995562
110.96; 49.66184; 2091.5211094924
111.98; 49.91152; 2142.3288827395
112.99; 49.885702; 2193.1103747865
114.01; 49.703684; 2243.7065805259
115.03; 49.531887; 2294.1279036534
116.05; 49.538181; 2344.5556339474
117.07; 49.840327; 2395.2909359513
118.08; 50.464948; 2446.6620749969
119.10; 51.33175; 2498.9155819367
120.12; 52.270541; 2552.1247369352
121.14; 53.06804; 2606.1457119747
122.15; 53.531197; 2660.6381608446
123.17; 53.547335; 2715.1470370339
124.19; 53.121649; 2769.2225833301
125.21; 52.379491; 2822.5426453851
126.23; 51.532297; 2875.0003004909
127.24; 50.817979; 2926.7308100292
128.26; 50.43488; 2978.0713419859
129.28; 50.490064; 3029.4680487413
130.30; 50.977254; 3081.360693087
131.32; 51.789304; 3134.0799698771
132.33; 52.758414; 3187.7857591797
133.35; 53.708586; 3242.4587825508
134.37; 54.502045; 3297.9395128706
135.39; 55.065094; 3353.9934019165
136.41; 55.3875; 3410.3754863782
137.42; 55.499641; 3466.8717263968
138.44; 55.439494; 3523.30673865
139.46; 55.224455; 3579.5228506603
140.48; 54.84014; 3635.3477465944
141.50; 54.250917; 3690.5728387886
142.51; 53.42797; 3744.9602069406
143.53; 52.38334; 3798.2841869201
144.55; 51.19533; 3850.3988232751
145.57; 50.012985; 3901.3098836003
146.59; 49.034258; 3951.2246420882
147.60; 48.46162; 4000.5564804184
