#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 1.2547368; 1.2772679012535
1.02; 1.3111775; 2.6119900070693
2.04; 1.4744447; 4.1129111164424
3.05; 1.7279948; 5.8719352392932
4.07; 2.0490075; 7.9577364593966
5.09; 2.4135391; 10.414615076525
6.11; 2.8007205; 13.26562764975
7.13; 3.1947174; 16.517712120136
8.14; 3.584322; 20.166397240501
9.16; 3.9611803; 24.198707835063
10.18; 4.3182239; 28.594473425294
11.20; 4.6495981; 33.32756363774
12.22; 4.952408; 38.368901270958
13.23; 5.2294259; 43.692231220306
14.25; 5.4911151; 49.281949406644
15.27; 5.7553524; 55.140649781591
16.29; 6.0441154; 61.293298494536
17.31; 6.3777599; 67.785582887907
18.32; 6.768744; 74.675872232031
19.34; 7.2171717; 82.0226415591
20.36; 7.7100559; 89.871145769668
21.38; 8.2249066; 98.243745764585
22.40; 8.736641; 107.13726928457
23.41; 9.2255566; 116.52848782465
24.43; 9.6836906; 126.38606702807
25.45; 10.117458; 136.68520262623
26.47; 10.545752; 147.42032279412
27.48; 10.994178; 158.61192162913
28.50; 11.487233; 170.30542917456
29.52; 12.04067; 182.56231153893
30.54; 12.656019; 195.44559272872
31.56; 13.318462; 209.00321278935
32.57; 13.998389; 223.25296890369
33.59; 14.656257; 238.17240571229
34.61; 15.249959; 253.69620584786
35.63; 15.743656; 269.72256841887
36.65; 16.116799; 286.12877446165
37.66; 16.3718; 302.79456084802
38.68; 16.538543; 319.63008360802
39.70; 16.673924; 336.60341911743
40.72; 16.855183; 353.76126839809
41.74; 17.166923; 371.23645557896
42.75; 17.683449; 389.23744373578
43.77; 18.449735; 408.01847777761
44.79; 19.465531; 427.83354876127
45.81; 20.677218; 448.8820645904
46.83; 21.980796; 471.25756628183
47.84; 23.237036; 494.91186589503
48.86; 24.296813; 519.64497320277
49.88; 25.031818; 545.12628394442
50.90; 25.363942; 570.94568212435
51.92; 25.286262; 596.68600602542
52.93; 24.869912; 622.00250342634
53.95; 24.253983; 646.69201141673
54.97; 23.619463; 670.73560580721
55.99; 23.152133; 694.30347779447
57.01; 23.002417; 717.71894525873
58.02; 23.251584; 741.38805430262
59.04; 23.892788; 765.70988187756
60.06; 24.832297; 790.9880885397
61.08; 25.911393; 817.36476821963
62.10; 26.944063; 844.79266125869
63.11; 27.761152; 873.05231631106
64.13; 28.249613; 901.80920348699
65.15; 28.376568; 930.69532566835
66.17; 28.192088; 959.39365421593
67.19; 27.810632; 987.70367773608
68.20; 27.377264; 1015.5725510043
69.22; 27.028895; 1043.0868002062
70.24; 26.861747; 1070.4308992977
71.26; 26.91346; 1097.8276397394
72.27; 27.163065; 1125.4784677453
73.29; 27.546116; 1153.519224918
74.31; 27.977902; 1181.9995215141
75.33; 28.376252; 1210.8853220179
76.35; 28.677247; 1240.0775223734
77.36; 28.841174; 1269.43659325
78.38; 28.850457; 1298.8051137588
79.40; 28.704131; 1328.0246804763
80.42; 28.413696; 1356.9485967986
81.44; 28.002979; 1385.4544209535
82.45; 27.511219; 1413.4596544637
83.47; 26.995755; 1440.9401677431
84.49; 26.529887; 1467.9464482567
85.51; 26.193162; 1494.6099565862
86.53; 26.054762; 1521.1325801526
