#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
0.00; 24.040509; 24.472200451944
1.02; 25.165495; 50.0895888952
2.04; 28.421379; 79.021326488698
3.05; 33.481378; 113.10392478279
4.07; 39.891088; 153.71133132324
5.09; 47.169297; 201.72764024987
6.11; 54.895402; 257.60879017914
7.13; 62.758341; 321.49407331492
8.14; 70.560667; 393.32178722401
9.16; 78.190903; 472.9167526973
10.18; 85.58879; 560.04244735611
11.20; 92.726439; 654.43396074659
12.22; 99.615337; 755.83807484299
13.23; 106.33129; 864.07874304657
14.25; 113.03603; 979.14454284114
15.27; 119.97197; 1101.2708359333
16.29; 127.41761; 1230.9764614911
17.31; 135.6096; 1369.021180861
18.32; 144.65657; 1516.2753291119
19.34; 154.47855; 1673.5278296402
20.36; 164.80138; 1841.2885200239
21.38; 175.21754; 2019.6524154469
22.40; 185.30088; 2208.280711185
23.41; 194.74148; 2406.5191393693
24.43; 203.45756; 2613.6301601756
25.45; 211.6459; 2829.0765500215
26.47; 219.75085; 3052.7734345437
27.48; 228.35633; 3285.2303294197
28.50; 238.02804; 3527.5326037812
29.52; 249.1478; 3781.154314517
30.54; 261.78432; 4047.6394532823
31.56; 275.63567; 4328.224673985
32.57; 290.06205; 4623.4953272137
33.59; 304.20663; 4933.1645520955
34.61; 317.18288; 5256.0430347351
35.63; 328.29084; 5590.2289452314
36.65; 337.21576; 5933.5000380802
37.66; 344.16122; 6283.8413073493
38.68; 349.87757; 6640.0015804653
39.70; 355.56444; 7001.9508405373
40.72; 362.65194; 7371.1148664476
41.74; 372.49476; 7750.2984552863
42.75; 386.03919; 8143.2696959502
43.77; 403.53852; 8554.0545003965
44.79; 424.39055; 8986.0657703152
45.81; 447.15069; 9441.245872938
46.83; 469.73738; 9919.4182529623
47.84; 489.8022; 10418.015752377
48.86; 505.19484; 10932.282296467
49.88; 514.42509; 11455.94484352
50.90; 517.01696; 11982.24579519
51.92; 513.66768; 12505.13732454
52.93; 506.1639; 13020.390329885
53.95; 497.05993; 13526.375892496
54.97; 489.17848; 14024.338477986
55.99; 485.0388; 14518.087044681
57.01; 486.34033; 15013.160512262
58.02; 493.62346; 15515.647895936
59.04; 506.19217; 16030.929684598
60.06; 522.32204; 16562.630981185
61.08; 539.70532; 17112.027704867
62.10; 556.02089; 17678.032979451
63.11; 569.48023; 18257.73927787
64.13; 579.20421; 18847.344171881
65.15; 585.33235; 19443.18724255
66.17; 588.84391; 20042.604934459
67.19; 591.15733; 20644.377589691
68.20; 593.64127; 21248.678787457
69.22; 597.19526; 21856.59778836
70.24; 602.02935; 22469.437689566
71.26; 607.69992; 23088.049986366
72.27; 613.36728; 23712.431413144
73.29; 618.16408; 24341.695770872
74.31; 621.52925; 24974.385726152
75.33; 623.38435; 25608.964093673
76.35; 624.09782; 26244.268740037
77.36; 624.2711; 26879.749785659
78.38; 624.45277; 27515.415760961
79.40; 624.91318; 28151.550415316
80.42; 625.58261; 28788.366512329
81.44; 626.18159; 29425.792345862
82.45; 626.48547; 30063.527524186
83.47; 626.60153; 30701.38083938
84.49; 627.12452; 31339.766536047
85.51; 629.08128; 31980.14412953
86.53; 633.65872; 32625.181367689
87.54; 641.79952; 33278.505580782
88.56; 653.80813; 33944.054039265
89.58; 669.11418; 34625.183399123
90.60; 686.28776; 35323.794727194
91.62; 703.3141; 36039.738131975
92.63; 718.04661; 36770.678591626
93.65; 728.70094; 37512.464703753
94.67; 734.2469; 38259.896360495
95.69; 734.59774; 39007.685162563
96.71; 730.56742; 39751.371265962
97.72; 723.63603; 40488.001519272
98.74; 715.60885; 41216.460446608
99.76; 708.26259; 41937.441203698
100.78; 703.05131; 42653.117095327
101.80; 700.9085; 43366.611698986
102.81; 702.15182; 44081.371954776
103.83; 706.48158; 44800.539718637
104.85; 713.06417; 45526.408275454
105.87; 720.69599; 46260.045689002
106.89; 728.0396; 47001.158581653
107.90; 733.90659; 47748.243818844
108.92; 737.53491; 48499.022534945
109.94; 738.7877; 49251.076530794
110.96; 738.20128; 50002.533582467
111.98; 736.84218; 50752.607124379
112.99; 735.99032; 51501.81351189
114.01; 736.7306; 52251.773466516
115.03; 739.57935; 53004.633334244
116.05; 744.27573; 53762.273912048
117.07; 749.82169; 54525.560036773
118.08; 754.77268; 55293.886059883
119.10; 757.69158; 56065.183388363
120.12; 757.61605; 56836.403831182
121.14; 754.37967; 57604.329780241
122.15; 748.67482; 58366.448442358
123.17; 741.83511; 59121.604568871
124.19; 735.41269; 59870.222951739
125.21; 730.69604; 60614.039988249
126.23; 728.33025; 61355.448758248
127.24; 728.16128; 62096.685515125
128.26; 729.34373; 62839.125961897
129.28; 730.66149; 63582.907830464
130.30; 730.94291; 64326.976170126
131.32; 729.43104; 65069.505494611
132.33; 725.99589; 65808.537982781
133.35; 721.13664; 66542.623965403
134.37; 715.79209; 67271.269423999
135.39; 711.03243; 67995.069755968
136.41; 707.73045; 68715.508817127
137.42; 706.30272; 69434.494509414
138.44; 706.58113; 70153.763612624
139.46; 707.83615; 70874.31027338
140.48; 708.93767; 71595.978228028
141.50; 708.61389; 72317.316588174
142.51; 705.75367; 73035.743373248
143.53; 699.69041; 73747.998016636
144.55; 690.40514; 74450.800658305
145.57; 678.59492; 75141.581005726
146.59; 665.57295; 75819.105543269
147.60; 653.00182; 76483.833219147
148.62; 642.50567; 77137.876262945
149.64; 635.24906; 77784.532390333
